universo	consumido_por_marcador	celda	sub_celda	candidato	calc	resultado	clase	cadena
CELDA-D	NO	DIN.credito_k2_nomina.enif2024.marginal16	(celda)	PERSISTENCIA (champion_actual=PERSISTENCIA)	CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002		NUEVO	CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002 [medidor.py:221-224: PERSISTENCIA se lee de las emisiones selladas (input EMISIONES-0001); enif2024_csv es R] | CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002: EMISIONES-0001 -> CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001 | CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001 [medidor.py:60: PERSISTENCIA = p_2021(celda) del input PISO-2021] | CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001: PISO-2021 -> CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001 | CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001 [p_2021 medido de enif2021_csv; los demás inputs son medidor importado por sha y metadatos de rejilla/comparabilidad (sin números)] | CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001: enif2021_csv (manifiesto)
CELDA-D	NO	DIN.credito_k3.enif2024.marginal16	(celda)	PERSISTENCIA (champion_actual=PERSISTENCIA)	CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002		NUEVO	CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002 [medidor.py:221-224: PERSISTENCIA se lee de las emisiones selladas (input EMISIONES-0001); enif2024_csv es R] | CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002: EMISIONES-0001 -> CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001 | CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001 [medidor.py:60: PERSISTENCIA = p_2021(celda) del input PISO-2021] | CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001: PISO-2021 -> CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001 | CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001 [p_2021 medido de enif2021_csv; los demás inputs son medidor importado por sha y metadatos de rejilla/comparabilidad (sin números)] | CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001: enif2021_csv (manifiesto)
CELDA-D	NO	DIN.credito_k4a_autoexclusion.enif2024.marginal16	(celda)	PERSISTENCIA (champion_actual=PERSISTENCIA)	CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002		NUEVO	CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002 [medidor.py:221-224: PERSISTENCIA se lee de las emisiones selladas (input EMISIONES-0001); enif2024_csv es R] | CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002: EMISIONES-0001 -> CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001 | CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001 [medidor.py:60: PERSISTENCIA = p_2021(celda) del input PISO-2021] | CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001: PISO-2021 -> CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001 | CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001 [p_2021 medido de enif2021_csv; los demás inputs son medidor importado por sha y metadatos de rejilla/comparabilidad (sin números)] | CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001: enif2021_csv (manifiesto)
CELDA-D	NO	DIN.credito_k4b_oferta.enif2024.marginal16	(celda)	PERSISTENCIA (champion_actual=PERSISTENCIA)	CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002		NUEVO	CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002 [medidor.py:221-224: PERSISTENCIA se lee de las emisiones selladas (input EMISIONES-0001); enif2024_csv es R] | CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002: EMISIONES-0001 -> CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001 | CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001 [medidor.py:60: PERSISTENCIA = p_2021(celda) del input PISO-2021] | CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001: PISO-2021 -> CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001 | CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001 [p_2021 medido de enif2021_csv; los demás inputs son medidor importado por sha y metadatos de rejilla/comparabilidad (sin números)] | CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001: enif2021_csv (manifiesto)
CELDA-D	NO	DIN.credito_k5.enif2024.marginal16	(celda)	PERSISTENCIA (champion_actual=PERSISTENCIA)	CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002		NUEVO	CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002 [medidor.py:221-224: PERSISTENCIA se lee de las emisiones selladas (input EMISIONES-0001); enif2024_csv es R] | CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002: EMISIONES-0001 -> CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001 | CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001 [medidor.py:60: PERSISTENCIA = p_2021(celda) del input PISO-2021] | CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001: PISO-2021 -> CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001 | CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001 [p_2021 medido de enif2021_csv; los demás inputs son medidor importado por sha y metadatos de rejilla/comparabilidad (sin números)] | CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001: enif2021_csv (manifiesto)
CELDA-D	NO	DIN.credito_k6_p_tenedores.enif2024.marginal16	(celda)	PERSISTENCIA (champion_actual=PERSISTENCIA)	CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002		NUEVO	CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002 [medidor.py:221-224: PERSISTENCIA se lee de las emisiones selladas (input EMISIONES-0001); enif2024_csv es R] | CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002: EMISIONES-0001 -> CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001 | CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001 [medidor.py:60: PERSISTENCIA = p_2021(celda) del input PISO-2021] | CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001: PISO-2021 -> CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001 | CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001 [p_2021 medido de enif2021_csv; los demás inputs son medidor importado por sha y metadatos de rejilla/comparabilidad (sin números)] | CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001: enif2021_csv (manifiesto)
CELDA-D	NO	G5.familismo_obligacion.actitud	(celda)	BASELINE.ENASIC (champion_actual=BASELINE.ENASIC)			HEREDADO-DE-LEGACY	sin CALC; refs: data/curacion-registro/expedientes-produccion/t0-89f4c3a49c00c0e1/ESP-OPACA-B-d13ec4fe/resultado.tsv; data/curacion-registro/especificaciones-produccion.json#ESP-OPACA-B-d13ec4fe
CELDA-D	NO	G5.obligacion_medida.conducta	(celda)	BASELINE.ENASIC (champion_actual=BASELINE.ENASIC)			HEREDADO-DE-LEGACY	sin CALC; refs: data/curacion-registro/expedientes-produccion/t0-89f4c3a49c00c0e1/ESP-OPACA-D-d800e103/resultado.tsv; data/curacion-registro/especificaciones-produccion.json#ESP-OPACA-D-d800e103
CELDA-D	NO	G5.radio_confianza.encuci_vs_enbiare	(celda)	BASELINE.ENCUCI (champion_actual=BASELINE.ENCUCI)			HEREDADO-DE-LEGACY	sin CALC; refs: forense/notas/2026-08-03-cal-conf-faseb-pos5-6-radio-familismo.md §1.1, §3.1, §4; milpa/procedencia.yaml#condicionales_escalares.radio_confianza
CELDA-D	SI	GOB.gobierno_digital.encig2025.edad_x_escolaridad	18-29xHASTA-PRIMARIA	C2	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-18-29-HASTA-PRIMARIA-C2-P	NUEVO	CALC-GOB-DIGITAL-EXE-EMISIONES-0002 [piloto 3: compone C2 de marginales medidos de encig25_base_datos_csv; c2_compuesto_resultados es sólo control (censo #1116, fila de mesa NUEVO)] | CALC-GOB-DIGITAL-EXE-EMISIONES-0002: encig25_base_datos_csv (manifiesto)
CELDA-D	SI	GOB.gobierno_digital.encig2025.edad_x_escolaridad	18-29xSECUNDARIA	C2	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-18-29-SECUNDARIA-C2-P	NUEVO	CALC-GOB-DIGITAL-EXE-EMISIONES-0002 [piloto 3: compone C2 de marginales medidos de encig25_base_datos_csv; c2_compuesto_resultados es sólo control (censo #1116, fila de mesa NUEVO)] | CALC-GOB-DIGITAL-EXE-EMISIONES-0002: encig25_base_datos_csv (manifiesto)
CELDA-D	SI	GOB.gobierno_digital.encig2025.edad_x_escolaridad	18-29xMEDIA-SUPERIOR	C2	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-18-29-MEDIA-SUPERIOR-C2-P	NUEVO	CALC-GOB-DIGITAL-EXE-EMISIONES-0002 [piloto 3: compone C2 de marginales medidos de encig25_base_datos_csv; c2_compuesto_resultados es sólo control (censo #1116, fila de mesa NUEVO)] | CALC-GOB-DIGITAL-EXE-EMISIONES-0002: encig25_base_datos_csv (manifiesto)
CELDA-D	SI	GOB.gobierno_digital.encig2025.edad_x_escolaridad	18-29xSUPERIOR	C2	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-18-29-SUPERIOR-C2-P	NUEVO	CALC-GOB-DIGITAL-EXE-EMISIONES-0002 [piloto 3: compone C2 de marginales medidos de encig25_base_datos_csv; c2_compuesto_resultados es sólo control (censo #1116, fila de mesa NUEVO)] | CALC-GOB-DIGITAL-EXE-EMISIONES-0002: encig25_base_datos_csv (manifiesto)
CELDA-D	SI	GOB.gobierno_digital.encig2025.edad_x_escolaridad	30-44xHASTA-PRIMARIA	C2	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-30-44-HASTA-PRIMARIA-C2-P	NUEVO	CALC-GOB-DIGITAL-EXE-EMISIONES-0002 [piloto 3: compone C2 de marginales medidos de encig25_base_datos_csv; c2_compuesto_resultados es sólo control (censo #1116, fila de mesa NUEVO)] | CALC-GOB-DIGITAL-EXE-EMISIONES-0002: encig25_base_datos_csv (manifiesto)
CELDA-D	SI	GOB.gobierno_digital.encig2025.edad_x_escolaridad	30-44xSECUNDARIA	C2	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-30-44-SECUNDARIA-C2-P	NUEVO	CALC-GOB-DIGITAL-EXE-EMISIONES-0002 [piloto 3: compone C2 de marginales medidos de encig25_base_datos_csv; c2_compuesto_resultados es sólo control (censo #1116, fila de mesa NUEVO)] | CALC-GOB-DIGITAL-EXE-EMISIONES-0002: encig25_base_datos_csv (manifiesto)
CELDA-D	SI	GOB.gobierno_digital.encig2025.edad_x_escolaridad	30-44xMEDIA-SUPERIOR	C2	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-30-44-MEDIA-SUPERIOR-C2-P	NUEVO	CALC-GOB-DIGITAL-EXE-EMISIONES-0002 [piloto 3: compone C2 de marginales medidos de encig25_base_datos_csv; c2_compuesto_resultados es sólo control (censo #1116, fila de mesa NUEVO)] | CALC-GOB-DIGITAL-EXE-EMISIONES-0002: encig25_base_datos_csv (manifiesto)
CELDA-D	SI	GOB.gobierno_digital.encig2025.edad_x_escolaridad	30-44xSUPERIOR	C2	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-30-44-SUPERIOR-C2-P	NUEVO	CALC-GOB-DIGITAL-EXE-EMISIONES-0002 [piloto 3: compone C2 de marginales medidos de encig25_base_datos_csv; c2_compuesto_resultados es sólo control (censo #1116, fila de mesa NUEVO)] | CALC-GOB-DIGITAL-EXE-EMISIONES-0002: encig25_base_datos_csv (manifiesto)
CELDA-D	SI	GOB.gobierno_digital.encig2025.edad_x_escolaridad	45-59xHASTA-PRIMARIA	C2	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-45-59-HASTA-PRIMARIA-C2-P	NUEVO	CALC-GOB-DIGITAL-EXE-EMISIONES-0002 [piloto 3: compone C2 de marginales medidos de encig25_base_datos_csv; c2_compuesto_resultados es sólo control (censo #1116, fila de mesa NUEVO)] | CALC-GOB-DIGITAL-EXE-EMISIONES-0002: encig25_base_datos_csv (manifiesto)
CELDA-D	SI	GOB.gobierno_digital.encig2025.edad_x_escolaridad	45-59xSECUNDARIA	C2	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-45-59-SECUNDARIA-C2-P	NUEVO	CALC-GOB-DIGITAL-EXE-EMISIONES-0002 [piloto 3: compone C2 de marginales medidos de encig25_base_datos_csv; c2_compuesto_resultados es sólo control (censo #1116, fila de mesa NUEVO)] | CALC-GOB-DIGITAL-EXE-EMISIONES-0002: encig25_base_datos_csv (manifiesto)
CELDA-D	SI	GOB.gobierno_digital.encig2025.edad_x_escolaridad	45-59xMEDIA-SUPERIOR	C2	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-45-59-MEDIA-SUPERIOR-C2-P	NUEVO	CALC-GOB-DIGITAL-EXE-EMISIONES-0002 [piloto 3: compone C2 de marginales medidos de encig25_base_datos_csv; c2_compuesto_resultados es sólo control (censo #1116, fila de mesa NUEVO)] | CALC-GOB-DIGITAL-EXE-EMISIONES-0002: encig25_base_datos_csv (manifiesto)
CELDA-D	SI	GOB.gobierno_digital.encig2025.edad_x_escolaridad	45-59xSUPERIOR	C2	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-45-59-SUPERIOR-C2-P	NUEVO	CALC-GOB-DIGITAL-EXE-EMISIONES-0002 [piloto 3: compone C2 de marginales medidos de encig25_base_datos_csv; c2_compuesto_resultados es sólo control (censo #1116, fila de mesa NUEVO)] | CALC-GOB-DIGITAL-EXE-EMISIONES-0002: encig25_base_datos_csv (manifiesto)
CELDA-D	SI	GOB.gobierno_digital.encig2025.edad_x_escolaridad	60-96xHASTA-PRIMARIA	C2	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-60-96-HASTA-PRIMARIA-C2-P	NUEVO	CALC-GOB-DIGITAL-EXE-EMISIONES-0002 [piloto 3: compone C2 de marginales medidos de encig25_base_datos_csv; c2_compuesto_resultados es sólo control (censo #1116, fila de mesa NUEVO)] | CALC-GOB-DIGITAL-EXE-EMISIONES-0002: encig25_base_datos_csv (manifiesto)
CELDA-D	SI	GOB.gobierno_digital.encig2025.edad_x_escolaridad	60-96xSECUNDARIA	C2	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-60-96-SECUNDARIA-C2-P	NUEVO	CALC-GOB-DIGITAL-EXE-EMISIONES-0002 [piloto 3: compone C2 de marginales medidos de encig25_base_datos_csv; c2_compuesto_resultados es sólo control (censo #1116, fila de mesa NUEVO)] | CALC-GOB-DIGITAL-EXE-EMISIONES-0002: encig25_base_datos_csv (manifiesto)
CELDA-D	SI	GOB.gobierno_digital.encig2025.edad_x_escolaridad	60-96xMEDIA-SUPERIOR	C2	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-60-96-MEDIA-SUPERIOR-C2-P	NUEVO	CALC-GOB-DIGITAL-EXE-EMISIONES-0002 [piloto 3: compone C2 de marginales medidos de encig25_base_datos_csv; c2_compuesto_resultados es sólo control (censo #1116, fila de mesa NUEVO)] | CALC-GOB-DIGITAL-EXE-EMISIONES-0002: encig25_base_datos_csv (manifiesto)
CELDA-D	SI	GOB.gobierno_digital.encig2025.edad_x_escolaridad	60-96xSUPERIOR	C2	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-60-96-SUPERIOR-C2-P	NUEVO	CALC-GOB-DIGITAL-EXE-EMISIONES-0002 [piloto 3: compone C2 de marginales medidos de encig25_base_datos_csv; c2_compuesto_resultados es sólo control (censo #1116, fila de mesa NUEVO)] | CALC-GOB-DIGITAL-EXE-EMISIONES-0002: encig25_base_datos_csv (manifiesto)
CELDA-D	SI	GOB.gobierno_digital.encig2025.edad_x_sexo	18-29x1	C2	CALC-ENCIG-DUELO-2025-ADJUDICACION-0002	RESULT-ENCIG-DUELO-2025-ADJ2-EDADXSEXO-18-29-X-1-C2-P	NUEVO	CALC-ENCIG-DUELO-2025-ADJUDICACION-0002 [C2 leído por id de CALC-ENCIG2025-PISOS-GOBDIGITAL-0001 (spec §2 del -0002)] | CALC-ENCIG-DUELO-2025-ADJUDICACION-0002: piso_c2_resultados -> CALC-ENCIG2025-PISOS-GOBDIGITAL-0001 | CALC-ENCIG2025-PISOS-GOBDIGITAL-0001 [medidor.py:303 G-ORIGEN: marginales medidos de encig25_base_datos_csv; marginales_2025/adjudicacion_0001 son control] | CALC-ENCIG2025-PISOS-GOBDIGITAL-0001: encig25_base_datos_csv (manifiesto)
CELDA-D	SI	GOB.gobierno_digital.encig2025.edad_x_sexo	18-29x2	C2	CALC-ENCIG-DUELO-2025-ADJUDICACION-0002	RESULT-ENCIG-DUELO-2025-ADJ2-EDADXSEXO-18-29-X-2-C2-P	NUEVO	CALC-ENCIG-DUELO-2025-ADJUDICACION-0002 [C2 leído por id de CALC-ENCIG2025-PISOS-GOBDIGITAL-0001 (spec §2 del -0002)] | CALC-ENCIG-DUELO-2025-ADJUDICACION-0002: piso_c2_resultados -> CALC-ENCIG2025-PISOS-GOBDIGITAL-0001 | CALC-ENCIG2025-PISOS-GOBDIGITAL-0001 [medidor.py:303 G-ORIGEN: marginales medidos de encig25_base_datos_csv; marginales_2025/adjudicacion_0001 son control] | CALC-ENCIG2025-PISOS-GOBDIGITAL-0001: encig25_base_datos_csv (manifiesto)
