relacion_id	tipo_trabajo	fuente	tarea_observacion_id	reporte_neutral_ref	estado_cierre	intentos_reales	objetos_abiertos	siguiente_accion_original	criterio_cierre_individual	receta_continuacion
REL-0ccb1f487408f4999004b321	BUSQUEDA_DIRIGIDA	REPORTE_SOBRE_USO_Y_CONFIANZA_DE_SERVICIOS_FINANCIEROS_DIGITALES	TOBS-SEM-47d76d95481b813570a72c66	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-47d76d95481b813570a72c66.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	2	Recuperar el reporte canónico y localizar tabla, pregunta, muestra, periodo y codificación de confianza/uso.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-0d9c76a2adedc9b9f59984cc	BUSQUEDA_DIRIGIDA	GDELT	TOBS-SEM-dfb5fe672a0ac2f294bad22c	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-dfb5fe672a0ac2f294bad22c.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	1	Extraer un universo México acotado, aplicar deduplicación documentada y mapear CAMEO/actores/respuesta al objeto.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-0e3c2a3a6afd1dae2297740e	BUSQUEDA_DIRIGIDA	PRICE_AND_INFORMATION_TYPE_IN_LIFE_MICROINSURANCE_DEMAND	TOBS-SEM-a573035ee772604d1c23dff2	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-a573035ee772604d1c23dff2.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	2	1	Localizar anexos o codebook y verificar brazos, codificación de precio/información y compra efectiva.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-0fc632a7b102c3b39b2f540c	BUSQUEDA_DIRIGIDA	GDELT	TOBS-SEM-0ae31e43512a336b6bc77571	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-0ae31e43512a336b6bc77571.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	1	Extraer un universo México acotado, aplicar deduplicación documentada y mapear CAMEO/actores/respuesta al objeto.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-107500c8d4873fe4d05bb8e3	BUSQUEDA_DIRIGIDA	MASS_MOBILIZATION_PROTEST_DATA_MEXICO	TOBS-SEM-76933346be1da282effa6a02	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-76933346be1da282effa6a02.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	2	1	Obtener archivo/codebook.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-10b7203dd243231cb3602e47	BUSQUEDA_DIRIGIDA	INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	TOBS-SEM-2249ce6901b1f203123d9197	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-2249ce6901b1f203123d9197.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	2	2	Abrir materiales suplementarios del estudio y localizar variable, tratamiento, resultado y muestra mexicanos pertinentes.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-12b348704acbcdd4b811185b	CURADURIA_FUENTE	ENSAFI	TOBS-SEM-da41c3d453efb5fd12e8571e	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-da41c3d453efb5fd12e8571e.json	EJECUTADA_CON_RESULTADO	0	5	Abrir el cuestionario/diccionario ENSAFI correspondiente y verificar texto, codificación y desenlace coobservado.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-12f0d41801fa7f161510f61e	CURADURIA_FUENTE	ENIF	TOBS-SEM-4a2d4edafb5f63b95d2d2e4c	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-4a2d4edafb5f63b95d2d2e4c.json	EJECUTADA_CON_RESULTADO	0	8	Mapear en el cuestionario y microdato ENIF los reactivos de la necesidad y el desenlace, y comprobar que comparten unidad de observación.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-162b116abdb2212886430f08	BUSQUEDA_DIRIGIDA	CSES	TOBS-SEM-2ce274b1c589fb857fba39c0	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-2ce274b1c589fb857fba39c0.json	NO_ALCANZO_TRAS_INTENTOS	2	1	Abrir codebook y cuestionario México 2018 y documentar variable, codificación y granularidad; cerrar si no aparece el diseño requerido.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Los intentos reales terminaron sin HTTP 2xx; continuar solo con acceso alternativo autorizado o localizador corregido.
REL-1677b0003626a1bd5bf971cb	CURADURIA_FUENTE	ENIGH	TOBS-SEM-d74349659cc2f1b21a6e6ea2	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-d74349659cc2f1b21a6e6ea2.json	EJECUTADA_CON_RESULTADO	0	8	Búsqueda dirigida en diccionarios.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-16d3c66af7fc856df2130139	CURADURIA_FUENTE	ENFIH	TOBS-SEM-367e9b6c56c95d8f43ecd86e	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-367e9b6c56c95d8f43ecd86e.json	EJECUTADA_CON_RESULTADO	0	6	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-1867600f55b362380e728c4a	BUSQUEDA_DIRIGIDA	SERIES_SPEI_CODI_BANXICO	TOBS-SEM-6898d3c7c6fa1202e6836b28	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-6898d3c7c6fa1202e6836b28.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	1	Abrir Informe Anual o catálogo SIE, registrar idSerie/idCuadro y extraer series comparables CoDi/SPEI.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-18976f4767e5da3c5e572877	CURADURIA_FUENTE	FINANZAS	TOBS-SEM-332233c676bdd722e8c82ef2	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-332233c676bdd722e8c82ef2.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	4	Resolver la etiqueta FINANZAS a una fuente canónica concreta ya reunida y abrir su instrumento contra el par requerido.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-1d4ea097a836307f28dd2f49	ANALISIS_MEDICION	ENCOAP	TOBS-SEM-378d45ea90cfa8dbbf1daf86	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-378d45ea90cfa8dbbf1daf86.json	BLOQUEADA_INPUT_FALTANTE	0	1	Abrir cuestionario y diccionario ENCOAP; localizar el reactivo y el desenlace exactos exigidos por la necesidad.	Resultado reproducible o NO_DETERMINADO por campo material faltante.	No existe especificación ejecutable: faltan estimando,poblacion,unidad,variables,codificacion,ponderacion,diseno,transformacion,incertidumbre
REL-1d9d402e2e1aa77c9c01cb5f	BUSQUEDA_DIRIGIDA	MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	TOBS-SEM-966292f4d0a0889ec766cfed	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-966292f4d0a0889ec766cfed.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	1	Obtener archivo y codebook del proyecto; verificar evento, actor, demanda, respuesta, geografía y cobertura temporal para México.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-20c9e9445e7c52770b6c3b10	BUSQUEDA_DIRIGIDA	DOES_CORRUPTION_INFORMATION_INSPIRE_THE_FIGHT_OR_QUASH_THE_HOPE	TOBS-SEM-04b8623c41b0949b9d8e3f67	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-04b8623c41b0949b9d8e3f67.json	EJECUTADA_CON_RESULTADO	2	2	Abrir instrumento y tablas del estudio; localizar tratamiento informativo, outcome y estimando pertinente.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-21e914d37dac786386bf91dc	CURADURIA_FUENTE	FINANZAS	TOBS-SEM-5f145948626259596e2f82ff	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-5f145948626259596e2f82ff.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	4	Resolver la etiqueta FINANZAS a una fuente canónica concreta ya reunida y abrir su instrumento contra el par requerido.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-2230c5027c1ce5589c32d9b0	BUSQUEDA_DIRIGIDA	LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	TOBS-SEM-5f00cf4f4974b8e03128189b	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-5f00cf4f4974b8e03128189b.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	2	2	Recuperar el paquete canónico del estudio y revisar instrumento, diseño, outcomes y tablas de impacto.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-235427b4ebd4727b5ccdeb98	CURADURIA_FUENTE	REPOSITORIOS_UNAM_COLMEX_ITAM_DATAVERSE_ICPSR	TOBS-SEM-a88af75184a988d7f4957617	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-a88af75184a988d7f4957617.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	4	Identificar un estudio concreto ya indexado, abrir protocolo/datos y verificar umbral, asignación y outcome electoral.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-2a1cc2aeaa3a0d0f5e1e49d2	BUSQUEDA_DIRIGIDA	UCDP	TOBS-SEM-be389b408c606b6c7fcb528f	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-be389b408c606b6c7fcb528f.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	2	1	Abrir GED codebook.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-2d58abfc1b418484af3f2f7d	CURADURIA_FUENTE	ENFIH	TOBS-SEM-43c56dbcb4646997818bdbf2	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-43c56dbcb4646997818bdbf2.json	EJECUTADA_CON_RESULTADO	0	7	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-2fab7f66a0e6963788542b3a	BUSQUEDA_DIRIGIDA	ENCOAP	TOBS-SEM-e08e77874f8fdee4962d27d3	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-e08e77874f8fdee4962d27d3.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	1	1	Abrir cuestionario y diccionario ENCOAP; localizar el reactivo y el desenlace exactos exigidos por la necesidad.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-2fbf749b083e578d4462b842	CURADURIA_FUENTE	FINANZAS	TOBS-SEM-c0280be4c75f4b57c0967cb6	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-c0280be4c75f4b57c0967cb6.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	4	Resolver la etiqueta FINANZAS a una fuente canónica concreta ya reunida y abrir su instrumento contra el par requerido.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-32afb54be292bc8e3070dfca	CURADURIA_FUENTE	ENVIPE	TOBS-SEM-4271521b2dd8123304de22ad	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-4271521b2dd8123304de22ad.json	EJECUTADA_CON_RESULTADO	0	8	Abrir reactivos conjuntos.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-32d05d4dc466d048e2961f7b	BUSQUEDA_DIRIGIDA	MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	TOBS-SEM-f3396d8cacc7f843fc26bef0	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-f3396d8cacc7f843fc26bef0.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	1	Obtener archivo y codebook del proyecto; verificar evento, actor, demanda, respuesta, geografía y cobertura temporal para México.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-350211bc943be8bae0c8eea2	BUSQUEDA_DIRIGIDA	MEXICO_ENTERPRISE_SURVEYS_COMPONENTE_PANEL_CANDIDATO_2006_2010	TOBS-SEM-069a339311b89d89771969d2	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-069a339311b89d89771969d2.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	0	1	Abrir diccionario y archivo panel; comprobar dos observaciones por idPANEL2006 y mapear predictor y desenlace requeridos.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-36cde7fa0d470608a94ddb1e	CURADURIA_FUENTE	ENFIH	TOBS-SEM-eaf45b63f4e1169d529f7a60	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-eaf45b63f4e1169d529f7a60.json	EJECUTADA_CON_RESULTADO	0	7	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
REL-374d073941162109bb37265b	BUSQUEDA_DIRIGIDA	ELECTORAL_PRECINCT_LEVEL_DATABASE_FOR_MEXICAN_MUNICIPAL_ELECTION	TOBS-SEM-bbd25c063666c3bf534e1966	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-bbd25c063666c3bf534e1966.json	NO_ALCANZO_TRAS_INTENTOS	1	2	Abrir codebook y verificar variables de sección, elección, tratamiento/exposición y resultado.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Los intentos reales terminaron sin HTTP 2xx; continuar solo con acceso alternativo autorizado o localizador corregido.
REL-382a1f202f13e8134f376a00	BUSQUEDA_DIRIGIDA	MEXICO_PANEL_STUDY_2012	TOBS-SEM-fcc268997e86adb82f932976	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-fcc268997e86adb82f932976.json	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	2	2	Abrir cuestionario y codebook 2012 y localizar las variables exactas y su llave longitudinal.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	Se abrió la fuente/referencia, pero no un objeto que cierre literalmente la acción individual; usar la receta y frontera registradas.
REL-3b746c49c7c051083df6ee81	CURADURIA_FUENTE	ENFIH	TOBS-SEM-3425dde81a63cdf148a0bbac	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-3425dde81a63cdf148a0bbac.json	EJECUTADA_CON_RESULTADO	0	7	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	Se abrió al menos un objeto de datos/documentación y se registró su estructura literal; el juicio semántico permanece separado.
