supervision_id	run_id	relacion_id	propuesta_id	estado_recalculado	accion_preservada	joins_validos	hashes_validos	cegamiento_validado	destino	errores
SUPSEM-47d76d95481b813570a72c66	SEMRUN-354ccb9dc1023a0bd420d48f	REL-0ccb1f487408f4999004b321	SEMPROP-bd2fb56a023532621f875d22	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-dfb5fe672a0ac2f294bad22c	SEMRUN-354ccb9dc1023a0bd420d48f	REL-0d9c76a2adedc9b9f59984cc	SEMPROP-198ca508e22ac24cb4ad5827	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-a573035ee772604d1c23dff2	SEMRUN-354ccb9dc1023a0bd420d48f	REL-0e3c2a3a6afd1dae2297740e	SEMPROP-193039454e806f2528ea0539	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-0ae31e43512a336b6bc77571	SEMRUN-354ccb9dc1023a0bd420d48f	REL-0fc632a7b102c3b39b2f540c	SEMPROP-1a906a36e5d818379ac5dda3	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-76933346be1da282effa6a02	SEMRUN-354ccb9dc1023a0bd420d48f	REL-107500c8d4873fe4d05bb8e3	SEMPROP-16a8035287b71ea9bd6b158c	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-2249ce6901b1f203123d9197	SEMRUN-354ccb9dc1023a0bd420d48f	REL-10b7203dd243231cb3602e47	SEMPROP-e54cc40b2e44f32343939cac	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-da41c3d453efb5fd12e8571e	SEMRUN-354ccb9dc1023a0bd420d48f	REL-12b348704acbcdd4b811185b	SEMPROP-4ab4f68aea69d5b363c92c79	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-4a2d4edafb5f63b95d2d2e4c	SEMRUN-354ccb9dc1023a0bd420d48f	REL-12f0d41801fa7f161510f61e	SEMPROP-0f92f4a673f033c5418ac775	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-2ce274b1c589fb857fba39c0	SEMRUN-354ccb9dc1023a0bd420d48f	REL-162b116abdb2212886430f08	SEMPROP-cbea1f10e4d3a241f0ee1218	NO_ALCANZO_TRAS_INTENTOS	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-d74349659cc2f1b21a6e6ea2	SEMRUN-354ccb9dc1023a0bd420d48f	REL-1677b0003626a1bd5bf971cb	SEMPROP-440f9001584b54e23a03cfb0	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-367e9b6c56c95d8f43ecd86e	SEMRUN-354ccb9dc1023a0bd420d48f	REL-16d3c66af7fc856df2130139	SEMPROP-2540901fd8ab3f5f8f5792f5	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-6898d3c7c6fa1202e6836b28	SEMRUN-354ccb9dc1023a0bd420d48f	REL-1867600f55b362380e728c4a	SEMPROP-05f4cb3a27c5be5bcc77e454	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-332233c676bdd722e8c82ef2	SEMRUN-354ccb9dc1023a0bd420d48f	REL-18976f4767e5da3c5e572877	SEMPROP-afba34ac124ac0f179da1a46	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-378d45ea90cfa8dbbf1daf86	SEMRUN-354ccb9dc1023a0bd420d48f	REL-1d4ea097a836307f28dd2f49	SEMPROP-595b107444723d411af7b81c	BLOQUEADA_INPUT_FALTANTE	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-966292f4d0a0889ec766cfed	SEMRUN-354ccb9dc1023a0bd420d48f	REL-1d9d402e2e1aa77c9c01cb5f	SEMPROP-c455a4331e1332b900b369a9	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-04b8623c41b0949b9d8e3f67	SEMRUN-354ccb9dc1023a0bd420d48f	REL-20c9e9445e7c52770b6c3b10	SEMPROP-8bc00bc6b9d5f5928d857f8e	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-5f145948626259596e2f82ff	SEMRUN-354ccb9dc1023a0bd420d48f	REL-21e914d37dac786386bf91dc	SEMPROP-b9baa93a2eafa62a217b07ec	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-5f00cf4f4974b8e03128189b	SEMRUN-354ccb9dc1023a0bd420d48f	REL-2230c5027c1ce5589c32d9b0	SEMPROP-c99bad0a7d75f084b3491b60	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-a88af75184a988d7f4957617	SEMRUN-354ccb9dc1023a0bd420d48f	REL-235427b4ebd4727b5ccdeb98	SEMPROP-62b314e27014d173eb79d07d	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-be389b408c606b6c7fcb528f	SEMRUN-354ccb9dc1023a0bd420d48f	REL-2a1cc2aeaa3a0d0f5e1e49d2	SEMPROP-7200dd2849f81618d1c6cded	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-43c56dbcb4646997818bdbf2	SEMRUN-354ccb9dc1023a0bd420d48f	REL-2d58abfc1b418484af3f2f7d	SEMPROP-853606a8d585666258b5a9b3	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-e08e77874f8fdee4962d27d3	SEMRUN-354ccb9dc1023a0bd420d48f	REL-2fab7f66a0e6963788542b3a	SEMPROP-d9cc7c68235b62072d17e697	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-c0280be4c75f4b57c0967cb6	SEMRUN-354ccb9dc1023a0bd420d48f	REL-2fbf749b083e578d4462b842	SEMPROP-b99b04092dc73122b91e37dd	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-4271521b2dd8123304de22ad	SEMRUN-354ccb9dc1023a0bd420d48f	REL-32afb54be292bc8e3070dfca	SEMPROP-2906efe7c76c5bfa766b174b	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-f3396d8cacc7f843fc26bef0	SEMRUN-354ccb9dc1023a0bd420d48f	REL-32d05d4dc466d048e2961f7b	SEMPROP-da4028842472a23dc8ee5bb6	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-069a339311b89d89771969d2	SEMRUN-354ccb9dc1023a0bd420d48f	REL-350211bc943be8bae0c8eea2	SEMPROP-2d1195bb41c0f07b6de0b508	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-eaf45b63f4e1169d529f7a60	SEMRUN-354ccb9dc1023a0bd420d48f	REL-36cde7fa0d470608a94ddb1e	SEMPROP-ea8f7be037fdab0720dba078	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-bbd25c063666c3bf534e1966	SEMRUN-354ccb9dc1023a0bd420d48f	REL-374d073941162109bb37265b	SEMPROP-d0062343d23931114e70c313	NO_ALCANZO_TRAS_INTENTOS	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-fcc268997e86adb82f932976	SEMRUN-354ccb9dc1023a0bd420d48f	REL-382a1f202f13e8134f376a00	SEMPROP-b0d4e365a7e0d0abaec504f1	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-3425dde81a63cdf148a0bbac	SEMRUN-354ccb9dc1023a0bd420d48f	REL-3b746c49c7c051083df6ee81	SEMPROP-9e3cf13e168413e10fe80781	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-b463329c0abf1a4add11f117	SEMRUN-354ccb9dc1023a0bd420d48f	REL-3d47f2e740a4b56741e9c6e2	SEMPROP-4edddbadcc750ce5a4079c48	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-95ecb20a0512809ca939da05	SEMRUN-354ccb9dc1023a0bd420d48f	REL-3d6a985a8dafc13fdbd39e4a	SEMPROP-23c4ec865b4407a8b4468643	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-6cd6a34ef3c6fd7f9148b5e4	SEMRUN-354ccb9dc1023a0bd420d48f	REL-3e153324c7506ed0e35a7a70	SEMPROP-d55648e33300923c84a07e81	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-4393bc0202d3793dc368ca3f	SEMRUN-354ccb9dc1023a0bd420d48f	REL-435541bba7684694085356c2	SEMPROP-3ec6eba82762ab053a1d242c	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-91e2ca67738c1d5d4780903f	SEMRUN-354ccb9dc1023a0bd420d48f	REL-4360d0a91e5f8be30916c2b9	SEMPROP-7aef1578bd130fe16eb5e5be	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-5387b712908d44e17c1ed68d	SEMRUN-354ccb9dc1023a0bd420d48f	REL-45672e7d7c5ac7c69edaede4	SEMPROP-601d31224a1cd54073060c70	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-b0c3e8d05d0ca672247a3496	SEMRUN-354ccb9dc1023a0bd420d48f	REL-4773e33ebd7e704a595bbf07	SEMPROP-d5329888b5f8c60b4471f066	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-77de625bce04437aa9bdd3d4	SEMRUN-354ccb9dc1023a0bd420d48f	REL-48285fd8e0a22a38147245ed	SEMPROP-2dbf09cf944968bcf8b8591a	NO_ALCANZO_TRAS_INTENTOS	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-d76f868cb61054be3ce40de8	SEMRUN-354ccb9dc1023a0bd420d48f	REL-4945113fd8870341191221b6	SEMPROP-91085761b29f9fe38a02e572	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-c79825713f34236b086d0337	SEMRUN-354ccb9dc1023a0bd420d48f	REL-4b4d25bbe2c702aed1884440	SEMPROP-144cfe1cb22fb3cfdac7bbbe	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-8ae9eed4130cf052f6a2dc7a	SEMRUN-354ccb9dc1023a0bd420d48f	REL-4fd0d54316a62b4b5c7a0048	SEMPROP-07600174c6f1f2ff70890848	REQUIERE_DECISION_HUMANA	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-64964bf750dc697de788f9df	SEMRUN-354ccb9dc1023a0bd420d48f	REL-50e6d069fd121a8a7cd64fc5	SEMPROP-15d4f5bc4847b9435adc08a6	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-f213b050b725622998750324	SEMRUN-354ccb9dc1023a0bd420d48f	REL-51392f82de7f4c77d1bb75c1	SEMPROP-2840a9f2d360657b252d9213	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-a9edca79cbbcf8cfad02064f	SEMRUN-354ccb9dc1023a0bd420d48f	REL-523fe941f36eef5710d093ee	SEMPROP-d85cff358f476e1ecca6a7c8	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-73762680650393d6318e0fc7	SEMRUN-354ccb9dc1023a0bd420d48f	REL-57df012cdba3e281563c1068	SEMPROP-ce1a291dc9503f6535f02574	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-918e2e1c7a883fc1511d7cb1	SEMRUN-354ccb9dc1023a0bd420d48f	REL-5fc50aa3d056d5b63f4e18df	SEMPROP-a5e096f6656ab39b659ad127	NO_ALCANZO_TRAS_INTENTOS	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-5dd856c07993ba83027a0a02	SEMRUN-354ccb9dc1023a0bd420d48f	REL-60e9df4e4ea6f51ca6e4ddc0	SEMPROP-f0d041590a0717bfed45cdc5	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-36e732ff898e0056c2afff36	SEMRUN-354ccb9dc1023a0bd420d48f	REL-62c97ccb92d0e95c8120d776	SEMPROP-1a717a84be49cedf71a00c04	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-da477e71608689e463ddf79b	SEMRUN-354ccb9dc1023a0bd420d48f	REL-63835b1a27c62356495d6104	SEMPROP-42a646b73adb3647408181bc	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-d3ea14e2ea500ec0e97250e2	SEMRUN-354ccb9dc1023a0bd420d48f	REL-641a2435b0e68b2049b73d72	SEMPROP-ce44724d0dc858b4294c0781	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-56558d4355e63c4579b58939	SEMRUN-354ccb9dc1023a0bd420d48f	REL-655887a6745e8a139387cc90	SEMPROP-359146b433ac46061e7c9e94	REQUIERE_DECISION_HUMANA	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-3669535243e9ee318df0502f	SEMRUN-354ccb9dc1023a0bd420d48f	REL-6b52ae9ea4b72a9f27f01260	SEMPROP-b1e4442431cdecee9822c802	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-18fb14c88e975967dd37fe89	SEMRUN-354ccb9dc1023a0bd420d48f	REL-6b71873b3adacde57117ad99	SEMPROP-ca4ecc6b8f7dbb7e4f3faa40	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-c0927d0bea2dd6d259ba948c	SEMRUN-354ccb9dc1023a0bd420d48f	REL-6c15fdac77dea33175ef25c5	SEMPROP-55d6b5581baeed91943208d5	REQUIERE_DECISION_HUMANA	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-7baf662ad8ba364c5ad5f3f8	SEMRUN-354ccb9dc1023a0bd420d48f	REL-6c97fe0c5cb528557054a838	SEMPROP-f0865a072fe056ba1e5f5f08	NO_ALCANZO_TRAS_INTENTOS	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-dcdbf02c7a18e231c556dca2	SEMRUN-354ccb9dc1023a0bd420d48f	REL-6cd9055fa1486b7f8c8c5efa	SEMPROP-697986130ab499bc79ea6dee	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-0e6bc94a16c16135d25ea664	SEMRUN-354ccb9dc1023a0bd420d48f	REL-6e785044dd97d2658a495bb2	SEMPROP-656c411e5e5d9f82ea1c9dd5	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-922b2e9c3384d6466cc42f93	SEMRUN-354ccb9dc1023a0bd420d48f	REL-6ebc288cb21990e446f70262	SEMPROP-ab363fc17bf4db4f9507c1dd	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-2e89e6e8039851500644f86c	SEMRUN-354ccb9dc1023a0bd420d48f	REL-6f1cef5066c5478632ac5045	SEMPROP-9a5bf066eb8ab57f72b14706	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-2afc594c6bbdaabe79c4052b	SEMRUN-354ccb9dc1023a0bd420d48f	REL-71d03c31e21a53076736dfd0	SEMPROP-bfee32383be56bc2ac8a9357	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-ce89bad5829d87356038337d	SEMRUN-354ccb9dc1023a0bd420d48f	REL-72ff714a3ba6d0bab952e05f	SEMPROP-128f1c16679e7183e7395ffe	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-0cc2dcc09a88442d3ed6f491	SEMRUN-354ccb9dc1023a0bd420d48f	REL-75b2ff53a19d8058eba2dbb7	SEMPROP-e24c67bc11c84ee25d37bd5c	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-8efebc75fe46505e8dd50018	SEMRUN-354ccb9dc1023a0bd420d48f	REL-75c66af2edc4b79afcb439c3	SEMPROP-955a7925d71546e919569436	REQUIERE_DECISION_HUMANA	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-96ba340533699c6b8c558b4e	SEMRUN-354ccb9dc1023a0bd420d48f	REL-75de72336ada4a506a3b5476	SEMPROP-6eb95b5057506b88780b4637	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-6669ced48b6249621696bc81	SEMRUN-354ccb9dc1023a0bd420d48f	REL-7751c832c7e30e4e4d7603cc	SEMPROP-4c1259a2a2df32903ef67838	NO_ALCANZO_TRAS_INTENTOS	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-fd3581cd746da1a56f77ab34	SEMRUN-354ccb9dc1023a0bd420d48f	REL-781037a17e27bb2b93e13a63	SEMPROP-5bbc930107a5725545bf76bf	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-1fc6d358ccb7f33668a1e983	SEMRUN-354ccb9dc1023a0bd420d48f	REL-7a38c275915e890903752598	SEMPROP-59d58f502fa543eb12323903	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-b845751646740957b69ed664	SEMRUN-354ccb9dc1023a0bd420d48f	REL-7c92eca186a227ee718864e6	SEMPROP-1fc10d12201c29cd775a6d7f	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-c93a0ca2e9bcfbbc93712da0	SEMRUN-354ccb9dc1023a0bd420d48f	REL-7da283a75f336e409f2ff88d	SEMPROP-6de72a9aa2c5570a521e7351	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-75f05bc1c3c751ce6898f1db	SEMRUN-354ccb9dc1023a0bd420d48f	REL-7feec534a72e40bdf9b6b393	SEMPROP-043cbf1e947a953e2b144122	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-97f5b97aaf860cae8ef8d3b3	SEMRUN-354ccb9dc1023a0bd420d48f	REL-837d54e76ebe85170870493a	SEMPROP-1138247b1a95fd1f8935a2b2	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-52463210d7eeb32c9eee8bbf	SEMRUN-354ccb9dc1023a0bd420d48f	REL-845a93bc24990147a394f897	SEMPROP-755abb6f9f6fac4bc0cd2033	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-498db14e3698b86d3b8fd854	SEMRUN-354ccb9dc1023a0bd420d48f	REL-87b4ab08a7e1b65f965ffb88	SEMPROP-9f233e7e55a484d4439fcf7e	BLOQUEADA_INPUT_FALTANTE	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-ebbc81083e49e2be1b5f5f98	SEMRUN-354ccb9dc1023a0bd420d48f	REL-894b3c5025557df7ef942f2a	SEMPROP-30a8087f141c3c28773c8694	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-5f9f488ccf92800375ddd137	SEMRUN-354ccb9dc1023a0bd420d48f	REL-89b5a730c80b52245609d460	SEMPROP-9a8dfe9b319cd0c6871dab0b	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-9f595eb21acbf73c87aae864	SEMRUN-354ccb9dc1023a0bd420d48f	REL-8b5abcdb9a618f64c2639477	SEMPROP-9d6849f77c74b5ba6aac36d6	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-e6713155b4e615bd21e9e286	SEMRUN-354ccb9dc1023a0bd420d48f	REL-8b8dd24f3edbc5fd0b11d4a4	SEMPROP-29dd59e03c85884b33b908b1	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-1a49ac4026e27ed901489468	SEMRUN-354ccb9dc1023a0bd420d48f	REL-8d2952203ec3678f3bd0c473	SEMPROP-571a69bccd6138213978b04e	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-0984cd636391d2e5c647dfb0	SEMRUN-354ccb9dc1023a0bd420d48f	REL-8d5ee427f92ae19be789b8d6	SEMPROP-cfc2066aabd91a45cb050f5a	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-97a6f8b693c267e3e06aa995	SEMRUN-354ccb9dc1023a0bd420d48f	REL-8da82cf2f91efb7fe1958467	SEMPROP-af508b0b64c3b880e3c3e2e9	FUENTE_ABIERTA_SIN_OBJETO_REQUERIDO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-48df4f52c797311cffda3906	SEMRUN-354ccb9dc1023a0bd420d48f	REL-8f6cc360dac1c16f2ea6c7ea	SEMPROP-6465a1796c39b1fb0f6cbbe5	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-939f3aa39a8855ab203dc599	SEMRUN-354ccb9dc1023a0bd420d48f	REL-928de62ad3c403adf193bfc4	SEMPROP-42de19bf6f781e311e449b10	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
SUPSEM-b522581a3dec61247ee96e17	SEMRUN-354ccb9dc1023a0bd420d48f	REL-987f01cb468fa0b51b2dffc6	SEMPROP-6b004cb48f39d989c63931e4	EJECUTADA_CON_RESULTADO	SI	SI	SI	SI	COLA_RESIDUAL	NINGUNO
