particion_id	fuente	familia_logica_id	relaciones	numero_relaciones
PART-b39a8610c112121ab6b288eb	GPS	SIN_ACTIVO_EXACTO:GPS	REL-4fd0d54316a62b4b5c7a0048;REL-655887a6745e8a139387cc90;REL-75c66af2edc4b79afcb439c3;REL-c72dd30027c28df4603464d5;REL-ca5ecbdfd4be3728df0e509f;REL-ff97af04e1d92981b386ac08	6
PART-baec0de1f8ab11244d1d89f1	IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	SIN_ACTIVO_EXACTO:IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	REL-08af2a451bfb04d90902eec4	1
PART-8cdb2ee0f5018a27ffd4599d	IMSS	SIN_ACTIVO_EXACTO:IMSS	REL-6f1cef5066c5478632ac5045	1
PART-bbf345f1b82d8cb9a19d3d01	INE	SIN_ACTIVO_EXACTO:INE	REL-4945113fd8870341191221b6;REL-8b5abcdb9a618f64c2639477	2
PART-8a971a5b7e719507808e62f2	INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	SIN_ACTIVO_EXACTO:INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	REL-10b7203dd243231cb3602e47;REL-71d03c31e21a53076736dfd0;REL-f0cb8d6fa174935fae071144	3
PART-51ae049796b8f3c0f2356de7	ISSP	SIN_ACTIVO_EXACTO:ISSP	REL-62c97ccb92d0e95c8120d776;REL-6b71873b3adacde57117ad99;REL-72ff714a3ba6d0bab952e05f;REL-75b2ff53a19d8058eba2dbb7;REL-7751c832c7e30e4e4d7603cc;REL-845a93bc24990147a394f897;REL-8d2952203ec3678f3bd0c473;REL-9dfab617c356df5594575a3c;REL-b034b04e9ba040bd02e39b8b;REL-cd0d1c5fd7e85418603c73cd;REL-d630dc1ea394364e53631401;REL-e95e26820797a0f55c9246d7;REL-f219eb1a0e1b71beb5a36f6f	13
PART-e7d0bf60dc3a3b6847ae8b1b	LAPOP	SIN_ACTIVO_EXACTO:LAPOP	REL-7da283a75f336e409f2ff88d	1
PART-813752f1e6e983a483786fde	LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	SIN_ACTIVO_EXACTO:LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	REL-2230c5027c1ce5589c32d9b0	1
PART-4e4c88d58aafaf66d10d5462	LATINOBARÓMETRO	SIN_ACTIVO_EXACTO:LATINOBARÓMETRO	REL-4360d0a91e5f8be30916c2b9;REL-f09043ef09997adc0bb4a3f2	2
PART-bd6d8e0cf3fc87fe2bc69123	MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	SIN_ACTIVO_EXACTO:MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	REL-1d9d402e2e1aa77c9c01cb5f;REL-32d05d4dc466d048e2961f7b	2
PART-af5d733e329e4bd7ff15ee24	MASS_MOBILIZATION_PROTEST_DATA	SIN_ACTIVO_EXACTO:MASS_MOBILIZATION_PROTEST_DATA	REL-435541bba7684694085356c2;REL-99525527adc1ae5960ac2055	2
PART-c1fe2ea06a6c5eb93aec869f	MASS_MOBILIZATION_PROTEST_DATA_MEXICO	SIN_ACTIVO_EXACTO:MASS_MOBILIZATION_PROTEST_DATA_MEXICO	REL-107500c8d4873fe4d05bb8e3;REL-e247f2d5250d822fb74a0638	2
PART-4d481ea068f11266f26c32c5	MEXICO_ENTERPRISE_SURVEYS_COMPONENTE_PANEL_CANDIDATO_2006_2010	SIN_ACTIVO_EXACTO:MEXICO_ENTERPRISE_SURVEYS_COMPONENTE_PANEL_CANDIDATO_2006_2010	REL-350211bc943be8bae0c8eea2;REL-abd2650bcf443274eb467a60;REL-e2371e6b0d421f30c496d3da	3
PART-c45a6a6d479ecdd65c399a38	MEXICO_PANEL_STUDY_2012	SIN_ACTIVO_EXACTO:MEXICO_PANEL_STUDY_2012	REL-382a1f202f13e8134f376a00;REL-ddc381f55d9879a6629a14d4	2
PART-6df238b627ba256d8ec80c7b	MICROCREDIT_IMPACTS_COMPARTAMOS_RCT	SIN_ACTIVO_EXACTO:MICROCREDIT_IMPACTS_COMPARTAMOS_RCT	REL-c9a73bd2a8258784f9f08ea8	1
PART-f6decc893c3621047a0dd47e	MICROCREDIT_IMPACTS_RANDOMIZED_MICROCREDIT_PROGRAM_PLACEMENT_EXP	SIN_ACTIVO_EXACTO:MICROCREDIT_IMPACTS_RANDOMIZED_MICROCREDIT_PROGRAM_PLACEMENT_EXP	REL-6c97fe0c5cb528557054a838	1
PART-2c42fefa914e2e904ea87f5a	OECD	SIN_ACTIVO_EXACTO:OECD	REL-5fc50aa3d056d5b63f4e18df	1
PART-93cbd734ae5da961e9bb88ce	PI	SIN_ACTIVO_EXACTO:PI	REL-7feec534a72e40bdf9b6b393	1
PART-46657511eb947627b014cfc0	PRICE_AND_INFORMATION_TYPE_IN_LIFE_MICROINSURANCE_DEMAND	SIN_ACTIVO_EXACTO:PRICE_AND_INFORMATION_TYPE_IN_LIFE_MICROINSURANCE_DEMAND	REL-0e3c2a3a6afd1dae2297740e	1
PART-556696914beff5734a1a1065	PUB	SIN_ACTIVO_EXACTO:PUB	REL-0a4bbf31b54c5ce3565ba753;REL-6ebc288cb21990e446f70262	2
PART-12192a10a0469f96d1b938b1	RELLABORALES	SIN_ACTIVO_EXACTO:RELLABORALES	REL-781037a17e27bb2b93e13a63	1
PART-ad000ee7c9b39f0a6d3f59b0	RELLABORALESPRUEBA	SIN_ACTIVO_EXACTO:RELLABORALESPRUEBA	REL-a8d0e6223c2d79b63a90b4f5	1
PART-b26559c48e26f38ff9759d05	REPORTE_SOBRE_USO_Y_CONFIANZA_DE_SERVICIOS_FINANCIEROS_DIGITALES	SIN_ACTIVO_EXACTO:REPORTE_SOBRE_USO_Y_CONFIANZA_DE_SERVICIOS_FINANCIEROS_DIGITALES	REL-0ccb1f487408f4999004b321	1
PART-b8bc07cb14a92e45ff05810e	REPOSITORIOS_UNAM_COLMEX_ITAM_DATAVERSE_ICPSR	SIN_ACTIVO_EXACTO:REPOSITORIOS_UNAM_COLMEX_ITAM_DATAVERSE_ICPSR	REL-235427b4ebd4727b5ccdeb98	1
PART-6c12c0e8f3a1319d37ee33e6	SE	SIN_ACTIVO_EXACTO:SE	REL-fd8abdfbae6d8de6a94eb38c	1
PART-ba9f6aaa3f660259e309a593	SERIES_SPEI_CODI_BANXICO	SIN_ACTIVO_EXACTO:SERIES_SPEI_CODI_BANXICO	REL-1867600f55b362380e728c4a;REL-7a38c275915e890903752598	2
PART-d80b60b7c1097ae574385e78	SIN_CANDIDATO_IDENTIFICADO	SIN_ACTIVO_EXACTO:SIN_CANDIDATO_IDENTIFICADO	REL-523fe941f36eef5710d093ee	1
PART-224ee9aeccdd42101a9e4e52	UCDP	SIN_ACTIVO_EXACTO:UCDP	REL-2a1cc2aeaa3a0d0f5e1e49d2;REL-6e785044dd97d2658a495bb2	2
PART-8fd3e0321403b806957bdb27	VOTAR_ENTRE_BALAS	SIN_ACTIVO_EXACTO:VOTAR_ENTRE_BALAS	REL-8d5ee427f92ae19be789b8d6;REL-f721d49d739e759d00a9643b	2
PART-c2016b9a23cccfe4f6161319	WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	SIN_ACTIVO_EXACTO:WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	REL-3e153324c7506ed0e35a7a70;REL-dc5971db0730ed2876fdb5b3;REL-e86c10c4e19ea32e57b6a28d	3
PART-5986354a19d62356d8f0e346	WVS	SIN_ACTIVO_EXACTO:WVS	REL-3d6a985a8dafc13fdbd39e4a;REL-57df012cdba3e281563c1068	2
