tarea_observacion_id	relacion_id	necesidad_id	activo_id	input_inspector_ref	reporte_neutral_ref	input_curador_ref
TOBS-SEM-47d76d95481b813570a72c66	REL-0ccb1f487408f4999004b321	N24	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-47d76d95481b813570a72c66.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-47d76d95481b813570a72c66.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-47d76d95481b813570a72c66.json
TOBS-SEM-dfb5fe672a0ac2f294bad22c	REL-0d9c76a2adedc9b9f59984cc	N17	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-dfb5fe672a0ac2f294bad22c.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-dfb5fe672a0ac2f294bad22c.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-dfb5fe672a0ac2f294bad22c.json
TOBS-SEM-a573035ee772604d1c23dff2	REL-0e3c2a3a6afd1dae2297740e	N21	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-a573035ee772604d1c23dff2.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-a573035ee772604d1c23dff2.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-a573035ee772604d1c23dff2.json
TOBS-SEM-0ae31e43512a336b6bc77571	REL-0fc632a7b102c3b39b2f540c	N27	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-0ae31e43512a336b6bc77571.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-0ae31e43512a336b6bc77571.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-0ae31e43512a336b6bc77571.json
TOBS-SEM-76933346be1da282effa6a02	REL-107500c8d4873fe4d05bb8e3	N27	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-76933346be1da282effa6a02.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-76933346be1da282effa6a02.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-76933346be1da282effa6a02.json
TOBS-SEM-2249ce6901b1f203123d9197	REL-10b7203dd243231cb3602e47	N17	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-2249ce6901b1f203123d9197.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-2249ce6901b1f203123d9197.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-2249ce6901b1f203123d9197.json
TOBS-SEM-da41c3d453efb5fd12e8571e	REL-12b348704acbcdd4b811185b	N11	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-da41c3d453efb5fd12e8571e.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-da41c3d453efb5fd12e8571e.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-da41c3d453efb5fd12e8571e.json
TOBS-SEM-4a2d4edafb5f63b95d2d2e4c	REL-12f0d41801fa7f161510f61e	N26	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-4a2d4edafb5f63b95d2d2e4c.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-4a2d4edafb5f63b95d2d2e4c.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-4a2d4edafb5f63b95d2d2e4c.json
TOBS-SEM-2ce274b1c589fb857fba39c0	REL-162b116abdb2212886430f08	N25	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-2ce274b1c589fb857fba39c0.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-2ce274b1c589fb857fba39c0.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-2ce274b1c589fb857fba39c0.json
TOBS-SEM-d74349659cc2f1b21a6e6ea2	REL-1677b0003626a1bd5bf971cb	N18	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-d74349659cc2f1b21a6e6ea2.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-d74349659cc2f1b21a6e6ea2.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-d74349659cc2f1b21a6e6ea2.json
TOBS-SEM-367e9b6c56c95d8f43ecd86e	REL-16d3c66af7fc856df2130139	N10	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-367e9b6c56c95d8f43ecd86e.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-367e9b6c56c95d8f43ecd86e.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-367e9b6c56c95d8f43ecd86e.json
TOBS-SEM-6898d3c7c6fa1202e6836b28	REL-1867600f55b362380e728c4a	N17	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-6898d3c7c6fa1202e6836b28.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-6898d3c7c6fa1202e6836b28.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-6898d3c7c6fa1202e6836b28.json
TOBS-SEM-332233c676bdd722e8c82ef2	REL-18976f4767e5da3c5e572877	N6	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-332233c676bdd722e8c82ef2.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-332233c676bdd722e8c82ef2.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-332233c676bdd722e8c82ef2.json
TOBS-SEM-378d45ea90cfa8dbbf1daf86	REL-1d4ea097a836307f28dd2f49	N30	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-378d45ea90cfa8dbbf1daf86.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-378d45ea90cfa8dbbf1daf86.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-378d45ea90cfa8dbbf1daf86.json
TOBS-SEM-966292f4d0a0889ec766cfed	REL-1d9d402e2e1aa77c9c01cb5f	N17	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-966292f4d0a0889ec766cfed.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-966292f4d0a0889ec766cfed.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-966292f4d0a0889ec766cfed.json
TOBS-SEM-04b8623c41b0949b9d8e3f67	REL-20c9e9445e7c52770b6c3b10	N25	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-04b8623c41b0949b9d8e3f67.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-04b8623c41b0949b9d8e3f67.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-04b8623c41b0949b9d8e3f67.json
TOBS-SEM-5f145948626259596e2f82ff	REL-21e914d37dac786386bf91dc	N5	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-5f145948626259596e2f82ff.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-5f145948626259596e2f82ff.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-5f145948626259596e2f82ff.json
TOBS-SEM-5f00cf4f4974b8e03128189b	REL-2230c5027c1ce5589c32d9b0	N5	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-5f00cf4f4974b8e03128189b.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-5f00cf4f4974b8e03128189b.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-5f00cf4f4974b8e03128189b.json
TOBS-SEM-a88af75184a988d7f4957617	REL-235427b4ebd4727b5ccdeb98	N26	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-a88af75184a988d7f4957617.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-a88af75184a988d7f4957617.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-a88af75184a988d7f4957617.json
TOBS-SEM-be389b408c606b6c7fcb528f	REL-2a1cc2aeaa3a0d0f5e1e49d2	N27	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-be389b408c606b6c7fcb528f.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-be389b408c606b6c7fcb528f.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-be389b408c606b6c7fcb528f.json
TOBS-SEM-43c56dbcb4646997818bdbf2	REL-2d58abfc1b418484af3f2f7d	N17	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-43c56dbcb4646997818bdbf2.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-43c56dbcb4646997818bdbf2.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-43c56dbcb4646997818bdbf2.json
TOBS-SEM-e08e77874f8fdee4962d27d3	REL-2fab7f66a0e6963788542b3a	N30	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-e08e77874f8fdee4962d27d3.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-e08e77874f8fdee4962d27d3.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-e08e77874f8fdee4962d27d3.json
TOBS-SEM-c0280be4c75f4b57c0967cb6	REL-2fbf749b083e578d4462b842	N14	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-c0280be4c75f4b57c0967cb6.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-c0280be4c75f4b57c0967cb6.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-c0280be4c75f4b57c0967cb6.json
TOBS-SEM-4271521b2dd8123304de22ad	REL-32afb54be292bc8e3070dfca	N9	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-4271521b2dd8123304de22ad.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-4271521b2dd8123304de22ad.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-4271521b2dd8123304de22ad.json
TOBS-SEM-f3396d8cacc7f843fc26bef0	REL-32d05d4dc466d048e2961f7b	N27	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-f3396d8cacc7f843fc26bef0.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-f3396d8cacc7f843fc26bef0.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-f3396d8cacc7f843fc26bef0.json
TOBS-SEM-069a339311b89d89771969d2	REL-350211bc943be8bae0c8eea2	N32	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-069a339311b89d89771969d2.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-069a339311b89d89771969d2.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-069a339311b89d89771969d2.json
TOBS-SEM-eaf45b63f4e1169d529f7a60	REL-36cde7fa0d470608a94ddb1e	N5	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-eaf45b63f4e1169d529f7a60.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-eaf45b63f4e1169d529f7a60.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-eaf45b63f4e1169d529f7a60.json
TOBS-SEM-bbd25c063666c3bf534e1966	REL-374d073941162109bb37265b	N25	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-bbd25c063666c3bf534e1966.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-bbd25c063666c3bf534e1966.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-bbd25c063666c3bf534e1966.json
TOBS-SEM-fcc268997e86adb82f932976	REL-382a1f202f13e8134f376a00	N26	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-fcc268997e86adb82f932976.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-fcc268997e86adb82f932976.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-fcc268997e86adb82f932976.json
TOBS-SEM-3425dde81a63cdf148a0bbac	REL-3b746c49c7c051083df6ee81	N3	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-3425dde81a63cdf148a0bbac.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-3425dde81a63cdf148a0bbac.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-3425dde81a63cdf148a0bbac.json
TOBS-SEM-b463329c0abf1a4add11f117	REL-3d47f2e740a4b56741e9c6e2	N17	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-b463329c0abf1a4add11f117.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-b463329c0abf1a4add11f117.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-b463329c0abf1a4add11f117.json
TOBS-SEM-95ecb20a0512809ca939da05	REL-3d6a985a8dafc13fdbd39e4a	N5	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-95ecb20a0512809ca939da05.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-95ecb20a0512809ca939da05.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-95ecb20a0512809ca939da05.json
TOBS-SEM-6cd6a34ef3c6fd7f9148b5e4	REL-3e153324c7506ed0e35a7a70	N22	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-6cd6a34ef3c6fd7f9148b5e4.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-6cd6a34ef3c6fd7f9148b5e4.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-6cd6a34ef3c6fd7f9148b5e4.json
TOBS-SEM-4393bc0202d3793dc368ca3f	REL-435541bba7684694085356c2	N17	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-4393bc0202d3793dc368ca3f.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-4393bc0202d3793dc368ca3f.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-4393bc0202d3793dc368ca3f.json
TOBS-SEM-91e2ca67738c1d5d4780903f	REL-4360d0a91e5f8be30916c2b9	N30	NO_DETERMINADO	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-inspector/TOBS-SEM-91e2ca67738c1d5d4780903f.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/reportes-neutrales/TOBS-SEM-91e2ca67738c1d5d4780903f.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-354ccb9dc1023a0bd420d48f/inputs-curador/TCUR-91e2ca67738c1d5d4780903f.json
