ruta_relativa	sha256	payload_id	raiz_manifiesto	clase	ext	clase_extractor	n_matches_sha
AGS_PEL_2019.zip	2c4ed100da32cbd714ed610ddaf317e06d9e3fae94c3609caf75d80cbc5cf8f2	sicee_local_ags_pel_2019_zip	(sin-raiz-declarada)	DECLARADO-OTRA-RAIZ	.zip	DESPACHADO-INSPECT_ASSETS	1
AGS_PEL_2021.zip	65aee9bc52db03e9a92bc9b08cb9d1f96f7c1bda5019d52016836cf08943ca49	sicee_local_ags_pel_2021_zip	(sin-raiz-declarada)	DECLARADO-OTRA-RAIZ	.zip	DESPACHADO-INSPECT_ASSETS	1
AGS_PEL_2024.zip	64c7e7d3de9a2d6d0bc9b40dbbbef4860683b0e7bbf0296f49779abc40a4b904	sicee_local_ags_pel_2024_zip	(sin-raiz-declarada)	DECLARADO-OTRA-RAIZ	.zip	DESPACHADO-INSPECT_ASSETS	1
BD_ENCUCI2020_dbf.zip	0414fd59e2afcc36294530687c721e8e86bd04e76ad95bfce4b7b2e70853f283	encuci2020_bd_dbf	(sin-raiz-declarada)	DECLARADO-OTRA-RAIZ	.zip	DESPACHADO-INSPECT_ASSETS	1
Catalogos_de_Urgencias_2008_2016.zip	270c1a68ea3807c2402813d4ce055e7b2715a18efa533b77a5ec44e29612bf81	dgis_urgencias_catalogos_2008_2016_7z	(sin-raiz-declarada)	DECLARADO-OTRA-RAIZ	.zip	DESPACHADO-INSPECT_ASSETS	1
Catalogos_de_Urgencias_2023_2025.zip	43b8eb711ad0042d76757becc08a5ffe69a78c42f2d708e31fea14d86a69efda	dgis_urgencias_catalogos_2023_2025_zip	(sin-raiz-declarada)	DECLARADO-OTRA-RAIZ	.zip	DESPACHADO-INSPECT_ASSETS	1
Cero Desabasto csv	c28995eb9a1caec849d26e3a4dbf2dec07ef543bd976051d2a65852d11bf99b3	cero_desabasto_reportes_entidad_cuatrimestre_csv	(sin-raiz-declarada)	DECLARADO-OTRA-RAIZ		SIN-EXTRACTOR-DECLARADO	1
DIPUTACIONES_FED_MR_2018.zip	0c6c40bb408cbbcc06e2fd61413d85f2dd1d8d49a2c2bb362cea8f27b3c94be4	sicee_federal_dip_mr_2018_zip	(sin-raiz-declarada)	DECLARADO-OTRA-RAIZ	.zip	DESPACHADO-INSPECT_ASSETS	1
DIPUTACIONES_FED_MR_2021.zip	90e325eed451985506750e7b03444c64b79382fdd31ab9ef4cdfb274e6a6798e	sicee_federal_dip_mr_2021_zip	(sin-raiz-declarada)	DECLARADO-OTRA-RAIZ	.zip	DESPACHADO-INSPECT_ASSETS	1
DIPUTACIONES_FED_MR_2024.zip	9da21ef4e7ed7f490d3351c4834c4cea0bff050699d9d4ebf45f902e333cc61c	sicee_federal_dip_mr_2024_zip	(sin-raiz-declarada)	DECLARADO-OTRA-RAIZ	.zip	DESPACHADO-INSPECT_ASSETS	1
DIPUTACIONES_FED_RP_2018.zip	27516a545057c1114f82a5a73febd11750c9b7c9a33ace37ad4b00f809bbe6e0	sicee_federal_dip_rp_2018_zip	(sin-raiz-declarada)	DECLARADO-OTRA-RAIZ	.zip	DESPACHADO-INSPECT_ASSETS	1
DIPUTACIONES_FED_RP_2021.zip	65f86f16baa871dfba4d7bba841f4c5502bffe99d1dcf03b6150978b63bd588e	sicee_federal_dip_rp_2021_zip	(sin-raiz-declarada)	DECLARADO-OTRA-RAIZ	.zip	DESPACHADO-INSPECT_ASSETS	1
DIPUTACIONES_FED_RP_2024.zip	57702d9440ee5b7543366bd16b680ff503c96a19c2e969675b2c4522e05605a4	sicee_federal_dip_rp_2024_zip	(sin-raiz-declarada)	DECLARADO-OTRA-RAIZ	.zip	DESPACHADO-INSPECT_ASSETS	1
DescargaMasiva_192026_194559.zip	e4d02401a1aec1f03ff98c2d4056dea0e7055611480926321c7d885886cca735	cngmd2023_descarga_masiva_app_y_orden_zip	(sin-raiz-declarada)	DECLARADO-OTRA-RAIZ	.zip	DESPACHADO-INSPECT_ASSETS	1
DescargaMasiva_3072026_105543.zip	cbcd416a843f0a17419fb4c5be64800540c37dc2b575c69862a87f16de04e0d6	descargamasiva_3072026_105543	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
DescargaMasiva_3072026_10560.zip	a68da0e08403c2083a161491a908a36ae340c1a13db545bb22383577e6d0a7e9	descargamasiva_3072026_10560	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
DescargaMasiva_3072026_105617.zip	4ab75449ed7bc6e3576d3da6c85f81fcb8c2a462ccfdacc75e3761f8840f5240	descargamasiva_3072026_105617	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
DescargaMasiva_3072026_105625.zip	b7af09f37e8215d9a092825b4f4ecdde4bae65a6f3fc5ec8f40086b61a245bfb	descargamasiva_3072026_105625	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
DescargaMasiva_3072026_10567.zip	e913e542b6f08fee3192d3881891e5a0163cd715d1d321b38d108dbda9aa2b25	descargamasiva_3072026_10567	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
DescargaMasiva_582026_175614.zip	cc0f61049a9eb8d170f6c1b109a1d86e6ff472909d4f7387474f84c98652139b	descargamasiva_582026_175614	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
DescargaMasiva_682026_95355.zip	0052d3788283500992595b4474e247d928353ab717c27adb45d34c2abfebccac	descargamasiva_682026_95355	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
DescargaMasiva_682026_9540.zip	d40383d2e939f5243cf65e001a2bb99454e60d681d47bf3a831807fd433e2d2d	descargamasiva_682026_9540	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
DescargaMasiva_682026_95418.zip	62d6fd429bce53dd3f7c1c3c7a5e329f6b5764ea8d46cf98e93178816b3bffd1	descargamasiva_682026_95418	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
DescargaMasiva_682026_95423.zip	026acbadd26104750f8a34b4adb4e2db1441056fdfaa80378a8f8a85dc3420cb	descargamasiva_682026_95423	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
DescargaMasiva_682026_9548.zip	56ca8b51849f6d9357b0a4658cbfb87bb182c3c7bee0ac61610ea59a97971bf0	descargamasiva_682026_9548	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/1008973606Mexico_LAPOP_final 2006 data set 092906.sav	f43fcf78533febabe4eacb539f0ed03470c8320d606f29f54c220cda5abb3039	1008973606mexico_lapop_final_2006_data_set_092906	descargas_mx	DECLARADO-descargas_mx	.sav	DESPACHADO-EXT	1
Descargas Manuales/116334-V1.zip	776d56bf91535beaecef9480c352b022c3aec1ec7fae36c969ccdf6c8cc89d1c	116334_v1	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/1390537077Technical information_Mexico_2006.pdf	521cba1bd010dedecbb1df0e9ad5ced7f57f21da1f47b56b2656be54b874af60	1390537077technical_information_mexico_2006	descargas_mx	DECLARADO-descargas_mx	.pdf	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/1658622845Mexico 2004 Export Version.sav	e725383552753223d263a1d65e2aaf9549a59859eb1b5777b666f32728700c99	1658622845mexico_2004_export_version	descargas_mx	DECLARADO-descargas_mx	.sav	DESPACHADO-EXT	1
Descargas Manuales/1671516622CAM Mexico Questionnaire 2004.pdf	452677a69fe522b8ae9f4eaa779bb62f1b9a8a7df0ca8a359d3028715dd55843	1671516622cam_mexico_questionnaire_2004	descargas_mx	DECLARADO-descargas_mx	.pdf	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/518939279mexico_lapop_final 2006 data set 092906.dta	e426210067f9dba8aca87a0df2161bc7389cc5aaf9e5516aa7ebf9cb52f149fa	518939279mexico_lapop_final_2006_data_set_092906	descargas_mx	DECLARADO-descargas_mx	.dta	DESPACHADO-EXT	1
Descargas Manuales/642348348mexico 2004 export version.dta	ef46b8f5a3c565c931d8ab1d173b2ee34f9f9459987159861ee4e24bf01b9880	642348348mexico_2004_export_version	descargas_mx	DECLARADO-descargas_mx	.dta	DESPACHADO-EXT	1
Descargas Manuales/682647031Technical information_Mexico_2004.pdf	327716b8bc4eee1f4efe011cd41c18ef80c7416e279294807eedf3fffa48d8da	682647031technical_information_mexico_2004	descargas_mx	DECLARADO-descargas_mx	.pdf	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/ABMEX2021-Technical-Report-v1.0-FINAL-eng-110921.pdf	485b9e37c0b845e56caf5dc9b4a37e2fa6271a82b41f709d960ccd8ab58ee2a2	abmex2021_technical_report_v1_0_final_eng_110921	descargas_mx	DECLARADO-descargas_mx	.pdf	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/ABMEX2023-Technical-Report-v4.0-FINAL-eng-231117.pdf	f12f33d7c957f2020eb3e7a2c49e9bc21fe0372b501f753fcbfcb929541e4b05	abmex2023_technical_report_v4_0_final_eng_231117	descargas_mx	DECLARADO-descargas_mx	.pdf	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/ABMex18-v12.0.2.5-Spa-190207_W.pdf	6319cfebeda635563cec7d70573430413e608e3366acf00fa35b61cc41362f5c	abmex18_v12_0_2_5_spa_190207_w	descargas_mx	DECLARADO-descargas_mx	.pdf	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/ABMex2021-Mexico-Questionnaire-v17.2.5.2-Spa-210420-W.pdf	50d983736dda6f98799ac8abb24bc43b446442ca884154078b5e68a6db77f95c	abmex2021_mexico_questionnaire_v17_2_5_2_spa_210420_w	descargas_mx	DECLARADO-descargas_mx	.pdf	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/ABMex2023-Mexico-Questionnaire-V9.2.3.0-Spa-230511-W.pdf	0cf179c783d74f779eb7b0f0d880a59d6bfbd0c4ae53e394563f7a26c954b2d2	lapop_abmex2023_cuestionario_mexico	(sin-raiz-declarada)	DECLARADO-OTRA-RAIZ	.pdf	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/AGEs 125 - Alumnos 10.pdf	27af792f50294b987c6c06e18ae34c3edaa435305a351c673f049352b3d92dff	ages_125_alumnos_10	descargas_mx	DECLARADO-descargas_mx	.pdf	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/AGEs 125 - Directores 10.pdf	3827e3d47e2a439e95ee99fde5c8fbc80dd77ce70bccdc9627d5922f5e23a058	ages_125_directores_10	descargas_mx	DECLARADO-descargas_mx	.pdf	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/AGEs 125 - Maestros 10.pdf	d6fa16934f75a66c5a59228001813a7fce9e439b188fdd6c86b4cb79f490e605	ages_125_maestros_10	descargas_mx	DECLARADO-descargas_mx	.pdf	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/AGEs 125 - Padres 10.pdf	83c1b7f7dc2aeda91ee872b7300a219a3e0432a0ce9a6dff203dca0d9e72a8a5	ages_125_padres_10	descargas_mx	DECLARADO-descargas_mx	.pdf	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/ASQ Questionnaires.zip	3ea807864522a499f2611e2936693e8b64263472d34a5c1fb2efe21ac6d669de	wb2661_asq_questionnaires	(sin-raiz-declarada)	DECLARADO-OTRA-RAIZ	.zip	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/DataDetails.xls	2b88ef960078381b9ecdc439bd57a5f1c1e06da81cb9caac21f16b9cfca343c3	datadetails	descargas_mx	DECLARADO-descargas_mx	.xls	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/DecAnuaTipCon (1).xls	5965d4afc9a92c266782883a528aac4c35f57f29d781e7bd0fce3bb3aaeb4f3e	decanuatipcon	descargas_mx	DECLARADO-descargas_mx	.xls	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/DecAnuaTipCon.xls	5965d4afc9a92c266782883a528aac4c35f57f29d781e7bd0fce3bb3aaeb4f3e	decanuatipcon	descargas_mx	DECLARADO-descargas_mx	.xls	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/DescargaMasiva_1382026_134046.zip	16813631ba7be8af0ed5a0bf023e767903087f5992a6f2a1bccac8c75afb71c1	descargamasiva_1382026_134046	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/FORMATO_9_Impuesto.xls	2735dc81c236fc27533a26da51bc2bbfb5b8bc436da9a2fa8e9dd2ca5f0efa46	formato_9_impuesto	descargas_mx	DECLARADO-descargas_mx	.xls	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/FirEleNumcert.xls	e813b6c12d613a33f1ecbd41533969461c066e92c5a051f100b4b8b7da2b7566	firelenumcert	descargas_mx	DECLARADO-descargas_mx	.xls	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/FirEleNumcontri.xls	dce5a06c278cf8f5e85c8b68ba03e500342f3768199a9ce232b4f30a22a23386	firelenumcontri	descargas_mx	DECLARADO-descargas_mx	.xls	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/GPS_Dataset.zip	00bbf0b335df3a6ec2d55e98c364c271ade4da6afda16cc6fa41f1605e51da44	gps_dataset	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/GPS_Questionnaires.zip	ef0b2070e8d837cd2fa8200441b087a5e5a024a9351c1b0a5ed9becf08b80e41	gps_questionnaires	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/GPS_dataset_country_level.zip	6f453e8dffdf41b2f854e4ef287b377651ae8de6a9da93439b03f927e21e4074	gps_dataset_country_level	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/IngresosTributarios.xls	e4eca9de12732a5a911fba495879b202254c4f594cf85a41f5e71563141621b3	ingresostributarios	descargas_mx	DECLARADO-descargas_mx	.xls	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/LICENSE.txt	df9617509f34b9cbe7e8112356cb9f2a3152daeea5921c6c31df17b98518c0c2	license	descargas_mx	DECLARADO-descargas_mx	.txt	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/MEX_2010_IEPEP_v01_M_v01_A_PUF.xml	1be3954374452925c0687f8277536cb9a2756f7eabf24eefe5463cd74a552e7b	mex_2010_iepep_v01_m_v01_a_puf	descargas_mx	DECLARADO-descargas_mx	.xml	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/MEX_2010_IEPEP_v01_M_v01_A_PUF_ASCII_SAS.zip	8e245bd56744407ed9730abc1f01db7fdfa5ef1c0710988653c4f721ca10782b	mex_2010_iepep_v01_m_v01_a_puf_ascii_sas	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/MEX_2010_IEPEP_v01_M_v01_A_PUF_ASCII_SPSS.zip	6a214a241bcb70e5d08123771e3a070eb213064a76d9764b008fd57ac30e5331	mex_2010_iepep_v01_m_v01_a_puf_ascii_spss	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/MEX_2010_IEPEP_v01_M_v01_A_PUF_SPSS.zip	567e024217b6ff3a095ba2e9cd92cddba7e45e1b4c56bcaa7cec8ac7e3959dc6	mex_2010_iepep_v01_m_v01_a_puf_spss	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/MEX_2010_IEPEP_v01_M_v01_A_PUF_STATA8.zip	9b1777f4cc49d69381bd911f87ed770e33a351eb0dd44a174796b783b1ce6c43	mex_2010_iepep_v01_m_v01_a_puf_stata8	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/MEX_2011_LFEPIE_v01_M.xml	c7ae3180b897a65982aa2c49fdbc96671687867e54d69487f3771ff9545461f4	mex_2011_lfepie_v01_m	descargas_mx	DECLARADO-descargas_mx	.xml	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/MEX_2011_LFEPIE_v01_M_ASCII_SAS_SPSS.zip	5d6dcb6137344c0ab041a4627561ba4a74b4dd060089980e68bec4eba986fe01	mex_2011_lfepie_v01_m_ascii_sas_spss	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/MEX_2011_LFEPIE_v01_M_SPSS.zip	cbebbf0faf1375ea2cf7d2e73ed995f11288e6ab6969dc1ddcbbdfbe6289a69c	mex_2011_lfepie_v01_m_spss	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/MEX_2011_LFEPIE_v01_M_Stata8.zip	765dc43b7d556723ca358002e4b479f774f7b6e502ea086c8e182f76382efb8b	mex_2011_lfepie_v01_m_stata8	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/MEX_2012-2014_ECEPIE_v01_M_v01_A_PUF (1).xml	714056e1f36d52bc08236cf3c0a6fe084055db1fa3d9bb86d6b9903c954b33cf	mex_2012_2014_ecepie_v01_m_v01_a_puf	descargas_mx	DECLARADO-descargas_mx	.xml	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/MEX_2012-2014_ECEPIE_v01_M_v01_A_PUF.xml	714056e1f36d52bc08236cf3c0a6fe084055db1fa3d9bb86d6b9903c954b33cf	mex_2012_2014_ecepie_v01_m_v01_a_puf	descargas_mx	DECLARADO-descargas_mx	.xml	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/MEX_2012-2014_ECEPIE_v01_M_v01_A_PUF_SAS_SPSS_ASCII.zip	c528dce803fae07b8439c61e4c5068bae4583144ce1f2199cbfe033ac34ef086	mex_2012_2014_ecepie_v01_m_v01_a_puf_sas_spss_ascii	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/MEX_2012-2014_ECEPIE_v01_M_v01_A_PUF_SPSS.zip	2e6cf60b874b261e9831a1ae6b32c4f193788a1a7416bf6587d2a420c8ccde91	mex_2012_2014_ecepie_v01_m_v01_a_puf_spss	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/MEX_2012-2014_ECEPIE_v01_M_v01_A_PUF_Stata12 - without unique Spanish characters.zip	7ad557106f1cb1e5c57ec2a96c4375a53fb5acd134b31c8d7e677493b732009f	mex_2012_2014_ecepie_v01_m_v01_a_puf_stata12_without_unique_spanish_characters	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/MEX_2012-2014_ECEPIE_v01_M_v01_A_PUF_Stata12-with unique Spanish characters.zip	e2d9c865a83d6e411d9058f8a00f63171ee6bf601231d4c46559c134a3f74134	mex_2012_2014_ecepie_v01_m_v01_a_puf_stata12_with_unique_spanish_characters	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/MEX_2021_LAPOP_AmericasBarometer_v1.2_w.dta	153fb0f81acfffb41bbe247b7fce81159350e1fdfcb342a14bb034bcb7d95566	mex_2021_lapop_americasbarometer_v1_2_w	descargas_mx	DECLARADO-descargas_mx	.dta	DESPACHADO-EXT	1
Descargas Manuales/MEX_2023_LAPOP_AmericasBarometer_v1.0_w (1).dta	4a9410a53cde9d11edeb23465bdbadce8a6abcc18330b6eebe2a4493be6e765c	mex_2023_lapop_americasbarometer_v1_0_w	descargas_mx	DECLARADO-descargas_mx	.dta	DESPACHADO-EXT	1
Descargas Manuales/MEX_2023_LAPOP_AmericasBarometer_v1.0_w.dta	4a9410a53cde9d11edeb23465bdbadce8a6abcc18330b6eebe2a4493be6e765c	mex_2023_lapop_americasbarometer_v1_0_w	descargas_mx	DECLARADO-descargas_mx	.dta	DESPACHADO-EXT	1
Descargas Manuales/MEX_2023_LAPOP_AmericasBarometer_v1.0_w.sav	a355e4ca93476d66a4138ec7f565574214fbba517de219d71ff1c2851a61fa2a	mex_2023_lapop_americasbarometer_v1_0_w_2	descargas_mx	DECLARADO-descargas_mx	.sav	DESPACHADO-EXT	1
Descargas Manuales/MEX_PILP_TB_v1.xlsx	240986e507bc445592da2641a5d640360e8204c3ed65b09ca60922100d97fae7	mex_pilp_tb_v1	descargas_mx	DECLARADO-descargas_mx	.xlsx	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/MM_users_manual_0515.pdf	03541007078e661e4df11863f5c62fbe9adb3f745e91547446d05737fcf7cd45	mm_users_manual_0515	descargas_mx	DECLARADO-descargas_mx	.pdf	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/Mexico LAPOP AmericasBarometer 2019 v1.0_W.dta	c88f79ebb8e73c473cd78d894eb093261f172e736a35bd7bc677b4e8b1454a57	mexico_lapop_americasbarometer_2019_v1_0_w	descargas_mx	DECLARADO-descargas_mx	.dta	DESPACHADO-EXT	1
Descargas Manuales/Mexico LAPOP AmericasBarometer 2019_Codebook_v1.0_W.pdf	4efa5809c3fde487516a60acf782f013444889a775bf368745c8da577cba75ce	mexico_lapop_americasbarometer_2019_codebook_v1_0_w	descargas_mx	DECLARADO-descargas_mx	.pdf	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/Mexico_AmericasBarometer_2018-19_Technical_Report_W_100919.pdf	35aa8f4b2f2a2aae613ae6e4b7e0ee47278bfc33869568e84f708da9affb544f	mexico_americasbarometer_2018_19_technical_report_w_100919	descargas_mx	DECLARADO-descargas_mx	.pdf	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/Mexico_SynthesisReport.pdf	e00f981f5f15eb1e11721c05950d5aa922c8a53fe7a4aa0172f1aa953a4d3446	mexico_synthesisreport	descargas_mx	DECLARADO-descargas_mx	.pdf	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/NumPagTipCon.xls	0a146752161565c5aa771270b933e5be4b66a08e3ba94a5f8039a025d20d6ede	numpagtipcon	descargas_mx	DECLARADO-descargas_mx	.xls	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/NumPagosMedRec.xls	975b8f73b19f5481f4adaf1527f98fa6f12aa0c97db028a680acaf1d0b9da9e8	numpagosmedrec	descargas_mx	DECLARADO-descargas_mx	.xls	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/PorEntFed.xls	51f79b5a2d9191b9760261be32bb66dcb9664ad7a95fdaf2ef181314c72458a2	porentfed	descargas_mx	DECLARADO-descargas_mx	.xls	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/PorTipoContribuyente.xls	d14769a74c4adef63462cbcd278086d3a66b7bac93a031185694e57ebd915b1e	portipocontribuyente	descargas_mx	DECLARADO-descargas_mx	.xls	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/TC-OECD-Trust-Survey-PUM-2021-2023-2025.docx	4a3ac6d704caa67e1a4dfc702b5a38747a56eb48e086d3aae4c14814601af915	tc_oecd_trust_survey_pum_2021_2023_2025	descargas_mx	DECLARADO-descargas_mx	.docx	SIN-EXTRACTOR-DECLARADO	1
Descargas Manuales/dataverse_files.zip	6358fb5ef7aaafaa186940591c27bd4fc52c66ecca37e3e9381040c270a4096d	dataverse_files	descargas_mx	DECLARADO-descargas_mx	.zip	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/ddi-documentation-english_microdata-2049.pdf	8a52a2866e0cb19cf3e6b95d74c8e3edeaa75d386d7edd2dad7a8fb672e2216f	ddi_documentation_english_microdata_2049	descargas_mx	DECLARADO-descargas_mx	.pdf	DESPACHADO-INSPECT_ASSETS	1
Descargas Manuales/ddi-documentation-english_microdata-2661.pdf	98e6a7af6f136f44aa70bacf3d9d861cbe013f7f04a6b2f54db53d39007eec68	ddi_documentation_english_microdata_2661	descargas_mx	DECLARADO-descargas_mx	.pdf	DESPACHADO-INSPECT_ASSETS	1
