id	comando	salida_resumida	veredicto	cita	espera_real
NC-0433	grep enif_2012_cuestionario_pdf/enif_2015_cuestionario_pdf data/manifiesto.yaml; conteo veredicto 2012/2015 en data/credito-comparabilidad-texto-v1_1.tsv	cuestionarios en el manifiesto; 16/16 filas con veredicto (CAMBIO-MENOR 10, CAMBIO-DE-INSTRUMENTO 4, NO-ESTIMABLE 2)	RESUELTO-ANTES	#975 (9870f312)	NINGUNA-YA-OCURRIO
NC-0432	python3 -c tablero_programa._celdas_d_adjudicadas()	GOB.gobierno_digital.encig2025.edad_x_escolaridad 15 FALSADOR-DEBIL ya cuenta: cruce_vs_R 35 = 8+15+12; CALC-GOB-DIGITAL-EXE-ADJUDICACION-0001 SELLADA REPRODUCE	RESUELTO-ANTES	#961 (sello); #969 (89d0c9b1, metrica)	NINGUNA-YA-OCURRIO
NC-0437	find -L data/raw -name enif_2024_bd_csv.zip; sha256sum	data/raw/enif_2024_bd_csv.zip sha256 00e4b0b4… COINCIDE con data/manifiesto.yaml: el payload esta en el corpus compartido	RESUELTO	nota §2.3	CAJA
NC-0447	tools/verifica_aislada.py <CALC> (proceso nuevo) para los 4; asiento por append	EDER2017-...-0002, ENFIH2019-...-0001, ENFIH2019-...-0002, WBES2023-PRECISION-INTERACCIONES-0001: REPRODUCE/IDENTICO; asentadas y publicadas por registro --escribe --lote	RESUELTO	forense/notas/2026-09-22-GEN2-PENDIENTES-CAJA-1-evidencia-replay.json	CAJA
NC-0448	ls data/corrida0/CALC-ARBITRO-MARGINALES-*	el arbitro ya se re-midio en GEN2 (ARBITRO-MARGINALES-1/-2, 6 CALC); que las 4 celdas de 3D lo consuman en vez del legacy es adopcion	DE-MESA	#971; #989; FP-…-ed7d-02	MESA
NC-260921-GEN2-CUADERNO-DE-MESA-1-b6dc-03	gh api repos/.../rulesets/20030401; .../actions/permissions/workflow	(a) respondida: main la protege el ruleset «main protegida» (check requerido «check», no estricto; non_fast_forward; bypass solo rol admin via PR); GITHUB_TOKEN read por defecto. (b) auditoria de 16 commits: solo si mesa la pide	DE-MESA	nota §3.2	MESA
NC-260921-GEN2-DIN-LOTE-ENIF2024-A-a98a-02	ls forense/prereg-caja | grep LOTE; ls data/corrida0/CALC-DIN-LOTE-ENIF2024-EMISIONES-0001	spec v1_0 congelada y CALC sellado (COMMIT-1 #979; COMMIT-2/3 #986)	RESUELTO-ANTES	#979 (7105a567)	NINGUNA-YA-OCURRIO
NC-260921-GEN2-DIN-LOTE-ENIF2024-COMMIT-1-6c10-02	grep -c ensayo tools/corrida0.py; corrida0 --help	0; el subcomando ensayo sigue sin existir. Es TUBERIA, no caja	VIGENTE-CAJA	FP-260921-GEN2-TRAMITE-FIRMAS-4-8a1f-04	TUBERIA
NC-260921-GEN2-ENIGH2024-RESERVA-Y-DISENO-1-b7ae-01	grep enigh2024_cuest_* data/manifiesto.yaml; ls data/enigh-comparabilidad-texto-v1_0.tsv	cuestionarios y descriptor ENIGH 2024 en el manifiesto (7379f5dc); comparabilidad 2022→2024 por texto hecha en tabla propia (13/14 MISMO-INSTRUMENTO) antes del COMMIT-1	RESUELTO-ANTES	#977 (7379f5dc); #988 (b6ad7ada)	NINGUNA-YA-OCURRIO
NC-260921-GEN2-ENUT-PISOS-Y-SERIE-1-308c-01	awk FP 308c-01 forense/firmas-pendientes.tsv	espera la decision (b) de FP-…-308c-01; el sucesor en caja seria medicion nueva	DE-MESA	FP-260921-GEN2-ENUT-PISOS-Y-SERIE-1-308c-01	MESA
NC-260921-GEN2-MARCADOR-E-INFORME-1-48d4-03	lectura de la fila	un IC que la corrida no sello no se reconstruye; espera a quien re-corra esas familias con IC declarado	VIGENTE-CAJA	forense/no-corrido.tsv	MEDICION-NUEVA
NC-260921-GEN2-MARCADOR-E-INFORME-1-48d4-04	python3 -c import scipy	scipy 1.16.3 en caja: el Clopper-Pearson exacto ya es posible aqui; el intervalo con replicas compartidas sigue siendo medicion nueva	VIGENTE-CAJA	forense/no-corrido.tsv	MEDICION-NUEVA
NC-260921-GEN2-TRAMITE-FIRMAS-5-958c-05	python3 tests/check.py --rapido (incluye T30/T-YAMEDIDO); gh pr checks 996	0 FAIL · 296 WARN en esta caja; check del CI pass en #996. T16 retirado por P-A	RESUELTO-ANTES	#980 (bf06b7b9, retiro de T16)	NINGUNA-YA-OCURRIO
NC-260921-GEN2-TUBERIA-CIERRE-RAPIDO-1-baca-01	gh api .../branches/main/protection; .../rulesets; .../actions/permissions/workflow; gh pr checks 994	(i) no exige ramas al dia (strict_required_status_checks_policy=false); (ii) GITHUB_TOKEN read por defecto y github-actions no esta en bypass_actors: un job no empuja a main sin cambiar ambos; (iii) el CI de un PR se lee con gh	RESUELTO	nota §3.2	CAJA
NC-260921-GEN2-TUBERIA-CIERRE-RAPIDO-1-baca-02	lectura de la fila	acto sucesor de P-B (TUBERIA); no espera a caja	VIGENTE-CAJA	forense/no-corrido.tsv	TUBERIA
NC-260921-GEN2-TUBERIA-CIERRE-RAPIDO-1-baca-03	lectura de la fila	acto sucesor de P-C (TUBERIA); no espera a caja	VIGENTE-CAJA	forense/no-corrido.tsv	TUBERIA
NC-260921-GEN2-TUBERIA-CIERRE-RAPIDO-1-baca-04	lectura de la fila; respuesta P0(ii) de baca-01	su dependencia P0(ii) ya tiene respuesta medida (baca-01); sigue siendo acto sucesor de P-D (TUBERIA)	VIGENTE-CAJA	forense/no-corrido.tsv	TUBERIA
NC-260921-GEN2-TUBERIA-RES-LLAVE-1-5573-03	gh api repos/.../actions/jobs/106839041688/logs (PR #994, job guardas-res)	[PASA] G1 … [PASA] G6 contra refs/remotes/origin/base; guardas_corridas = 6 · fallas = 0	RESUELTO-ANTES	CI de #994 (run 35755069010)	NINGUNA-YA-OCURRIO
NC-260921-GEN2-TUBERIA-SIDECAR-CUERPO-1-3d08-02	lectura de la fila	solo mesa tiene el texto de las dos adendas	HUMANO	nota §4 receta H5	HUMANO
