# DERIVADO -- censo de identidad emisor <-> arbitro. ACTO GEN2-EMISOR-ESTADO-1 P1 (sucesor de NC-0275).
# FUENTES: milpa/tramite.yaml (emisor) y milpa/tramite-ola5-propuesta-v0.yaml (arbitro sellado), leidos en la base 1a6a530.
# CERO CIFRAS NUEVAS: cada `p` de este archivo ya estaba sellado en uno de esos dos YAML. Ninguno de los dos se modifica.
# METODO (verbatim en la nota de cierre del acto): la contraparte de ENTRADA se resuelve por el `id` que el `origen:` del emisor cita, por el bloque anidado que nombra, o por el id de la regla base -- NUNCA por el rango de linea, que esta DESFASADO. La contraparte de CELDA se resuelve por etiqueta identica, por `eje::celda`, o por token discriminante unico; un empate se deja SIN-CONTRAPARTE y no se adivina (A.15).
# p_arbitro marcado `(complemento)`: el arbitro asienta 1-p para la conducta complementaria. Es el MISMO numero medido.
regla	salida	celda	p_emisor	p_arbitro	instrumento_ola_emisor	instrumento_ola_arbitro	origen_linea	veredicto
tramite.mordida.con_registro	enmienda_encig2025_r2	paga_mordida_encig2025_presencial_r2	0.141041	0.141041	ENCIG 2025 (recorrida sin deduplicar, ACTO MAESTRA35-L1)	ENCIG 2025 (única ola con esta variable de canal examinada por este acto; no se buscó en 2	tramite.yaml:221	IDENTICO
tramite.mordida.con_registro	enmienda_encig2025_r2	tramite_normal_encig2025_presencial_r2	0.858959	0.141041 (complemento)	ENCIG 2025 (recorrida sin deduplicar, ACTO MAESTRA35-L1)	ENCIG 2025 (única ola con esta variable de canal examinada por este acto; no se buscó en 2	tramite.yaml:221	IDENTICO
tramite.mordida.con_registro	enmienda_encig2025_r2	paga_mordida_encig2025_digital_r2	0.029868	0.029868	ENCIG 2025 (recorrida sin deduplicar, ACTO MAESTRA35-L1)	ENCIG 2025 (única ola con esta variable de canal examinada por este acto; no se buscó en 2	tramite.yaml:221	IDENTICO
tramite.mordida.con_registro	enmienda_encig2025_r2	tramite_normal_encig2025_digital_r2	0.970132	0.029868 (complemento)	ENCIG 2025 (recorrida sin deduplicar, ACTO MAESTRA35-L1)	ENCIG 2025 (única ola con esta variable de canal examinada por este acto; no se buscó en 2	tramite.yaml:221	IDENTICO
tramite.gobierno_digital.util_sin_coercion	enmienda_encig2025	adopta_encig2025_luz	0.673393	0.673393	ENCIG 2025 (pago ordinario del servicio de luz, N_TRA=01)	ENCIG 2025 (P7_3 es la variable de canal; la seccion X de gobierno electronico no sirve pa	tramite.yaml:422	IDENTICO
tramite.gobierno_digital.util_sin_coercion	enmienda_encig2025	rechaza_servicio_encig2025_luz	0.326607	0.326607	ENCIG 2025 (pago ordinario del servicio de luz, N_TRA=01)	ENCIG 2025 (P7_3 es la variable de canal; la seccion X de gobierno electronico no sirve pa	tramite.yaml:422	IDENTICO
tramite.gobierno_digital.util_sin_coercion	segmentacion_ejes_encig2025	sexo::1 Hombre	0.681276	0.681276	ENCIG 2025 · encig2025_04_sec_7.csv · unidad = TRÁMITE (quien pagó doce veces contribuye d	ENCIG 2025 · encig2025_04_sec_7.csv · unidad = TRÁMITE (quien pagó doce veces contribuye d	tramite.yaml:441	IDENTICO
tramite.gobierno_digital.util_sin_coercion	segmentacion_ejes_encig2025	sexo::2 Mujer	0.665192	0.665192	ENCIG 2025 · encig2025_04_sec_7.csv · unidad = TRÁMITE (quien pagó doce veces contribuye d	ENCIG 2025 · encig2025_04_sec_7.csv · unidad = TRÁMITE (quien pagó doce veces contribuye d	tramite.yaml:441	IDENTICO
tramite.gobierno_digital.util_sin_coercion	segmentacion_ejes_encig2025	edad::18-29	0.751812	0.751812	ENCIG 2025 · encig2025_04_sec_7.csv · unidad = TRÁMITE (quien pagó doce veces contribuye d	ENCIG 2025 · encig2025_04_sec_7.csv · unidad = TRÁMITE (quien pagó doce veces contribuye d	tramite.yaml:441	IDENTICO
tramite.gobierno_digital.util_sin_coercion	segmentacion_ejes_encig2025	edad::30-44	0.774735	0.774735	ENCIG 2025 · encig2025_04_sec_7.csv · unidad = TRÁMITE (quien pagó doce veces contribuye d	ENCIG 2025 · encig2025_04_sec_7.csv · unidad = TRÁMITE (quien pagó doce veces contribuye d	tramite.yaml:441	IDENTICO
tramite.gobierno_digital.util_sin_coercion	segmentacion_ejes_encig2025	edad::45-59	0.669153	0.669153	ENCIG 2025 · encig2025_04_sec_7.csv · unidad = TRÁMITE (quien pagó doce veces contribuye d	ENCIG 2025 · encig2025_04_sec_7.csv · unidad = TRÁMITE (quien pagó doce veces contribuye d	tramite.yaml:441	IDENTICO
tramite.gobierno_digital.util_sin_coercion	segmentacion_ejes_encig2025	edad::60+	0.475822	0.475822	ENCIG 2025 · encig2025_04_sec_7.csv · unidad = TRÁMITE (quien pagó doce veces contribuye d	ENCIG 2025 · encig2025_04_sec_7.csv · unidad = TRÁMITE (quien pagó doce veces contribuye d	tramite.yaml:441	IDENTICO
tramite.gobierno_digital.util_sin_coercion	segmentacion_ejes_encig2025	escolaridad::hasta primaria	0.391961	0.391961	ENCIG 2025 · encig2025_04_sec_7.csv · unidad = TRÁMITE (quien pagó doce veces contribuye d	ENCIG 2025 · encig2025_04_sec_7.csv · unidad = TRÁMITE (quien pagó doce veces contribuye d	tramite.yaml:441	IDENTICO
tramite.gobierno_digital.util_sin_coercion	segmentacion_ejes_encig2025	escolaridad::secundaria	0.564634	0.564634	ENCIG 2025 · encig2025_04_sec_7.csv · unidad = TRÁMITE (quien pagó doce veces contribuye d	ENCIG 2025 · encig2025_04_sec_7.csv · unidad = TRÁMITE (quien pagó doce veces contribuye d	tramite.yaml:441	IDENTICO
tramite.gobierno_digital.util_sin_coercion	segmentacion_ejes_encig2025	escolaridad::media superior	0.678563	0.678563	ENCIG 2025 · encig2025_04_sec_7.csv · unidad = TRÁMITE (quien pagó doce veces contribuye d	ENCIG 2025 · encig2025_04_sec_7.csv · unidad = TRÁMITE (quien pagó doce veces contribuye d	tramite.yaml:441	IDENTICO
tramite.gobierno_digital.util_sin_coercion	segmentacion_ejes_encig2025	escolaridad::superior	0.812944	0.812944	ENCIG 2025 · encig2025_04_sec_7.csv · unidad = TRÁMITE (quien pagó doce veces contribuye d	ENCIG 2025 · encig2025_04_sec_7.csv · unidad = TRÁMITE (quien pagó doce veces contribuye d	tramite.yaml:441	IDENTICO
tramite.evasion_norma	enmienda_envipe2025	evade_norma_envipe2025	0.562774	0.562774	report:politica	ENVIPE 2025 (BP1_20 x BP1_23 en tmod_vic; ENCUCI 2020 examinada y no elegida por medir act	tramite.yaml:519	IDENTICO
tramite.evasion_norma	enmienda_envipe2025	cumple_norma_envipe2025	0.437226	0.437226	report:politica	ENVIPE 2025 (BP1_20 x BP1_23 en tmod_vic; ENCUCI 2020 examinada y no elegida por medir act	tramite.yaml:519	IDENTICO
tramite.evasion_norma	segmentacion_ejes_envipe2025	sexo::1 Hombre	0.597383	0.597383	ENVIPE 2025 · tmod_vic · unidad = DELITO	ENVIPE 2025 · tmod_vic · unidad = DELITO	tramite.yaml:541	IDENTICO
tramite.evasion_norma	segmentacion_ejes_envipe2025	sexo::2 Mujer	0.530654	0.530654	ENVIPE 2025 · tmod_vic · unidad = DELITO	ENVIPE 2025 · tmod_vic · unidad = DELITO	tramite.yaml:541	IDENTICO
tramite.evasion_norma	segmentacion_ejes_envipe2025	edad::18-29	0.520035	0.520035	ENVIPE 2025 · tmod_vic · unidad = DELITO	ENVIPE 2025 · tmod_vic · unidad = DELITO	tramite.yaml:541	IDENTICO
tramite.evasion_norma	segmentacion_ejes_envipe2025	edad::30-44	0.580792	0.580792	ENVIPE 2025 · tmod_vic · unidad = DELITO	ENVIPE 2025 · tmod_vic · unidad = DELITO	tramite.yaml:541	IDENTICO
tramite.evasion_norma	segmentacion_ejes_envipe2025	edad::45-59	0.601214	0.601214	ENVIPE 2025 · tmod_vic · unidad = DELITO	ENVIPE 2025 · tmod_vic · unidad = DELITO	tramite.yaml:541	IDENTICO
tramite.evasion_norma	segmentacion_ejes_envipe2025	edad::60+	0.56602	0.56602	ENVIPE 2025 · tmod_vic · unidad = DELITO	ENVIPE 2025 · tmod_vic · unidad = DELITO	tramite.yaml:541	IDENTICO
tramite.evasion_norma	segmentacion_ejes_envipe2025	escolaridad_proxy::hasta primaria	0.493221	0.493221	ENVIPE 2025 · tmod_vic · unidad = DELITO	ENVIPE 2025 · tmod_vic · unidad = DELITO	tramite.yaml:541	IDENTICO
tramite.evasion_norma	segmentacion_ejes_envipe2025	escolaridad_proxy::secundaria	0.567369	0.567369	ENVIPE 2025 · tmod_vic · unidad = DELITO	ENVIPE 2025 · tmod_vic · unidad = DELITO	tramite.yaml:541	IDENTICO
tramite.evasion_norma	segmentacion_ejes_envipe2025	escolaridad_proxy::media superior	0.543368	0.543368	ENVIPE 2025 · tmod_vic · unidad = DELITO	ENVIPE 2025 · tmod_vic · unidad = DELITO	tramite.yaml:541	IDENTICO
tramite.evasion_norma	segmentacion_ejes_envipe2025	escolaridad_proxy::superior	0.590093	0.590093	ENVIPE 2025 · tmod_vic · unidad = DELITO	ENVIPE 2025 · tmod_vic · unidad = DELITO	tramite.yaml:541	IDENTICO
tramite.evasion_norma	segmentacion_ejes_envipe2025	dominio_urbano_rural::Rural	0.40331	0.40331	ENVIPE 2025 · tmod_vic · unidad = DELITO	ENVIPE 2025 · tmod_vic · unidad = DELITO	tramite.yaml:541	IDENTICO
tramite.evasion_norma	segmentacion_ejes_envipe2025	dominio_urbano_rural::Complemento urbano	0.52209	0.52209	ENVIPE 2025 · tmod_vic · unidad = DELITO	ENVIPE 2025 · tmod_vic · unidad = DELITO	tramite.yaml:541	IDENTICO
tramite.evasion_norma	segmentacion_ejes_envipe2025	dominio_urbano_rural::Urbano	0.592703	0.592703	ENVIPE 2025 · tmod_vic · unidad = DELITO	ENVIPE 2025 · tmod_vic · unidad = DELITO	tramite.yaml:541	IDENTICO
dinero.ahorro.tiene_ahorros	enmienda_enif2024	tiene_ahorros_enif2024	0.64208	0.64208	ENNViH ola 2 (2005-06) -- ponderador fac_3b vive en esta ola; ENIF 2024 -- ponderador FAC_	ENIF 2024 (seccion 5 AHORRO INFORMAL Y FORMAL; periodo de referencia junio 2023 a la fecha	tramite.yaml:681	IDENTICO
dinero.ahorro.tiene_ahorros	enmienda_enif2024	no_tiene_ahorros_enif2024	0.35792	0.35792	ENNViH ola 2 (2005-06) -- ponderador fac_3b vive en esta ola; ENIF 2024 -- ponderador FAC_	ENIF 2024 (seccion 5 AHORRO INFORMAL Y FORMAL; periodo de referencia junio 2023 a la fecha	tramite.yaml:681	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	ahorra_solo_informal::sexo::1 Hombre	0.332489	0.332489	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	ahorra_solo_informal::sexo::2 Mujer	0.378523	0.378523	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	ahorra_solo_informal::edad::18-29	0.432063	0.432063	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	ahorra_solo_informal::edad::30-44	0.375709	0.375709	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	ahorra_solo_informal::edad::45-59	0.327505	0.327505	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	ahorra_solo_informal::edad::60+	0.277317	0.277317	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	ahorra_solo_informal::escolaridad::hasta primaria	0.351594	0.351594	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	ahorra_solo_informal::escolaridad::secundaria	0.415635	0.415635	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	ahorra_solo_informal::escolaridad::media superior	0.389338	0.389338	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	ahorra_solo_informal::escolaridad::superior	0.260438	0.260438	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	ahorra_solo_informal::localidad::menor de 15 000	0.409255	0.409255	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	ahorra_solo_informal::localidad::15 000 y mas	0.329868	0.329868	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	ahorra_solo_informal::formalidad::sin seguridad social	0.413689	0.413689	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	ahorra_solo_informal::formalidad::con seguridad social	0.309328	0.309328	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	ahorra_solo_informal::cuenta_formal::sin cuenta	0.493506	0.493506	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	ahorra_solo_informal::cuenta_formal::con cuenta	0.285463	0.285463	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	informal_cualquiera::sexo::1 Hombre	0.559453	0.559453	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	informal_cualquiera::sexo::2 Mujer	0.564057	0.564057	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	informal_cualquiera::edad::18-29	0.704945	0.704945	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	informal_cualquiera::edad::30-44	0.625016	0.625016	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	informal_cualquiera::edad::45-59	0.495258	0.495258	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	informal_cualquiera::edad::60+	0.380402	0.380402	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	informal_cualquiera::escolaridad::hasta primaria	0.414094	0.414094	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	informal_cualquiera::escolaridad::secundaria	0.556479	0.556479	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	informal_cualquiera::escolaridad::media superior	0.637788	0.637788	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	informal_cualquiera::escolaridad::superior	0.640107	0.640107	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	informal_cualquiera::localidad::menor de 15 000	0.549481	0.549481	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	informal_cualquiera::localidad::15 000 y mas	0.568433	0.568433	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	informal_cualquiera::formalidad::sin seguridad social	0.60406	0.60406	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	informal_cualquiera::formalidad::con seguridad social	0.644733	0.644733	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	informal_cualquiera::cuenta_formal::sin cuenta	0.493506	0.493506	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
dinero.ahorro.tiene_ahorros	segmentacion_ejes_enif2024	informal_cualquiera::cuenta_formal::con cuenta	0.597889	0.597889	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	tramite.yaml:712	IDENTICO
familia.seguro.volatilidad_ausencia_estado	enmienda_procedencia_enigh2022	recibe_remesas	0.045694	0.045694	ENIGH 2022 (punto usado por estas dos conductas; las demás olas quedan como serie separada	ENIGH 2022 (mas reciente de 6 olas bienales disponibles; las otras 5 van en serie_olas, NO	tramite.yaml:936	IDENTICO
familia.seguro.volatilidad_ausencia_estado	enmienda_procedencia_enigh2022	no_recibe_remesas	0.954306	0.954306	ENIGH 2022 (punto usado por estas dos conductas; las demás olas quedan como serie separada	ENIGH 2022 (mas reciente de 6 olas bienales disponibles; las otras 5 van en serie_olas, NO	tramite.yaml:936	IDENTICO
familia.union.libre	segmentacion_ejes_eder2017_enadid2023	cohorte_eder2017::1961-1970	0.304657	0.304657	EDER 2017 (primera unión por cohorte) + ENADID 2023 (prevalencia actual por edad, cross-va	EDER 2017 · historiavida.csv (panel retrospectivo persona-año) · unidad = PERSONA	tramite.yaml:1047	IDENTICO
familia.union.libre	segmentacion_ejes_eder2017_enadid2023	cohorte_eder2017::1971-1980	0.390166	0.390166	EDER 2017 (primera unión por cohorte) + ENADID 2023 (prevalencia actual por edad, cross-va	EDER 2017 · historiavida.csv (panel retrospectivo persona-año) · unidad = PERSONA	tramite.yaml:1047	IDENTICO
familia.union.libre	segmentacion_ejes_eder2017_enadid2023	cohorte_eder2017::1981-1990	0.572448	0.572448	EDER 2017 (primera unión por cohorte) + ENADID 2023 (prevalencia actual por edad, cross-va	EDER 2017 · historiavida.csv (panel retrospectivo persona-año) · unidad = PERSONA	tramite.yaml:1047	IDENTICO
familia.union.libre	segmentacion_ejes_eder2017_enadid2023	cohorte_eder2017::1991+	0.772924	0.772924	EDER 2017 (primera unión por cohorte) + ENADID 2023 (prevalencia actual por edad, cross-va	EDER 2017 · historiavida.csv (panel retrospectivo persona-año) · unidad = PERSONA	tramite.yaml:1047	IDENTICO
familia.union.libre	segmentacion_ejes_eder2017_enadid2023	edad_enadid2023::18-29	0.6992	SIN-CONTRAPARTE	EDER 2017 (primera unión por cohorte) + ENADID 2023 (prevalencia actual por edad, cross-va	EDER 2017 · historiavida.csv (panel retrospectivo persona-año) · unidad = PERSONA	tramite.yaml:1047	SIN-CONTRAPARTE
familia.union.libre	segmentacion_ejes_eder2017_enadid2023	edad_enadid2023::30-44	0.4166	SIN-CONTRAPARTE	EDER 2017 (primera unión por cohorte) + ENADID 2023 (prevalencia actual por edad, cross-va	EDER 2017 · historiavida.csv (panel retrospectivo persona-año) · unidad = PERSONA	tramite.yaml:1047	SIN-CONTRAPARTE
familia.union.libre	segmentacion_ejes_eder2017_enadid2023	edad_enadid2023::45-59	0.2386	SIN-CONTRAPARTE	EDER 2017 (primera unión por cohorte) + ENADID 2023 (prevalencia actual por edad, cross-va	EDER 2017 · historiavida.csv (panel retrospectivo persona-año) · unidad = PERSONA	tramite.yaml:1047	SIN-CONTRAPARTE
familia.union.libre	segmentacion_ejes_eder2017_enadid2023	edad_enadid2023::60+	0.1267	SIN-CONTRAPARTE	EDER 2017 (primera unión por cohorte) + ENADID 2023 (prevalencia actual por edad, cross-va	EDER 2017 · historiavida.csv (panel retrospectivo persona-año) · unidad = PERSONA	tramite.yaml:1047	SIN-CONTRAPARTE
familia.cuidado.recae_mujeres_40mas	segmentacion_ejes_enut2024	sexo_edad::hombre · 12-17	4.528743	4.528743	ENUT 2024	ENUT 2024 · tvar_crea.csv (variables ya agregadas, definición horas_cuidado reusada sin re	tramite.yaml:1106	IDENTICO
familia.cuidado.recae_mujeres_40mas	segmentacion_ejes_enut2024	sexo_edad::mujer · 12-17	6.695296	6.695296	ENUT 2024	ENUT 2024 · tvar_crea.csv (variables ya agregadas, definición horas_cuidado reusada sin re	tramite.yaml:1106	IDENTICO
familia.cuidado.recae_mujeres_40mas	segmentacion_ejes_enut2024	sexo_edad::hombre · 18-29	6.097654	6.097654	ENUT 2024	ENUT 2024 · tvar_crea.csv (variables ya agregadas, definición horas_cuidado reusada sin re	tramite.yaml:1106	IDENTICO
