celda_d	sub_celda	calc	resultado_puntual	clase_censo	origen_resolvedor_mecanico	cadena_del_punto	control_numerico
GOB.gobierno_digital.encig2025.edad_x_escolaridad	18-29xMEDIA-SUPERIOR	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-18-29-MEDIA-SUPERIOR-C2-P	NUEVO	NUEVO	medidor.py:315-404 (CALC-GOB-DIGITAL-EXE-EMISIONES-0002) compone C2 desde marginales de encig25_base_datos_csv (manifiesto) replica por replica; c2_compuesto_resultados solo alimenta -CONTROL-C2COMP-P; fila origen: de mesa en decisiones.tsv	punto re-estimado desde microdato ENCIG 2025
GOB.gobierno_digital.encig2025.edad_x_escolaridad	18-29xSUPERIOR	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-18-29-SUPERIOR-C2-P	NUEVO	NUEVO	medidor.py:315-404 (CALC-GOB-DIGITAL-EXE-EMISIONES-0002) compone C2 desde marginales de encig25_base_datos_csv (manifiesto) replica por replica; c2_compuesto_resultados solo alimenta -CONTROL-C2COMP-P; fila origen: de mesa en decisiones.tsv	punto re-estimado desde microdato ENCIG 2025
GOB.gobierno_digital.encig2025.edad_x_escolaridad	30-44xHASTA-PRIMARIA	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-30-44-HASTA-PRIMARIA-C2-P	NUEVO	NUEVO	medidor.py:315-404 (CALC-GOB-DIGITAL-EXE-EMISIONES-0002) compone C2 desde marginales de encig25_base_datos_csv (manifiesto) replica por replica; c2_compuesto_resultados solo alimenta -CONTROL-C2COMP-P; fila origen: de mesa en decisiones.tsv	punto re-estimado desde microdato ENCIG 2025
GOB.gobierno_digital.encig2025.edad_x_escolaridad	30-44xSECUNDARIA	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-30-44-SECUNDARIA-C2-P	NUEVO	NUEVO	medidor.py:315-404 (CALC-GOB-DIGITAL-EXE-EMISIONES-0002) compone C2 desde marginales de encig25_base_datos_csv (manifiesto) replica por replica; c2_compuesto_resultados solo alimenta -CONTROL-C2COMP-P; fila origen: de mesa en decisiones.tsv	punto re-estimado desde microdato ENCIG 2025
GOB.gobierno_digital.encig2025.edad_x_escolaridad	30-44xMEDIA-SUPERIOR	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-30-44-MEDIA-SUPERIOR-C2-P	NUEVO	NUEVO	medidor.py:315-404 (CALC-GOB-DIGITAL-EXE-EMISIONES-0002) compone C2 desde marginales de encig25_base_datos_csv (manifiesto) replica por replica; c2_compuesto_resultados solo alimenta -CONTROL-C2COMP-P; fila origen: de mesa en decisiones.tsv	punto re-estimado desde microdato ENCIG 2025
GOB.gobierno_digital.encig2025.edad_x_escolaridad	30-44xSUPERIOR	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-30-44-SUPERIOR-C2-P	NUEVO	NUEVO	medidor.py:315-404 (CALC-GOB-DIGITAL-EXE-EMISIONES-0002) compone C2 desde marginales de encig25_base_datos_csv (manifiesto) replica por replica; c2_compuesto_resultados solo alimenta -CONTROL-C2COMP-P; fila origen: de mesa en decisiones.tsv	punto re-estimado desde microdato ENCIG 2025
GOB.gobierno_digital.encig2025.edad_x_escolaridad	45-59xHASTA-PRIMARIA	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-45-59-HASTA-PRIMARIA-C2-P	NUEVO	NUEVO	medidor.py:315-404 (CALC-GOB-DIGITAL-EXE-EMISIONES-0002) compone C2 desde marginales de encig25_base_datos_csv (manifiesto) replica por replica; c2_compuesto_resultados solo alimenta -CONTROL-C2COMP-P; fila origen: de mesa en decisiones.tsv	punto re-estimado desde microdato ENCIG 2025
GOB.gobierno_digital.encig2025.edad_x_escolaridad	45-59xSECUNDARIA	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-45-59-SECUNDARIA-C2-P	NUEVO	NUEVO	medidor.py:315-404 (CALC-GOB-DIGITAL-EXE-EMISIONES-0002) compone C2 desde marginales de encig25_base_datos_csv (manifiesto) replica por replica; c2_compuesto_resultados solo alimenta -CONTROL-C2COMP-P; fila origen: de mesa en decisiones.tsv	punto re-estimado desde microdato ENCIG 2025
GOB.gobierno_digital.encig2025.edad_x_escolaridad	45-59xMEDIA-SUPERIOR	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-45-59-MEDIA-SUPERIOR-C2-P	NUEVO	NUEVO	medidor.py:315-404 (CALC-GOB-DIGITAL-EXE-EMISIONES-0002) compone C2 desde marginales de encig25_base_datos_csv (manifiesto) replica por replica; c2_compuesto_resultados solo alimenta -CONTROL-C2COMP-P; fila origen: de mesa en decisiones.tsv	punto re-estimado desde microdato ENCIG 2025
GOB.gobierno_digital.encig2025.edad_x_escolaridad	45-59xSUPERIOR	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-45-59-SUPERIOR-C2-P	NUEVO	NUEVO	medidor.py:315-404 (CALC-GOB-DIGITAL-EXE-EMISIONES-0002) compone C2 desde marginales de encig25_base_datos_csv (manifiesto) replica por replica; c2_compuesto_resultados solo alimenta -CONTROL-C2COMP-P; fila origen: de mesa en decisiones.tsv	punto re-estimado desde microdato ENCIG 2025
GOB.gobierno_digital.encig2025.edad_x_escolaridad	60-96xHASTA-PRIMARIA	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-60-96-HASTA-PRIMARIA-C2-P	NUEVO	NUEVO	medidor.py:315-404 (CALC-GOB-DIGITAL-EXE-EMISIONES-0002) compone C2 desde marginales de encig25_base_datos_csv (manifiesto) replica por replica; c2_compuesto_resultados solo alimenta -CONTROL-C2COMP-P; fila origen: de mesa en decisiones.tsv	punto re-estimado desde microdato ENCIG 2025
GOB.gobierno_digital.encig2025.edad_x_escolaridad	60-96xSECUNDARIA	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-60-96-SECUNDARIA-C2-P	NUEVO	NUEVO	medidor.py:315-404 (CALC-GOB-DIGITAL-EXE-EMISIONES-0002) compone C2 desde marginales de encig25_base_datos_csv (manifiesto) replica por replica; c2_compuesto_resultados solo alimenta -CONTROL-C2COMP-P; fila origen: de mesa en decisiones.tsv	punto re-estimado desde microdato ENCIG 2025
GOB.gobierno_digital.encig2025.edad_x_escolaridad	60-96xMEDIA-SUPERIOR	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-60-96-MEDIA-SUPERIOR-C2-P	NUEVO	NUEVO	medidor.py:315-404 (CALC-GOB-DIGITAL-EXE-EMISIONES-0002) compone C2 desde marginales de encig25_base_datos_csv (manifiesto) replica por replica; c2_compuesto_resultados solo alimenta -CONTROL-C2COMP-P; fila origen: de mesa en decisiones.tsv	punto re-estimado desde microdato ENCIG 2025
GOB.gobierno_digital.encig2025.edad_x_escolaridad	60-96xSUPERIOR	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-60-96-SUPERIOR-C2-P	NUEVO	NUEVO	medidor.py:315-404 (CALC-GOB-DIGITAL-EXE-EMISIONES-0002) compone C2 desde marginales de encig25_base_datos_csv (manifiesto) replica por replica; c2_compuesto_resultados solo alimenta -CONTROL-C2COMP-P; fila origen: de mesa en decisiones.tsv	punto re-estimado desde microdato ENCIG 2025
GOB.gobierno_digital.encig2025.edad_x_sexo	18-29x1	CALC-ENCIG-DUELO-2025-ADJUDICACION-0001	RESULT-ENCIG-DUELO-2025-ADJ-EDADXSEXO-18-29-X-1-C2-P	HEREDADO-DE-LEGACY	HEREDADO	medidor.py:639 copia -C2-P de CALC-ENCIG-DUELO-2025-EDADXSEXO-EMISIONES-0001 -> CALC-C2-COMPUESTO-RESERVADAS-0001 (IN-ARBITRO-MARGINALES milpa/tramite-ola5-propuesta-v0.yaml; IN-MOTOR-NACIONALES milpa/tramite.yaml); fila HEREDADO de mesa (firma S)	G-CTRL-C2-MAX-ABS=2.99e-7 contra la composicion en la ola
GOB.gobierno_digital.encig2025.edad_x_sexo	18-29x2	CALC-ENCIG-DUELO-2025-ADJUDICACION-0001	RESULT-ENCIG-DUELO-2025-ADJ-EDADXSEXO-18-29-X-2-C2-P	HEREDADO-DE-LEGACY	HEREDADO	medidor.py:639 copia -C2-P de CALC-ENCIG-DUELO-2025-EDADXSEXO-EMISIONES-0001 -> CALC-C2-COMPUESTO-RESERVADAS-0001 (IN-ARBITRO-MARGINALES milpa/tramite-ola5-propuesta-v0.yaml; IN-MOTOR-NACIONALES milpa/tramite.yaml); fila HEREDADO de mesa (firma S)	G-CTRL-C2-MAX-ABS=2.99e-7 contra la composicion en la ola
GOB.gobierno_digital.encig2025.edad_x_sexo	30-44x1	CALC-ENCIG-DUELO-2025-ADJUDICACION-0001	RESULT-ENCIG-DUELO-2025-ADJ-EDADXSEXO-30-44-X-1-C2-P	HEREDADO-DE-LEGACY	HEREDADO	medidor.py:639 copia -C2-P de CALC-ENCIG-DUELO-2025-EDADXSEXO-EMISIONES-0001 -> CALC-C2-COMPUESTO-RESERVADAS-0001 (IN-ARBITRO-MARGINALES milpa/tramite-ola5-propuesta-v0.yaml; IN-MOTOR-NACIONALES milpa/tramite.yaml); fila HEREDADO de mesa (firma S)	G-CTRL-C2-MAX-ABS=2.99e-7 contra la composicion en la ola
GOB.gobierno_digital.encig2025.edad_x_sexo	30-44x2	CALC-ENCIG-DUELO-2025-ADJUDICACION-0001	RESULT-ENCIG-DUELO-2025-ADJ-EDADXSEXO-30-44-X-2-C2-P	HEREDADO-DE-LEGACY	HEREDADO	medidor.py:639 copia -C2-P de CALC-ENCIG-DUELO-2025-EDADXSEXO-EMISIONES-0001 -> CALC-C2-COMPUESTO-RESERVADAS-0001 (IN-ARBITRO-MARGINALES milpa/tramite-ola5-propuesta-v0.yaml; IN-MOTOR-NACIONALES milpa/tramite.yaml); fila HEREDADO de mesa (firma S)	G-CTRL-C2-MAX-ABS=2.99e-7 contra la composicion en la ola
GOB.gobierno_digital.encig2025.edad_x_sexo	45-59x1	CALC-ENCIG-DUELO-2025-ADJUDICACION-0001	RESULT-ENCIG-DUELO-2025-ADJ-EDADXSEXO-45-59-X-1-C2-P	HEREDADO-DE-LEGACY	HEREDADO	medidor.py:639 copia -C2-P de CALC-ENCIG-DUELO-2025-EDADXSEXO-EMISIONES-0001 -> CALC-C2-COMPUESTO-RESERVADAS-0001 (IN-ARBITRO-MARGINALES milpa/tramite-ola5-propuesta-v0.yaml; IN-MOTOR-NACIONALES milpa/tramite.yaml); fila HEREDADO de mesa (firma S)	G-CTRL-C2-MAX-ABS=2.99e-7 contra la composicion en la ola
GOB.gobierno_digital.encig2025.edad_x_sexo	45-59x2	CALC-ENCIG-DUELO-2025-ADJUDICACION-0001	RESULT-ENCIG-DUELO-2025-ADJ-EDADXSEXO-45-59-X-2-C2-P	HEREDADO-DE-LEGACY	HEREDADO	medidor.py:639 copia -C2-P de CALC-ENCIG-DUELO-2025-EDADXSEXO-EMISIONES-0001 -> CALC-C2-COMPUESTO-RESERVADAS-0001 (IN-ARBITRO-MARGINALES milpa/tramite-ola5-propuesta-v0.yaml; IN-MOTOR-NACIONALES milpa/tramite.yaml); fila HEREDADO de mesa (firma S)	G-CTRL-C2-MAX-ABS=2.99e-7 contra la composicion en la ola
GOB.gobierno_digital.encig2025.edad_x_sexo	60-96x1	CALC-ENCIG-DUELO-2025-ADJUDICACION-0001	RESULT-ENCIG-DUELO-2025-ADJ-EDADXSEXO-60-96-X-1-C2-P	HEREDADO-DE-LEGACY	HEREDADO	medidor.py:639 copia -C2-P de CALC-ENCIG-DUELO-2025-EDADXSEXO-EMISIONES-0001 -> CALC-C2-COMPUESTO-RESERVADAS-0001 (IN-ARBITRO-MARGINALES milpa/tramite-ola5-propuesta-v0.yaml; IN-MOTOR-NACIONALES milpa/tramite.yaml); fila HEREDADO de mesa (firma S)	G-CTRL-C2-MAX-ABS=2.99e-7 contra la composicion en la ola
GOB.gobierno_digital.encig2025.edad_x_sexo	60-96x2	CALC-ENCIG-DUELO-2025-ADJUDICACION-0001	RESULT-ENCIG-DUELO-2025-ADJ-EDADXSEXO-60-96-X-2-C2-P	HEREDADO-DE-LEGACY	HEREDADO	medidor.py:639 copia -C2-P de CALC-ENCIG-DUELO-2025-EDADXSEXO-EMISIONES-0001 -> CALC-C2-COMPUESTO-RESERVADAS-0001 (IN-ARBITRO-MARGINALES milpa/tramite-ola5-propuesta-v0.yaml; IN-MOTOR-NACIONALES milpa/tramite.yaml); fila HEREDADO de mesa (firma S)	G-CTRL-C2-MAX-ABS=2.99e-7 contra la composicion en la ola
GOB.gobierno_digital.encig2025.escolaridad_x_sexo	HASTA-PRIMARIAx1	CALC-ENCIG-DUELO-2025-ADJUDICACION-0001	RESULT-ENCIG-DUELO-2025-ADJ-ESCOLARIDADXSEXO-HASTA-PRIMARIA-X-1-C2-P	HEREDADO-DE-LEGACY	HEREDADO	medidor.py:639 copia -C2-P de CALC-ENCIG-DUELO-2025-ESCOLARIDADXSEXO-EMISIONES-0001 -> CALC-C2-COMPUESTO-RESERVADAS-0001 (milpa/tramite-ola5-propuesta-v0.yaml; milpa/tramite.yaml); fila HEREDADO de mesa (firma S)	G-CTRL-C2-MAX-ABS=5.56e-7 contra la composicion en la ola
GOB.gobierno_digital.encig2025.escolaridad_x_sexo	HASTA-PRIMARIAx2	CALC-ENCIG-DUELO-2025-ADJUDICACION-0001	RESULT-ENCIG-DUELO-2025-ADJ-ESCOLARIDADXSEXO-HASTA-PRIMARIA-X-2-C2-P	HEREDADO-DE-LEGACY	HEREDADO	medidor.py:639 copia -C2-P de CALC-ENCIG-DUELO-2025-ESCOLARIDADXSEXO-EMISIONES-0001 -> CALC-C2-COMPUESTO-RESERVADAS-0001 (milpa/tramite-ola5-propuesta-v0.yaml; milpa/tramite.yaml); fila HEREDADO de mesa (firma S)	G-CTRL-C2-MAX-ABS=5.56e-7 contra la composicion en la ola
GOB.gobierno_digital.encig2025.escolaridad_x_sexo	SECUNDARIAx1	CALC-ENCIG-DUELO-2025-ADJUDICACION-0001	RESULT-ENCIG-DUELO-2025-ADJ-ESCOLARIDADXSEXO-SECUNDARIA-X-1-C2-P	HEREDADO-DE-LEGACY	HEREDADO	medidor.py:639 copia -C2-P de CALC-ENCIG-DUELO-2025-ESCOLARIDADXSEXO-EMISIONES-0001 -> CALC-C2-COMPUESTO-RESERVADAS-0001 (milpa/tramite-ola5-propuesta-v0.yaml; milpa/tramite.yaml); fila HEREDADO de mesa (firma S)	G-CTRL-C2-MAX-ABS=5.56e-7 contra la composicion en la ola
GOB.gobierno_digital.encig2025.escolaridad_x_sexo	SECUNDARIAx2	CALC-ENCIG-DUELO-2025-ADJUDICACION-0001	RESULT-ENCIG-DUELO-2025-ADJ-ESCOLARIDADXSEXO-SECUNDARIA-X-2-C2-P	HEREDADO-DE-LEGACY	HEREDADO	medidor.py:639 copia -C2-P de CALC-ENCIG-DUELO-2025-ESCOLARIDADXSEXO-EMISIONES-0001 -> CALC-C2-COMPUESTO-RESERVADAS-0001 (milpa/tramite-ola5-propuesta-v0.yaml; milpa/tramite.yaml); fila HEREDADO de mesa (firma S)	G-CTRL-C2-MAX-ABS=5.56e-7 contra la composicion en la ola
GOB.gobierno_digital.encig2025.escolaridad_x_sexo	MEDIA-SUPERIORx1	CALC-ENCIG-DUELO-2025-ADJUDICACION-0001	RESULT-ENCIG-DUELO-2025-ADJ-ESCOLARIDADXSEXO-MEDIA-SUPERIOR-X-1-C2-P	HEREDADO-DE-LEGACY	HEREDADO	medidor.py:639 copia -C2-P de CALC-ENCIG-DUELO-2025-ESCOLARIDADXSEXO-EMISIONES-0001 -> CALC-C2-COMPUESTO-RESERVADAS-0001 (milpa/tramite-ola5-propuesta-v0.yaml; milpa/tramite.yaml); fila HEREDADO de mesa (firma S)	G-CTRL-C2-MAX-ABS=5.56e-7 contra la composicion en la ola
GOB.gobierno_digital.encig2025.escolaridad_x_sexo	MEDIA-SUPERIORx2	CALC-ENCIG-DUELO-2025-ADJUDICACION-0001	RESULT-ENCIG-DUELO-2025-ADJ-ESCOLARIDADXSEXO-MEDIA-SUPERIOR-X-2-C2-P	HEREDADO-DE-LEGACY	HEREDADO	medidor.py:639 copia -C2-P de CALC-ENCIG-DUELO-2025-ESCOLARIDADXSEXO-EMISIONES-0001 -> CALC-C2-COMPUESTO-RESERVADAS-0001 (milpa/tramite-ola5-propuesta-v0.yaml; milpa/tramite.yaml); fila HEREDADO de mesa (firma S)	G-CTRL-C2-MAX-ABS=5.56e-7 contra la composicion en la ola
GOB.gobierno_digital.encig2025.escolaridad_x_sexo	SUPERIORx1	CALC-ENCIG-DUELO-2025-ADJUDICACION-0001	RESULT-ENCIG-DUELO-2025-ADJ-ESCOLARIDADXSEXO-SUPERIOR-X-1-C2-P	HEREDADO-DE-LEGACY	HEREDADO	medidor.py:639 copia -C2-P de CALC-ENCIG-DUELO-2025-ESCOLARIDADXSEXO-EMISIONES-0001 -> CALC-C2-COMPUESTO-RESERVADAS-0001 (milpa/tramite-ola5-propuesta-v0.yaml; milpa/tramite.yaml); fila HEREDADO de mesa (firma S)	G-CTRL-C2-MAX-ABS=5.56e-7 contra la composicion en la ola
GOB.gobierno_digital.encig2025.escolaridad_x_sexo	SUPERIORx2	CALC-ENCIG-DUELO-2025-ADJUDICACION-0001	RESULT-ENCIG-DUELO-2025-ADJ-ESCOLARIDADXSEXO-SUPERIOR-X-2-C2-P	HEREDADO-DE-LEGACY	HEREDADO	medidor.py:639 copia -C2-P de CALC-ENCIG-DUELO-2025-ESCOLARIDADXSEXO-EMISIONES-0001 -> CALC-C2-COMPUESTO-RESERVADAS-0001 (milpa/tramite-ola5-propuesta-v0.yaml; milpa/tramite.yaml); fila HEREDADO de mesa (firma S)	G-CTRL-C2-MAX-ABS=5.56e-7 contra la composicion en la ola
TRA.evade_norma.envipe2025.escolaridad_x_dominio	S1xD1	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	RESULT-TRA-SXD12-C2-P-S1xD1	HEREDADO-DE-LEGACY	NUEVO	parametros.marginales_sellados del spec.yaml (S1-S4, D1-D3 de milpa/tramite-ola5-propuesta-v0.yaml:1715-1731; NAC de milpa/tramite.yaml:497) (lineas citadas por el propio spec.yaml) -> medidor.py:223,281-291; inputs solo manifiesto: el resolvedor no ve parametros	G-CTRL-ARBITRO-VEREDICTO=REPRODUCE (delta p max 4.79e-7); max|C2-P - C2-P-REDERIVADO|=1.10e-6
TRA.evade_norma.envipe2025.escolaridad_x_dominio	S1xD2	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	RESULT-TRA-SXD12-C2-P-S1xD2	HEREDADO-DE-LEGACY	NUEVO	parametros.marginales_sellados del spec.yaml (S1-S4, D1-D3 de milpa/tramite-ola5-propuesta-v0.yaml:1715-1731; NAC de milpa/tramite.yaml:497) (lineas citadas por el propio spec.yaml) -> medidor.py:223,281-291; inputs solo manifiesto: el resolvedor no ve parametros	G-CTRL-ARBITRO-VEREDICTO=REPRODUCE (delta p max 4.79e-7); max|C2-P - C2-P-REDERIVADO|=1.10e-6
TRA.evade_norma.envipe2025.escolaridad_x_dominio	S1xD3	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	RESULT-TRA-SXD12-C2-P-S1xD3	HEREDADO-DE-LEGACY	NUEVO	parametros.marginales_sellados del spec.yaml (S1-S4, D1-D3 de milpa/tramite-ola5-propuesta-v0.yaml:1715-1731; NAC de milpa/tramite.yaml:497) (lineas citadas por el propio spec.yaml) -> medidor.py:223,281-291; inputs solo manifiesto: el resolvedor no ve parametros	G-CTRL-ARBITRO-VEREDICTO=REPRODUCE (delta p max 4.79e-7); max|C2-P - C2-P-REDERIVADO|=1.10e-6
TRA.evade_norma.envipe2025.escolaridad_x_dominio	S2xD1	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	RESULT-TRA-SXD12-C2-P-S2xD1	HEREDADO-DE-LEGACY	NUEVO	parametros.marginales_sellados del spec.yaml (S1-S4, D1-D3 de milpa/tramite-ola5-propuesta-v0.yaml:1715-1731; NAC de milpa/tramite.yaml:497) (lineas citadas por el propio spec.yaml) -> medidor.py:223,281-291; inputs solo manifiesto: el resolvedor no ve parametros	G-CTRL-ARBITRO-VEREDICTO=REPRODUCE (delta p max 4.79e-7); max|C2-P - C2-P-REDERIVADO|=1.10e-6
