# DERIVADO por forense/analisis/relevo-reconcilia-1/reconcilia_relevo.py — NO EDITAR
resultado_id	consumidor	clase_consumidor	tipo_uso	estado_reconciliacion	clase_de_relevo	como_se_caso	calc_gen2	result_gen2	valor_gen2	valor_legacy	delta_gen2_menos_legacy	veredicto_vista_hoy	razon_vista_hoy	causa_ceguera	pins_res_en_spec	corrida_natural	receta_demanda	entorno_demanda	nota
RES-0014	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_presencial_r2	motor	conducta_p_derivado	CANDIDATO-POR-IDENTIDAD-SIN-CASAR	NO-APLICA	clave-consumidor	CALC-ENCIG-0001;CALC-ENCIG-2023-0001-v1_1			0.858959		NO-ADOPTABLE-POR-VEREDICTO-SELLADO	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS = COMPLEMENTO-CON-DENOMINADOR-RECORTADO	NO-ES-CEGUERA-VEREDICTO-SELLADO-OBEDECIDO	RES-0001,RES-0002,RES-0003,RES-0004,RES-0007,RES-0008,RES-0009,RES-0010,RES-0011,RES-0012,RES-0013,RES-0014,RES-0015,RES-0016,RES-0021,RES-0022	CORR-0002	PARCIAL:script+spec+spec_sha	CAJA	
RES-0016	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_digital_r2	motor	conducta_p_derivado	CANDIDATO-POR-IDENTIDAD-SIN-CASAR	NO-APLICA	clave-consumidor	CALC-ENCIG-0001;CALC-ENCIG-2023-0001-v1_1			0.970132		NO-ADOPTABLE-POR-VEREDICTO-SELLADO	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS = COMPLEMENTO-CON-DENOMINADOR-RECORTADO	NO-ES-CEGUERA-VEREDICTO-SELLADO-OBEDECIDO	RES-0001,RES-0002,RES-0003,RES-0004,RES-0007,RES-0008,RES-0009,RES-0010,RES-0011,RES-0012,RES-0013,RES-0014,RES-0015,RES-0016,RES-0021,RES-0022	CORR-0002	PARCIAL:script+spec+spec_sha	CAJA	
RES-0017	milpa/tramite.yaml:tramite.gobierno_digital.coercitivo:rechaza_servicio	motor	conducta_p_asignado	SIN-REHACER	NO-APLICA	clave-consumidor				0.91		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0004	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0018	milpa/tramite.yaml:tramite.gobierno_digital.coercitivo:adopta	motor	conducta_p_asignado	SIN-REHACER	NO-APLICA	clave-consumidor				0.09		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0004	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0019	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:adopta	motor	conducta_p_asignado	CANDIDATO-POR-IDENTIDAD-SIN-CASAR	NO-APLICA	clave-consumidor	CALC-ENCIG-0001			0.71		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	CANDIDATO-POR-CLAVE-PIN-NO-EVALUADO	RES-0003,RES-0004,RES-0009,RES-0010,RES-0011,RES-0012,RES-0013,RES-0014,RES-0015,RES-0016,RES-0021,RES-0022	CORR-0005	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0020	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:rechaza_servicio	motor	conducta_p_asignado	CANDIDATO-POR-IDENTIDAD-SIN-CASAR	NO-APLICA	clave-consumidor	CALC-ENCIG-0001			0.29		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	CANDIDATO-POR-CLAVE-PIN-NO-EVALUADO	RES-0003,RES-0004,RES-0009,RES-0010,RES-0011,RES-0012,RES-0013,RES-0014,RES-0015,RES-0016,RES-0021,RES-0022	CORR-0005	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0022	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:rechaza_servicio_encig2025_luz	motor	conducta_p_medido	CANDIDATO-POR-IDENTIDAD-SIN-CASAR	NO-APLICA	clave-consumidor	CALC-ENCIG-0001			0.326607		NO-ADOPTABLE-POR-VEREDICTO-SELLADO	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS = COMPLEMENTO-CON-DENOMINADOR-RECORTADO	NO-ES-CEGUERA-VEREDICTO-SELLADO-OBEDECIDO	RES-0003,RES-0004,RES-0009,RES-0010,RES-0011,RES-0012,RES-0013,RES-0014,RES-0015,RES-0016,RES-0021,RES-0022	CORR-0002	PARCIAL:script+spec+spec_sha	CAJA	
RES-0023	milpa/tramite.yaml:tramite.evasion_norma:evade_norma	motor	conducta_p_asignado	CANDIDATO-POR-IDENTIDAD-SIN-CASAR	NO-APLICA	clave-consumidor	CALC-C2-COMPUESTO-IC-ENVIPE2025-0001;CALC-EVASION-NORMA-0001-v1_1;CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001			0.66		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	CANDIDATO-POR-CLAVE-PIN-NO-EVALUADO	RES-0025,RES-0026,RES-0027,RES-0028,RES-0039	CORR-0006	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0024	milpa/tramite.yaml:tramite.evasion_norma:cumple_norma	motor	conducta_p_asignado	CANDIDATO-POR-IDENTIDAD-SIN-CASAR	NO-APLICA	clave-consumidor	CALC-C2-COMPUESTO-IC-ENVIPE2025-0001;CALC-EVASION-NORMA-0001-v1_1;CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001			0.34		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	CANDIDATO-POR-CLAVE-PIN-NO-EVALUADO	RES-0025,RES-0026,RES-0027,RES-0028,RES-0039	CORR-0006	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0028	milpa/tramite.yaml:civico.denuncia.miedo_desconfianza:denuncia_por_otra_razon	motor	conducta_p_derivado	CANDIDATO-POR-IDENTIDAD-SIN-CASAR	NO-APLICA	clave-consumidor	CALC-R-CIV-M-10;CALC-R-CIV-M-12;CALC-R-CIV-M-13			0.705687		CANDIDATO-GEN2	CALC-ENVIPE-0001 sellada (COINCIDE) declara este relevo por C2-RESULTADO; la spec no pre-declaro rama de adopcion para e	CANDIDATO-POR-CLAVE-PIN-NO-EVALUADO	RES-0108,RES-0113,RES-0118	CORR-0007	PARCIAL:script+spec+spec_sha	CAJA	
RES-0029	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:tiene_ahorros	motor	conducta_p_medido	CANDIDATO-POR-IDENTIDAD-SIN-CASAR	NO-APLICA	clave-consumidor	CALC-TIENE-AHORROS-0001-v1_1			0.174804		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	CANDIDATO-POR-CLAVE-PIN-NO-EVALUADO	RES-0031,RES-0032,RES-0065	CORR-0008	SIN-RECETA	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	
RES-0030	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:no_tiene_ahorros	motor	conducta_p_medido	CANDIDATO-POR-IDENTIDAD-SIN-CASAR	NO-APLICA	clave-consumidor	CALC-TIENE-AHORROS-0001-v1_1			0.825196		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	CANDIDATO-POR-CLAVE-PIN-NO-EVALUADO	RES-0031,RES-0032,RES-0065	CORR-0008	SIN-RECETA	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	
RES-0039	milpa/tramite.yaml:civico.denuncia.con_seguro:denuncia	motor	conducta_p_medido	SIN-REHACER	NO-APLICA	clave-consumidor				0.7909		LISTADO-PARA-MESA	veredicto sellado CALC-ENVIPE-DENUNCIA-SEGURO-0001/RESULT-ENVIPE-SEG-ADOPCION = LISTADO-PARA-MESA-NO-REPRODUCE; la spec 	SIN-OFERTA-QUE-VER		CORR-0007	PARCIAL:script+spec+spec_sha	CAJA	
RES-0040	milpa/tramite.yaml:civico.denuncia.con_seguro:no_denuncia	motor	conducta_p_medido	SIN-REHACER	NO-APLICA	clave-consumidor				0.2091		LISTADO-PARA-MESA	veredicto sellado CALC-ENVIPE-DENUNCIA-SEGURO-0001/RESULT-ENVIPE-SEG-ADOPCION = LISTADO-PARA-MESA-NO-REPRODUCE; la spec 	SIN-OFERTA-QUE-VER		CORR-0007	PARCIAL:script+spec+spec_sha	CAJA	
RES-0041	milpa/tramite.yaml:civico.denuncia.sin_seguro:denuncia	motor	conducta_p_medido	SIN-REHACER	NO-APLICA	clave-consumidor				0.672		LISTADO-PARA-MESA	veredicto sellado CALC-ENVIPE-DENUNCIA-SEGURO-0001/RESULT-ENVIPE-SEG-ADOPCION = LISTADO-PARA-MESA-NO-REPRODUCE; la spec 	SIN-OFERTA-QUE-VER		CORR-0007	PARCIAL:script+spec+spec_sha	CAJA	
RES-0042	milpa/tramite.yaml:civico.denuncia.sin_seguro:no_denuncia	motor	conducta_p_medido	SIN-REHACER	NO-APLICA	clave-consumidor				0.328		LISTADO-PARA-MESA	veredicto sellado CALC-ENVIPE-DENUNCIA-SEGURO-0001/RESULT-ENVIPE-SEG-ADOPCION = LISTADO-PARA-MESA-NO-REPRODUCE; la spec 	SIN-OFERTA-QUE-VER		CORR-0007	PARCIAL:script+spec+spec_sha	CAJA	
RES-0050	milpa/tramite.yaml:civico.participacion.concurrencia_presidencial_conversion:participa_p0_minimo	motor	conducta_p_medido	SIN-REHACER	NO-APLICA	clave-consumidor				0.345267		LISTADO-PARA-MESA	veredicto sellado CALC-L8-CONVERSION-0001/RESULT-L8CONV-A-ADOPCION = LISTADO-PARA-MESA-REPRODUCE; la spec no fija que RE	SIN-OFERTA-QUE-VER		CORR-0016	SIN-RECETA	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	
RES-0051	milpa/tramite.yaml:civico.participacion.concurrencia_presidencial_conversion:participa_p0_maximo	motor	conducta_p_medido	SIN-REHACER	NO-APLICA	clave-consumidor				0.750567		LISTADO-PARA-MESA	veredicto sellado CALC-L8-CONVERSION-0001/RESULT-L8CONV-A-ADOPCION = LISTADO-PARA-MESA-REPRODUCE; la spec no fija que RE	SIN-OFERTA-QUE-VER		CORR-0016	SIN-RECETA	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	
RES-0052	milpa/tramite.yaml:civico.participacion.concurrencia_presidencial_conversion:participa_p0_media	motor	conducta_p_medido	SIN-REHACER	NO-APLICA	clave-consumidor				0.619867		LISTADO-PARA-MESA	veredicto sellado CALC-L8-CONVERSION-0001/RESULT-L8CONV-A-ADOPCION = LISTADO-PARA-MESA-REPRODUCE; la spec no fija que RE	SIN-OFERTA-QUE-VER		CORR-0016	SIN-RECETA	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	
RES-0067	milpa/procedencia.yaml:coeficientes_generador_sellados:G1.confianza_institucional	procedencia	coeficiente_ejecutable	SIN-REHACER	NO-APLICA	clave-consumidor				-0.0645		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0018	SIN-RECETA	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	
RES-0068	milpa/procedencia.yaml:coeficientes_generador_sellados:G1.radio_confianza	procedencia	coeficiente_ejecutable	SIN-REHACER	NO-APLICA	clave-consumidor				-0.06626		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0018	SIN-RECETA	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	
RES-0069	milpa/procedencia.yaml:coeficientes_generador_sellados:G3.familismo_apoyo	procedencia	coeficiente_ejecutable	SIN-REHACER	NO-APLICA	clave-consumidor				0.0279		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0018	SIN-RECETA	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	
RES-0070	milpa/procedencia.yaml:coeficientes_generador_sellados:G4.exposicion_violencia	procedencia	coeficiente_ejecutable	SIN-REHACER	NO-APLICA	clave-consumidor				0.16614		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0018	SIN-RECETA	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	
RES-0071	milpa/procedencia.yaml:coeficientes_generador_sellados:G4.confianza_institucional	procedencia	coeficiente_ejecutable	SIN-REHACER	NO-APLICA	clave-consumidor				-0.166208		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0018	SIN-RECETA	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	
RES-0072	milpa/procedencia.yaml:coeficientes_generador_sellados:G3.horizonte_temporal	procedencia	coeficiente_ejecutable	SIN-REHACER	NO-APLICA	clave-consumidor				0.0876		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0018	SIN-RECETA	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	
RES-0073	milpa/procedencia.yaml:coeficientes_generador_sellados:G5.familismo_apoyo	procedencia	coeficiente_ejecutable	SIN-REHACER	NO-APLICA	clave-consumidor				0.004099		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0018	SIN-RECETA	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	
RES-0074	milpa/procedencia.yaml:asignados_coeficiente:G2.aversion_riesgo	procedencia	coeficiente_asignado	SIN-REHACER	NO-APLICA	clave-consumidor				0.2		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0019	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0075	milpa/procedencia.yaml:asignados_coeficiente:G2.sens_estatus	procedencia	coeficiente_asignado	SIN-REHACER	NO-APLICA	clave-consumidor				0.55		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0019	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0076	milpa/procedencia.yaml:asignados_coeficiente:G3.aversion_riesgo	procedencia	coeficiente_asignado	SIN-REHACER	NO-APLICA	clave-consumidor				0.4		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0019	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0077	milpa/procedencia.yaml:asignados_coeficiente:G4.horizonte_temporal	procedencia	coeficiente_asignado	SIN-REHACER	NO-APLICA	clave-consumidor				-0.2		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0019	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0078	milpa/procedencia.yaml:asignados_coeficiente:G4.sens_estatus	procedencia	coeficiente_asignado	SIN-REHACER	NO-APLICA	clave-consumidor				-0.15		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0019	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0079	milpa/procedencia.yaml:asignados_coeficiente:G5.familismo_obligacion	procedencia	coeficiente_asignado	SIN-REHACER	NO-APLICA	clave-consumidor				'signo negativo o no monotónico — SIN MAGNITUD'		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0019	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0080	milpa/procedencia.yaml:asignados_coeficiente:G5.radio_confianza	procedencia	coeficiente_asignado	SIN-REHACER	NO-APLICA	clave-consumidor				0.15		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0019	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0081	milpa/procedencia.yaml:asignados_coeficiente:G6.deferencia	procedencia	coeficiente_asignado	SIN-REHACER	NO-APLICA	clave-consumidor				0.45		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0019	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0082	milpa/procedencia.yaml:asignados_probabilidad:dinero.ahorro.informal_sin_puente	procedencia	asignado_probabilidad	SIN-REHACER	NO-APLICA	clave-consumidor				[0.74, 0.21, 0.05]		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0019	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0083	milpa/procedencia.yaml:asignados_probabilidad:dinero.ahorro.con_puente_y_respaldo	procedencia	asignado_probabilidad	SIN-REHACER	NO-APLICA	clave-consumidor				[0.52, 0.33, 0.15]		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0019	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0084	milpa/procedencia.yaml:asignados_probabilidad:dinero.planeacion.formal_estable	procedencia	asignado_probabilidad	SIN-REHACER	NO-APLICA	clave-consumidor				[0.68, 0.32]		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0019	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0085	milpa/procedencia.yaml:asignados_probabilidad:dinero.credito.scoring_alternativo	procedencia	asignado_probabilidad	SIN-REHACER	NO-APLICA	clave-consumidor				[0.71, 0.29]		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0019	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0086	milpa/procedencia.yaml:asignados_probabilidad:dinero.consumo.estatus_mediado_por_credito	procedencia	asignado_probabilidad	SIN-REHACER	NO-APLICA	clave-consumidor				[0.58, 0.42]		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0019	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0087	milpa/procedencia.yaml:asignados_probabilidad:salud.atencion.leve_sin_imss	procedencia	asignado_probabilidad	SIN-REHACER	NO-APLICA	clave-consumidor				[0.66, 0.24, 0.1]		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0019	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0088	milpa/procedencia.yaml:asignados_probabilidad:salud.atencion.grave	procedencia	asignado_probabilidad	SIN-REHACER	NO-APLICA	clave-consumidor				[0.74, 0.26]		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0019	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
RES-0089	milpa/procedencia.yaml:asignados_probabilidad:salud.prevencion.hombre_sin_permiso	procedencia	asignado_probabilidad	SIN-REHACER	NO-APLICA	clave-consumidor				[0.6, 0.4]		SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA	SIN-OFERTA-QUE-VER		CORR-0019	SIN-RECETA	INDECIDIBLE-SIN-SPEC	
