"id"	"origen"	"linea"	"linea_fin"	"mapa_id"	"afirmacion"	"tipo"	"dictamen"	"razon_sin_cifra"	"argumento"	"evidencia"	"estado_adopcion"	"vigencia"	"cambio_editorial"
"REL-M020"	"mapa"	"27"	"27"	"ASTRA5-U0-RELIG-020"	"Octavio de la Torre, presidente de Concanaco Servytur, estimo una derrama de 45,318 millones de pesos por Dia de Muertos en 2024 (10% mas que los 41,198 mdp de 2023)."	"CIFRA-PUBLICADA"	"SIN-CIFRA"	"adquisición"	"Pronóstico de cámara comercial no es gasto observado ni estimador causal del calendario religioso; faltan método y universo."	""	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M021"	"mapa"	"69"	"69"	"ASTRA5-U0-RELIG-021"	"La Sectur estimo por separado 25,605 mdp en turismo por Dia de Muertos 2024, con 3.1 millones de turistas desplazados."	"CIFRA-PUBLICADA"	"SIN-CIFRA"	"adquisición"	"Estimación turística tiene otra unidad y cobertura que comercio; se excluye y no suma derramas."	""	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M022"	"mapa"	"31"	"31"	"ASTRA5-U0-RELIG-022"	"Brasil, segun el Censo IBGE 2022 (divulgado en junio de 2025), tiene 26.9% de evangelicos (47.4 millones) frente a 56.7% de catolicos (100.2 millones), y una bancada evangelica poderosa."	"CIFRA-PUBLICADA"	"MATIZA"	""	"IBGE publica religión de diez años o más, no población total ni adultos México; sólo contraste institucional cualitativo sin brecha numérica armonizada."	"REL-S4"	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M023"	"mapa"	"31"	"31"	"ASTRA5-U0-RELIG-023"	"Mexico retiene mayoria catolica absoluta y baja tasa de switching (12%, de las mas bajas de la region junto con Panama y Paraguay, segun Pew 2014)."	"CIFRA-PUBLICADA"	"SIN-CIFRA"	"adquisición"	"Tasa switching histórica no cotejada; composición actual no acredita baja transición individual ni estabilidad futura."	""	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M024"	"mapa"	"157"	"157"	"ASTRA5-U0-RELIG-024"	"La laicidad mexicana es excepcionalmente temprana y militante (Reforma juarista, Constitucion de 1917, Guerra Cristera 1926-1929); esta tension Iglesia-Estado explica por que la religiosidad mexicana se refugio en lo popular/domestico y por que la laicidad es hoy un valor constitucional fuerte."	"INTERPRETACION-DEL-REPORT"	"MATIZA"	""	"Historia de laicidad sirve como marco, no experimento identificador del refugio doméstico; faltan series regionales sobre oferta clerical/práctica."	""	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M025"	"mapa"	"157"	"157"	"ASTRA5-U0-RELIG-025"	"El catolicismo reputo tras la Cristiada (97.7% en 1930) pero cayo un punto en 1940 tras la aplicacion de leyes anticlericales al final de la cristiada."	"CIFRA-PUBLICADA"	"SIN-CIFRA"	"adquisición"	"Serie histórica y cambio por ley no cotejados; dos puntos censales no identifican efecto anticlerical."	""	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M026"	"mapa"	"165"	"165"	"ASTRA5-U0-RELIG-026"	"El reporte Ipsos 'Religion Global 2023' situa a la generacion Z mexicana como la menos propensa a identificarse como cristiana."	"CIFRA-PUBLICADA"	"MATIZA"	""	"GEN2 observa gradiente etario en no afiliación/importancia, pero edad no identifica generación ni efecto de acceso digital; Ipsos no cotejado."	"GEN2-02;GEN2-03"	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M027"	"mapa"	"29"	"29"	"ASTRA5-U0-RELIG-027"	"El Partido Encuentro Social (PES), aliado de Morena en 2018, movilizo 'voto evangelico' mediante predicadores-activistas, aunque perdio el registro en 2018 y de nuevo en 2021."	"CONCLUSION-DE-ESTUDIO"	"SIN-CIFRA"	"adquisición"	"Pérdida de registro y alianza partidaria no prueban movilización de votantes religiosos; falta fuente INE y evaluación de voto."	""	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M028"	"mapa"	"33"	"33"	"ASTRA5-U0-RELIG-028"	"El marianismo/guadalupanismo estructura scripts de genero y moral; pero 'el guadalupanismo une a todos' es una sobreinterpretacion: evangelicos y 'sin religion' no participan."	"INTERPRETACION-DEL-REPORT"	"MATIZA"	""	"Símbolo plural no garantiza unanimidad; tampoco todas las personas sin religión rechazan Guadalupe. Scripts de género requieren evidencia individual y contextual."	""	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M029"	"mapa"	"37"	"37"	"ASTRA5-U0-RELIG-029"	"12.9% de los catolicos ENCREER acude a limpias, curanderos, brujos, santeros o chamanes, lo que confirma un sincretismo continuo."	"CIFRA-PUBLICADA"	"MATIZA"	""	"RIFREM pregunta limpias y otras prácticas por grupo; proporción exacta y sincretismo longitudinal no cotejados. No usar diversidad de prácticas como crecimiento."	"REL-S7"	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M030"	"mapa"	"43"	"43"	"ASTRA5-U0-RELIG-030"	"Secularizacion revisitada (Berger/Bruce vs. desecularizacion), laicidad como transicion de legitimidad (Blancarte), creer-sin-pertenecer (Davie/Hervieu-Leger), mercado religioso (Stark/Finke, aplicado por Chesnut), religion vivida (De la Torre/Gutierrez Zuniga), afrontamiento religioso (Pargament)."	"MARCO-TEORICO"	"MATIZA"	""	"Marcos creer/pertenecer/practicar organizan medición, no leyes universales. Religiosidad y espiritualidad se separan empíricamente y secularización no tiene una única trayectoria."	"GEN2-01;REL-S1"	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M031"	"mapa"	"49"	"49"	"ASTRA5-U0-RELIG-031"	"Mexico 'siempre ha padecido de una endemica escasez de sacerdotes' -aproximadamente uno por cada 6,000 habitantes- lo que historicamente produjo 'ese catolicismo popular... con la ausencia real de un liderazgo religioso de tipo burocratico'."	"CIFRA-PUBLICADA"	"SIN-CIFRA"	"adquisición"	"Razón sacerdotes/habitante requiere fecha y registro; una densidad nacional no identifica oferta local ni causa del catolicismo popular."	""	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M032"	"mapa"	"23"	"23"	"ASTRA5-U0-RELIG-032"	"El afrontamiento religioso 'positivo/colaborativo' se asocia a resiliencia y menor estres; el 'negativo/delegante' a peores resultados. Estudios UAEM (adultos mayores, diabetes tipo 2) muestran mediacion entre estres y resiliencia; Pargament et al. (1988): colaborativo=control interno/autoestima alta, delegante='estilo disfuncional'."	"CONCLUSION-DE-ESTUDIO"	"MATIZA"	""	"Estudios recientes mexicanos aportan asociación, no efecto clínico. Espiritualidad, religiosidad y coping negativo divergen; delegación no se clasifica disfuncional automáticamente."	"REL-S1;REL-S2;REL-S3;REL-S8"	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M033"	"mapa"	"137"	"137"	"ASTRA5-U0-RELIG-033"	"El estudio de San Hipolito en la Revista de Ciencias Sociales muestra perfiles diversos de devotos de San Judas Tadeo y advierte contra el estigma de 'adictos y delincuentes'."	"CONCLUSION-DE-ESTUDIO"	"SIN-CIFRA"	"adquisición"	"Mapa identifica estudio de San Hipólito pero no se recuperó completo; no extender etnografía de un templo a perfil nacional."	""	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M034"	"mapa"	"209"	"209"	"ASTRA5-U0-RELIG-034"	"Integrar el marco espiritual del paciente cuando lo desea (oracion, sentido, comunidad) mejora la resiliencia; pero hay que vigilar el afrontamiento religioso negativo (culpa, estigma de la enfermedad mental como 'falta de fe')."	"RECOMENDACION"	"ROMPE"	""	"Afirmar mejora clínica tras integrar espiritualidad excede estudios transversales. Se reemplaza por preguntar preferencias y proponer ensayo, sin prometer eficacia."	"REL-S1;REL-S3"	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M035"	"mapa"	"211"	"211"	"ASTRA5-U0-RELIG-035"	"El Frente Nacional por la Familia (coalicion catolico-evangelica) movilizo a mas de un millon de personas contra el matrimonio igualitario en 2016 y presento al Senado una iniciativa respaldada por 240 mil firmas."	"CIFRA-PUBLICADA"	"SIN-CIFRA"	"adquisición"	"Mapa advierte conflación de FNF/Diputados y ConFamilia/Senado; no repetir asistencia ni firmas sin acta primaria recuperada."	""	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M036"	"mapa"	"211"	"211"	"ASTRA5-U0-RELIG-036"	"La 4T mantiene alianzas pragmaticas con los evangelicos pese al laicismo formal."	"INTERPRETACION-DEL-REPORT"	"SIN-CIFRA"	"instrumento"	"Alianza pragmática sin indicador no predice voto; registrar convenios por actor/fecha permitiría contraste."	""	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M037"	"mapa"	"213"	"213"	"ASTRA5-U0-RELIG-037"	"Recomendacion: segmentar por practica efectiva, no por identidad nominal; evitar estigmatizar devociones populares; un mensaje 'catolico generico' ya no representa a la mayoria."	"RECOMENDACION"	"MATIZA"	""	"Afiliación católica sigue siendo mayoría en WVS/LB; no prueba mayoría de adhesión al mensaje genérico. Segmentar por práctica es propuesta testeable, no eficacia observada."	"GEN2-01;GEN2-02"	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-M038"	"mapa"	"119"	"119"	"ASTRA5-U0-RELIG-038"	"Pew documenta que mas de la mitad de los conversos [evangelicos en America Latina] dicen que su nueva iglesia los busco (proselitismo activo)."	"CIFRA-PUBLICADA"	"SIN-CIFRA"	"adquisición"	"Proselitismo regional no trasladable a México sin tabla por país/ola; no leer informe reservado para resolver."	""	"No adopción de tesis; RESULT citados adoptados por instrumento; propuesta editorial"	"corte 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reemplazo por alcance acotado; literal GEN1 conservado en v1"
"REL-V005"	"v1"	"5"	"5"	"ASTRA5-U0-RELIG-001;ASTRA5-U0-RELIG-006;ASTRA5-U0-RELIG-007;ASTRA5-U0-RELIG-008"	"México dejó de ser un monolito católico y se convirtió en un mercado religioso plural y desinstitucionalizado: el catolicismo cayó de ~99% (1900) a 77.7% en el Censo 2020 (INEGI), mientras protestantes/evangélicos llegaron a 11.2% (14.1 millones) y los ""sin religión"" casi se duplicaron a 8.1% (10.2 millones) en una sola década. La tesis central de este reporte es que **la religiosidad funciona como lente explicativa de la moral, el afrontamiento y el consumo, pero solo si se separa rigurosamente identidad nominal de práctica efectiva, fe de fatalismo, e Iglesia institucional de religiosidad vivida.** Tratarla como dato de fondo (""México es católico"") desperdicia su poder explicativo; convertirla en variable exige desagregarla."	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M001: El cuadro primario INEGI publica ambos puntos con universo población total; confirma descenso descriptivo, no crisis causal institucional ni descreimiento. | REL-M006: La presentación censal Chiapas confirma 53.9 católico y 32.4 protestante/cristiano evangélico. No se cotejaron aquí cifras de todo el Bajío ni superioridad política; dato regional existe, falta RESULT propio. | REL-M007: El cuadro INEGI confirma aumento sin religión 4.7 a 8.1 en población total. Latinobarómetro confirma gradiente adulto etario; concentración absoluta de siete entidades no prueba tasa urbana ni crecimiento de creencia. | REL-M008: El cuadro Chiapas mantiene separado sin adscripción religiosa creyente y sin religión. Confirma distinción de categorías, no total nacional de 3.1 millones ni inexistencia de toda categoría previa. La cifra ~99% en 1900 no fue cotejada con tabla histórica; se retira. Religión como lente causal general pasa a marco de hipótesis con observables separados."	"GEN2-02;REL-E1;REL-E2;REL-E3;REL-E4;REL-E5;REL-E6;REL-S10;REL-S11"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
"REL-V007"	"v1"	"7"	"7"	"ASTRA5-U0-RELIG-030"	"Hallazgos (con estatus de evidencia):"	"UNIDAD-MATERIAL-V1"	"MATIZA"	""	"REL-M030: Marcos creer/pertenecer/practicar organizan medición, no leyes universales. Religiosidad y espiritualidad se separan empíricamente y secularización no tiene una única trayectoria."	"GEN2-01;REL-S1"	"GEN1 histórico; nueva síntesis PROPUESTA-POR-EJECUTOR"	"corte 2c646cba"	"Unidad completa auditada; repeticiones conservan localizador propio"
