"id"	"origen"	"linea"	"linea_fin"	"mapa_id"	"afirmacion"	"tipo"	"dictamen"	"razon_sin_cifra"	"argumento"	"evidencia"	"estado_adopcion"	"vigencia"	"cambio_editorial"	"dictamen_mapa"	"localizador_mapa"	"siguiente_operacion"	"mapa_vinculos"
"ASTRA5-U0-CAPSOC-011"	"mapa"	"14"	"14"	"ASTRA5-U0-CAPSOC-011"	"La organizadora ('madre de la tanda') ejerce liderazgo, define monto/orden, y aplica monitoreo y presion social. No hay respaldo legal; el unico enforcement es reputacional."	"INTERPRETACION-DEL-REPORT"	"SIN-CIFRA"	"instrumento inadecuado"	"Un liderazgo reputacional puede existir sin ser único ni suficiente. Ausencia de un producto bancario formal no prueba inexistencia de recursos legales ni que toda pérdida quede impune."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"NO-MEDIBLE-POR-DISEÑO"	"L14,L47"	"Diseño que lo permitiria: experimento de campo o encuesta con modulo especifico sobre atributos de la organizadora y sancion aplicada en tandas (no identificado en este corpus)."	""
"ASTRA5-U0-CAPSOC-012"	"mapa"	"16"	"16"	"ASTRA5-U0-CAPSOC-012"	"ENUT 2019/2024: 'Durante la semana pasada, ¿usted hizo actividades o servicios gratuitos para la comunidad como tequio, faena, mano vuelta, mayordomia, fiestas patronales o sembrar arboles, limpiar calles, rios, mercados, etcetera?' (P6_17_2/P6_17_3)."	"CIFRA-PUBLICADA"	"SIN-CIFRA"	"falta de ejecución"	"ENUT puede medir servicios comunitarios mezclados con otras actividades; una variable que incluye tequio no estima exclusivamente tequio ni coerción. No se encontró RESULT específico seleccionado; falta ejecución compatible."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"MEDIBLE-EN-CORPUS"	"L16"	"Cotejar si CALC-ENUT2019/2024-NUCLEO-EJES ya calculan P6_17; si no, extraer codigos del FD y tabular prevalencia."	""
"ASTRA5-U0-CAPSOC-013"	"mapa"	"16"	"16"	"ASTRA5-U0-CAPSOC-013"	"En muchos municipios de Oaxaca [el tequio] es obligatorio y requisito para ocupar cargos; la Constitucion estatal lo avala como contribucion."	"NORMA-O-ACTO-DOCUMENTAL"	"SIN-CIFRA"	"adquisición pendiente"	"El respaldo constitucional es afirmación jurídica localizada, no frecuencia ni efectividad. Sin texto primario actualizado revisado se limita al antecedente del mapa; no se ofrece asesoría ni atribución nacional."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"MEDIBLE-CON-ADQUISICIÓN"	"L16"	"faltante: registrar el documento en manifiesto con sha256; localizar ordenanzas municipales especificas (Oaxaca) que fijen obligatoriedad y requisito de cargo, no solo la Constitucion estatal."	""
"ASTRA5-U0-CAPSOC-014"	"mapa"	"16"	"16"	"ASTRA5-U0-CAPSOC-014"	"La romantizacion debe desactivarse: hay coercion documentada (multas, exclusion de quien no participa, obligacion extendida a migrantes que deben pagar a un sustituto para 'cumplir sus tequios')."	"CONCLUSION-DE-ESTUDIO"	"SIN-CIFRA"	"instrumento inadecuado"	"Coerción es mecanismo y riesgo a investigar, no frecuencia nacional. Se conserva advertencia normativa; faltan pares con y sin sanción y medición de contribución y exclusión."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"NO-MEDIBLE-POR-DISEÑO"	"L16"	"Diseño que lo permitiria: registro administrativo municipal de sanciones por tequio, o etnografia con conteo de casos de multa/exclusion/pago sustituto por comunidad y periodo."	""
"ASTRA5-U0-CAPSOC-015"	"mapa"	"16"	"16"	"ASTRA5-U0-CAPSOC-015"	"Faccionalismo religioso (grupos evangelicos que se niegan al tequio dividen comunidades)."	"CONCLUSION-DE-ESTUDIO"	"SIN-CIFRA"	"instrumento inadecuado"	"Conflicto religioso no puede atribuirse a toda denominación ni inferirse de afiliación. Se necesita evidencia localizada con posición de disidentes y cronología del conflicto."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"NO-MEDIBLE-POR-DISEÑO"	"L16"	"Diseño que lo permitiria: etnografia o encuesta comunitaria que cruce afiliacion religiosa individual con participacion/rechazo de tequio y registro de conflicto."	""
"ASTRA5-U0-CAPSOC-016"	"mapa"	"18"	"18"	"ASTRA5-U0-CAPSOC-016"	"La ENVIPE registra 'realizar acciones conjuntas con sus vecinos' como una medida de proteccion establecida de los hogares (del orden de ~14% de hogares, con variacion estatal -p. ej. 14.2% en Jalisco en 2019; 10.1% en Veracruz en 2022)."	"CIFRA-PUBLICADA"	"SIN-CIFRA"	"no comparabilidad"	"Acción vecinal ENVIPE es unidad hogar y medida de protección, no persona cooperadora ni beneficio comunitario. No se sustituye un dato estatal por frecuencia nacional; falta RESULT exacto."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"MEDIBLE-EN-CORPUS"	"L18"	"Tabular AP4_11_06 con FAC_ELE por entidad/año 2019-2024 para el % nacional exacto que el propio report marca como vacio de evidencia (L95)."	""
"ASTRA5-U0-CAPSOC-017"	"mapa"	"18"	"18"	"ASTRA5-U0-CAPSOC-017"	"La ENVIPE 2023 reporta que 92.4% de los delitos quedan sin investigar (cifra negra) y solo 10.9% se denuncia."	"CIFRA-PUBLICADA"	"SIN-CIFRA"	"falta de ejecución"	"Cifra negra no equivale a impunidad judicial ni probabilidad de engaño interpersonal. La unidad delito impide derivar valor esperado de confiar; tasa v1 retirada sin nueva medición."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"MEDIBLE-EN-CORPUS"	"L18"	"faltante: sumar server-side (sin abrir microdato individual) BP1_20/BP1_24 ponderado sobre TMod_Vic para cotejar 92.4%/10.9% del comunicado 546/23; leer directamente el PDF del comunicado (tabla de cifra negra) y registrar en manifiesto; anotar vínculo con contrato POL-002 (ENVIPE 2025, misma cifra negra, ola distinta)."	""
"ASTRA5-U0-CAPSOC-018"	"mapa"	"18"	"18"	"ASTRA5-U0-CAPSOC-018"	"La ENVIPE 2024 reporta la inseguridad como la preocupacion principal de la poblacion en 2024 con 60.7%, seguida de escasez de agua (36.8%) y aumento de precios (34.4%)."	"CIFRA-PUBLICADA"	"SIN-CIFRA"	"falta de ejecución"	"Preocupaciones declaradas admiten respuestas múltiples y no identifican el disparador de organización. No se convierte una prioridad de persona en explicación causal de conducta del hogar."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"MEDIBLE-EN-CORPUS"	"L18"	"faltante: sumar server-side (sin abrir microdato individual) AP4_2_05 ponderado sobre TPer_Vic1 para cotejar 60.7%; leer directamente el PDF/comunicado 562/24 (tabla de preocupaciones) y registrar en manifiesto."	""
"ASTRA5-U0-CAPSOC-019"	"mapa"	"18"	"18"	"ASTRA5-U0-CAPSOC-019"	"Ante ese vacio [institucional], los vecinos se organizan, cada vez mas via WhatsApp ('segurichats', 'chats del miedo'). Guadalajara reporta ~350 chats comunitarios con mas de 16,000 personas; Pachuca paso de 315 a 365 'segurichats'..."	"CIFRA-PUBLICADA"	"SIN-CIFRA"	"instrumento inadecuado"	"Chats reportados por autoridades/prensa no son muestra ni medida de eficacia. Falta padrón primario y denominador, y seguimiento para distinguir cohesión de control o vigilancia excluyente."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"NO-MEDIBLE-POR-DISEÑO"	"L18,L59-61"	"Diseño que lo permitiria: registro municipal oficial (ayuntamiento/policia) de chats vecinales activos y afiliados, con fecha y cobertura."	""
"ASTRA5-U0-CAPSOC-020"	"mapa"	"20"	"20"	"ASTRA5-U0-CAPSOC-020"	"Policias comunitarias (CRAC-PC, Guerrero): surgida en 1995 en pueblos indigenas de la Montaña y la Costa Chica de Guerrero, legalizada en 2011 (Ley 701)."	"NORMA-O-ACTO-DOCUMENTAL"	"SIN-CIFRA"	"adquisición pendiente"	"Historia CRAC y vigencia legal requieren fuentes primarias actualizadas y distinguir organización concreta de categoría genérica. No se valida su estatus por repetir Ley 701 del v1."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"MEDIBLE-CON-ADQUISICIÓN"	"L20"	"faltante: leer el articulado de la Ley 701 que reconoce a la CRAC-PC y registrar el documento con sha256 en manifiesto."	""
"ASTRA5-U0-CAPSOC-021"	"mapa"	"20"	"20"	"ASTRA5-U0-CAPSOC-021"	"Segun la Secretaria de Seguridad estatal, entre 2012 y 2018 se formaron 23 grupos civiles armados, presentes en ~64% del estado [Guerrero]."	"CIFRA-PUBLICADA"	"SIN-CIFRA"	"adquisición pendiente"	"Número de grupos y cobertura territorial no miden participantes ni seguridad efectiva. Sin fuente primaria y definición de superficie/población se omiten los valores del producto."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"MEDIBLE-CON-ADQUISICIÓN"	"L20"	"faltante: localizar el boletin/informe primario de la Secretaria de Seguridad Publica de Guerrero (no solo el informe CNDH que lo cita) y precisar la unidad de '64%' (municipios/poblacion/superficie); registrar en manifiesto."	""
"ASTRA5-U0-CAPSOC-022"	"mapa"	"20"	"20"	"ASTRA5-U0-CAPSOC-022"	"La literatura academica (Fini, Fuentes Diaz, Gasparello) advierte sobre faccionalismo, infiltracion criminal y la distincion entre la CRAC-PC ... y grupos que solo imitan el modelo de seguridad sin control interno de sus integrantes."	"MARCO-TEORICO"	"SIN-CIFRA"	"adquisición pendiente"	"Faccionalismo e infiltración son riesgos localizados, no atributos de toda policía comunitaria. Comparar controles y rendición de cuentas puede separar instituciones, sin homogeneizarlas."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"MEDIBLE-CON-ADQUISICIÓN"	"L20"	"faltante: leer a texto completo la tesis de Gasparello (2020) para cotejar la distinción CRAC-PC vs. imitadores citada; identificar los artículos específicos de Fini y de Fuentes Díaz sobre CRAC-PC (no confirmados esta sesión por rate-limit de CrossRef)."	""
"ASTRA5-U0-CAPSOC-023"	"mapa"	"22"	"22"	"ASTRA5-U0-CAPSOC-023"	"Las iglesias evangelico-pentecostales proveen redes de apoyo mutuo y sentido de pertenencia, especialmente entre clases bajas, poblacion rural, indigena y migrante, con mayor concentracion en los estados del norte y del sur."	"CONCLUSION-DE-ESTUDIO"	"MATIZA"	""	"LAPOP sí documenta asistencia mensual a organizaciones religiosas entre residentes adultos de México. No identifica denominación pentecostal, empleo recibido, concentración regional ni mayor eficacia para clases bajas/rurales/indígenas; conservar actividad asociativa y retirar esos alcances no medidos."	"CAP-C01"	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"MEDIBLE-EN-CORPUS"	"L22"	"Verificar el item de religion del cuestionario ampliado CPV2020 (poblacion general, no solo trabajadores CAAS) por entidad para el patron norte/sur declarado."	""
"ASTRA5-U0-CAPSOC-024"	"mapa"	"22"	"22"	"ASTRA5-U0-CAPSOC-024"	"Operan como sustituto de la asistencia publica ausente ('crea redes de apoyo donde consiguen trabajo… ofrece una asistencia mucho mas potente que la publica'). El pentecostalismo funciona como infraestructura de capital social bonding intensivo."	"INTERPRETACION-DEL-REPORT"	"SIN-CIFRA"	"instrumento inadecuado"	"La sustitución de asistencia pública exige comparar cobertura, calidad y contrafactual. Una red puede complementar Estado o excluir no miembros; se retira la superioridad universal del v1."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"NO-MEDIBLE-POR-DISEÑO"	"L22"	"Diseño que lo permitiria: encuesta con modulo de apoyo social por fuente (iglesia/familia/gobierno) y consecucion de empleo por canal."	""
"ASTRA5-U0-CAPSOC-025"	"mapa"	"24"	"24"	"ASTRA5-U0-CAPSOC-025"	"En 11 aldeas mestizas de Michoacan y Guanajuato (Candelo, Eckel & Johnson; lab-in-the-field 2005; n=1,274): en el dictator game (Games 2018, 9(4):77) se dona en promedio 34% de la dotacion y 17.6% dan mas de la mitad; en el ultimatum game (Economics Letters 2019, vol. 177) la oferta media por aldea es 34-46%."	"CONCLUSION-DE-ESTUDIO"	"SIN-CIFRA"	"no comparabilidad"	"Se localizó publicación primaria Candelo/Eckel/Johnson sobre distancia social en aldeas mexicanas, pero apertura del editor devolvió 429 y alternativa no accesible. No se verificaron aquí tasas del v1; DG/UG no son PGG ni prevalencia nacional. Conservar existencia del estudio y suspender sus porcentajes hasta recuperar texto."	"CAP-F06"	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"MEDIBLE-CON-ADQUISICIÓN"	"L24,L36-39"	"faltante: acceso al texto completo (via institucion o dataset publico de los autores) para cotejar 34%/17.6%/34-46%/9-de-11-aldeas exactos; registrar articulos en manifiesto si se adoptan como fuente documental."	""
"ASTRA5-U0-CAPSOC-026"	"mapa"	"24"	"24"	"ASTRA5-U0-CAPSOC-026"	"En el trust game con la Caja Mixtlan de Jalisco (Di Giannatale, Elbittar, Lopez & Roa, Economia Mexicana 2013; n=69) se envio en promedio ~152 de 300 pesos (~50.7%); tener cuenta bancaria y visitar amigos con frecuencia predicen mayor confianza."	"CONCLUSION-DE-ESTUDIO"	"SIN-CIFRA"	"no comparabilidad"	"Trust game en cooperativa selecciona participantes y mezcla confianza, riesgo y altruismo. Asociación con cuenta bancaria no identifica efecto causal del banco ni valida benchmark de estudiantes."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"MEDIBLE-CON-ADQUISICIÓN"	"L24,L39"	"NO-ACCESIBLE-DESDE-SANDBOX (existencia no comprobada; no equivale a «no existe», A.4) → GEN2-ASTRA5-U5-ADQUISICION-1, con la receta forense/analisis/dominios/receta-acceso-fuentes-2026-09-24.md. faltante: identificar con certeza el artículo 'Economía Mexicana NUEVA ÉPOCA 2013' de Di Giannatale/Elbittar/López/Roa (distinto del working paper CIDE 2009 y del artículo Scielo/Estudios Económicos) y leer n=69, 152/300 pesos, y el hallazgo de cuenta bancaria/visitas."	""
"ASTRA5-U0-CAPSOC-027"	"mapa"	"28"	"28"	"ASTRA5-U0-CAPSOC-027"	"Coopera cuando existe un mecanismo que sustituye al enforcement institucional ausente: (a) el vinculo personal, (b) el monitoreo y la sancion social horizontal, y (c) el liderazgo confiable... la desconfianza al desconocido es adaptacion, no egoismo (calculo racional)."	"INTERPRETACION-DEL-REPORT"	"SIN-CIFRA"	"instrumento inadecuado"	"El resultado institucional descriptivo no identifica necesidad ni suficiencia de puentes, sanción y líder. Adaptación es hipótesis rival, no explicación exclusiva: distinguir expectativas, liquidez y normas."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"NO-MEDIBLE-POR-DISEÑO"	"L28-32"	"Ninguna adicional; es sintesis de filas ya dictaminadas."	""
"ASTRA5-U0-CAPSOC-028"	"mapa"	"43"	"43"	"ASTRA5-U0-CAPSOC-028"	"VACIO DE EVIDENCIA: No se localizo un public goods game de laboratorio urbano mexicano (UNAM/CIDE/ITAM/Colmex/C3) con castigo altruista y cooperacion condicional claramente medidos."	"INTERPRETACION-DEL-REPORT"	"SIN-CIFRA"	"instrumento inadecuado"	"No localizado por el autor no equivale a inexistencia. La búsqueda dirigida de este lote no pretende un censo de laboratorios; sucesor: búsqueda por diseño y repositorios de experimentos."	""	"NO-ADOPTA-NADA"	"RETROSPECTIVA; corte de evidencia 2c646cba93eebc9189a8135a5369bb45e8d29b89"	"Reescribir con alcance acotado; omitir cifra v1 no trazada."	"NO-MEDIBLE-POR-DISEÑO"	"L43"	"Ninguna: vacio confirmado, queda como vacio declarado para sucesor que busque en repositorios institucionales (UNAM/CIDE/ITAM) fuera de este corpus."	""
