"id"	"origen"	"report"	"report_sha256"	"linea"	"linea_fin"	"mapa_id"	"afirmacion"	"tipo"	"dictamen"	"razon_sin_cifra"	"argumento"	"evidencia"	"estado_adopcion"	"vigencia"	"cambio_editorial"	"dictamen_mapa_previo"
"CONF-V1-L017-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"17"	"17"	""	"5. **El 93.2% de los delitos no se denuncian ni investigan** (ENVIPE 2025), creando una ""cifra negra"" que refleja y refuerza la desconfianza institucional."	"hecho descriptivo y componentes interpretativos acotados en argumento"	"SIN-CIFRA"	"falta de ejecución en este contraste"	"ENVIPE permite cifra negra por delito, pero requiere RESULT y denominador específico; no investigar no equivale a impunidad, y resolución positiva entre denuncias tiene otro denominador. No se heredan cifras como mecanismo de confianza."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L017-S02"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"17"	"17"	""	"Solo el 1.2% de las denuncias tiene resolución positiva para la víctima."	"hecho descriptivo y componentes interpretativos acotados en argumento"	"SIN-CIFRA"	"falta de ejecución en este contraste"	"ENVIPE permite cifra negra por delito, pero requiere RESULT y denominador específico; no investigar no equivale a impunidad, y resolución positiva entre denuncias tiene otro denominador. No se heredan cifras como mecanismo de confianza."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L019-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"19"	"19"	""	"6. **México es una anomalía global en género y confianza**: es el único país donde las mujeres confían interpersonalmente más que los hombres, mientras que simultáneamente el 66% de las mujeres ha sufrido alguna forma de violencia y el 93.7% de las agredidas no denuncia."	"hecho descriptivo y componentes interpretativos acotados en argumento"	"SIN-CIFRA"	"adquisición pendiente"	"Un contraste de sexo de Ipsos no demuestra unicidad mundial ni mecanismo de solidaridad. Violencia y no denuncia requieren ola, población y denominador propios; no se comparan con confianza sin diseño conjunto."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L021-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"21"	"21"	""	"7. **El patrón educación-confianza institucional está invertido**: México y el Reino Unido son los únicos países OCDE donde las personas con menor educación confían más en el gobierno federal que las de mayor educación —probablemente un efecto de las políticas populistas del periodo 2018-2024."	"hecho descriptivo y componentes interpretativos acotados en argumento"	"MATIZA"	""	"OCDE permite describir gradientes por educación en muestra urbana, pero diferencia educativa no identifica efecto de populismo, transferencias o clase. Se retira unicidad internacional sin tabla comparable."	"[""CONF-OECD24""]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L023-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"23"	"23"	""	"8. **Los experimentos de economía conductual revelan una brecha crucial**: la confianza comportamental de los latinoamericanos en juegos de confianza con dinero real (~43% del endowment) es comparable a otras regiones del mundo, sugiriendo que las encuestas capturan una norma de cautela declarada más que una incapacidad real de cooperar."	"hecho descriptivo y componentes interpretativos acotados en argumento"	"MATIZA"	""	"Experimentos y encuestas observan conductas/unidades distintas; enviar parte de una dotación no se resta de proporción de respuestas de encuesta. La literatura LAC no prueba que todos los mexicanos cooperen más de lo que declaran."	"[""CONF-C42""]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L025-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"25"	"25"	""	"9. **El ciclo corrupción-desconfianza es mutuamente causal** (Morris & Klesner, 2010): la corrupción erosiona la confianza, y la baja confianza facilita más corrupción al transformar ciudadanos en clientes y sobornadores."	"mecanismo"	"MATIZA"	""	"Datos transversales y modelos recíprocos no identifican las dos flechas causales; viñetas aleatorias aportan mecanismo acotado sobre actitudes fiscales, no equilibrio nacional estable."	"[""CONF-CARBON24""]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L027-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"27"	"27"	""	"10. **La economía informal (~55% del empleo) es tanto causa como consecuencia** de la baja confianza institucional."	"mecanismo"	"SIN-CIFRA"	"instrumento inadecuado"	"Informalidad incluye restricciones de oferta laboral/productividad y no ausencia total de relación estatal. Falta diseño que identifique confianza→informalidad o salud→informalidad; no se romantiza como elección homogénea."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L027-S02"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"27"	"27"	""	"La informalidad atenúa la relación Estado-ciudadano al eliminar los puntos de contacto institucional (impuestos, seguridad social, pensiones)."	"mecanismo"	"SIN-CIFRA"	"instrumento inadecuado"	"Informalidad incluye restricciones de oferta laboral/productividad y no ausencia total de relación estatal. Falta diseño que identifique confianza→informalidad o salud→informalidad; no se romantiza como elección homogénea."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L029-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"29"	"29"	""	"11. **La violencia erosiona selectivamente la confianza vertical** (en policía y sistema judicial) pero no destruye la confianza horizontal (en amigos, familia, socios)."	"mecanismo"	"MATIZA"	""	"Victimización y confianza pueden asociarse, pero conservación de familiares no descarta efectos horizontales en todas comunidades. Autodefensas no se derivan de marginales de confianza; selección territorial y protección rival siguen abiertas."	"[""CONF-C17"", ""CONF-C19""]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L029-S02"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"29"	"29"	""	"Corbacho et al. (2015) encontraron que ~85% confía en familia/amigos independientemente de la victimización."	"mecanismo"	"MATIZA"	""	"Victimización y confianza pueden asociarse, pero conservación de familiares no descarta efectos horizontales en todas comunidades. Autodefensas no se derivan de marginales de confianza; selección territorial y protección rival siguen abiertas."	"[""CONF-C17"", ""CONF-C19""]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L031-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"31"	"31"	""	"12. **La brecha generacional de confianza es de más de 10 puntos**: los mayores de 50 confían más interpersonalmente que los menores de 35."	"hecho descriptivo y componentes interpretativos acotados en argumento"	"SIN-CIFRA"	"adquisición pendiente"	"Fundación SM y rangos juveniles no equivalen a adultos18+ de los pisos; falta fuente primaria del gradiente y cifras de legisladores. No deducir cohorte de corte transversal."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L031-S02"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"31"	"31"	""	"Solo el 9.8% de los jóvenes (15-29) confía mucho en los legisladores."	"hecho descriptivo y componentes interpretativos acotados en argumento"	"SIN-CIFRA"	"adquisición pendiente"	"Fundación SM y rangos juveniles no equivalen a adultos18+ de los pisos; falta fuente primaria del gradiente y cifras de legisladores. No deducir cohorte de corte transversal."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L033-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"33"	"33"	""	"13. **El 82% de las transacciones en México se realizan en efectivo**, reflejando una desconfianza profunda en sistemas financieros digitales moldeada por crisis económicas históricas (1994, 2008)."	"hecho descriptivo y componentes interpretativos acotados en argumento"	"SIN-CIFRA"	"adquisición pendiente"	"82% no tiene año ni denominador reproducible. Proporción de transacciones, personas y valor monetario son diferentes; no atribuye uso a memoria de crisis ni permite afirmar exclusión del mismo porcentaje."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L035-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"35"	"35"	""	"14. **Las plataformas digitales exitosas en México construyen confianza a través de puentes físicos**: OXXO (22,000+ tiendas) funciona como infraestructura de confianza para e-commerce, fintech y servicios digitales."	"hecho descriptivo y componentes interpretativos acotados en argumento"	"SIN-CIFRA"	"adquisición pendiente"	"Recuentos de clientes, tiendas, tasas y NPS dependen de fecha y geografía; casos supervivientes no identifican éxito por transparencia/puentes físicos frente a precio, cobertura, publicidad o selección."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L035-S02"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"35"	"35"	""	"Nu Bank alcanzó 13 millones de clientes construyendo confianza mediante transparencia radical y cero comisiones ocultas."	"hecho descriptivo y componentes interpretativos acotados en argumento"	"SIN-CIFRA"	"adquisición pendiente"	"Recuentos de clientes, tiendas, tasas y NPS dependen de fecha y geografía; casos supervivientes no identifican éxito por transparencia/puentes físicos frente a precio, cobertura, publicidad o selección."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L037-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"37"	"37"	""	"15. **La confianza en México tiene una paradoja temporal**: la confianza en el gobierno subió al récord de 52% en Latinobarómetro 2024 mientras la percepción de corrupción de Transparency International cayó a su peor nivel histórico (26/100), sugiriendo que la confianza política puede operar independientemente de la calidad institucional objetiva."	"hecho descriptivo y componentes interpretativos acotados en argumento"	"SIN-CIFRA"	"restricción del proyecto"	"Latinobarómetro2024 reservada: no se abre ni su tabulado para validar récord o serie. CPI es percepción y no calidad objetiva; comparar ambas sin enlace no demuestra independencia psicológica."	"[]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L045-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"45"	"45"	""	"La investigación contemporánea distingue al menos siete dimensiones de confianza que operan con lógicas diferentes en México:"	"generalización o marco conceptual"	"MATIZA"	""	"Taxonomía sirve como marco conceptual; tipos se solapan y no son siete dimensiones psicométricas verificadas para población mexicana. Relación, transacción y sistema requieren reactivos separados."	"[""CONF-OECDLAC25""]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
"CONF-V1-L047-S01"	"v1"	"corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md"	"6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54"	"47"	"47"	""	"**Confianza generalizada** (*generalized trust*): la disposición a confiar en desconocidos y en ""la mayoría de las personas""."	"generalización o marco conceptual"	"MATIZA"	""	"La distinción conceptual o el diseño no quedan refutados por una cifra incorrecta. La generalización a una disposición/racionalidad nacional sigue sin identificación; mantener referente y alcance explícitos."	"[""CONF-C42"", ""CONF-C29""]"	"No hay adopción del juicio editorial; PROPUESTO-POR-EJECUTOR. Pisos citados adoptados por FP ac7b-01/02/04; fuentes externas publicadas."	"Corte inicial main 2c646cba93eebc9189a8135a5369bb45e8d29b89; literatura recuperada 26/sep/2026"	"Reescribir conservando solo descripción respaldada; límites y propuesta explícitos."	""
