# GENERADO por tools/dominios/ensu/tablas.py -- sólo ids; el valor vive en el resultados.json sellado
conducta	eje	categoria	ola	calc	result_p	result_ic_lo	result_ic_hi	result_n
C01-INSEG-CIUDAD	TOTAL	TODOS	2016T1	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2016T1-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2016T1-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2016T1-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2016T1-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2016T2	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2016T2-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2016T2-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2016T2-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2016T2-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2016T3	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2016T3-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2016T3-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2016T3-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2016T3-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2016T4	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2016T4-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2016T4-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2016T4-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2016T4-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2017T1	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2017T1-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2017T1-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2017T1-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2017T1-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2017T2	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2017T2-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2017T2-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2017T2-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2017T2-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2017T3	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2017T3-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2017T3-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2017T3-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2017T3-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2017T4	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2017T4-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2017T4-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2017T4-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2017T4-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2018T1	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2018T1-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2018T1-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2018T1-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2018T1-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2018T2	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2018T2-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2018T2-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2018T2-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2018T2-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2018T3	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2018T3-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2018T3-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2018T3-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2018T3-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2018T4	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2018T4-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2018T4-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2018T4-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2018T4-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2019T1	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2019T1-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2019T1-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2019T1-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2019T1-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2019T2	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2019T2-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2019T2-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2019T2-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2019T2-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2019T3	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2019T3-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2019T3-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2019T3-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2019T3-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2019T4	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2019T4-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2019T4-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2019T4-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2019T4-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2020T1	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2020T1-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2020T1-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2020T1-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2020T1-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2020T3	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2020T3-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2020T3-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2020T3-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2020T3-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2020T4	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2020T4-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2020T4-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2020T4-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2020T4-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2021T2	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2021T2-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2021T2-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2021T2-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2021T2-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2021T3	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2021T3-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2021T3-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2021T3-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2021T3-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2021T4	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2021T4-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2021T4-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2021T4-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2021T4-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2022T1	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2022T1-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2022T1-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2022T1-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2022T1-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2022T2	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2022T2-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2022T2-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2022T2-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2022T2-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2022T3	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2022T3-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2022T3-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2022T3-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2022T3-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2022T4	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2022T4-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2022T4-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2022T4-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2022T4-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2023T1	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2023T1-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2023T1-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2023T1-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2023T1-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2023T2	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2023T2-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2023T2-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2023T2-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2023T2-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2023T3	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2023T3-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2023T3-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2023T3-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2023T3-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2023T4	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2023T4-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2023T4-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2023T4-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2023T4-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2024T1	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2024T1-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2024T1-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2024T1-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2024T1-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2024T2	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2024T2-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2024T2-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2024T2-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2024T2-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2024T3	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2024T3-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2024T3-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2024T3-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2024T3-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2024T4	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2024T4-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2024T4-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2024T4-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2024T4-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2025T1	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2025T1-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2025T1-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2025T1-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2025T1-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2025T2	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2025T2-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2025T2-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2025T2-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2025T2-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2025T3	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2025T3-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2025T3-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2025T3-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2025T3-TOTAL-TODOS-N
C01-INSEG-CIUDAD	TOTAL	TODOS	2025T4	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2025T4-TOTAL-TODOS-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2025T4-TOTAL-TODOS-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2025T4-TOTAL-TODOS-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2025T4-TOTAL-TODOS-N
C01-INSEG-CIUDAD	SEXO	HOMBRE	2013T3	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2013T3-SEXO-HOMBRE-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2013T3-SEXO-HOMBRE-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2013T3-SEXO-HOMBRE-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2013T3-SEXO-HOMBRE-N
C01-INSEG-CIUDAD	SEXO	HOMBRE	2013T4	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2013T4-SEXO-HOMBRE-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2013T4-SEXO-HOMBRE-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2013T4-SEXO-HOMBRE-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2013T4-SEXO-HOMBRE-N
C01-INSEG-CIUDAD	SEXO	HOMBRE	2014T1	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T1-SEXO-HOMBRE-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T1-SEXO-HOMBRE-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T1-SEXO-HOMBRE-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T1-SEXO-HOMBRE-N
C01-INSEG-CIUDAD	SEXO	HOMBRE	2014T2	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T2-SEXO-HOMBRE-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T2-SEXO-HOMBRE-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T2-SEXO-HOMBRE-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T2-SEXO-HOMBRE-N
C01-INSEG-CIUDAD	SEXO	HOMBRE	2014T3	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T3-SEXO-HOMBRE-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T3-SEXO-HOMBRE-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T3-SEXO-HOMBRE-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T3-SEXO-HOMBRE-N
C01-INSEG-CIUDAD	SEXO	HOMBRE	2014T4	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T4-SEXO-HOMBRE-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T4-SEXO-HOMBRE-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T4-SEXO-HOMBRE-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2014T4-SEXO-HOMBRE-N
C01-INSEG-CIUDAD	SEXO	HOMBRE	2015T1	CALC-ENSU-SERIE-0001	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2015T1-SEXO-HOMBRE-P	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2015T1-SEXO-HOMBRE-IC-LO	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2015T1-SEXO-HOMBRE-IC-HI	RESULT-ENSU-SERIE-C01-INSEG-CIUDAD-2015T1-SEXO-HOMBRE-N
