# REGISTRO DE NUMEROS RES · SOLO-AÑADIR · el estado de una llave es su ULTIMA fila
# Firma de mesa 21/sep/2026 (D-r1 A): `RES` es un ALIAS ESTABLE de la llave logica.
# Lo escribe UNICAMENTE `python3 tools/corrida0.py numera-res --escribe`. Ningun comando de lectura lo toca.
llave_logica	resultado_id	estado	fecha	commit
tramite::familia.union.libre::union_libre	RES-0043	vigente	2026-09-21	41ecf36b
tramite::familia.union.libre::matrimonio_directo	RES-0044	vigente	2026-09-21	41ecf36b
tramite::familia.cuidado.recae_mujeres_40mas::share_horas_mujeres_40mas	RES-0045	vigente	2026-09-21	41ecf36b
tramite::dinero.ahorro.horizonte_corto::horizonte_corto	RES-0046	vigente	2026-09-21	41ecf36b
tramite::dinero.ahorro.horizonte_corto::horizonte_no_corto	RES-0047	vigente	2026-09-21	41ecf36b
tramite::dinero.ahorro.horizonte_no_corto_con_seguridad_social::horizonte_corto	RES-0048	vigente	2026-09-21	41ecf36b
tramite::dinero.ahorro.horizonte_no_corto_con_seguridad_social::horizonte_no_corto	RES-0049	vigente	2026-09-21	41ecf36b
tramite::civico.participacion.concurrencia_presidencial_conversion::participa_p0_minimo	RES-0050	vigente	2026-09-21	41ecf36b
tramite::civico.participacion.concurrencia_presidencial_conversion::participa_p0_maximo	RES-0051	vigente	2026-09-21	41ecf36b
tramite::civico.participacion.concurrencia_presidencial_conversion::participa_p0_media	RES-0052	vigente	2026-09-21	41ecf36b
tramite::dinero.ahorro.via_informal::ahorra_solo_informal	RES-0053	vigente	2026-09-21	41ecf36b
tramite::dinero.ahorro.via_informal::ahorra_ambas_vias	RES-0054	vigente	2026-09-21	41ecf36b
tramite::dinero.ahorro.via_informal::ahorra_solo_formal	RES-0055	vigente	2026-09-21	41ecf36b
tramite::dinero.ahorro.via_informal::no_ahorra	RES-0056	vigente	2026-09-21	41ecf36b
tramite::dinero.ahorro.via_informal::formal_cualquiera	RES-0057	vigente	2026-09-21	41ecf36b
tramite::dinero.ahorro.via_informal::informal_cualquiera	RES-0058	vigente	2026-09-21	41ecf36b
tramite::dinero.ahorro.seguro_deposito_enif2024::desconfianza_o_mal_servicio_como_razon_principal_conoce_proteccion_enif2024	RES-0059	vigente	2026-09-21	41ecf36b
tramite::dinero.ahorro.seguro_deposito_enif2024::desconfianza_o_mal_servicio_como_razon_principal_no_conoce_enif2024	RES-0060	vigente	2026-09-21	41ecf36b
tramite::civico.protesta.agravio_urbano_encuci2020::protesta_alguna_vez_urbano_con_agravio_encuci2020	RES-0061	vigente	2026-09-21	41ecf36b
tramite::civico.protesta.agravio_urbano_encuci2020::protesta_alguna_vez_rural_con_agravio_encuci2020	RES-0062	vigente	2026-09-21	41ecf36b
tramite::salud.vacunacion.disponible_ensanut2024::razon_no_vacunacion_logistica	RES-0063	vigente	2026-09-21	41ecf36b
tramite::salud.vacunacion.disponible_ensanut2024::razon_no_vacunacion_no_logistica	RES-0064	vigente	2026-09-21	41ecf36b
tramite::dinero.ahorro.horizonte_no_trabajadores::horizonte_corto	RES-0065	vigente	2026-09-21	41ecf36b
tramite::dinero.ahorro.horizonte_no_trabajadores::horizonte_no_corto	RES-0066	vigente	2026-09-21	41ecf36b
procedencia::coeficientes_generador_sellados::G1.confianza_institucional	RES-0067	vigente	2026-09-21	41ecf36b
procedencia::coeficientes_generador_sellados::G1.radio_confianza	RES-0068	vigente	2026-09-21	41ecf36b
procedencia::coeficientes_generador_sellados::G3.familismo_apoyo	RES-0069	vigente	2026-09-21	41ecf36b
procedencia::coeficientes_generador_sellados::G4.exposicion_violencia	RES-0070	vigente	2026-09-21	41ecf36b
procedencia::coeficientes_generador_sellados::G4.confianza_institucional	RES-0071	vigente	2026-09-21	41ecf36b
procedencia::coeficientes_generador_sellados::G3.horizonte_temporal	RES-0072	vigente	2026-09-21	41ecf36b
procedencia::coeficientes_generador_sellados::G5.familismo_apoyo	RES-0073	vigente	2026-09-21	41ecf36b
procedencia::asignados_coeficiente::G2.aversion_riesgo	RES-0074	vigente	2026-09-21	41ecf36b
procedencia::asignados_coeficiente::G2.sens_estatus	RES-0075	vigente	2026-09-21	41ecf36b
procedencia::asignados_coeficiente::G3.aversion_riesgo	RES-0076	vigente	2026-09-21	41ecf36b
procedencia::asignados_coeficiente::G4.horizonte_temporal	RES-0077	vigente	2026-09-21	41ecf36b
procedencia::asignados_coeficiente::G4.sens_estatus	RES-0078	vigente	2026-09-21	41ecf36b
procedencia::asignados_coeficiente::G5.familismo_obligacion	RES-0079	vigente	2026-09-21	41ecf36b
procedencia::asignados_coeficiente::G5.radio_confianza	RES-0080	vigente	2026-09-21	41ecf36b
procedencia::asignados_coeficiente::G6.deferencia	RES-0081	vigente	2026-09-21	41ecf36b
procedencia::asignados_probabilidad::dinero.ahorro.informal_sin_puente	RES-0082	vigente	2026-09-21	41ecf36b
procedencia::asignados_probabilidad::dinero.ahorro.con_puente_y_respaldo	RES-0083	vigente	2026-09-21	41ecf36b
procedencia::asignados_probabilidad::dinero.planeacion.formal_estable	RES-0084	vigente	2026-09-21	41ecf36b
procedencia::asignados_probabilidad::dinero.credito.scoring_alternativo	RES-0085	vigente	2026-09-21	41ecf36b
procedencia::asignados_probabilidad::dinero.consumo.estatus_mediado_por_credito	RES-0086	vigente	2026-09-21	41ecf36b
procedencia::asignados_probabilidad::salud.atencion.leve_sin_imss	RES-0087	vigente	2026-09-21	41ecf36b
procedencia::asignados_probabilidad::salud.atencion.grave	RES-0088	vigente	2026-09-21	41ecf36b
procedencia::asignados_probabilidad::salud.prevencion.hombre_sin_permiso	RES-0089	vigente	2026-09-21	41ecf36b
procedencia::asignados_probabilidad::tramite.mordida.discrecional	RES-0090	vigente	2026-09-21	41ecf36b
procedencia::asignados_probabilidad::tramite.mordida.con_registro	RES-0091	vigente	2026-09-21	41ecf36b
procedencia::asignados_probabilidad::tramite.gobierno_digital.coercitivo	RES-0092	vigente	2026-09-21	41ecf36b
procedencia::asignados_probabilidad::tramite.gobierno_digital.util_sin_coercion	RES-0093	vigente	2026-09-21	41ecf36b
procedencia::asignados_probabilidad::civico.denuncia.con_seguro	RES-0094	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-01::R	RES-0095	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-01::M	RES-0096	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-01::L::L-solo	RES-0097	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-01::L::L+corpus	RES-0098	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-01::AGREGADO	RES-0099	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-02::R	RES-0100	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-02::M	RES-0101	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-02::L::L-solo	RES-0102	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-02::L::L+corpus	RES-0103	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-02::AGREGADO	RES-0104	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-04::R	RES-0105	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-04::M	RES-0106	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-04::L::L-solo	RES-0107	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-04::L::L+corpus	RES-0108	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-04::AGREGADO	RES-0109	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-10::R	RES-0110	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-10::M	RES-0111	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-10::L::L-solo	RES-0112	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-10::L::L+corpus	RES-0113	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-10::AGREGADO	RES-0114	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-12::R	RES-0115	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-12::M	RES-0116	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-12::L::L-solo	RES-0117	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-12::L::L+corpus	RES-0118	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-12::AGREGADO	RES-0119	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-13::R	RES-0120	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-13::M	RES-0121	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-13::L::L-solo	RES-0122	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-13::L::L+corpus	RES-0123	vigente	2026-09-21	41ecf36b
marco-M::CIV-M-13::AGREGADO	RES-0124	vigente	2026-09-21	41ecf36b
marco-M::DIN-M-01::R	RES-0125	vigente	2026-09-21	41ecf36b
marco-M::DIN-M-01::M	RES-0126	vigente	2026-09-21	41ecf36b
marco-M::DIN-M-01::L::L-solo	RES-0127	vigente	2026-09-21	41ecf36b
marco-M::DIN-M-01::L::L+corpus	RES-0128	vigente	2026-09-21	41ecf36b
marco-M::DIN-M-01::AGREGADO	RES-0129	vigente	2026-09-21	41ecf36b
marco-M::FAM-M-01::R	RES-0130	vigente	2026-09-21	41ecf36b
marco-M::FAM-M-01::M	RES-0131	vigente	2026-09-21	41ecf36b
marco-M::FAM-M-01::L::L-solo	RES-0132	vigente	2026-09-21	41ecf36b
marco-M::FAM-M-01::L::L+corpus	RES-0133	vigente	2026-09-21	41ecf36b
marco-M::FAM-M-01::AGREGADO	RES-0134	vigente	2026-09-21	41ecf36b
marco-M::FAM-M-05::R	RES-0135	vigente	2026-09-21	41ecf36b
marco-M::FAM-M-05::M	RES-0136	vigente	2026-09-21	41ecf36b
marco-M::FAM-M-05::L::L-solo	RES-0137	vigente	2026-09-21	41ecf36b
marco-M::FAM-M-05::L::L+corpus	RES-0138	vigente	2026-09-21	41ecf36b
marco-M::FAM-M-05::AGREGADO	RES-0139	vigente	2026-09-21	41ecf36b
marco-M::FAM-M-06::R	RES-0140	vigente	2026-09-21	41ecf36b
marco-M::FAM-M-06::M	RES-0141	vigente	2026-09-21	41ecf36b
marco-M::FAM-M-06::L::L-solo	RES-0142	vigente	2026-09-21	41ecf36b
marco-M::FAM-M-06::L::L+corpus	RES-0143	vigente	2026-09-21	41ecf36b
marco-M::FAM-M-06::AGREGADO	RES-0144	vigente	2026-09-21	41ecf36b
marco-M::FAM-M-07::R	RES-0145	vigente	2026-09-21	41ecf36b
marco-M::FAM-M-07::M	RES-0146	vigente	2026-09-21	41ecf36b
marco-M::FAM-M-07::L::L-solo	RES-0147	vigente	2026-09-21	41ecf36b
marco-M::FAM-M-07::L::L+corpus	RES-0148	vigente	2026-09-21	41ecf36b
marco-M::FAM-M-07::AGREGADO	RES-0149	vigente	2026-09-21	41ecf36b
marco-M::TRA-M-02::R	RES-0150	vigente	2026-09-21	41ecf36b
marco-M::TRA-M-02::M	RES-0151	vigente	2026-09-21	41ecf36b
marco-M::TRA-M-02::L::L-solo	RES-0152	vigente	2026-09-21	41ecf36b
marco-M::TRA-M-02::L::L+corpus	RES-0153	vigente	2026-09-21	41ecf36b
marco-M::TRA-M-02::AGREGADO	RES-0154	vigente	2026-09-21	41ecf36b
marco-M::TRA-M-03::R	RES-0155	vigente	2026-09-21	41ecf36b
marco-M::TRA-M-03::M	RES-0156	vigente	2026-09-21	41ecf36b
marco-M::TRA-M-03::L::L-solo	RES-0157	vigente	2026-09-21	41ecf36b
marco-M::TRA-M-03::L::L+corpus	RES-0158	vigente	2026-09-21	41ecf36b
marco-M::TRA-M-03::AGREGADO	RES-0159	vigente	2026-09-21	41ecf36b
marco-M::TRA-M-07::R	RES-0160	vigente	2026-09-21	41ecf36b
marco-M::TRA-M-07::M	RES-0161	vigente	2026-09-21	41ecf36b
marco-M::TRA-M-07::L::L-solo	RES-0162	vigente	2026-09-21	41ecf36b
marco-M::TRA-M-07::L::L+corpus	RES-0163	vigente	2026-09-21	41ecf36b
marco-M::TRA-M-07::AGREGADO	RES-0164	vigente	2026-09-21	41ecf36b
cortes-C1::formalidad	RES-0165	vigente	2026-09-21	41ecf36b
cortes-C1::edad	RES-0166	vigente	2026-09-21	41ecf36b
cortes-C1::urbanizacion	RES-0167	vigente	2026-09-21	41ecf36b
cortes-C1::ingreso	RES-0168	vigente	2026-09-21	41ecf36b
cortes-C1::acceso_digital	RES-0169	vigente	2026-09-21	41ecf36b
cortes-C1::migracion	RES-0170	vigente	2026-09-21	41ecf36b
celda-D::DIN.ahorro_solo_informal.enif2024.localidad_x_edad::DIN.ahorro_solo_informal.enif2024.localidad_x_edad	RES-0171	vigente	2026-09-21	41ecf36b
celda-D::G5.familismo_obligacion.actitud::G5.familismo_obligacion.actitud	RES-0172	vigente	2026-09-21	41ecf36b
celda-D::G5.obligacion_medida.conducta::G5.obligacion_medida.conducta	RES-0173	vigente	2026-09-21	41ecf36b
celda-D::G5.radio_confianza.encuci_vs_enbiare::G5.radio_confianza.encuci_vs_enbiare	RES-0174	vigente	2026-09-21	41ecf36b
celda-D::TRA.evade_norma.envipe2025.escolaridad_x_dominio::TRA.evade_norma.envipe2025.escolaridad_x_dominio	RES-0175	vigente	2026-09-21	41ecf36b
catalogo-momentos::M01	RES-0176	vigente	2026-09-21	41ecf36b
catalogo-momentos::M02	RES-0177	vigente	2026-09-21	41ecf36b
catalogo-momentos::M03	RES-0178	vigente	2026-09-21	41ecf36b
catalogo-momentos::M04	RES-0179	vigente	2026-09-21	41ecf36b
catalogo-momentos::M05	RES-0180	vigente	2026-09-21	41ecf36b
catalogo-momentos::M06	RES-0181	vigente	2026-09-21	41ecf36b
catalogo-momentos::M07	RES-0182	vigente	2026-09-21	41ecf36b
catalogo-momentos::M08	RES-0183	vigente	2026-09-21	41ecf36b
catalogo-momentos::M09	RES-0184	vigente	2026-09-21	41ecf36b
catalogo-momentos::M10	RES-0185	vigente	2026-09-21	41ecf36b
catalogo-momentos::M11	RES-0186	vigente	2026-09-21	41ecf36b
catalogo-momentos::M12	RES-0187	vigente	2026-09-21	41ecf36b
catalogo-momentos::M13	RES-0188	vigente	2026-09-21	41ecf36b
catalogo-momentos::M14	RES-0189	vigente	2026-09-21	41ecf36b
catalogo-momentos::M15	RES-0190	vigente	2026-09-21	41ecf36b
catalogo-momentos::M16	RES-0191	vigente	2026-09-21	41ecf36b
catalogo-momentos::M17	RES-0192	vigente	2026-09-21	41ecf36b
catalogo-momentos::M18	RES-0193	vigente	2026-09-21	41ecf36b
catalogo-momentos::M19	RES-0194	vigente	2026-09-21	41ecf36b
catalogo-momentos::M20	RES-0195	vigente	2026-09-21	41ecf36b
catalogo-momentos::M21	RES-0196	vigente	2026-09-21	41ecf36b
catalogo-momentos::M22	RES-0197	vigente	2026-09-21	41ecf36b
catalogo-momentos::M23	RES-0198	vigente	2026-09-21	41ecf36b
procedencia::condicionales_confianza_institucional/salud	RES-0199	vigente	2026-09-21	41ecf36b
procedencia::condicionales_confianza_institucional/educación	RES-0200	vigente	2026-09-21	41ecf36b
procedencia::condicionales_confianza_institucional/financiera	RES-0201	vigente	2026-09-21	41ecf36b
procedencia::condicionales_confianza_institucional/seguridad-FFAA	RES-0202	vigente	2026-09-21	41ecf36b
procedencia::condicionales_confianza_institucional/justicia-policía	RES-0203	vigente	2026-09-21	41ecf36b
procedencia::condicionales_confianza_institucional/electoral-partidos	RES-0204	vigente	2026-09-21	41ecf36b
procedencia::condicionales_escalares/radio_confianza	RES-0205	vigente	2026-09-21	41ecf36b
procedencia::condicionales_escalares/familismo_apoyo	RES-0206	vigente	2026-09-21	41ecf36b
procedencia::condicionales_escalares_confianza_generica/confianza_institucional_generico_servidores_publicos	RES-0207	vigente	2026-09-21	41ecf36b
procedencia::condicionales_escalares_exposicion_violencia/exposicion_violencia	RES-0208	vigente	2026-09-21	41ecf36b
procedencia::condicionales_escalares_medido_nacional/norma_de_género	RES-0209	vigente	2026-09-21	41ecf36b
procedencia::condicionales_escalares_medido_nacional/obligación_medida	RES-0210	vigente	2026-09-21	41ecf36b
celda-D::GOB.gobierno_digital.encig2025.edad_x_escolaridad::GOB.gobierno_digital.encig2025.edad_x_escolaridad	RES-0211	vigente	2026-09-21	41ecf36b
celda-D::TRA.evade_norma.envipe2025.dominio_x_sexo::TRA.evade_norma.envipe2025.dominio_x_sexo	RES-0212	vigente	2026-09-23	68ea696a
celda-D::TRA.evade_norma.envipe2025.edad_x_escolaridad_proxy::TRA.evade_norma.envipe2025.edad_x_escolaridad_proxy	RES-0213	vigente	2026-09-23	68ea696a
celda-D::TRA.evade_norma.envipe2025.edad_x_sexo::TRA.evade_norma.envipe2025.edad_x_sexo	RES-0214	vigente	2026-09-23	68ea696a
celda-D::TRA.evade_norma.envipe2025.escolaridad_proxy_x_sexo::TRA.evade_norma.envipe2025.escolaridad_proxy_x_sexo	RES-0215	vigente	2026-09-23	68ea696a
celda-D::GOB.gobierno_digital.encig2025.edad_x_sexo::GOB.gobierno_digital.encig2025.edad_x_sexo	RES-0216	vigente	2026-09-23	5b052013
celda-D::GOB.gobierno_digital.encig2025.escolaridad_x_sexo::GOB.gobierno_digital.encig2025.escolaridad_x_sexo	RES-0217	vigente	2026-09-23	5b052013
celda-D::DIN.credito_k1.enif2024.marginal16::DIN.credito_k1.enif2024.marginal16	RES-0218	vigente	2026-09-23	1f80b066
celda-D::DIN.credito_k2_automotriz.enif2024.marginal16::DIN.credito_k2_automotriz.enif2024.marginal16	RES-0219	vigente	2026-09-23	1f80b066
celda-D::DIN.credito_k2_departamental.enif2024.marginal16::DIN.credito_k2_departamental.enif2024.marginal16	RES-0220	vigente	2026-09-23	1f80b066
celda-D::DIN.credito_k2_nomina.enif2024.marginal16::DIN.credito_k2_nomina.enif2024.marginal16	RES-0221	vigente	2026-09-23	1f80b066
celda-D::DIN.credito_k3.enif2024.marginal16::DIN.credito_k3.enif2024.marginal16	RES-0222	vigente	2026-09-23	1f80b066
celda-D::DIN.credito_k4a_autoexclusion.enif2024.marginal16::DIN.credito_k4a_autoexclusion.enif2024.marginal16	RES-0223	vigente	2026-09-23	1f80b066
celda-D::DIN.credito_k4b_oferta.enif2024.marginal16::DIN.credito_k4b_oferta.enif2024.marginal16	RES-0224	vigente	2026-09-23	1f80b066
celda-D::DIN.credito_k5.enif2024.marginal16::DIN.credito_k5.enif2024.marginal16	RES-0225	vigente	2026-09-23	1f80b066
celda-D::DIN.credito_k6_p_tenedores.enif2024.marginal16::DIN.credito_k6_p_tenedores.enif2024.marginal16	RES-0226	vigente	2026-09-23	1f80b066
