# DERIVADO — NO EDITAR
resultado_id	consumidor	tipo	valor_legacy	escala_legacy	clase_legacy	acto_legacy	fecha_legacy	payload_ids_legacy	sha256_legacy	script_legacy	spec_legacy	spec_sha_legacy	receta_legacy	depende_de	corrida_natural	estado	vigencia	validacion_independiente
RES-0011	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_digital	conducta_p_medido	0.027358	NO-DECLARADO-EN-EL-REGISTRO	MEDIDO·p(tasa base ponderada, condicional a canal)	ACTO MAESTRA34-N4 · PLOMERIA-v1_2 | milpa/tramite-ola5-propuesta-v0.yaml:551-576 (id tramite.mordida.con_registro_encig2025)	1/sep/2026	encig25_base_datos_csv	47daf2f732366ad842b7f60c784be9d61db68a00ae1a693980ec6a683e0d9e12	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0002	PENDIENTE	PENDIENTE	NO-HECHA
RES-0012	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_digital	conducta_p_medido	0.972642	NO-DECLARADO-EN-EL-REGISTRO	MEDIDO·p(tasa base ponderada, condicional a canal)	ACTO MAESTRA34-N4 · PLOMERIA-v1_2 | milpa/tramite-ola5-propuesta-v0.yaml:551-576 (id tramite.mordida.con_registro_encig2025)	1/sep/2026	encig25_base_datos_csv	47daf2f732366ad842b7f60c784be9d61db68a00ae1a693980ec6a683e0d9e12	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0002	PENDIENTE	PENDIENTE	NO-HECHA
RES-0013	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_presencial_r2	conducta_p_medido	0.141041	NO-DECLARADO-EN-EL-REGISTRO	MEDIDO·p(tasa base ponderada, condicional a canal, sin deduplicar)	ACTO MAESTRA35-N4 · SELLA-L1 | milpa/tramite-ola5-propuesta-v0.yaml:589-672 (enmienda_maestra35_l1)	2/sep/2026	encig25_base_datos_csv	47daf2f732366ad842b7f60c784be9d61db68a00ae1a693980ec6a683e0d9e12	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0002	PENDIENTE	PENDIENTE	NO-HECHA
RES-0014	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_presencial_r2	conducta_p_medido	0.858959	NO-DECLARADO-EN-EL-REGISTRO	MEDIDO·p(tasa base ponderada, condicional a canal, sin deduplicar)	ACTO MAESTRA35-N4 · SELLA-L1 | milpa/tramite-ola5-propuesta-v0.yaml:589-672 (enmienda_maestra35_l1)	2/sep/2026	encig25_base_datos_csv	47daf2f732366ad842b7f60c784be9d61db68a00ae1a693980ec6a683e0d9e12	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0002	PENDIENTE	PENDIENTE	NO-HECHA
RES-0015	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_digital_r2	conducta_p_medido	0.029868	NO-DECLARADO-EN-EL-REGISTRO	MEDIDO·p(tasa base ponderada, condicional a canal, sin deduplicar)	ACTO MAESTRA35-N4 · SELLA-L1 | milpa/tramite-ola5-propuesta-v0.yaml:589-672 (enmienda_maestra35_l1)	2/sep/2026	encig25_base_datos_csv	47daf2f732366ad842b7f60c784be9d61db68a00ae1a693980ec6a683e0d9e12	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0002	PENDIENTE	PENDIENTE	NO-HECHA
RES-0016	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_digital_r2	conducta_p_medido	0.970132	NO-DECLARADO-EN-EL-REGISTRO	MEDIDO·p(tasa base ponderada, condicional a canal, sin deduplicar)	ACTO MAESTRA35-N4 · SELLA-L1 | milpa/tramite-ola5-propuesta-v0.yaml:589-672 (enmienda_maestra35_l1)	2/sep/2026	encig25_base_datos_csv	47daf2f732366ad842b7f60c784be9d61db68a00ae1a693980ec6a683e0d9e12	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0002	PENDIENTE	PENDIENTE	NO-HECHA
RES-0017	milpa/tramite.yaml:tramite.gobierno_digital.coercitivo:rechaza_servicio	conducta_p_asignado	0.91	NO-DECLARADO-EN-EL-REGISTRO	ASIGNADO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	SIN-RECETA		CORR-0004	PENDIENTE	PENDIENTE	NO-HECHA
RES-0018	milpa/tramite.yaml:tramite.gobierno_digital.coercitivo:adopta	conducta_p_asignado	0.09	NO-DECLARADO-EN-EL-REGISTRO	ASIGNADO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	SIN-RECETA		CORR-0004	PENDIENTE	PENDIENTE	NO-HECHA
RES-0019	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:adopta	conducta_p_asignado	0.71	NO-DECLARADO-EN-EL-REGISTRO	ASIGNADO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	SIN-RECETA		CORR-0005	PENDIENTE	PENDIENTE	NO-HECHA
RES-0020	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:rechaza_servicio	conducta_p_asignado	0.29	NO-DECLARADO-EN-EL-REGISTRO	ASIGNADO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	SIN-RECETA		CORR-0005	PENDIENTE	PENDIENTE	NO-HECHA
RES-0021	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:adopta_encig2025_luz	conducta_p_medido	0.673393	NO-DECLARADO-EN-EL-REGISTRO	MEDIDO·p(tasa base ponderada, universo N_TRA=01)	ACTO MAESTRA35-N1 · SELLA-L5-Y-RECIBOS | milpa/tramite-ola5-propuesta-v0.yaml:684-741 (id tramite.gobierno_digital.util_sin_coercion_encig2025)	2/sep/2026	encig25_base_datos_csv	47daf2f732366ad842b7f60c784be9d61db68a00ae1a693980ec6a683e0d9e12	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0002	PENDIENTE	PENDIENTE	NO-HECHA
RES-0022	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:rechaza_servicio_encig2025_luz	conducta_p_medido	0.326607	NO-DECLARADO-EN-EL-REGISTRO	MEDIDO·p(tasa base ponderada, universo N_TRA=01)	ACTO MAESTRA35-N1 · SELLA-L5-Y-RECIBOS | milpa/tramite-ola5-propuesta-v0.yaml:684-741 (id tramite.gobierno_digital.util_sin_coercion_encig2025)	2/sep/2026	encig25_base_datos_csv	47daf2f732366ad842b7f60c784be9d61db68a00ae1a693980ec6a683e0d9e12	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0002	PENDIENTE	PENDIENTE	NO-HECHA
RES-0023	milpa/tramite.yaml:tramite.evasion_norma:evade_norma	conducta_p_asignado	0.66	NO-DECLARADO-EN-EL-REGISTRO	ASIGNADO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	SIN-RECETA		CORR-0006	PENDIENTE	PENDIENTE	NO-HECHA
RES-0024	milpa/tramite.yaml:tramite.evasion_norma:cumple_norma	conducta_p_asignado	0.34	NO-DECLARADO-EN-EL-REGISTRO	ASIGNADO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	SIN-RECETA		CORR-0006	PENDIENTE	PENDIENTE	NO-HECHA
RES-0025	milpa/tramite.yaml:tramite.evasion_norma:evade_norma_envipe2025	conducta_p_medido	0.562774	NO-DECLARADO-EN-EL-REGISTRO	MEDIDO·p(tasa base ponderada, unidad delito)	ACTO MAESTRA35-N1 · SELLA-L5-Y-RECIBOS | milpa/tramite-ola5-propuesta-v0.yaml:742-802 (id tramite.evasion_norma_envipe2025)	2/sep/2026	envipe2025_csv	8a7a99fd90ce9d03229759ba0ad84db4fba98b5bb1f5c85eef7d718b007816fa	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0007	PENDIENTE	PENDIENTE	NO-HECHA
RES-0026	milpa/tramite.yaml:tramite.evasion_norma:cumple_norma_envipe2025	conducta_p_medido	0.437226	NO-DECLARADO-EN-EL-REGISTRO	MEDIDO·p(tasa base ponderada, unidad delito)	ACTO MAESTRA35-N1 · SELLA-L5-Y-RECIBOS | milpa/tramite-ola5-propuesta-v0.yaml:742-802 (id tramite.evasion_norma_envipe2025)	2/sep/2026	envipe2025_csv	8a7a99fd90ce9d03229759ba0ad84db4fba98b5bb1f5c85eef7d718b007816fa	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0007	PENDIENTE	PENDIENTE	NO-HECHA
RES-0027	milpa/tramite.yaml:civico.denuncia.miedo_desconfianza:denuncia_con_miedo_o_desconfianza	conducta_p_medido	0.294313	p (proporcion ponderada)	MEDIDO·p(tasa base ponderada)	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	envipe2025_csv	8a7a99fd90ce9d03229759ba0ad84db4fba98b5bb1f5c85eef7d718b007816fa	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0007	PENDIENTE	PENDIENTE	NO-HECHA
RES-0028	milpa/tramite.yaml:civico.denuncia.miedo_desconfianza:denuncia_por_otra_razon	conducta_p_medido	0.705687	p (proporcion ponderada)	MEDIDO·p(tasa base ponderada)	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	envipe2025_csv	8a7a99fd90ce9d03229759ba0ad84db4fba98b5bb1f5c85eef7d718b007816fa	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0007	PENDIENTE	PENDIENTE	NO-HECHA
RES-0029	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:tiene_ahorros	conducta_p_medido	0.174804	p (proporcion ponderada)	MEDIDO·p(tasa base ponderada)	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-LOCALIZADO -- data/manifiesto.yaml declara 'ningun archivo de ENNViH se ha descargado ni se registra aqui' (id ennvih_mxfls_licencia, procedencia.yaml:84-95) pese a que el ZIP fisico existe en data/raw/ennvih/ y ya fue usado por CAL-G3-PUNTUAL	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	SIN-RECETA		CORR-0008	PENDIENTE	PENDIENTE	NO-HECHA
RES-0030	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:no_tiene_ahorros	conducta_p_medido	0.825196	p (proporcion ponderada)	MEDIDO·p(tasa base ponderada)	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-LOCALIZADO -- data/manifiesto.yaml declara 'ningun archivo de ENNViH se ha descargado ni se registra aqui' (id ennvih_mxfls_licencia, procedencia.yaml:84-95) pese a que el ZIP fisico existe en data/raw/ennvih/ y ya fue usado por CAL-G3-PUNTUAL	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	SIN-RECETA		CORR-0008	PENDIENTE	PENDIENTE	NO-HECHA
RES-0031	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:tiene_ahorros_enif2024	conducta_p_medido	0.64208	p (proporcion ponderada)	MEDIDO·p(tasa base ponderada)	ACTO MAESTRA35-N1 · SELLA-L5-Y-RECIBOS | milpa/tramite-ola5-propuesta-v0.yaml:803-853 (id dinero.ahorro.tiene_ahorros_enif2024)	2/sep/2026	enif_2024_enif_2024_bd_csv	00e4b0b42775276b2da236a5bba8c64dc5a92c289908a4727dec93dc7684f039	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0009	PENDIENTE	PENDIENTE	NO-HECHA
RES-0032	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:no_tiene_ahorros_enif2024	conducta_p_medido	0.35792	p (proporcion ponderada)	MEDIDO·p(tasa base ponderada)	ACTO MAESTRA35-N1 · SELLA-L5-Y-RECIBOS | milpa/tramite-ola5-propuesta-v0.yaml:803-853 (id dinero.ahorro.tiene_ahorros_enif2024)	2/sep/2026	enif_2024_enif_2024_bd_csv	00e4b0b42775276b2da236a5bba8c64dc5a92c289908a4727dec93dc7684f039	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0009	PENDIENTE	PENDIENTE	NO-HECHA
RES-0033	milpa/tramite.yaml:familia.apoyo.recibe_dinero_familiares:recibe_dinero_familiares_para_vejez	conducta_p_medido	0.457707	p (proporcion ponderada)	MEDIDO·p(tasa base ponderada)	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-LOCALIZADO -- se uso data/raw/enif_2024_bd_csv.zip (trae TMODULO.csv con FILTRO_S9_1/P9_9_4/FAC_PER/EDAD_V); el id de manifiesto enif2024_csv apunta a un ZIP distinto (data/raw/enif2024_csv.zip) sin estas columnas confirmadas en este acto	00e4b0b42775276b2da236a5bba8c64dc5a92c289908a4727dec93dc7684f039	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	SIN-RECETA		CORR-0010	PENDIENTE	PENDIENTE	NO-HECHA
RES-0034	milpa/tramite.yaml:familia.apoyo.recibe_dinero_familiares:no_recibe_dinero_familiares_para_vejez	conducta_p_medido	0.542293	p (proporcion ponderada)	MEDIDO·p(tasa base ponderada)	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-LOCALIZADO -- se uso data/raw/enif_2024_bd_csv.zip (trae TMODULO.csv con FILTRO_S9_1/P9_9_4/FAC_PER/EDAD_V); el id de manifiesto enif2024_csv apunta a un ZIP distinto (data/raw/enif2024_csv.zip) sin estas columnas confirmadas en este acto	00e4b0b42775276b2da236a5bba8c64dc5a92c289908a4727dec93dc7684f039	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	SIN-RECETA		CORR-0010	PENDIENTE	PENDIENTE	NO-HECHA
RES-0035	milpa/tramite.yaml:familia.seguro.volatilidad_ausencia_estado:recibe_remesas	conducta_p_medido	0.045694	p (proporcion ponderada)	MEDIDO·p(tasa base ponderada)	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	enigh2022_nc_csv	3b2b0bc9c95323b470608113d2902ff3a832764367135f136270b4ce092c9e06	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0011	PENDIENTE	PENDIENTE	NO-HECHA
RES-0036	milpa/tramite.yaml:familia.seguro.volatilidad_ausencia_estado:no_recibe_remesas	conducta_p_medido	0.954306	p (proporcion ponderada)	MEDIDO·p(tasa base ponderada)	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	enigh2022_nc_csv	3b2b0bc9c95323b470608113d2902ff3a832764367135f136270b4ce092c9e06	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0011	PENDIENTE	PENDIENTE	NO-HECHA
RES-0037	milpa/tramite.yaml:dinero.planeacion.formal_estable:tiene_afore	conducta_p_medido	0.538502	p (proporcion ponderada)	MEDIDO·p(tasa base ponderada)	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	enfih2019_bd_csv_zip	be372533d5043920892142e8bf792b7293a5f20ab466a6441bc89925b42ef4d5	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0012	PENDIENTE	PENDIENTE	NO-HECHA
RES-0038	milpa/tramite.yaml:dinero.planeacion.formal_estable:no_tiene_afore	conducta_p_medido	0.461498	p (proporcion ponderada)	MEDIDO·p(tasa base ponderada)	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	enfih2019_bd_csv_zip	be372533d5043920892142e8bf792b7293a5f20ab466a6441bc89925b42ef4d5	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0012	PENDIENTE	PENDIENTE	NO-HECHA
RES-0039	milpa/tramite.yaml:civico.denuncia.con_seguro:denuncia	conducta_p_medido	0.7909	p (proporcion ponderada)	MEDIDO·p(tasa base ponderada, condicional a seguro; unidad delito, robo total de vehículo BPCOD=01)	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	envipe2025_csv	8a7a99fd90ce9d03229759ba0ad84db4fba98b5bb1f5c85eef7d718b007816fa	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0007	PENDIENTE	PENDIENTE	NO-HECHA
RES-0040	milpa/tramite.yaml:civico.denuncia.con_seguro:no_denuncia	conducta_p_medido	0.2091	p (proporcion ponderada)	MEDIDO·p(tasa base ponderada, condicional a seguro; unidad delito, robo total de vehículo BPCOD=01)	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	envipe2025_csv	8a7a99fd90ce9d03229759ba0ad84db4fba98b5bb1f5c85eef7d718b007816fa	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0007	PENDIENTE	PENDIENTE	NO-HECHA
