# DERIVADO — NO EDITAR
resultado_id	origen	corrida_id	spec_id	valor	tipo	unidad	estado	generacion	cuenta_gen2	tolerancia	tolerancia_adopcion	validacion_independiente	validacion_ref	alcance_validacion	rol_evaluacion	origen_numerico	funciones_dependencia	camino_linaje	valor_legacy	delta_legacy	sello	fuente_replay	depende_de	sucesor	n_usos
RES-0011	DEMANDA	CORR-0002	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0002/RES-0011 -> DEMANDA-PENDIENTE	0.027358	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0012	DEMANDA	CORR-0002	PENDIENTE	PENDIENTE	conducta_p_derivado	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0002/RES-0012 -> DEMANDA-PENDIENTE	0.972642	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0013	DEMANDA	CORR-0002	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0002/RES-0013 -> DEMANDA-PENDIENTE	0.141041	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0014	DEMANDA	CORR-0002	PENDIENTE	PENDIENTE	conducta_p_derivado	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0002/RES-0014 -> DEMANDA-PENDIENTE	0.858959	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0015	DEMANDA	CORR-0002	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0002/RES-0015 -> DEMANDA-PENDIENTE	0.029868	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0016	DEMANDA	CORR-0002	PENDIENTE	PENDIENTE	conducta_p_derivado	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0002/RES-0016 -> DEMANDA-PENDIENTE	0.970132	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0017	DEMANDA	CORR-0004	PENDIENTE	PENDIENTE	conducta_p_asignado	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0004/RES-0017 -> DEMANDA-PENDIENTE	0.91	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0018	DEMANDA	CORR-0004	PENDIENTE	PENDIENTE	conducta_p_asignado	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0004/RES-0018 -> DEMANDA-PENDIENTE	0.09	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0019	DEMANDA	CORR-0005	PENDIENTE	PENDIENTE	conducta_p_asignado	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0005/RES-0019 -> DEMANDA-PENDIENTE	0.71	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0020	DEMANDA	CORR-0005	PENDIENTE	PENDIENTE	conducta_p_asignado	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0005/RES-0020 -> DEMANDA-PENDIENTE	0.29	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0021	DEMANDA	CORR-0002	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0002/RES-0021 -> DEMANDA-PENDIENTE	0.673393	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0022	DEMANDA	CORR-0002	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0002/RES-0022 -> DEMANDA-PENDIENTE	0.326607	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0023	DEMANDA	CORR-0006	PENDIENTE	PENDIENTE	conducta_p_asignado	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0006/RES-0023 -> DEMANDA-PENDIENTE	0.66	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0024	DEMANDA	CORR-0006	PENDIENTE	PENDIENTE	conducta_p_asignado	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0006/RES-0024 -> DEMANDA-PENDIENTE	0.34	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0025	DEMANDA	CORR-0007	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0007/RES-0025 -> DEMANDA-PENDIENTE	0.562774	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0026	DEMANDA	CORR-0007	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0007/RES-0026 -> DEMANDA-PENDIENTE	0.437226	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0027	DEMANDA	CORR-0007	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0007/RES-0027 -> DEMANDA-PENDIENTE	0.294313	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0028	DEMANDA	CORR-0007	PENDIENTE	PENDIENTE	conducta_p_derivado	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0007/RES-0028 -> DEMANDA-PENDIENTE	0.705687	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0029	DEMANDA	CORR-0008	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0008/RES-0029 -> DEMANDA-PENDIENTE	0.174804	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0030	DEMANDA	CORR-0008	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0008/RES-0030 -> DEMANDA-PENDIENTE	0.825196	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0031	DEMANDA	CORR-0009	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0009/RES-0031 -> DEMANDA-PENDIENTE	0.64208	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0032	DEMANDA	CORR-0009	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0009/RES-0032 -> DEMANDA-PENDIENTE	0.35792	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0033	DEMANDA	CORR-0010	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0010/RES-0033 -> DEMANDA-PENDIENTE	0.457707	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0034	DEMANDA	CORR-0010	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0010/RES-0034 -> DEMANDA-PENDIENTE	0.542293	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0035	DEMANDA	CORR-0011	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0011/RES-0035 -> DEMANDA-PENDIENTE	0.045694	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0036	DEMANDA	CORR-0011	PENDIENTE	PENDIENTE	conducta_p_derivado	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0011/RES-0036 -> DEMANDA-PENDIENTE	0.954306	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0037	DEMANDA	CORR-0012	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0012/RES-0037 -> DEMANDA-PENDIENTE	0.538502	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0038	DEMANDA	CORR-0012	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0012/RES-0038 -> DEMANDA-PENDIENTE	0.461498	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0039	DEMANDA	CORR-0007	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0007/RES-0039 -> DEMANDA-PENDIENTE	0.7909	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0040	DEMANDA	CORR-0007	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0007/RES-0040 -> DEMANDA-PENDIENTE	0.2091	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0041	DEMANDA	CORR-0007	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0007/RES-0041 -> DEMANDA-PENDIENTE	0.672	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0042	DEMANDA	CORR-0007	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0007/RES-0042 -> DEMANDA-PENDIENTE	0.328	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0043	DEMANDA	CORR-0013	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0013/RES-0043 -> DEMANDA-PENDIENTE	0.1905	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0044	DEMANDA	CORR-0013	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0013/RES-0044 -> DEMANDA-PENDIENTE	0.8095	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0045	DEMANDA	CORR-0014	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0014/RES-0045 -> DEMANDA-PENDIENTE	0.2215	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0046	DEMANDA	CORR-0009	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0009/RES-0046 -> DEMANDA-PENDIENTE	0.541343	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0047	DEMANDA	CORR-0015	PENDIENTE	PENDIENTE	conducta_p_asignado	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0015/RES-0047 -> DEMANDA-PENDIENTE	0.458657	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0048	DEMANDA	CORR-0009	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0009/RES-0048 -> DEMANDA-PENDIENTE	0.37313	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0049	DEMANDA	CORR-0015	PENDIENTE	PENDIENTE	conducta_p_asignado	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0015/RES-0049 -> DEMANDA-PENDIENTE	0.62687	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
RES-0050	DEMANDA	CORR-0016	PENDIENTE	PENDIENTE	conducta_p_medido	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	PENDIENTE	NO-HECHA	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	INDETERMINADO	SIN-SPEC	CORR-0016/RES-0050 -> DEMANDA-PENDIENTE	0.345267	NO-COMPARABLE	PENDIENTE	NO-CORRIDA			1
