# DERIVADO — NO EDITAR
resultado_id	consumidor	tipo_uso	reglas_impacto	corrida_natural	generacion_hoy	veredicto	calc_candidato	corrida_oferta	estado_calc	sello_calc	result_gen2_candidato	valor_gen2	valor_legacy	canal	canales_observados	control_c0	veredicto_sellado	veredicto_sellado_ref	resolucion_vigente	otras_candidaturas	razon	delta_gen2_menos_legacy	representacion_al_grano	grano_consumidor	cambia_signo	cruza_grano_del_consumidor	cruza_umbral_grano_milpa	cambia_clasificacion	es_coeficiente_central	tier_consumidor	materialidad_consumidor	razon_materialidad
RES-0011	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_digital	conducta_p_medido	tramite.mordida.con_registro	CORR-0002	LEGACY-GEN1	NO-ADOPTABLE-POR-VEREDICTO-SELLADO	CALC-ENCIG-0001	CALC-ENCIG-0001--c3ae00e62e59	SELLADA	COINCIDE	RESULT-ENCIG-MOR-B-P-DIG-CD	0.027355637658224144	0.027358	C1-MAPA;C2-RESULTADO	C1-MAPA;C2-RESULTADO;C3-CORRIDA		NO-ADOPTABLE-POR-GRANO:-0.000002000	CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-RES-0011		NINGUNA	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-RES-0011 = NO-ADOPTABLE-POR-GRANO:-0.000002000											
RES-0012	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_digital	conducta_p_derivado	tramite.mordida.con_registro	CORR-0002	LEGACY-GEN1	NO-ADOPTABLE-POR-VEREDICTO-SELLADO	CALC-ENCIG-0001	CALC-ENCIG-0001--c3ae00e62e59	SELLADA	COINCIDE	RESULT-ENCIG-MOR-B-P-NORMAL-DIG-CD	0.9726443623417759	0.972642	C2-RESULTADO	C2-RESULTADO;C3-CORRIDA		COMPLEMENTO-CON-DENOMINADOR-RECORTADO	CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS		NINGUNA	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS = COMPLEMENTO-CON-DENOMINADOR-RECORTADO											
RES-0013	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_presencial_r2	conducta_p_medido	tramite.mordida.con_registro	CORR-0002	GEN2	YA-ADOPTADO	CALC-ENCIG-0001	CALC-ENCIG-0001--c3ae00e62e59	SELLADA	COINCIDE	RESULT-ENCIG-MOR-B-P-PRE-SD	0.1410407168724654	0.141041	C1-MAPA;C2-RESULTADO	C0-CONSUMIDOR;C1-MAPA;C2-RESULTADO;C3-CORRIDA	COINCIDE	CANTIDAD-MEDIDA-ADOPTABLE	CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-RES-0013		NINGUNA	el consumidor ya cita RESULT-ENCIG-MOR-B-P-PRE-SD con corrida0_generacion=GEN2 y la derivacion lo reproduce											
RES-0014	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_presencial_r2	conducta_p_derivado	tramite.mordida.con_registro	CORR-0002	LEGACY-GEN1	NO-ADOPTABLE-POR-VEREDICTO-SELLADO	CALC-ENCIG-0001	CALC-ENCIG-0001--c3ae00e62e59	SELLADA	COINCIDE	RESULT-ENCIG-MOR-B-P-NORMAL-PRE-SD	0.8589592831275346	0.858959	C2-RESULTADO	C2-RESULTADO;C3-CORRIDA		COMPLEMENTO-CON-DENOMINADOR-RECORTADO	CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS		NINGUNA	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS = COMPLEMENTO-CON-DENOMINADOR-RECORTADO											
RES-0015	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_digital_r2	conducta_p_medido	tramite.mordida.con_registro	CORR-0002	GEN2	YA-ADOPTADO	CALC-ENCIG-0001	CALC-ENCIG-0001--c3ae00e62e59	SELLADA	COINCIDE	RESULT-ENCIG-MOR-B-P-DIG-SD	0.029867554626649372	0.029868	C1-MAPA;C2-RESULTADO	C0-CONSUMIDOR;C1-MAPA;C2-RESULTADO;C3-CORRIDA	COINCIDE	CANTIDAD-MEDIDA-ADOPTABLE	CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-RES-0015		NINGUNA	el consumidor ya cita RESULT-ENCIG-MOR-B-P-DIG-SD con corrida0_generacion=GEN2 y la derivacion lo reproduce											
RES-0016	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_digital_r2	conducta_p_derivado	tramite.mordida.con_registro	CORR-0002	LEGACY-GEN1	NO-ADOPTABLE-POR-VEREDICTO-SELLADO	CALC-ENCIG-0001	CALC-ENCIG-0001--c3ae00e62e59	SELLADA	COINCIDE	RESULT-ENCIG-MOR-B-P-NORMAL-DIG-SD	0.9701324453733506	0.970132	C2-RESULTADO	C2-RESULTADO;C3-CORRIDA		COMPLEMENTO-CON-DENOMINADOR-RECORTADO	CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS		NINGUNA	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS = COMPLEMENTO-CON-DENOMINADOR-RECORTADO											
RES-0017	milpa/tramite.yaml:tramite.gobierno_digital.coercitivo:rechaza_servicio	conducta_p_asignado	tramite.gobierno_digital.coercitivo	CORR-0004	LEGACY-GEN1	SIN-CANDIDATO							0.91		NINGUNO		SIN-VEREDICTO-SELLADO	NINGUNO		NINGUNA	CORR-SIN-CALC-DECLARADA											
RES-0018	milpa/tramite.yaml:tramite.gobierno_digital.coercitivo:adopta	conducta_p_asignado	tramite.gobierno_digital.coercitivo	CORR-0004	LEGACY-GEN1	SIN-CANDIDATO							0.09		NINGUNO		SIN-VEREDICTO-SELLADO	NINGUNO		NINGUNA	CORR-SIN-CALC-DECLARADA											
RES-0019	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:adopta	conducta_p_asignado	tramite.gobierno_digital.util_sin_coercion	CORR-0005	LEGACY-GEN1	SIN-CANDIDATO							0.71		NINGUNO		SIN-VEREDICTO-SELLADO	NINGUNO		NINGUNA	CORR-SIN-CALC-DECLARADA											
RES-0020	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:rechaza_servicio	conducta_p_asignado	tramite.gobierno_digital.util_sin_coercion	CORR-0005	LEGACY-GEN1	SIN-CANDIDATO							0.29		NINGUNO		SIN-VEREDICTO-SELLADO	NINGUNO		NINGUNA	CORR-SIN-CALC-DECLARADA											
RES-0021	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:adopta_encig2025_luz	conducta_p_medido	tramite.gobierno_digital.util_sin_coercion	CORR-0002	GEN2	YA-ADOPTADO	CALC-ENCIG-0001	CALC-ENCIG-0001--c3ae00e62e59	SELLADA	COINCIDE	RESULT-ENCIG-MOR-C-P-ADOPTA	0.6733930340661712	0.673393	C1-MAPA;C2-RESULTADO	C0-CONSUMIDOR;C1-MAPA;C2-RESULTADO;C3-CORRIDA	COINCIDE	CANTIDAD-MEDIDA-ADOPTABLE	CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-RES-0021		NINGUNA	el consumidor ya cita RESULT-ENCIG-MOR-C-P-ADOPTA con corrida0_generacion=GEN2 y la derivacion lo reproduce											
RES-0022	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:rechaza_servicio_encig2025_luz	conducta_p_medido	tramite.gobierno_digital.util_sin_coercion	CORR-0002	LEGACY-GEN1	NO-ADOPTABLE-POR-VEREDICTO-SELLADO	CALC-ENCIG-0001	CALC-ENCIG-0001--c3ae00e62e59	SELLADA	COINCIDE	RESULT-ENCIG-MOR-C-P-RECHAZA	0.32660696593382876	0.326607	C2-RESULTADO	C2-RESULTADO;C3-CORRIDA		COMPLEMENTO-CON-DENOMINADOR-RECORTADO	CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS		NINGUNA	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS = COMPLEMENTO-CON-DENOMINADOR-RECORTADO											
RES-0023	milpa/tramite.yaml:tramite.evasion_norma:evade_norma	conducta_p_asignado	tramite.evasion_norma	CORR-0006	LEGACY-GEN1	SIN-CANDIDATO							0.66		NINGUNO		SIN-VEREDICTO-SELLADO	NINGUNO		NINGUNA	CORR-SIN-CALC-DECLARADA											
RES-0024	milpa/tramite.yaml:tramite.evasion_norma:cumple_norma	conducta_p_asignado	tramite.evasion_norma	CORR-0006	LEGACY-GEN1	SIN-CANDIDATO							0.34		NINGUNO		SIN-VEREDICTO-SELLADO	NINGUNO		NINGUNA	CORR-SIN-CALC-DECLARADA											
RES-0025	milpa/tramite.yaml:tramite.evasion_norma:evade_norma_envipe2025	conducta_p_medido	tramite.evasion_norma	CORR-0007	GEN2	YA-ADOPTADO	CALC-EVASION-NORMA-0001-v1_1	CALC-EVASION-NORMA-0001-v1_1--67cedcba44a5	SELLADA	COINCIDE	RESULT-EVASIONNORMA-A-P-EVADE	0.5627744787844097	0.562774	C2-RESULTADO	C0-CONSUMIDOR;C2-RESULTADO;C3-CORRIDA	COINCIDE	SIN-VEREDICTO-SELLADO	NINGUNO		C2-RESULTADO/CALC-EVASION-NORMA-0001/RESULT-EVASIONNORMA-A-P-EVADE/SELLO-NO-COINCIDE:AUSENTE	el consumidor ya cita RESULT-EVASIONNORMA-A-P-EVADE con corrida0_generacion=GEN2 y la derivacion lo reproduce											
RES-0026	milpa/tramite.yaml:tramite.evasion_norma:cumple_norma_envipe2025	conducta_p_medido	tramite.evasion_norma	CORR-0007	GEN2	YA-ADOPTADO	CALC-EVASION-NORMA-0001-v1_1	CALC-EVASION-NORMA-0001-v1_1--67cedcba44a5	SELLADA	COINCIDE	RESULT-EVASIONNORMA-A-P-CUMPLE	0.43722552121559033	0.437226	C2-RESULTADO	C0-CONSUMIDOR;C2-RESULTADO;C3-CORRIDA	COINCIDE	SIN-VEREDICTO-SELLADO	NINGUNO		C2-RESULTADO/CALC-EVASION-NORMA-0001/RESULT-EVASIONNORMA-A-P-CUMPLE/SELLO-NO-COINCIDE:AUSENTE	el consumidor ya cita RESULT-EVASIONNORMA-A-P-CUMPLE con corrida0_generacion=GEN2 y la derivacion lo reproduce											
RES-0027	milpa/tramite.yaml:civico.denuncia.miedo_desconfianza:denuncia_con_miedo_o_desconfianza	conducta_p_medido	civico.denuncia.miedo_desconfianza	CORR-0007	GEN2	YA-ADOPTADO	CALC-ENVIPE-0001	CALC-ENVIPE-0001--06223f3dc02d	SELLADA	COINCIDE	RESULT-ENVIPE-DEN-P-C2-U4	0.29431298745731216	0.294313	C1-SINGULAR	C0-CONSUMIDOR;C1-SINGULAR;C3-CORRIDA	COINCIDE	ADOPTABLE-POR-REPLICA	CALC-ENVIPE-0001/RESULT-ENVIPE-DEN-ADOPCION-P3		NINGUNA	el consumidor ya cita RESULT-ENVIPE-DEN-P-C2-U4 con corrida0_generacion=GEN2 y la derivacion lo reproduce											
RES-0028	milpa/tramite.yaml:civico.denuncia.miedo_desconfianza:denuncia_por_otra_razon	conducta_p_derivado	civico.denuncia.miedo_desconfianza	CORR-0007	LEGACY-GEN1	CANDIDATO-GEN2	CALC-ENVIPE-0001	CALC-ENVIPE-0001--06223f3dc02d	SELLADA	COINCIDE	RESULT-ENVIPE-DEN-P-COMPLEMENTO-C2-U1	0.7327566125957219	0.705687	C2-RESULTADO	C2-RESULTADO;C3-CORRIDA		SIN-VEREDICTO-SELLADO	NINGUNO		NINGUNA	CALC-ENVIPE-0001 sellada (COINCIDE) declara este relevo por C2-RESULTADO; la spec no pre-declaro rama de adopcion para este slot -- la comparacion la hace P2, no este canal											
RES-0029	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:tiene_ahorros	conducta_p_medido	dinero.ahorro.tiene_ahorros	CORR-0008	LEGACY-GEN1	SIN-CANDIDATO							0.174804		NINGUNO		SIN-VEREDICTO-SELLADO	NINGUNO		NINGUNA	CORR-SIN-CALC-DECLARADA											
RES-0030	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:no_tiene_ahorros	conducta_p_medido	dinero.ahorro.tiene_ahorros	CORR-0008	LEGACY-GEN1	SIN-CANDIDATO							0.825196		NINGUNO		SIN-VEREDICTO-SELLADO	NINGUNO		NINGUNA	CORR-SIN-CALC-DECLARADA											
RES-0031	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:tiene_ahorros_enif2024	conducta_p_medido	dinero.ahorro.tiene_ahorros	CORR-0009	GEN2	YA-ADOPTADO	CALC-TIENE-AHORROS-0001-v1_1	CALC-TIENE-AHORROS-0001-v1_1--fb43c8bab410	SELLADA	COINCIDE	RESULT-TIENEAHORROS-A-P-TIENE	0.6420795665818781	0.64208	C2-RESULTADO	C0-CONSUMIDOR;C2-RESULTADO;C3-CORRIDA	COINCIDE	SIN-VEREDICTO-SELLADO	NINGUNO		C2-RESULTADO/CALC-TIENE-AHORROS-0001/RESULT-TIENEAHORROS-A-P-TIENE/SELLO-NO-COINCIDE:AUSENTE	el consumidor ya cita RESULT-TIENEAHORROS-A-P-TIENE con corrida0_generacion=GEN2 y la derivacion lo reproduce											
RES-0032	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:no_tiene_ahorros_enif2024	conducta_p_medido	dinero.ahorro.tiene_ahorros	CORR-0009	GEN2	YA-ADOPTADO	CALC-TIENE-AHORROS-0001-v1_1	CALC-TIENE-AHORROS-0001-v1_1--fb43c8bab410	SELLADA	COINCIDE	RESULT-TIENEAHORROS-A-P-NO-TIENE	0.35792043341812185	0.35792	C2-RESULTADO	C0-CONSUMIDOR;C2-RESULTADO;C3-CORRIDA	COINCIDE	SIN-VEREDICTO-SELLADO	NINGUNO		C2-RESULTADO/CALC-TIENE-AHORROS-0001/RESULT-TIENEAHORROS-A-P-NO-TIENE/SELLO-NO-COINCIDE:AUSENTE	el consumidor ya cita RESULT-TIENEAHORROS-A-P-NO-TIENE con corrida0_generacion=GEN2 y la derivacion lo reproduce											
RES-0033	milpa/tramite.yaml:familia.apoyo.recibe_dinero_familiares:recibe_dinero_familiares_para_vejez	conducta_p_medido	familia.apoyo.recibe_dinero_familiares	CORR-0010	GEN2	YA-ADOPTADO	CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1	CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1--c6c9c957012e	SELLADA	COINCIDE	RESULT-DFVEJEZ-A-P-RECIBE	0.4577065669362348	0.457707	C2-RESULTADO	C0-CONSUMIDOR;C2-RESULTADO;C3-CORRIDA	COINCIDE	SIN-VEREDICTO-SELLADO	NINGUNO		C2-RESULTADO/CALC-DINERO-FAMILIARES-VEJEZ-0001/RESULT-DFVEJEZ-A-P-RECIBE/SELLO-NO-COINCIDE:AUSENTE	el consumidor ya cita RESULT-DFVEJEZ-A-P-RECIBE con corrida0_generacion=GEN2 y la derivacion lo reproduce											
RES-0034	milpa/tramite.yaml:familia.apoyo.recibe_dinero_familiares:no_recibe_dinero_familiares_para_vejez	conducta_p_medido	familia.apoyo.recibe_dinero_familiares	CORR-0010	GEN2	YA-ADOPTADO	CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1	CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1--c6c9c957012e	SELLADA	COINCIDE	RESULT-DFVEJEZ-A-P-NO-RECIBE	0.5422934330637652	0.542293	C2-RESULTADO	C0-CONSUMIDOR;C2-RESULTADO;C3-CORRIDA	COINCIDE	SIN-VEREDICTO-SELLADO	NINGUNO		C2-RESULTADO/CALC-DINERO-FAMILIARES-VEJEZ-0001/RESULT-DFVEJEZ-A-P-NO-RECIBE/SELLO-NO-COINCIDE:AUSENTE	el consumidor ya cita RESULT-DFVEJEZ-A-P-NO-RECIBE con corrida0_generacion=GEN2 y la derivacion lo reproduce											
RES-0035	milpa/tramite.yaml:familia.seguro.volatilidad_ausencia_estado:recibe_remesas	conducta_p_medido	familia.seguro.volatilidad_ausencia_estado	CORR-0011	GEN2	YA-ADOPTADO	CALC-B-0001	CALC-B-0001--098298ca327f	SELLADA	COINCIDE	RESULT-B-ENIGH-2022-P	0.04569409956405095	0.045694	C1-SINGULAR	C0-CONSUMIDOR;C1-SINGULAR;C3-CORRIDA	COINCIDE	LISTADO-PARA-MESA-REPRODUCE	CALC-B-0001/RESULT-B-ADOPCION-P3=SUPERADO->CALC-ENIGH-0001/RESULT-ENIGH-A-ADOPCION		NINGUNA	el consumidor ya cita RESULT-B-ENIGH-2022-P con corrida0_generacion=GEN2 y la derivacion lo reproduce											
RES-0036	milpa/tramite.yaml:familia.seguro.volatilidad_ausencia_estado:no_recibe_remesas	conducta_p_derivado	familia.seguro.volatilidad_ausencia_estado	CORR-0011	GEN2	YA-ADOPTADO					RESULT-ENIGH-A-P-COMPLEMENTO		0.954306	C0-CONSUMIDOR	C0-CONSUMIDOR;C3-CORRIDA	NO-DERIVABLE-DESDE-LA-SPEC	LISTADO-PARA-MESA-REPRODUCE	CALC-ENIGH-0001/RESULT-ENIGH-A-ADOPCION		NINGUNA	el consumidor cita RESULT-ENIGH-A-P-COMPLEMENTO; ninguna spec sellada declara ese relevo por C1/C2 -- adopcion no auditable desde la oferta											
RES-0037	milpa/tramite.yaml:dinero.planeacion.formal_estable:tiene_afore	conducta_p_medido	dinero.planeacion.formal_estable	CORR-0012	GEN2	YA-ADOPTADO					RESULT-ENFIH-A-P		0.538502	C0-CONSUMIDOR	C0-CONSUMIDOR;C3-CORRIDA	NO-DERIVABLE-DESDE-LA-SPEC	LISTADO-PARA-MESA-REPRODUCE	CALC-ENFIH-0001/RESULT-ENFIH-A-ADOPCION		NINGUNA	el consumidor cita RESULT-ENFIH-A-P; ninguna spec sellada declara ese relevo por C1/C2 -- adopcion no auditable desde la oferta											
RES-0038	milpa/tramite.yaml:dinero.planeacion.formal_estable:no_tiene_afore	conducta_p_medido	dinero.planeacion.formal_estable	CORR-0012	GEN2	YA-ADOPTADO					RESULT-ENFIH-A-P-COMPLEMENTO		0.461498	C0-CONSUMIDOR	C0-CONSUMIDOR;C3-CORRIDA	NO-DERIVABLE-DESDE-LA-SPEC	LISTADO-PARA-MESA-REPRODUCE	CALC-ENFIH-0001/RESULT-ENFIH-A-ADOPCION		NINGUNA	el consumidor cita RESULT-ENFIH-A-P-COMPLEMENTO; ninguna spec sellada declara ese relevo por C1/C2 -- adopcion no auditable desde la oferta											
