# DERIVADO — NO EDITAR (tools/c2_compuesto.py dictamen, ACTO GEN2-C2-COMPUESTO-RESERVADAS-1)
celda_id_marcador	regla	bloque_desenlace	desenlace_id	par	veredicto	causa	reserva	n_celdas	unidad_dato_arbitro	unidad_dato_marcador	ola	ponderador	universo	nacional_p	nacional_clase	nacional_fuente	linea_regla_yaml
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::edadxescolaridad	dinero.ahorro.via_informal_ejes_enif2024	principal	ahorra_solo_informal	edadxescolaridad	EMITIBLE			16	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.357153	DERIVADO de A, B y A∪B de MAESTRA34-L5 P4 -- sin IC propio; no es MEDIDO	milpa/tramite.yaml:1312 y milpa/tramite-ola5-propuesta-v0.yaml:1127	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::edadxescolaridad	dinero.ahorro.via_informal_ejes_enif2024	secundario	informal_cualquiera	edadxescolaridad	EMITIBLE			16	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.56192	MEDIDO·p(tasa base ponderada, sensibilidad B_solo_informal)	milpa/tramite.yaml:1317 y milpa/tramite-ola5-propuesta-v0.yaml:1131	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::edadxformalidad	dinero.ahorro.via_informal_ejes_enif2024	principal	ahorra_solo_informal	edadxformalidad	NO-EMITIBLE	A-BIS-4 UNIVERSO-RESTRINGIDO: el eje `formalidad` cubre 0.689676 del universo de la regla y el árbitro lo marca `universo_restringido: true`; no reconcilia contra el marginal poblacional ni contra el nacional		8	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.357153	DERIVADO de A, B y A∪B de MAESTRA34-L5 P4 -- sin IC propio; no es MEDIDO	milpa/tramite.yaml:1312 y milpa/tramite-ola5-propuesta-v0.yaml:1127	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::edadxformalidad	dinero.ahorro.via_informal_ejes_enif2024	secundario	informal_cualquiera	edadxformalidad	NO-EMITIBLE	A-BIS-4 UNIVERSO-RESTRINGIDO: el eje `formalidad` cubre 0.689676 del universo de la regla y el árbitro lo marca `universo_restringido: true`; no reconcilia contra el marginal poblacional ni contra el nacional		8	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.56192	MEDIDO·p(tasa base ponderada, sensibilidad B_solo_informal)	milpa/tramite.yaml:1317 y milpa/tramite-ola5-propuesta-v0.yaml:1131	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::edadxsexo	dinero.ahorro.via_informal_ejes_enif2024	principal	ahorra_solo_informal	edadxsexo	EMITIBLE			8	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.357153	DERIVADO de A, B y A∪B de MAESTRA34-L5 P4 -- sin IC propio; no es MEDIDO	milpa/tramite.yaml:1312 y milpa/tramite-ola5-propuesta-v0.yaml:1127	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::edadxsexo	dinero.ahorro.via_informal_ejes_enif2024	secundario	informal_cualquiera	edadxsexo	EMITIBLE			8	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.56192	MEDIDO·p(tasa base ponderada, sensibilidad B_solo_informal)	milpa/tramite.yaml:1317 y milpa/tramite-ola5-propuesta-v0.yaml:1131	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::escolaridadxformalidad	dinero.ahorro.via_informal_ejes_enif2024	principal	ahorra_solo_informal	escolaridadxformalidad	NO-EMITIBLE	A-BIS-4 UNIVERSO-RESTRINGIDO: el eje `formalidad` cubre 0.689676 del universo de la regla y el árbitro lo marca `universo_restringido: true`; no reconcilia contra el marginal poblacional ni contra el nacional		8	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.357153	DERIVADO de A, B y A∪B de MAESTRA34-L5 P4 -- sin IC propio; no es MEDIDO	milpa/tramite.yaml:1312 y milpa/tramite-ola5-propuesta-v0.yaml:1127	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::escolaridadxformalidad	dinero.ahorro.via_informal_ejes_enif2024	secundario	informal_cualquiera	escolaridadxformalidad	NO-EMITIBLE	A-BIS-4 UNIVERSO-RESTRINGIDO: el eje `formalidad` cubre 0.689676 del universo de la regla y el árbitro lo marca `universo_restringido: true`; no reconcilia contra el marginal poblacional ni contra el nacional		8	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.56192	MEDIDO·p(tasa base ponderada, sensibilidad B_solo_informal)	milpa/tramite.yaml:1317 y milpa/tramite-ola5-propuesta-v0.yaml:1131	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::escolaridadxlocalidad	dinero.ahorro.via_informal_ejes_enif2024	principal	ahorra_solo_informal	escolaridadxlocalidad	EMITIBLE			8	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.357153	DERIVADO de A, B y A∪B de MAESTRA34-L5 P4 -- sin IC propio; no es MEDIDO	milpa/tramite.yaml:1312 y milpa/tramite-ola5-propuesta-v0.yaml:1127	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::escolaridadxlocalidad	dinero.ahorro.via_informal_ejes_enif2024	secundario	informal_cualquiera	escolaridadxlocalidad	EMITIBLE			8	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.56192	MEDIDO·p(tasa base ponderada, sensibilidad B_solo_informal)	milpa/tramite.yaml:1317 y milpa/tramite-ola5-propuesta-v0.yaml:1131	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::escolaridadxsexo	dinero.ahorro.via_informal_ejes_enif2024	principal	ahorra_solo_informal	escolaridadxsexo	EMITIBLE			8	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.357153	DERIVADO de A, B y A∪B de MAESTRA34-L5 P4 -- sin IC propio; no es MEDIDO	milpa/tramite.yaml:1312 y milpa/tramite-ola5-propuesta-v0.yaml:1127	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::escolaridadxsexo	dinero.ahorro.via_informal_ejes_enif2024	secundario	informal_cualquiera	escolaridadxsexo	EMITIBLE			8	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.56192	MEDIDO·p(tasa base ponderada, sensibilidad B_solo_informal)	milpa/tramite.yaml:1317 y milpa/tramite-ola5-propuesta-v0.yaml:1131	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::formalidadxlocalidad	dinero.ahorro.via_informal_ejes_enif2024	principal	ahorra_solo_informal	formalidadxlocalidad	NO-EMITIBLE	A-BIS-4 UNIVERSO-RESTRINGIDO: el eje `formalidad` cubre 0.689676 del universo de la regla y el árbitro lo marca `universo_restringido: true`; no reconcilia contra el marginal poblacional ni contra el nacional		4	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.357153	DERIVADO de A, B y A∪B de MAESTRA34-L5 P4 -- sin IC propio; no es MEDIDO	milpa/tramite.yaml:1312 y milpa/tramite-ola5-propuesta-v0.yaml:1127	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::formalidadxlocalidad	dinero.ahorro.via_informal_ejes_enif2024	secundario	informal_cualquiera	formalidadxlocalidad	NO-EMITIBLE	A-BIS-4 UNIVERSO-RESTRINGIDO: el eje `formalidad` cubre 0.689676 del universo de la regla y el árbitro lo marca `universo_restringido: true`; no reconcilia contra el marginal poblacional ni contra el nacional		4	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.56192	MEDIDO·p(tasa base ponderada, sensibilidad B_solo_informal)	milpa/tramite.yaml:1317 y milpa/tramite-ola5-propuesta-v0.yaml:1131	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::formalidadxsexo	dinero.ahorro.via_informal_ejes_enif2024	principal	ahorra_solo_informal	formalidadxsexo	NO-EMITIBLE	A-BIS-4 UNIVERSO-RESTRINGIDO: el eje `formalidad` cubre 0.689676 del universo de la regla y el árbitro lo marca `universo_restringido: true`; no reconcilia contra el marginal poblacional ni contra el nacional		4	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.357153	DERIVADO de A, B y A∪B de MAESTRA34-L5 P4 -- sin IC propio; no es MEDIDO	milpa/tramite.yaml:1312 y milpa/tramite-ola5-propuesta-v0.yaml:1127	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::formalidadxsexo	dinero.ahorro.via_informal_ejes_enif2024	secundario	informal_cualquiera	formalidadxsexo	NO-EMITIBLE	A-BIS-4 UNIVERSO-RESTRINGIDO: el eje `formalidad` cubre 0.689676 del universo de la regla y el árbitro lo marca `universo_restringido: true`; no reconcilia contra el marginal poblacional ni contra el nacional		4	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.56192	MEDIDO·p(tasa base ponderada, sensibilidad B_solo_informal)	milpa/tramite.yaml:1317 y milpa/tramite-ola5-propuesta-v0.yaml:1131	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::localidadxsexo	dinero.ahorro.via_informal_ejes_enif2024	principal	ahorra_solo_informal	localidadxsexo	EMITIBLE			4	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.357153	DERIVADO de A, B y A∪B de MAESTRA34-L5 P4 -- sin IC propio; no es MEDIDO	milpa/tramite.yaml:1312 y milpa/tramite-ola5-propuesta-v0.yaml:1127	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::localidadxsexo	dinero.ahorro.via_informal_ejes_enif2024	secundario	informal_cualquiera	localidadxsexo	EMITIBLE			4	PERSONA elegida 18+	persona_elegida_18mas	ENIF 2024	FAC_PER		0.56192	MEDIDO·p(tasa base ponderada, sensibilidad B_solo_informal)	milpa/tramite.yaml:1317 y milpa/tramite-ola5-propuesta-v0.yaml:1131	milpa/tramite-ola5-propuesta-v0.yaml:1415
CRUCE-GRUPO::tramite.gobierno_digital.util_sin_coercion_ejes_encig2025::edadxescolaridad	tramite.gobierno_digital.util_sin_coercion_ejes_encig2025	unico	adopta_encig2025_luz	edadxescolaridad	EMITIBLE			16	TRÁMITE (quien pagó doce veces contribuye doce veces)	tramite	ENCIG 2025	FAC_TRA	N_TRA=='01'; adopta = P7_3 ∈ {4,5}; no adopta {1,2,6}; fuera {3,7,8,9,blanco}; n = 20 203	0.673393	MEDIDO·p(tasa base ponderada, universo N_TRA=01)	milpa/tramite.yaml:400 (p) y milpa/tramite.yaml:427-432 (ic95/n/ponderador/universo)	milpa/tramite-ola5-propuesta-v0.yaml:1600
CRUCE-GRUPO::tramite.gobierno_digital.util_sin_coercion_ejes_encig2025::edadxsexo	tramite.gobierno_digital.util_sin_coercion_ejes_encig2025	unico	adopta_encig2025_luz	edadxsexo	EMITIBLE			8	TRÁMITE (quien pagó doce veces contribuye doce veces)	tramite	ENCIG 2025	FAC_TRA	N_TRA=='01'; adopta = P7_3 ∈ {4,5}; no adopta {1,2,6}; fuera {3,7,8,9,blanco}; n = 20 203	0.673393	MEDIDO·p(tasa base ponderada, universo N_TRA=01)	milpa/tramite.yaml:400 (p) y milpa/tramite.yaml:427-432 (ic95/n/ponderador/universo)	milpa/tramite-ola5-propuesta-v0.yaml:1600
CRUCE-GRUPO::tramite.gobierno_digital.util_sin_coercion_ejes_encig2025::escolaridadxsexo	tramite.gobierno_digital.util_sin_coercion_ejes_encig2025	unico	adopta_encig2025_luz	escolaridadxsexo	EMITIBLE			8	TRÁMITE (quien pagó doce veces contribuye doce veces)	tramite	ENCIG 2025	FAC_TRA	N_TRA=='01'; adopta = P7_3 ∈ {4,5}; no adopta {1,2,6}; fuera {3,7,8,9,blanco}; n = 20 203	0.673393	MEDIDO·p(tasa base ponderada, universo N_TRA=01)	milpa/tramite.yaml:400 (p) y milpa/tramite.yaml:427-432 (ic95/n/ponderador/universo)	milpa/tramite-ola5-propuesta-v0.yaml:1600
CRUCE-GRUPO::tramite.evasion_norma_ejes_envipe2025::dominio_urbano_ruralxsexo	tramite.evasion_norma_ejes_envipe2025	unico	evade_norma_envipe2025	dominio_urbano_ruralxsexo	EMITIBLE			6	DELITO	delito	ENVIPE 2025	FAC_DEL	BP1_20 ∈ {1,2}; evade_norma = BP1_20=='2' Y BP1_23 ∈ {04,05,06,08} — la CONJUNTA, no la condicional; n = 40 280	0.562774	MEDIDO·p(tasa base ponderada, unidad delito)	milpa/tramite.yaml:497 (p) y milpa/tramite.yaml:519-524 (ic95/n/ponderador/universo)	milpa/tramite-ola5-propuesta-v0.yaml:1672
CRUCE-GRUPO::tramite.evasion_norma_ejes_envipe2025::edadxescolaridad_proxy	tramite.evasion_norma_ejes_envipe2025	unico	evade_norma_envipe2025	edadxescolaridad_proxy	EMITIBLE			16	DELITO	delito	ENVIPE 2025	FAC_DEL	BP1_20 ∈ {1,2}; evade_norma = BP1_20=='2' Y BP1_23 ∈ {04,05,06,08} — la CONJUNTA, no la condicional; n = 40 280	0.562774	MEDIDO·p(tasa base ponderada, unidad delito)	milpa/tramite.yaml:497 (p) y milpa/tramite.yaml:519-524 (ic95/n/ponderador/universo)	milpa/tramite-ola5-propuesta-v0.yaml:1672
CRUCE-GRUPO::tramite.evasion_norma_ejes_envipe2025::edadxsexo	tramite.evasion_norma_ejes_envipe2025	unico	evade_norma_envipe2025	edadxsexo	EMITIBLE			8	DELITO	delito	ENVIPE 2025	FAC_DEL	BP1_20 ∈ {1,2}; evade_norma = BP1_20=='2' Y BP1_23 ∈ {04,05,06,08} — la CONJUNTA, no la condicional; n = 40 280	0.562774	MEDIDO·p(tasa base ponderada, unidad delito)	milpa/tramite.yaml:497 (p) y milpa/tramite.yaml:519-524 (ic95/n/ponderador/universo)	milpa/tramite-ola5-propuesta-v0.yaml:1672
CRUCE-GRUPO::tramite.evasion_norma_ejes_envipe2025::escolaridad_proxyxsexo	tramite.evasion_norma_ejes_envipe2025	unico	evade_norma_envipe2025	escolaridad_proxyxsexo	EMITIBLE			8	DELITO	delito	ENVIPE 2025	FAC_DEL	BP1_20 ∈ {1,2}; evade_norma = BP1_20=='2' Y BP1_23 ∈ {04,05,06,08} — la CONJUNTA, no la condicional; n = 40 280	0.562774	MEDIDO·p(tasa base ponderada, unidad delito)	milpa/tramite.yaml:497 (p) y milpa/tramite.yaml:519-524 (ic95/n/ponderador/universo)	milpa/tramite-ola5-propuesta-v0.yaml:1672
CRUCE-GRUPO::familia.cuidado.reparto_mujeres40_ejes_enut2024::reparto_hogarxsexo_edad	familia.cuidado.reparto_mujeres40_ejes_enut2024	unico	NINGUNO	reparto_hogarxsexo_edad	NO-EMITIBLE	SIN-DESENLACE-BINARIO-COMUN: los dos ejes de esta regla no miden el mismo evento (uno es estimador de RAZÓN sobre hogares, el otro una MEDIA de horas sobre personas); no hay nacional que restar y el logit no está definido fuera de [0,1] | MARGINAL-DEGENERADO: `sexo_edad` / `hombre · 12-17` p=4.528743 (el logit diverge; no se recorta ni se sustituye) | MARGINAL-DEGENERADO: `sexo_edad` / `mujer · 12-17` p=6.695296 (el logit diverge; no se recorta ni se sustituye) | MARGINAL-DEGENERADO: `sexo_edad` / `hombre · 18-29` p=6.097654 (el logit diverge; no se recorta ni se sustituye) | MARGINAL-DEGENERADO: `sexo_edad` / `mujer · 18-29` p=21.891211 (el logit diverge; no se recorta ni se sustituye) | MARGINAL-DEGENERADO: `sexo_edad` / `hombre · 30-39` p=11.465789 (el logit diverge; no se recorta ni se sustituye) | MARGINAL-DEGENERADO: `sexo_edad` / `mujer · 30-39` p=28.311292 (el logit diverge; no se recorta ni se sustituye) | MARGINAL-DEGENERADO: `sexo_edad` / `hombre · 40-59` p=5.889757 (el logit diverge; no se recorta ni se sustituye) | MARGINAL-DEGENERADO: `sexo_edad` / `mujer · 40-59` p=10.915277 (el logit diverge; no se recorta ni se sustituye) | MARGINAL-DEGENERADO: `sexo_edad` / `hombre · 60+` p=5.500178 (el logit diverge; no se recorta ni se sustituye) | MARGINAL-DEGENERADO: `sexo_edad` / `mujer · 60+` p=6.42613 (el logit diverge; no se recorta ni se sustituye)		10	HOGAR (D2) y PERSONA (D1)	MIXTA:HOGAR (D2) y PERSONA (D1)	ENUT 2024	FAC_HOG (D2) / FAC_PER (D1)	D2: los 29 181 hogares de tvar_crea (hogares sin carga aportan 0/0, no se excluyen); D1: las 74 053 personas 12+				milpa/tramite-ola5-propuesta-v0.yaml:2089
