ola	familia	canal	variable_canal	codigo	n_canal	masa_canal	p	ee	ic95_lo	ic95_hi	n_denominador	masa_denominador	delta_2024_menos_2021_pp	comparabilidad	estado	fuente
2024	cuenta	empleador	P5_16	2	152		0.110				1407	8919712	NO-CALCULAR	RUPTURA-DEFINICIONAL-CON-2021	PUBLICADO-ANTECEDENTE-SIN-IC	forense/notas/2026-09-09-GEN2-ADQ-VERIFICACION-CAJA-cierre.md
2024	cuenta	app_celular	P5_16	3	390		0.306				1407	8919712	NO-CALCULAR	RUPTURA-DEFINICIONAL-CON-2021	PUBLICADO-ANTECEDENTE-SIN-IC	forense/notas/2026-09-09-GEN2-ADQ-VERIFICACION-CAJA-cierre.md
2024	cuenta	pagina_internet	P5_16	4	178		0.139				1407	8919712	NO-CALCULAR	RUPTURA-DEFINICIONAL-CON-2021	PUBLICADO-ANTECEDENTE-SIN-IC	forense/notas/2026-09-09-GEN2-ADQ-VERIFICACION-CAJA-cierre.md
2024	cuenta	establecimiento	P5_16	5	232		0.134				1407	8919712	NO-CALCULAR	RUPTURA-DEFINICIONAL-CON-2021	PUBLICADO-ANTECEDENTE-SIN-IC	forense/notas/2026-09-09-GEN2-ADQ-VERIFICACION-CAJA-cierre.md
2024	cuenta	promotor	P5_16	6	21		0.015				1407	8919712	NO-CALCULAR	RUPTURA-DEFINICIONAL-CON-2021	PUBLICADO-ANTECEDENTE-SIN-IC	forense/notas/2026-09-09-GEN2-ADQ-VERIFICACION-CAJA-cierre.md
2024	cuenta	programa_social	P5_16	7	10		0.005				1407	8919712	NO-CALCULAR	RUPTURA-DEFINICIONAL-CON-2021	PUBLICADO-ANTECEDENTE-SIN-IC	forense/notas/2026-09-09-GEN2-ADQ-VERIFICACION-CAJA-cierre.md
2024	cuenta	otro_no_publicado	P5_16	8							1407	8919712	NO-CALCULAR	RUPTURA-DEFINICIONAL-CON-2021	CATEGORIA-NO-PUBLICADA-EN-ANTECEDENTE; NO-INFERIR-P	forense/notas/2026-09-09-GEN2-ADQ-VERIFICACION-CAJA-cierre.md
2021	credito	sucursal	P6_7	1	9	28434	0.082313604586	0.032922608970	0.017786476712	0.146840732459	58	345435	3.268639541400	COMPARABLE-CON-DERIVA-DE-EJEMPLOS	ESTIMADO-CON-DISENO	data/corrida0/CALC-ENIF-FINTECH-0001/resultados.json
2021	credito	app_celular	P6_7	2	33	241124	0.698030020120	0.069905382366	0.561017988325	0.835042051914	58	345435	-12.303002012000	COMPARABLE-CON-DERIVA-DE-EJEMPLOS	ESTIMADO-CON-DISENO	data/corrida0/CALC-ENIF-FINTECH-0001/resultados.json
2021	credito	pagina_internet	P6_7	3	10	41943	0.121420817230	0.042165795155	0.038777377328	0.204064257133	58	345435	8.457918277000	COMPARABLE-CON-DERIVA-DE-EJEMPLOS	ESTIMADO-CON-DISENO	data/corrida0/CALC-ENIF-FINTECH-0001/resultados.json
2021	credito	establecimiento	P6_7	4	2	17178	0.049728603066	0.035392986808	0.000000000000	0.119097582531	58	345435	-1.672860306600	COMPARABLE-CON-DERIVA-DE-EJEMPLOS	ESTIMADO-CON-DISENO	data/corrida0/CALC-ENIF-FINTECH-0001/resultados.json
2021	credito	promotor	P6_7	5	2	12328	0.035688334998	0.028189391168	0.000000000000	0.090938526446	58	345435	0.631166500200	COMPARABLE-CON-DERIVA-DE-EJEMPLOS	ESTIMADO-CON-DISENO	data/corrida0/CALC-ENIF-FINTECH-0001/resultados.json
2021	credito	otro	P6_7	6	2	4428	0.012818620001	0.009342594598	0.000000000000	0.031129768939	58	345435	1.818137999900	COMPARABLE-CON-DERIVA-DE-EJEMPLOS	ESTIMADO-CON-DISENO	data/corrida0/CALC-ENIF-FINTECH-0001/resultados.json
2024	credito	sucursal	P6_6	1	26		0.115				200	1178431	3.268639541400	COMPARABLE-CON-DERIVA-DE-EJEMPLOS	PUBLICADO-ANTECEDENTE-SIN-IC	forense/notas/2026-09-09-GEN2-ADQ-VERIFICACION-CAJA-cierre.md
2024	credito	app_celular	P6_6	2	113		0.575				200	1178431	-12.303002012000	COMPARABLE-CON-DERIVA-DE-EJEMPLOS	PUBLICADO-ANTECEDENTE; CONTROL-PUNTUAL-COINCIDE	forense/notas/2026-09-09-GEN2-ADQ-VERIFICACION-CAJA-cierre.md
2024	credito	pagina_internet	P6_6	3	42		0.206				200	1178431	8.457918277000	COMPARABLE-CON-DERIVA-DE-EJEMPLOS	PUBLICADO-ANTECEDENTE-SIN-IC	forense/notas/2026-09-09-GEN2-ADQ-VERIFICACION-CAJA-cierre.md
2024	credito	establecimiento	P6_6	4	10		0.033				200	1178431	-1.672860306600	COMPARABLE-CON-DERIVA-DE-EJEMPLOS	PUBLICADO-ANTECEDENTE-SIN-IC	forense/notas/2026-09-09-GEN2-ADQ-VERIFICACION-CAJA-cierre.md
2024	credito	promotor	P6_6	5	7		0.042				200	1178431	0.631166500200	COMPARABLE-CON-DERIVA-DE-EJEMPLOS	PUBLICADO-ANTECEDENTE-SIN-IC	forense/notas/2026-09-09-GEN2-ADQ-VERIFICACION-CAJA-cierre.md
2024	credito	otro	P6_6	6	2		0.031				200	1178431	1.818137999900	COMPARABLE-CON-DERIVA-DE-EJEMPLOS	PUBLICADO-ANTECEDENTE-SIN-IC	forense/notas/2026-09-09-GEN2-ADQ-VERIFICACION-CAJA-cierre.md
