variante	escala	eje	categoria	objetivo	metodo	olas_previas	pronostico	observado	ic_lo	ic_hi	n	error	error_relativo	cobertura_ic_piso	cobertura_proxy	piso_ic_lo	piso_ic_hi	nota
MIN	media	EDAD	40-59	2019	V1-PERSISTENCIA	2014	9.985590	9.660110	9.270453	10.057657	21355	-0.325480	-0.032595	1	1	9.536954	10.431570	
MIN	media	EDAD	40-59	2019	V2-TENDENCIA-2-OLAS	2009+2014	11.958538	9.660110	9.270453	10.057657	21355	-2.298427	-0.192200		0			
MIN	media	EDAD	40-59	2019	V3-TENDENCIA-SERIE			9.660110	9.270453	10.057657	21355							NO-APLICA: olas previas insuficientes
MIN	media	EDAD	60-MAS	2019	V1-PERSISTENCIA	2014	6.630236	6.751315	6.297923	7.217578	11494	0.121078	0.018262	1	1	6.029597	7.217780	
MIN	media	EDAD	60-MAS	2019	V2-TENDENCIA-2-OLAS	2009+2014	9.421805	6.751315	6.297923	7.217578	11494	-2.670491	-0.283437		0			
MIN	media	EDAD	60-MAS	2019	V3-TENDENCIA-SERIE			6.751315	6.297923	7.217578	11494							NO-APLICA: olas previas insuficientes
MIN	media	ESCOLARIDAD	HASTA-PRIMARIA	2019	V1-PERSISTENCIA	2014	10.350568	9.234753	8.828805	9.645555	19959	-1.115815	-0.107802	0	0	9.836919	10.878693	
MIN	media	ESCOLARIDAD	HASTA-PRIMARIA	2019	V2-TENDENCIA-2-OLAS	2009+2014	12.204572	9.234753	8.828805	9.645555	19959	-2.969819	-0.243337		0			
MIN	media	ESCOLARIDAD	HASTA-PRIMARIA	2019	V3-TENDENCIA-SERIE			9.234753	8.828805	9.645555	19959							NO-APLICA: olas previas insuficientes
MIN	media	ESCOLARIDAD	SECUNDARIA	2019	V1-PERSISTENCIA	2014	13.658408	13.446162	12.974523	13.917753	22418	-0.212246	-0.015540	1	1	13.114575	14.193250	
MIN	media	ESCOLARIDAD	SECUNDARIA	2019	V2-TENDENCIA-2-OLAS	2009+2014	16.204555	13.446162	12.974523	13.917753	22418	-2.758393	-0.170223		0			
MIN	media	ESCOLARIDAD	SECUNDARIA	2019	V3-TENDENCIA-SERIE			13.446162	12.974523	13.917753	22418							NO-APLICA: olas previas insuficientes
MIN	media	ESCOLARIDAD	MEDIA-SUPERIOR	2019	V1-PERSISTENCIA	2014	12.658233	12.566635	12.075093	13.063459	16975	-0.091597	-0.007236	1	1	12.085401	13.245801	
MIN	media	ESCOLARIDAD	MEDIA-SUPERIOR	2019	V2-TENDENCIA-2-OLAS	2009+2014	13.793450	12.566635	12.075093	13.063459	16975	-1.226814	-0.088942		0			
MIN	media	ESCOLARIDAD	MEDIA-SUPERIOR	2019	V3-TENDENCIA-SERIE			12.566635	12.075093	13.063459	16975							NO-APLICA: olas previas insuficientes
MIN	media	ESCOLARIDAD	SUPERIOR	2019	V1-PERSISTENCIA	2014	11.803411	11.418879	10.842280	12.013975	12052	-0.384531	-0.032578	1	1	11.061419	12.547211	
MIN	media	ESCOLARIDAD	SUPERIOR	2019	V2-TENDENCIA-2-OLAS	2009+2014	14.778021	11.418879	10.842280	12.013975	12052	-3.359141	-0.227307		0			
MIN	media	ESCOLARIDAD	SUPERIOR	2019	V3-TENDENCIA-SERIE			11.418879	10.842280	12.013975	12052							NO-APLICA: olas previas insuficientes
MIN	media	LOCALIDAD	URBANO	2019	V1-PERSISTENCIA	2014	11.960631	11.273022	10.934421	11.611329	53472	-0.687609	-0.057489	0	0	11.548451	12.368252	
MIN	media	LOCALIDAD	URBANO	2019	V2-TENDENCIA-2-OLAS	2009+2014	14.129143	11.273022	10.934421	11.611329	53472	-2.856120	-0.202144		0			
MIN	media	LOCALIDAD	URBANO	2019	V3-TENDENCIA-SERIE			11.273022	10.934421	11.611329	53472							NO-APLICA: olas previas insuficientes
MIN	media	LOCALIDAD	RURAL	2019	V1-PERSISTENCIA	2014	12.392569	13.319977	12.591422	14.052647	17932	0.927408	0.074836	0	0	11.650320	13.169502	
MIN	media	LOCALIDAD	RURAL	2019	V2-TENDENCIA-2-OLAS	2009+2014	14.350303	13.319977	12.591422	14.052647	17932	-1.030326	-0.071798		0			
MIN	media	LOCALIDAD	RURAL	2019	V3-TENDENCIA-SERIE			13.319977	12.591422	14.052647	17932							NO-APLICA: olas previas insuficientes
MIN	media	NACIONAL	NAC	2024	V1-PERSISTENCIA	2019	11.723523	8.514124	8.239829	8.790172	74053	-3.209399	-0.273757	0	0	11.412690	12.034890	
MIN	media	NACIONAL	NAC	2024	V2-TENDENCIA-2-OLAS	2014+2019	11.390646	8.514124	8.239829	8.790172	74053	-2.876523	-0.252534		0			
MIN	media	NACIONAL	NAC	2024	V3-TENDENCIA-SERIE	2009+2014+2019	13.033244	8.514124	8.239829	8.790172	74053	-4.519120	-0.346738		0			
MIN	media	SEXO	HOMBRE	2024	V1-PERSISTENCIA	2019	6.250601	4.566230	4.391430	4.747121	34143	-1.684372	-0.269474	0	0	6.033296	6.465697	
MIN	media	SEXO	HOMBRE	2024	V2-TENDENCIA-2-OLAS	2014+2019	6.305352	4.566230	4.391430	4.747121	34143	-1.739122	-0.275817		0			
MIN	media	SEXO	HOMBRE	2024	V3-TENDENCIA-SERIE	2009+2014+2019	7.385551	4.566230	4.391430	4.747121	34143	-2.819321	-0.381735		0			
MIN	media	SEXO	MUJER	2024	V1-PERSISTENCIA	2019	16.645407	11.946951	11.550862	12.342899	39910	-4.698456	-0.282267	0	0	16.197749	17.106280	
MIN	media	SEXO	MUJER	2024	V2-TENDENCIA-2-OLAS	2014+2019	15.991623	11.946951	11.550862	12.342899	39910	-4.044672	-0.252924		0			
MIN	media	SEXO	MUJER	2024	V3-TENDENCIA-SERIE	2009+2014+2019	18.101869	11.946951	11.550862	12.342899	39910	-6.154918	-0.340016		0			
MIN	media	EDAD	12-17	2024	V1-PERSISTENCIA	2019	4.493389	3.635630	3.351683	3.948262	9696	-0.857758	-0.190893	0	0	4.171442	4.833865	
MIN	media	EDAD	12-17	2024	V2-TENDENCIA-2-OLAS	2014+2019	4.272379	3.635630	3.351683	3.948262	9696	-0.636749	-0.149039		0			
MIN	media	EDAD	12-17	2024	V3-TENDENCIA-SERIE	2009+2014+2019	5.373097	3.635630	3.351683	3.948262	9696	-1.737467	-0.323364		0			
MIN	media	EDAD	18-29	2024	V1-PERSISTENCIA	2019	15.652982	11.320450	10.793854	11.840964	16048	-4.332532	-0.276786	0	0	15.106591	16.219482	
MIN	media	EDAD	18-29	2024	V2-TENDENCIA-2-OLAS	2014+2019	15.731331	11.320450	10.793854	11.840964	16048	-4.410881	-0.280388		0			
MIN	media	EDAD	18-29	2024	V3-TENDENCIA-SERIE	2009+2014+2019	17.329605	11.320450	10.793854	11.840964	16048	-6.009155	-0.346757		0			
MIN	media	EDAD	30-39	2024	V1-PERSISTENCIA	2019	20.372886	16.221516	15.547332	16.917833	13044	-4.151370	-0.203769	0	0	19.669832	21.070838	
MIN	media	EDAD	30-39	2024	V2-TENDENCIA-2-OLAS	2014+2019	20.082877	16.221516	15.547332	16.917833	13044	-3.861360	-0.192271		0			
MIN	media	EDAD	30-39	2024	V3-TENDENCIA-SERIE	2009+2014+2019	22.029349	16.221516	15.547332	16.917833	13044	-5.807833	-0.263641		0			
MIN	media	EDAD	40-59	2024	V1-PERSISTENCIA	2019	9.660110	6.586456	6.254350	6.943651	22075	-3.073654	-0.318180	0	0	9.270453	10.057657	
MIN	media	EDAD	40-59	2024	V2-TENDENCIA-2-OLAS	2014+2019	9.334631	6.586456	6.254350	6.943651	22075	-2.748174	-0.294406		0			
MIN	media	EDAD	40-59	2024	V3-TENDENCIA-SERIE	2009+2014+2019	10.866916	6.586456	6.254350	6.943651	22075	-4.280459	-0.393898		0			
MIN	media	EDAD	60-MAS	2024	V1-PERSISTENCIA	2019	6.751315	4.347469	4.037604	4.665547	13190	-2.403846	-0.356056	0	0	6.297923	7.217578	
MIN	media	EDAD	60-MAS	2024	V2-TENDENCIA-2-OLAS	2014+2019	6.872393	4.347469	4.037604	4.665547	13190	-2.524924	-0.367401		0			
MIN	media	EDAD	60-MAS	2024	V3-TENDENCIA-SERIE	2009+2014+2019	8.652720	4.347469	4.037604	4.665547	13190	-4.305252	-0.497560		0			
MIN	media	ESCOLARIDAD	HASTA-PRIMARIA	2024	V1-PERSISTENCIA	2019	9.234753	6.208439	5.828378	6.595518	19773	-3.026314	-0.327709	0	0	8.828805	9.645555	
MIN	media	ESCOLARIDAD	HASTA-PRIMARIA	2024	V2-TENDENCIA-2-OLAS	2014+2019	8.118938	6.208439	5.828378	6.595518	19773	-1.910499	-0.235314		0			
MIN	media	ESCOLARIDAD	HASTA-PRIMARIA	2024	V3-TENDENCIA-SERIE	2009+2014+2019	10.098817	6.208439	5.828378	6.595518	19773	-3.890378	-0.385231		0			
MIN	media	ESCOLARIDAD	SECUNDARIA	2024	V1-PERSISTENCIA	2019	13.446162	9.455878	8.990146	9.924918	22433	-3.990284	-0.296760	0	0	12.974523	13.917753	
MIN	media	ESCOLARIDAD	SECUNDARIA	2024	V2-TENDENCIA-2-OLAS	2014+2019	13.233916	9.455878	8.990146	9.924918	22433	-3.778038	-0.285481		0			
MIN	media	ESCOLARIDAD	SECUNDARIA	2024	V3-TENDENCIA-SERIE	2009+2014+2019	15.072845	9.455878	8.990146	9.924918	22433	-5.616967	-0.372655		0			
MIN	media	ESCOLARIDAD	MEDIA-SUPERIOR	2024	V1-PERSISTENCIA	2019	12.566635	9.821695	9.396084	10.260734	17693	-2.744940	-0.218431	0	0	12.075093	13.063459	
