# DERIVADO — NO EDITAR
corrida_id	instrumento	payload_ids	medidor_o_spec_candidato	n_resultados	resultados_ids	entorno_requerido	receta	orden_causal
CORR-0017	forense/prereg-caja/S7-L17-spec-v1_0.md	NO-DECLARADO-EN-EL-REGISTRO	SIN-CANDIDATO-EN-EL-REGISTRO	2	RES-0063;RES-0064	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	PARCIAL:payload_ids+script+spec+spec_sha	1
CORR-0018	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	SIN-CANDIDATO-EN-EL-REGISTRO	7	RES-0067;RES-0068;RES-0069;RES-0070;RES-0071;RES-0072;RES-0073	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	SIN-RECETA	2
CORR-0019	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	SIN-CANDIDATO-EN-EL-REGISTRO	21	RES-0074;RES-0075;RES-0076;RES-0077;RES-0078;RES-0079;RES-0080;RES-0081;RES-0082;RES-0083;RES-0084;RES-0085;RES-0086;RES-0087;RES-0088;RES-0089;RES-0090;RES-0091;RES-0092;RES-0093;RES-0094	INDECIDIBLE-SIN-SPEC	SIN-RECETA	3
CORR-0020	ENVIPE 2012	envipe_2012_base_de_datos_envipe_2012_dbf	tools/arbitra.py	1	RES-0095	CAJA	PARCIAL:sha256+spec_sha	4
CORR-0021	ENVIPE 2012	NO-DECLARADO-EN-EL-REGISTRO	tools/emite_m.py	1	RES-0096	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	5
CORR-0022	ENVIPE 2012	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/runner_l_cli.py	2	RES-0097;RES-0098	NUBE	PARCIAL:payload_ids+sha256	6
CORR-0023	ENVIPE 2012	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/agregado_v1_3.py	1	RES-0099	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	7
CORR-0024	ENVIPE 2013	envipe_2013_bd_envipe13_dbf	tools/arbitra.py	1	RES-0100	CAJA	PARCIAL:sha256+spec_sha	4
CORR-0025	ENVIPE 2013	NO-DECLARADO-EN-EL-REGISTRO	tools/emite_m.py	1	RES-0101	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	5
CORR-0026	ENVIPE 2013	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/runner_l_cli.py	2	RES-0102;RES-0103	NUBE	PARCIAL:payload_ids+sha256	6
CORR-0027	ENVIPE 2013	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/agregado_v1_3.py	1	RES-0104	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	7
CORR-0028	ENVIPE 2015	envipe_2015_bd_envipe2015_dbf	tools/arbitra.py	1	RES-0105	CAJA	PARCIAL:sha256+spec_sha	4
CORR-0029	ENVIPE 2015	NO-DECLARADO-EN-EL-REGISTRO	tools/emite_m.py	1	RES-0106	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	5
CORR-0030	ENVIPE 2015	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/runner_l_cli.py	2	RES-0107;RES-0108	NUBE	PARCIAL:payload_ids+sha256	6
CORR-0031	ENVIPE 2015	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/agregado_v1_3.py	1	RES-0109	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	7
CORR-0032	ENVIPE 2021	envipe2021_csv	tools/arbitra.py	1	RES-0110	CAJA	PARCIAL:sha256+spec_sha	4
CORR-0033	ENVIPE 2021	NO-DECLARADO-EN-EL-REGISTRO	tools/emite_m.py	1	RES-0111	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	5
CORR-0034	ENVIPE 2021	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/runner_l_cli.py	2	RES-0112;RES-0113	NUBE	PARCIAL:payload_ids+sha256	6
CORR-0035	ENVIPE 2021	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/agregado_v1_3.py	1	RES-0114	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	7
CORR-0036	ENVIPE 2023	envipe2023_csv	tools/arbitra.py	1	RES-0115	CAJA	PARCIAL:sha256+spec_sha	4
CORR-0037	ENVIPE 2023	NO-DECLARADO-EN-EL-REGISTRO	tools/emite_m.py	1	RES-0116	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	5
CORR-0038	ENVIPE 2023	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/runner_l_cli.py	2	RES-0117;RES-0118	NUBE	PARCIAL:payload_ids+sha256	6
CORR-0039	ENVIPE 2023	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/agregado_v1_3.py	1	RES-0119	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	7
CORR-0040	ENVIPE 2024	envipe2024_csv	tools/arbitra.py	1	RES-0120	CAJA	PARCIAL:sha256+spec_sha	4
CORR-0041	ENVIPE 2024	NO-DECLARADO-EN-EL-REGISTRO	tools/emite_m.py	1	RES-0121	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	5
CORR-0042	ENVIPE 2024	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/runner_l_cli.py	2	RES-0122;RES-0123	NUBE	PARCIAL:payload_ids+sha256	6
CORR-0043	ENVIPE 2024	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/agregado_v1_3.py	1	RES-0124	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	7
CORR-0044	ENNViH/MxFLS 2002 (ola 1)	ennvih1_2002_hogar_dta	tools/arbitra.py	1	RES-0125	CAJA	PARCIAL:sha256+spec_sha	4
CORR-0045	ENNViH/MxFLS 2002 (ola 1)	NO-DECLARADO-EN-EL-REGISTRO	tools/emite_m.py	1	RES-0126	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	5
CORR-0046	ENNViH/MxFLS 2002 (ola 1)	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/runner_l_cli.py	2	RES-0127;RES-0128	NUBE	PARCIAL:payload_ids+sha256	6
CORR-0047	ENNViH/MxFLS 2002 (ola 1)	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/agregado_v1_3.py	1	RES-0129	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	7
CORR-0048	ENIF 2018	enif2018_csv	tools/arbitra.py	1	RES-0130	CAJA	PARCIAL:sha256+spec_sha	4
CORR-0049	ENIF 2018	NO-DECLARADO-EN-EL-REGISTRO	tools/emite_m.py	1	RES-0131	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	5
CORR-0050	ENIF 2018	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/runner_l_cli.py	2	RES-0132;RES-0133	NUBE	PARCIAL:payload_ids+sha256	6
CORR-0051	ENIF 2018	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/agregado_v1_3.py	1	RES-0134	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	7
CORR-0052	ENIGH 2016	enigh2016_nc_csv	tools/arbitra.py	1	RES-0135	CAJA	PARCIAL:sha256+spec_sha	4
CORR-0053	ENIGH 2016	NO-DECLARADO-EN-EL-REGISTRO	tools/emite_m.py	1	RES-0136	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	5
CORR-0054	ENIGH 2016	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/runner_l_cli.py	2	RES-0137;RES-0138	NUBE	PARCIAL:payload_ids+sha256	6
CORR-0055	ENIGH 2016	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/agregado_v1_3.py	1	RES-0139	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	7
CORR-0056	ENIGH 2018	enigh2018_nc_csv	tools/arbitra.py	1	RES-0140	CAJA	PARCIAL:sha256+spec_sha	4
CORR-0057	ENIGH 2018	NO-DECLARADO-EN-EL-REGISTRO	tools/emite_m.py	1	RES-0141	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	5
CORR-0058	ENIGH 2018	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/runner_l_cli.py	2	RES-0142;RES-0143	NUBE	PARCIAL:payload_ids+sha256	6
CORR-0059	ENIGH 2018	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/agregado_v1_3.py	1	RES-0144	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	7
CORR-0060	ENIGH 2020	enigh2020_nc_csv	tools/arbitra.py	1	RES-0145	CAJA	PARCIAL:sha256+spec_sha	4
CORR-0061	ENIGH 2020	NO-DECLARADO-EN-EL-REGISTRO	tools/emite_m.py	1	RES-0146	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	5
CORR-0062	ENIGH 2020	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/runner_l_cli.py	2	RES-0147;RES-0148	NUBE	PARCIAL:payload_ids+sha256	6
CORR-0063	ENIGH 2020	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/agregado_v1_3.py	1	RES-0149	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	7
CORR-0064	ENCUCI 2020	encuci2020_bd_dbf	tools/arbitra.py	1	RES-0150	CAJA	PARCIAL:sha256+spec_sha	4
CORR-0065	ENCUCI 2020	NO-DECLARADO-EN-EL-REGISTRO	tools/emite_m.py	1	RES-0151	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	5
CORR-0066	ENCUCI 2020	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/runner_l_cli.py	2	RES-0152;RES-0153	NUBE	PARCIAL:payload_ids+sha256	6
CORR-0067	ENCUCI 2020	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/agregado_v1_3.py	1	RES-0154	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	7
CORR-0068	ENCIG 2013	encig_2013_encig13_base_datos_dbf	tools/arbitra.py	1	RES-0155	CAJA	PARCIAL:sha256+spec_sha	4
CORR-0069	ENCIG 2013	NO-DECLARADO-EN-EL-REGISTRO	tools/emite_m.py	1	RES-0156	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	5
CORR-0070	ENCIG 2013	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/runner_l_cli.py	2	RES-0157;RES-0158	NUBE	PARCIAL:payload_ids+sha256	6
CORR-0071	ENCIG 2013	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/agregado_v1_3.py	1	RES-0159	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	7
CORR-0072	ENCIG 2021	encig2021_csv	tools/arbitra.py	1	RES-0160	CAJA	PARCIAL:sha256+spec_sha	4
CORR-0073	ENCIG 2021	NO-DECLARADO-EN-EL-REGISTRO	tools/emite_m.py	1	RES-0161	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	5
CORR-0074	ENCIG 2021	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/runner_l_cli.py	2	RES-0162;RES-0163	NUBE	PARCIAL:payload_ids+sha256	6
CORR-0075	ENCIG 2021	NO-DECLARADO-EN-EL-REGISTRO	forense/prereg-duelo-v2/agregado_v1_3.py	1	RES-0164	NUBE	PARCIAL:payload_ids+sha256+spec+spec_sha	7
CORR-0076	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	milpa/src/pi.py	6	RES-0165;RES-0166;RES-0167;RES-0168;RES-0169;RES-0170	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	PARCIAL:payload_ids+sha256+spec_sha	0
CORR-0077	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	milpa/src/motor.py	1	RES-0171	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	PARCIAL:payload_ids+sha256+spec_sha	0
CORR-0078	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	milpa/src/motor.py	1	RES-0172	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	PARCIAL:payload_ids+sha256+spec_sha	0
CORR-0079	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	milpa/src/motor.py	1	RES-0173	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	PARCIAL:payload_ids+sha256+spec_sha	0
CORR-0080	ENIGH 2022 nueva serie, registro PERSONA (modelo §1.1.A)	NO-DECLARADO-EN-EL-REGISTRO	milpa/src/momentos.py	8	RES-0174;RES-0175;RES-0176;RES-0177;RES-0178;RES-0179;RES-0180;RES-0181	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	PARCIAL:payload_ids+sha256+spec_sha	1
CORR-0081	POR DECLARAR -- el pre-registro fija instrumento por ficha	NO-DECLARADO-EN-EL-REGISTRO	milpa/src/momentos.py	14	RES-0182;RES-0183;RES-0184;RES-0185;RES-0186;RES-0187;RES-0188;RES-0189;RES-0190;RES-0191;RES-0192;RES-0193;RES-0194;RES-0195	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	PARCIAL:payload_ids+sha256+spec_sha	1
CORR-0082	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	milpa/src/theta.py	12	RES-0196;RES-0197;RES-0198;RES-0199;RES-0200;RES-0201;RES-0202;RES-0203;RES-0204;RES-0205;RES-0206;RES-0207	INDECIDIBLE-SIN-PAYLOAD-DECLARADO	PARCIAL:payload_ids+sha256+spec_sha	2
