id_manifiesto,archivo,sha256,tamano_bytes,filas_datos,columnas_cabecera,ancho_minimo,ancho_maximo,filas_ancho_distinto,encoding,categoria,periodo_o_corte,unidad_observada,columnas,limite_interpretacion
a6_condusef_educacion_financiera_comportamiento_general__b1_comportami,A6_CONDUSEF_DATOS_ABIERTOS/educacion_financiera_comportamiento_general__b1_comportamiento_general_bef.csv,6c8f4736942a711121409173ee17cb3db5a2d599c82e1ec15ce2388d5937f338,1683743,3762,51,51,51,0,utf-8-sig,comportamiento_general,NO_INCLUIDO_EN_CSV,ficha BEF por institución,sector|id_sector|id_institucion|institucion|reclamacion_condusef_reune|indice_reclamacion|reclamacion_condusef|porcentaje_resolucion_favorable|tiempo_respuesta|reclamacion_reune|monto_reclamado|monto_promedio_reclamacion|monto_reclamado_concluido|monto_abonado|porcentaje_abono|sancion|monto|sancion_lpdusf|monto_lpdusf|sancion_ltosf|monto_ltosf|sancion_lic|monto_lic|sancion_lgoaac|monto_lgoaac|idatu|practicas_no_sanas|observaciones|clausulas_abusivas|reune_trimestral|educacion_financiera|reclamaciones_gestionadas_buros|reclamaciones_gestionadas_buros_bancos|reclamaciones_gestionadas_buros_sofom_enr|reclamaciones_gestionadas_buros_sofom_er|reclamaciones_gestionadas_buros_infonacot|reclamaciones_gestionadas_buros_socaps|reclamaciones_gestionadas_buros_sofipos|reclamaciones_gestionadas_buros_otros_sectores|imputables_buro|porcentaje_afores_trabajador|sb0|sb60_64|sb65_69|sb70_74|sb75_79|sb80_84|sb85_89|sb90_94|sb95_99|sbinicial,"Mezcla conteos, índices y calificaciones; no se suman columnas heterogéneas."
a6_condusef_educacion_financiera_comportamiento_general__comportamient,A6_CONDUSEF_DATOS_ABIERTOS/educacion_financiera_comportamiento_general__comportamiento_general_BEF.csv,b97d31db74774b1f99786bf81fe13a6f5943db15a5259629d705d1248f9cd927,1624975,3533,51,51,51,0,utf-8-sig,comportamiento_general,NO_INCLUIDO_EN_CSV,ficha BEF por institución,sector|id_sector|id_institucion|institucion|reclamacion_condusef_reune|indice_reclamacion|reclamacion_condusef|porcentaje_resolucion_favorable|tiempo_respuesta|reclamacion_reune|monto_reclamado|monto_promedio_reclamacion|monto_reclamado_concluido|monto_abonado|porcentaje_abono|sancion|monto|sancion_lpdusf|monto_lpdusf|sancion_ltosf|monto_ltosf|sancion_lic|monto_lic|sancion_lgoaac|monto_lgoaac|idatu|practicas_no_sanas|observaciones|clausulas_abusivas|reune_trimestral|educacion_financiera|reclamaciones_gestionadas_buros|reclamaciones_gestionadas_buros_bancos|reclamaciones_gestionadas_buros_sofom_enr|reclamaciones_gestionadas_buros_sofom_er|reclamaciones_gestionadas_buros_infonacot|reclamaciones_gestionadas_buros_socaps|reclamaciones_gestionadas_buros_sofipos|reclamaciones_gestionadas_buros_otros_sectores|imputables_buro|porcentaje_afores_trabajador|sb0|sb60_64|sb65_69|sb70_74|sb75_79|sb80_84|sb85_89|sb90_94|sb95_99|sbinicial,"Mezcla conteos, índices y calificaciones; no se suman columnas heterogéneas."
a6_condusef_educacion_financiera_evaluacion_producto__b2_evaluacion_pr,A6_CONDUSEF_DATOS_ABIERTOS/educacion_financiera_evaluacion_producto__b2_evaluacion_producto_bef.csv,9789320ae1674b36487307b475ba0817d74e1838f12562db3d31a221c10c3328,215716,1051,21,21,21,0,utf-8-sig,evaluacion_producto,NO_INCLUIDO_EN_CSV,reclamaciones por institución-producto,sector|producto|posicion_calificacion|institucion|total_reclamacion|indice_reclamacion|sancion|sancion_lpdusf|sancion_ltosf|sancion_lic|sancion_lgoaac|prom_sancion|monto_sancion_lpdusf|monto_sancion_ltosf|monto_sancion_lic|monto_sancion_loaac|calificacion_supervision_condusef|practicas_no_sanas|clausulas_abusivas|observaciones|calificacion_general_producto,El corte temporal no está dentro del CSV; las ediciones no forman una serie comparable.
a6_condusef_educacion_financiera_evaluacion_producto__evaluacion_produ,A6_CONDUSEF_DATOS_ABIERTOS/educacion_financiera_evaluacion_producto__evaluacion_producto_BEF.csv,d437b2e124abe8f2cf3cb4b7c914137250875c551d9a4e455b5b622fe587b14f,185624,915,21,21,21,0,utf-8-sig,evaluacion_producto,NO_INCLUIDO_EN_CSV,reclamaciones por institución-producto,sector|producto|posicion_calificacion|institucion|total_reclamacion|indice_reclamacion|sancion|sancion_lpdusf|sancion_ltosf|sancion_lic|sancion_lgoaac|prom_sancion|monto_sancion_lpdusf|monto_sancion_ltosf|monto_sancion_lic|monto_sancion_loaac|calificacion_supervision_condusef|practicas_no_sanas|clausulas_abusivas|observaciones|calificacion_general_producto,El corte temporal no está dentro del CSV; las ediciones no forman una serie comparable.
a6_condusef_plan_apertura_datos_condusef__condusef_2026_,A6_CONDUSEF_DATOS_ABIERTOS/plan_apertura_datos_condusef__CONDUSEF_2026.csv,1773a6f045f3ac488cefec4ef6b7071a019df2f72ae29615f5aaefdb4a4894ce,34309,43,9,9,9,0,utf-8-sig,plan_apertura,NO_INCLUIDO_EN_CSV,catálogo administrativo,Conjunto de datos|Descripción del conjunto de datos|Recurso de datos|Descripción del recurso de datos|Fecha publicación 2026|Periodicidad de publicación|Área que genera el recurso de datos|Importancia del recurso|Población objetivo o sector de uso,"Metadato de publicación, no observaciones de usuarios."
a6_condusef_registros_instituciones_financieras_usuarios_productos_ser,A6_CONDUSEF_DATOS_ABIERTOS/registros_instituciones_financieras_usuarios_productos_servicios_seguro_automovil__RESBA_auto_julio_2025.csv,3b68d1e711d96338dd840fe2b456ffac0e03718f000e2205da029f1eca4aaf4d,404709,3456,13,13,13,0,utf-8-sig,seguro_automovil,corte_en_nombre:2025-07,cotizaciones/registro de seguro de automóvil,institucion|estado|periodicidad|costo_prima|iva|recargos|gastos_administrativos|costo_anual|iva_anual|recargos_anual|gastos_administrativos_anual|mes_ultimo_reporte|fecha_registro,"Oferta por institución y estado, no reclamaciones."
a6_condusef_05_registros_instituciones_financieras_usua,A6_CONDUSEF_DATOS_ABIERTOS/registros_instituciones_financieras_usuarios_productos_servicios_seguro_automovil__auto_datos_abiertos_resba_4_trim_26.csv,fa9567a7472f882d4f46b13d3ce81844169b2d0e2cf7296de88fde422c9323f1,1344462,10368,13,13,13,0,utf-8-sig,seguro_automovil,edicion_en_nombre:4_trim_26; periodo_no_incluido,cotizaciones/registro de seguro de automóvil,institucion|estado|periodicidad|costo_prima|iva|recargos|gastos_administrativos|costo_anual|iva_anual|recargos_anual|gastos_administrativos_anual|mes_utimo_reporte|fecha_registro,"Oferta por institución y estado, no reclamaciones."
a6_condusef_registros_instituciones_financieras_usuarios_seguro_vida__,A6_CONDUSEF_DATOS_ABIERTOS/registros_instituciones_financieras_usuarios_seguro_vida__RESBA_vida_julio_2025.csv,bfb4664992d38d7d5766fee8ef25f0d2192b1c3594e6d4edcb8bb00500c4c06b,1214732,15252,8,8,8,0,utf-8-sig,seguro_vida,corte_en_nombre:2025-07,cotizaciones/registro de seguro de vida,institucion|edad|suma_asegurada|sexo|costo|gastos_administrativos|mes_ultimo_reporte|fecha_registro,"Oferta por institución y perfil, no reclamaciones."
a6_condusef_06_registros_instituciones_financieras_usua,A6_CONDUSEF_DATOS_ABIERTOS/registros_instituciones_financieras_usuarios_seguro_vida__vida_datos_abiertos_resba_4_trim_26.csv,3ed4e10ed0c7cb8ff8d2cbee1471e6ed92bf28d55f569eb7605dcd78bcd90ac2,3988010,45756,8,8,8,0,utf-8-sig,seguro_vida,edicion_en_nombre:4_trim_26; periodo_no_incluido,cotizaciones/registro de seguro de vida,institucion|edad|suma_asegurada|sexo|costo|gastos_administrativos|mes_ultimo_reporte|fecha_registro,"Oferta por institución y perfil, no reclamaciones."
a6_condusef_supervision_financiera_calificaciones_producto_financiero_,A6_CONDUSEF_DATOS_ABIERTOS/supervision_financiera_calificaciones_producto_financiero_institucion__calificaciones_3trimestres_25.csv,833aae7061ed1d6667668ece9a0de60b721568e70ee87d0a8dd0e75ef0c481b9,21856,179,6,6,6,0,utf-8-sig,calificaciones_producto,corte_en_nombre:2025T3,supervisión por producto,sector|institucion_financiera|producto|reca|eva_supervision_producto|calificacion_promedio_producto,"Calificación de supervisión, no frecuencia entre contratos o clientes."
a6_condusef_07_supervision_financiera_calificaciones_pr,A6_CONDUSEF_DATOS_ABIERTOS/supervision_financiera_calificaciones_producto_financiero_institucion__calificaciones_4trimestres_25.csv,e9efbfa1da356bfd9608447af6dc9a263fbb64a7be6360379c0ed91b66ba9be1,8100,53,6,6,6,0,utf-8-sig,calificaciones_producto,corte_en_nombre:2025T4,supervisión por producto,sector|institucion_financiera|producto|reca|evasupervisionproducto|calificacionpromedioproducto,"Calificación de supervisión, no frecuencia entre contratos o clientes."
a6_condusef_supervision_financiera_clausulas_abusivas_producto_financi,A6_CONDUSEF_DATOS_ABIERTOS/supervision_financiera_clausulas_abusivas_producto_financiero__clausulas_3trimestre_2025.csv,fbe8246e12a25f1b976d3d7f666948c0e5160c286774a22a42934d0f75c4eacb,883,1,10,10,10,0,utf-8-sig,clausulas_abusivas,corte_en_nombre:2025T3,cláusulas observadas en supervisión,sector|institucion_financiera|producto|tiene_clausulas|tipo|reca|supuesto_legal|clausula_abusiva|descripcion|estatus,Casos contractuales identificados; no prevalencia ni prueba de usura.
a6_condusef_08_supervision_financiera_clausulas_abusiva,A6_CONDUSEF_DATOS_ABIERTOS/supervision_financiera_clausulas_abusivas_producto_financiero__clausulas_4trimestre_2025_datos_abiertos.csv,65a2221702c941617bb30e288bb3c17b8fdba6f02e3269d0f5161e2c54e7b4eb,13016,5,10,10,10,0,utf-8-sig,clausulas_abusivas,corte_en_nombre:2025T4,cláusulas observadas en supervisión,sector|institucion_financiera|producto|tiene_clausulas|tipo|reca|supuesto_legal|clausula_abusiva|descripcion|estatus,Casos contractuales identificados; no prevalencia ni prueba de usura.
a6_condusef_supervision_financiera_observaciones_producto_financiero_i,A6_CONDUSEF_DATOS_ABIERTOS/supervision_financiera_observaciones_producto_financiero_institucion__observaciones_3trimestre_25.csv,c60935aafdfb41b28228f65652436bb164f874727714f3eff16c9beb79874735,206986,1073,7,7,7,0,utf-8-sig,observaciones_producto,corte_en_nombre:2025T3,observaciones de supervisión,sector|institucion_financiera|producto|tiene_observacion|tipo_documento|observacion|estatus,"Observaciones a documentos, no reclamaciones de usuarios."
a6_condusef_09_supervision_financiera_observaciones_pro,A6_CONDUSEF_DATOS_ABIERTOS/supervision_financiera_observaciones_producto_financiero_institucion__supervision_financiera_clausulas_4t2025.csv,3aec0003d651787eff75f76e31e27cc11a6ef1415180b4eb8db3feef5fa6670f,207270,1094,7,7,7,0,utf-8-sig,observaciones_producto,corte_en_nombre:2025T4,observaciones de supervisión,sector|institucion_financiera|producto|tiene_observacion|tipo_documento|observacion|estatus,"Observaciones a documentos, no reclamaciones de usuarios."
a6_condusef_unidades_especializadas__unidades_especializadas_30sept202,A6_CONDUSEF_DATOS_ABIERTOS/unidades_especializadas__unidades_especializadas_30sept2025.csv,df0a18cdd4d51d43a4e3bb445b5807d9ffa72da2a19418afde7a7e88a0b919b6,4332889,10572,9,9,9,0,utf-8-sig,unidades_especializadas,corte_en_nombre:2025-09-30,directorio de unidades especializadas,clave_sector|sector|institucion_clave|denominacion_o_razon_social|cargo|nombre|direccion|telefonos|correos,Directorio de contacto; no contiene reclamaciones.
despachos_cobranza_30_09_25,condusef_redeco_reune/despachos_cobranza_30_09_25.csv,f95f88725e9fdad46d29d1094559671bac64330f779a98881d78071b90d9e821,673104,2390,7,7,7,0,utf-8-sig,despachos_cobranza,corte_en_nombre:2025-09-30,directorio REDECO de despachos,sector|entidad|despacho|persona|direccion|telefono|correo,"Directorio de prestadores; no contiene quejas, causas ni actos de cobranza."
redeco_datosabiertos1ertrim_2026,condusef_redeco_reune/redeco_datosabiertos1ertrim_2026.csv,cee1def148ff9f9e14adcffbcdd661bc61fa42871d9f781e2bd904eb2a893eb4,678710,2409,7,7,7,0,utf-8-sig,redeco_datosabiertos,corte_en_nombre:2026T1,directorio REDECO de despachos,sector|entidad|despacho|persona|direccion|telefono|correo,"Directorio de prestadores; no contiene quejas, causas ni actos de cobranza."
reune_unidades_especializadas_datosabiertos_310326,condusef_redeco_reune/reune_unidades_especializadas_datosabiertos_310326.csv,e2fcc59a67d23b85851041b2750ff4ef38a956e8e7778ff9e142be69741ade73,4482648,10602,9,9,9,0,utf-8-sig,reune_unidades,corte_en_nombre:2026-03-31,directorio REUNE de unidades especializadas,clave_sector|sector|institucion_clave|denominacion_razon_social|cargo|nombre|direccion|telefonos|correos,Directorio de contacto; no contiene reclamaciones.
