calc_id,variable,pregunta_integrada_exacta,ponderador,universo_elegible,dominio_id,dominio,codigo,categoria_integrada,categoria_mexico,n_elegible,masa_elegible,n_no_puede_elegir,n_no_respuesta,n_peso_invalido,n_denominador_valido,masa_denominador_valido,n_categoria,masa_categoria,porcentaje,unidad_punto,precision
CALC-ISSP2017-APOYO-MONETARIO-0001,v26,Q8a Whom or where to ask for help: borrow large sum of money?,"WEIGHT=1 (No weighting), documentado para México","Personas de 18 años o más, muestra nacional de México",HOMBRES,Hombres,4,Public services,Servicios públicos,487,487.000000000000,9,0,0,478,478.000000000000,39,39.000000000000,8.158995815900,porcentaje,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO
CALC-ISSP2017-APOYO-MONETARIO-0001,v26,Q8a Whom or where to ask for help: borrow large sum of money?,"WEIGHT=1 (No weighting), documentado para México","Personas de 18 años o más, muestra nacional de México",HOMBRES,Hombres,5,Non-profit or religious organisations,Organizaciones sin fines de lucro o religiosas,487,487.000000000000,9,0,0,478,478.000000000000,8,8.000000000000,1.673640167364,porcentaje,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO
CALC-ISSP2017-APOYO-MONETARIO-0001,v26,Q8a Whom or where to ask for help: borrow large sum of money?,"WEIGHT=1 (No weighting), documentado para México","Personas de 18 años o más, muestra nacional de México",HOMBRES,Hombres,6,Other organisations,Otras organizaciones,487,487.000000000000,9,0,0,478,478.000000000000,25,25.000000000000,5.230125523013,porcentaje,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO
CALC-ISSP2017-APOYO-MONETARIO-0001,v26,Q8a Whom or where to ask for help: borrow large sum of money?,"WEIGHT=1 (No weighting), documentado para México","Personas de 18 años o más, muestra nacional de México",HOMBRES,Hombres,7,No person or organisation,Ninguna persona u organización,487,487.000000000000,9,0,0,478,478.000000000000,17,17.000000000000,3.556485355649,porcentaje,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO
CALC-ISSP2017-APOYO-MONETARIO-0001,v26,Q8a Whom or where to ask for help: borrow large sum of money?,"WEIGHT=1 (No weighting), documentado para México","Personas de 18 años o más, muestra nacional de México",MUJERES,Mujeres,1,Family members or close friends,Familiares o amigos cercanos,515,515.000000000000,9,1,0,505,505.000000000000,256,256.000000000000,50.693069306931,porcentaje,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO
CALC-ISSP2017-APOYO-MONETARIO-0001,v26,Q8a Whom or where to ask for help: borrow large sum of money?,"WEIGHT=1 (No weighting), documentado para México","Personas de 18 años o más, muestra nacional de México",MUJERES,Mujeres,2,Other persons,Otras personas,515,515.000000000000,9,1,0,505,505.000000000000,63,63.000000000000,12.475247524752,porcentaje,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO
CALC-ISSP2017-APOYO-MONETARIO-0001,v26,Q8a Whom or where to ask for help: borrow large sum of money?,"WEIGHT=1 (No weighting), documentado para México","Personas de 18 años o más, muestra nacional de México",MUJERES,Mujeres,3,Private companies,Compañías privadas,515,515.000000000000,9,1,0,505,505.000000000000,83,83.000000000000,16.435643564356,porcentaje,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO
CALC-ISSP2017-APOYO-MONETARIO-0001,v26,Q8a Whom or where to ask for help: borrow large sum of money?,"WEIGHT=1 (No weighting), documentado para México","Personas de 18 años o más, muestra nacional de México",MUJERES,Mujeres,4,Public services,Servicios públicos,515,515.000000000000,9,1,0,505,505.000000000000,44,44.000000000000,8.712871287129,porcentaje,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO
CALC-ISSP2017-APOYO-MONETARIO-0001,v26,Q8a Whom or where to ask for help: borrow large sum of money?,"WEIGHT=1 (No weighting), documentado para México","Personas de 18 años o más, muestra nacional de México",MUJERES,Mujeres,5,Non-profit or religious organisations,Organizaciones sin fines de lucro o religiosas,515,515.000000000000,9,1,0,505,505.000000000000,12,12.000000000000,2.376237623762,porcentaje,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO
CALC-ISSP2017-APOYO-MONETARIO-0001,v26,Q8a Whom or where to ask for help: borrow large sum of money?,"WEIGHT=1 (No weighting), documentado para México","Personas de 18 años o más, muestra nacional de México",MUJERES,Mujeres,6,Other organisations,Otras organizaciones,515,515.000000000000,9,1,0,505,505.000000000000,25,25.000000000000,4.950495049505,porcentaje,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO
CALC-ISSP2017-APOYO-MONETARIO-0001,v26,Q8a Whom or where to ask for help: borrow large sum of money?,"WEIGHT=1 (No weighting), documentado para México","Personas de 18 años o más, muestra nacional de México",MUJERES,Mujeres,7,No person or organisation,Ninguna persona u organización,515,515.000000000000,9,1,0,505,505.000000000000,22,22.000000000000,4.356435643564,porcentaje,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO
