estrategia_a,estrategia_b,n00_masa,n01_masa,n10_masa,n11_masa,denominador,p_ambas,p_b_dado_a,p_a_dado_b,ee,ic95_lo,ic95_hi,estado
P6_10_3,P6_10_8,8777929.0,187537.0,18912101.0,410880.0,28288447.0,0.014524657363,0.021263799825,0.686611510034,0.001789814985,0.011015074201,0.018034240524,ESTIMABLE:T95-LINEALIZACION
P6_10_4,P6_10_5,23122821.0,2411366.0,2222344.0,531916.0,28288447.0,0.018803294504,0.193124832078,0.180722064688,0.002639437354,0.013627717715,0.023978871293,ESTIMABLE:T95-LINEALIZACION
P6_10_4,P6_10_6,23023401.0,2510786.0,2357194.0,397066.0,28288447.0,0.014036330803,0.144164312737,0.136549590557,0.002435629183,0.009260394052,0.018812267555,ESTIMABLE:T95-LINEALIZACION
P6_10_4,P6_10_7,23383606.0,2150581.0,2055036.0,699224.0,28288447.0,0.024717652404,0.25387000501,0.245358542076,0.003267916426,0.018309713843,0.031125590965,ESTIMABLE:T95-LINEALIZACION
P6_10_4,P6_10_8,25073940.0,460247.0,2616090.0,138170.0,28288447.0,0.0048843261,0.050165924786,0.230892504725,0.000910258515,0.003099433257,0.006669218942,ESTIMABLE:T95-LINEALIZACION
P6_10_5,P6_10_6,22849475.0,2495690.0,2531120.0,412162.0,28288447.0,0.014569976217,0.140034831865,0.14174105147,0.002206767508,0.010242806006,0.018897146427,ESTIMABLE:T95-LINEALIZACION
P6_10_5,P6_10_7,23206244.0,2138921.0,2232398.0,710884.0,28288447.0,0.025129834805,0.241527655182,0.249450050091,0.003058940812,0.019131668931,0.031128000679,ESTIMABLE:T95-LINEALIZACION
P6_10_5,P6_10_8,24899397.0,445768.0,2790633.0,152649.0,28288447.0,0.005396160489,0.051863531935,0.255088007192,0.001085962476,0.003266736135,0.007525584843,ESTIMABLE:T95-LINEALIZACION
P6_10_6,P6_10_7,23289380.0,2091215.0,2149262.0,758590.0,28288447.0,0.026816247636,0.260876413242,0.266190142834,0.00315524745,0.020629237576,0.033003257697,ESTIMABLE:T95-LINEALIZACION
P6_10_6,P6_10_8,24894045.0,486550.0,2795985.0,111867.0,28288447.0,0.00395451189,0.038470664944,0.186938205298,0.000861438587,0.002265348269,0.00564367551,ESTIMABLE:T95-LINEALIZACION
P6_10_7,P6_10_8,25100050.0,338592.0,2589980.0,259825.0,28288447.0,0.009184844965,0.091172904813,0.434187197222,0.001390963667,0.006457354859,0.011912335071,ESTIMABLE:T95-LINEALIZACION
