necesidad_id	fuente_canonica	objeto_evidencia_id	tipo_evidencia	evidencia_ref	evidencia_localizador	variable_reactivo_tabla	texto_evidencia	unidad_observacion	periodo	universo_muestra	codificacion	parte_necesidad_cubierta	parte_necesidad_no_cubierta	uso_potencial_modelo	transformacion_requerida	incertidumbre	traza_revision	siguiente_accion
N27	MASS_MOBILIZATION_PROTEST_DATA_MEXICO	OE-8ea8d18a90b95bcb481273e3	INDICE_SIN_PAYLOAD	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L13	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	Base no descargada.	evento	NO_DETERMINADO	México	NO_DETERMINADO	Protesta potencial	Actor, agravio, respuesta y geografía	NO_APLICA	NO_DETERMINADO	Alta	Índice revisado	Obtener archivo/codebook.
N27	RELLABORALESPRUEBA	OE-8ca059261693f4c587a99e97	IDENTIDAD_NO_RESUELTA	MAIN:canon/gobernanza-v1_15.md	agravio	NO_DETERMINADO	Solo demanda conceptual; payload no identificado.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Demanda	Fuente real y datos	NO_APLICA	NO_DETERMINADO	Alta	Referencias revisadas	Resolver si es dataset o artefacto.
N27	UCDP	OE-12db61ac071539c534e80fed	MAPA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L14	UCDP	NO_DETERMINADO	GED sin codebook abierto para esta clave.	evento	NO_DETERMINADO	México	NO_DETERMINADO	Actor/ubicación potencial	Agravio y respuesta colectiva	Contexto de conflicto potencial	Mapear campos	Alta	Mapa revisado	Abrir GED codebook.
N28	ISSP	OE-c8c9d84103b02bcbc47c2aff	MAPA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L5	ISSP	NO_DETERMINADO	Sin reactivo N28 abierto.	persona	2017	México	NO_DETERMINADO	Fuente plausible	Constructo y outcome N28	NO_APLICA	NO_DETERMINADO	Alta	Mapa revisado	Abrir módulo exacto.
N30	BIARE	OE-e16378a2a79da5a6d4246280	IDENTIDAD_AMBIGUA	MAIN:canon/modelo-decision-v4_0.md	confianza	NO_DETERMINADO	No hay evidencia abierta del instrumento BIARE.	persona	NO_DETERMINADO	México	NO_DETERMINADO	Demanda definida	Transacción y enforcement	NO_APLICA	NO_DETERMINADO	Alta	Referencias revisadas	Resolver BIARE/ENBIARE.
N30	ISSP	OE-e3bde63fce778e1bc8333717	MAPA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L5	ISSP	NO_DETERMINADO	Social Networks sin apertura.	persona	2017	México	NO_DETERMINADO	Confianza/redes potencial	Transacción y enforcement	NO_APLICA	NO_DETERMINADO	Alta	Mapa revisado	Abrir codebook.
N30	ISSP	OE-c8d1b5e40a5c3a561eac0183	INDICE_SIN_PAYLOAD	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L10	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	Recurso sin descarga.	persona	2017	México	NO_DETERMINADO	NO_DETERMINADO	Reactivo y outcome	NO_APLICA	NO_DETERMINADO	Alta	Índice revisado	Obtener documentación.
N30	LAPOP	OE-dd987fd1f12b5504ad657782	ACCESO_ESTRUCTURAL	MAIN:forense/notas/2026-08-05-p-lapop-microdato.md:L186	LAPOP	NO_DETERMINADO	Base y buscador existen; contenido pertinente no local.	persona	NO_DETERMINADO	México	NO_DETERMINADO	Fuente de confianza plausible	Microdato y conducta conjunta	NO_APLICA	NO_DETERMINADO	Alta	Nota de acceso revisada	Identificar reactivos antes de solicitar datos.
N30	OECD	OE-df63ef5db172cb09effde66c	MAPA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L11	OECD	NO_DETERMINADO	Drivers of Trust sin apertura para México.	persona	NO_DETERMINADO	México	NO_DETERMINADO	Confianza institucional potencial	Transacción con desconocidos/enforcement	NO_APLICA	NO_DETERMINADO	Alta	Mapa revisado	Abrir cuestionario/tabla.
N32	WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	OE-f29d6cfa226a9514442785e3	MAPA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L13	World Bank Enterprise Survey Mexico 2023	NO_DETERMINADO	Sin variable N32 abierta.	empresa	2023	México	NO_DETERMINADO	Unidad empresarial	Constructo N32	NO_APLICA	NO_DETERMINADO	Alta	Mapa y contexto revisados	Abrir codebook.
N33	SIN_CANDIDATO_IDENTIFICADO	OE-ed59a4b92278706a6e55eff4	HUECO_UNIVERSO	MAIN:forense/REVERIFICACION-DEMANDA-vs-UNIVERSO-2026-08-07-v1_0.md	SIN_CANDIDATO_IDENTIFICADO	NO_DETERMINADO	No hay fuente identificada para antes/después de protección.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Demanda definida	Fuente, evidencia y diseño	NO_APLICA	NO_DETERMINADO	Alta	Universo existente revisado	Requiere futura búsqueda dirigida autorizada.
N3	ENFIH	OE-7419790292a051ce7ebbb5fe	INSTRUMENTO_LOCAL_PARCIAL	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	NO_DETERMINADO	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Reactivo explícito de sensibilidad de estatus coobservado con consumo mediado por crédito.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/abrir4-variables-2026-08-08.tsv, localizador L9-L14, y se contrastó únicamente con N3 / ENFIH / OE-7419790292a051ce7ebbb5fe.	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
N3	INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	OE-02ca9729c199ce7586579636	DOCUMENTO_INDEXADO_SIN_MAPEO	MAIN:data/mapa-ext-academico-2026-08-06.tsv	L15	NO_DETERMINADO	El mapa clasifica documentalmente el estudio, pero no contiene instrumento, variable ni resultado que conecte esta clave con la necesidad.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	SATISFACE-UMBRAL-DOCUMENTAL	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/mapa-ext-academico-2026-08-06.tsv, localizador L15, y se contrastó únicamente con N3 / INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO / OE-02ca9729c199ce7586579636.	Abrir materiales suplementarios del estudio y localizar variable, tratamiento, resultado y muestra mexicanos pertinentes.
N3	INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	OE-e8196751ae92cecdc38e72c1	DOCUMENTO_INDEXADO_SIN_MAPEO	MAIN:data/mapa-ext-academico-2026-08-06.tsv	L15	NO_DETERMINADO	El mapa clasifica documentalmente el estudio, pero no contiene instrumento, variable ni resultado que conecte esta clave con la necesidad.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	SATISFACE-UMBRAL-DOCUMENTAL	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/mapa-ext-academico-2026-08-06.tsv, localizador L15, y se contrastó únicamente con N3 / INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO / OE-e8196751ae92cecdc38e72c1.	Abrir materiales suplementarios del estudio y localizar variable, tratamiento, resultado y muestra mexicanos pertinentes.
N4	ENFIH	OE-64909cd43474fe401f3cf196	INSTRUMENTO_LOCAL_PARCIAL	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	NO_DETERMINADO	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Reactivo actitudinal de aversión al riesgo con desenlace propio de G2.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/abrir4-variables-2026-08-08.tsv, localizador L9-L14, y se contrastó únicamente con N4 / ENFIH / OE-64909cd43474fe401f3cf196.	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
N5	ENFIH	OE-ee2008967035d534126bbcb0	INSTRUMENTO_LOCAL_PARCIAL	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	NO_DETERMINADO	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Diseño longitudinal o experimental que observe horizonte temporal y conducta financiera con potencia útil.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/abrir4-variables-2026-08-08.tsv, localizador L9-L14, y se contrastó únicamente con N5 / ENFIH / OE-ee2008967035d534126bbcb0.	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
N5	ENNVIH	OE-2914da93c77f7bde435ccf41	PANEL_SIN_MAPEO_DIRIGIDO	MAIN:forense/matriz-impacto-universal-2026-08-06.md	L81	NO_DETERMINADO	La matriz reconoce ENNViH/MxFLS como ruta longitudinal para horizonte temporal, pero la fase descriptiva y la llave panel siguen pendientes.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Diseño longitudinal o experimental que observe horizonte temporal y conducta financiera con potencia útil.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:forense/matriz-impacto-universal-2026-08-06.md, localizador L81, y se contrastó únicamente con N5 / ENNVIH / OE-2914da93c77f7bde435ccf41.	Abrir codebooks por ola y localizar indicador temporal, conducta financiera y llave individual longitudinal.
N5	LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	OE-0139b3dc528f6df3fe1811a0	INDEXADO_NO_DESCARGADO	MAIN:data/mapa-ext-academico-2026-08-06.tsv	L5	NO_DETERMINADO	El estudio está indexado pero no descargado; no hay instrumento o resultado local verificable para adjudicar.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	INDEXADO-NO-DESCARGADO	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/mapa-ext-academico-2026-08-06.tsv, localizador L5, y se contrastó únicamente con N5 / LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2 / OE-0139b3dc528f6df3fe1811a0.	Recuperar el paquete canónico del estudio y revisar instrumento, diseño, outcomes y tablas de impacto.
N6	ENFIH	OE-bbf838f18125cdb07027ae39	INSTRUMENTO_LOCAL_PARCIAL	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	NO_DETERMINADO	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Reactivo de aversión al riesgo coobservado con conducta de ahorro ante volatilidad.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/abrir4-variables-2026-08-08.tsv, localizador L9-L14, y se contrastó únicamente con N6 / ENFIH / OE-bbf838f18125cdb07027ae39.	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
N7	ENIF	OE-c168b43614acb9a4b5abf786	INSTRUMENTO_LOCAL_PARCIAL	MAIN:forense/hitoE-campana-medicion-v2_0.md	L999-L1116	NO_DETERMINADO	ENIF tiene reactivos financieros identificados (P9_9_1..6, P4_10 y sección 11), pero la evidencia local no verifica el cruce específico solicitado por esta clave.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Relación entre expectativa de apoyo familiar y horizonte corto/ahorro en la misma persona.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:forense/hitoE-campana-medicion-v2_0.md, localizador L999-L1116, y se contrastó únicamente con N7 / ENIF / OE-c168b43614acb9a4b5abf786.	Mapear en el cuestionario y microdato ENIF los reactivos de la necesidad y el desenlace, y comprobar que comparten unidad de observación.
N8	VOTAR_ENTRE_BALAS	OE-b2462eff969c4d5cf7746ad9	BASE_INDEXADA_SIN_MAPEO	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv	L14	NO_DETERMINADO	La base de violencia político-criminal está identificada, pero no hay variables abiertas que prueben respuesta individual o el mecanismo requerido.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Exposición a violencia y respuesta de ver/oír/callar sin selección determinística por victimización.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv, localizador L14, y se contrastó únicamente con N8 / VOTAR_ENTRE_BALAS / OE-b2462eff969c4d5cf7746ad9.	Abrir diccionario/descarga y mapear tipo de evento, actor, municipio, fecha y outcome electoral; declarar límite ecológico.
