tipo,sexo,edad,n_denominador,masa_denominador,masa_numerador,punto,ee,ic95_lo,ic95_hi,gl,precision_estado,definicion
tasa_sexo_edad,hombre,45_59,23595,8540527.000000000000,2138693.000000000000,0.250416982465,0.003890925549,0.242867866257,0.258120752594,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,"P3_27=1 / P3_27 en {1,6}, tramo y sexo"
tasa_sexo_edad,mujer,45_59,23713,8550110.000000000000,1939309.000000000000,0.226816847970,0.003884658297,0.219292850986,0.234521447939,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,"P3_27=1 / P3_27 en {1,6}, tramo y sexo"
peso_estandar_edad,ambos,60_mas,31212,54989025.000000000000,11145676.000000000000,0.202689100234,0.001990566318,0.198815332207,0.206618880720,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,masa conjunta del tramo / masa conjunta de cinco tramos
tasa_sexo_edad,hombre,60_mas,17817,6357420.000000000000,905522.000000000000,0.142435453376,0.003832823387,0.135086568991,0.150114739075,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,"P3_27=1 / P3_27 en {1,6}, tramo y sexo"
tasa_sexo_edad,mujer,60_mas,13395,4788256.000000000000,506616.000000000000,0.105803866794,0.003857823417,0.098476795928,0.113607401313,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,"P3_27=1 / P3_27 en {1,6}, tramo y sexo"
tasa_estandarizada,hombre,estandar_cinco_tramos,74887,,,0.359540925035,0.002702896490,0.354260203057,0.364855886997,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,suma de peso estándar común por tasa sexo×edad; sin redistribución
tasa_estandarizada,mujer,estandar_cinco_tramos,77947,,,0.333205940233,0.002604986609,0.328119556875,0.338331466552,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,suma de peso estándar común por tasa sexo×edad; sin redistribución
diferencia_bruta,mujer-hombre,15_mas,,54989025.000000000000,,0.010621100755,0.001094198318,0.008476333106,0.012765868404,14555,DISPONIBLE:RAO-WU-COMPARTIDO-T95:SINGLETON-APORTE-PROMEDIO=56,mujer-hombre sin fijar composición de edad
diferencia_estandarizada,mujer-hombre,15_mas,,54989025.000000000000,,-0.026334984802,0.001187920402,-0.028663459637,-0.024006509967,14555,DISPONIBLE:RAO-WU-COMPARTIDO-T95:SINGLETON-APORTE-PROMEDIO=56,mujer-hombre con estándar común estimado
bruta_menos_estandarizada,mujer-hombre,15_mas,,54989025.000000000000,,0.036956085557,0.000675693139,0.035631641203,0.038280529912,14555,DISPONIBLE:RAO-WU-COMPARTIDO-T95:SINGLETON-APORTE-PROMEDIO=56,"diferencia bruta menos estandarizada; descomposición descriptiva, no causal"
