fuente_canonica	tipo	valor
ENIGH	RELACION	REL-1677b0003626a1bd5bf971cb
ENNVIH	PAYLOAD	ennvih1_2002_guia
ENNVIH	PAYLOAD	ennvih1_2002_hogar_cb
ENNVIH	PAYLOAD	ennvih1_2002_hogar_dta
ENNVIH	PAYLOAD	ennvih1_2002_hogar_q
ENNVIH	PAYLOAD	ennvih1_2002_local_cb
ENNVIH	PAYLOAD	ennvih1_2002_local_dta
ENNVIH	PAYLOAD	ennvih1_2002_local_q
ENNVIH	PAYLOAD	ennvih1_2002_ponderador
ENNVIH	PAYLOAD	ennvih2_2005_guia
ENNVIH	PAYLOAD	ennvih2_2005_hogar_cb
ENNVIH	PAYLOAD	ennvih2_2005_hogar_dta
ENNVIH	PAYLOAD	ennvih2_2005_hogar_q
ENNVIH	PAYLOAD	ennvih2_2005_local_cb
ENNVIH	PAYLOAD	ennvih2_2005_local_dta
ENNVIH	PAYLOAD	ennvih2_2005_local_q
ENNVIH	PAYLOAD	ennvih2_2005_ponderador_longitudinal
ENNVIH	PAYLOAD	ennvih2_2005_ponderador_transversal
ENNVIH	PAYLOAD	ennvih3_2009_factores_exp
ENNVIH	PAYLOAD	ennvih3_2009_guia
ENNVIH	PAYLOAD	ennvih3_2009_hogar_cb
ENNVIH	PAYLOAD	ennvih3_2009_hogar_dta
ENNVIH	PAYLOAD	ennvih3_2009_hogar_q
ENNVIH	PAYLOAD	ennvih3_2009_local_cb
ENNVIH	PAYLOAD	ennvih3_2009_local_dta
ENNVIH	PAYLOAD	ennvih3_2009_local_q
ENNVIH	PAYLOAD	ennvih3_2009_ponderador_longitudinal
ENNVIH	PAYLOAD	ennvih3_2009_ponderador_transversal
ENNVIH	RELACION	REL-4773e33ebd7e704a595bbf07
ENOE	PAYLOAD	enoe_2019_1t_csv
ENOE	PAYLOAD	enoe_2019_2t_csv
ENOE	PAYLOAD	enoe_2019_3t_csv
ENOE	PAYLOAD	enoe_2019_4t_csv
ENOE	PAYLOAD	enoe_2020_1t_csv
ENOE	PAYLOAD	enoe_2023_1t_csv
ENOE	PAYLOAD	enoe_2023_2t_csv
ENOE	PAYLOAD	enoe_2023_3t_csv
ENOE	PAYLOAD	enoe_2023_4t_csv
ENOE	PAYLOAD	enoe_2024_1t_csv
ENOE	PAYLOAD	enoe_2024_2t_csv
ENOE	PAYLOAD	enoe_2024_3t_csv
ENOE	PAYLOAD	enoe_2024_4t_csv
ENOE	PAYLOAD	enoe_2025_1t_csv
ENOE	PAYLOAD	enoe_2025_2t_csv
ENOE	PAYLOAD	enoe_2025_3t_csv
ENOE	PAYLOAD	enoe_2025_4t_csv
ENOE	PAYLOAD	enoe_2026_1t_csv
ENOE	PAYLOAD	enoe_con_basedatos_proy2010_pdf
ENOE	PAYLOAD	enoe_cuestionario_ampliado_v5_pdf
ENOE	PAYLOAD	enoe_cuestionario_ampliado_v6a_pdf
ENOE	PAYLOAD	enoe_cuestionario_basico_v5_pdf
ENOE	PAYLOAD	enoe_cuestionario_basico_v7_pdf
ENOE	PAYLOAD	enoe_cuestionario_sociodemografico_v4_pdf
ENOE	PAYLOAD	enoe_cuestionario_sociodemografico_v5a_pdf
ENOE	RELACION	REL-4b4d25bbe2c702aed1884440
ENSAFI	PAYLOAD	ensafi2023_bd_csv_zip
ENSAFI	RELACION	REL-01ff8326fdbe3c0a4e299a02
ENSAFI	RELACION	REL-055f95a08fee0f508052ddec
ENSAFI	RELACION	REL-0b6385436015c470992017f1
ENSAFI	RELACION	REL-12b348704acbcdd4b811185b
ENSAFI	RELACION	REL-2eef8210b247afc4541e0307
ENSAFI	RELACION	REL-3e169667f97f8fd79eb60519
ENSAFI	RELACION	REL-641a2435b0e68b2049b73d72
ENSAFI	RELACION	REL-7c92eca186a227ee718864e6
ENSAFI	RELACION	REL-89b5a730c80b52245609d460
ENSAFI	RELACION	REL-8f6cc360dac1c16f2ea6c7ea
ENSAFI	RELACION	REL-a451582fd7fcd4bce1db01ca
ENSAFI	RELACION	REL-b8a1bd303f0aac03e3b1bdd7
ENSAFI	RELACION	REL-c065ff3c4b02af2b359a6a40
ENSAFI	RELACION	REL-c681799397de5614b7854a39
ENSAFI	RELACION	REL-cf53a5e4bf5bf666390fa543
ENSAFI	RELACION	REL-d7d327e72f466b970d040e81
ENSAFI	RELACION	REL-d95cc52727af8a19185fd47b
ENSAFI	RELACION	REL-eca053bf7ea89319271a2788
ENSAFI	RELACION	REL-ed3674d93fbcd45914630569
ENSAFI	RELACION	REL-f586d39d7211922886da9f95
ENVIPE	PAYLOAD	envipe2025_csv
ENVIPE	RELACION	REL-0c03e53054567fc014b50bc0
ENVIPE	RELACION	REL-32afb54be292bc8e3070dfca
ENVIPE	RELACION	REL-93cfba9117d75fe44fa4a111
ESTUDIOS_DE_RECHAZOS_Y_CORPUS_PRAGMATICO_DE_FELIX_BRASDEFER	RELACION	REL-bed47eed1ab33d6879a82e1e
ESTUDIOS_DE_RECHAZOS_Y_CORPUS_PRAGMATICO_DE_FELIX_BRASDEFER	RELACION	REL-c311e7433e03f19c1505b6cf
EXPERIMENTO_DE_INFORMACION_ELECTORAL_2009	RELACION	REL-0692b43ca9c2f7bb608a2858
FABLE	RELACION	REL-6cd9055fa1486b7f8c8c5efa
FINANZAS	RELACION	REL-0b0dac8dd04b5f25133518f8
FINANZAS	RELACION	REL-18976f4767e5da3c5e572877
FINANZAS	RELACION	REL-21e914d37dac786386bf91dc
FINANZAS	RELACION	REL-2fbf749b083e578d4462b842
FINANZAS	RELACION	REL-aaf9d3c2e0d9b3d294df4840
FINTECH_LENDING_TO_BORROWERS_WITH_NO_CREDIT_HISTORY	RELACION	REL-1615b74be40e6ab0847b8997
GDELT	RELACION	REL-0d9c76a2adedc9b9f59984cc
GDELT	RELACION	REL-0fc632a7b102c3b39b2f540c
GDELT	RELACION	REL-3d47f2e740a4b56741e9c6e2
GDELT	RELACION	REL-9ccac3c7a04b0040d317efb7
GLOBAL_PREFERENCES_SURVEY	PAYLOAD	gps_dataset
GLOBAL_PREFERENCES_SURVEY	PAYLOAD	gps_dataset_country_level
GLOBAL_PREFERENCES_SURVEY	PAYLOAD	gps_do_files_country_level
GLOBAL_PREFERENCES_SURVEY	PAYLOAD	gps_questionnaires
GLOBAL_PREFERENCES_SURVEY	RELACION	REL-f25c37290ef71e21d1d73760
GPS	RELACION	REL-4fd0d54316a62b4b5c7a0048
GPS	RELACION	REL-655887a6745e8a139387cc90
GPS	RELACION	REL-75c66af2edc4b79afcb439c3
GPS	RELACION	REL-c72dd30027c28df4603464d5
GPS	RELACION	REL-ca5ecbdfd4be3728df0e509f
GPS	RELACION	REL-ff97af04e1d92981b386ac08
HOMESCAN_CONSUMER_PANEL_SERVICES	RELACION	REL-2dcacf02f67355e96eac10d7
IMPACT_EVALUATION_OF_MOBILE_PEDAGOGICAL_TUTORS_2016	RELACION	REL-a4ec592ca64ce8855faf4f55
IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	PAYLOAD	mex_2010_iepep_v01_m_v01_a_puf
IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	PAYLOAD	mex_2010_iepep_v01_m_v01_a_puf_ascii_sas
IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	PAYLOAD	mex_2010_iepep_v01_m_v01_a_puf_ascii_spss
IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	PAYLOAD	mex_2010_iepep_v01_m_v01_a_puf_spss
IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	PAYLOAD	mex_2010_iepep_v01_m_v01_a_puf_stata8
IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	RELACION	REL-08af2a451bfb04d90902eec4
IMSS	RELACION	REL-6f1cef5066c5478632ac5045
INE	RELACION	REL-4945113fd8870341191221b6
INE	RELACION	REL-8b5abcdb9a618f64c2639477
INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	RELACION	REL-10b7203dd243231cb3602e47
INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	RELACION	REL-71d03c31e21a53076736dfd0
INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	RELACION	REL-f0cb8d6fa174935fae071144
ISSP	PAYLOAD	za5900_q_mx
ISSP	PAYLOAD	za6980_q_mx
ISSP	RELACION	REL-62c97ccb92d0e95c8120d776
ISSP	RELACION	REL-6b71873b3adacde57117ad99
ISSP	RELACION	REL-72ff714a3ba6d0bab952e05f
ISSP	RELACION	REL-75b2ff53a19d8058eba2dbb7
ISSP	RELACION	REL-7751c832c7e30e4e4d7603cc
ISSP	RELACION	REL-796c0458c0c71745f0a6b2a4
ISSP	RELACION	REL-845a93bc24990147a394f897
ISSP	RELACION	REL-8d2952203ec3678f3bd0c473
ISSP	RELACION	REL-9dfab617c356df5594575a3c
ISSP	RELACION	REL-b034b04e9ba040bd02e39b8b
ISSP	RELACION	REL-cd0d1c5fd7e85418603c73cd
ISSP	RELACION	REL-d630dc1ea394364e53631401
ISSP	RELACION	REL-e95e26820797a0f55c9246d7
ISSP	RELACION	REL-f219eb1a0e1b71beb5a36f6f
LAPOP	PAYLOAD	lapop_abmex2023_cuestionario_mexico
LAPOP	RELACION	REL-7da283a75f336e409f2ff88d
LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	PAYLOAD	mex_2011_lfepie_v01_m
LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	PAYLOAD	mex_2011_lfepie_v01_m_ascii_sas_spss
LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	PAYLOAD	mex_2011_lfepie_v01_m_spss
LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	PAYLOAD	mex_2011_lfepie_v01_m_stata8
LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	RELACION	REL-2230c5027c1ce5589c32d9b0
LATINOBARÓMETRO	PAYLOAD	latinobarometro2024_cuestionario_esp
LATINOBARÓMETRO	RELACION	REL-4360d0a91e5f8be30916c2b9
LATINOBARÓMETRO	RELACION	REL-f09043ef09997adc0bb4a3f2
MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	RELACION	REL-1d9d402e2e1aa77c9c01cb5f
MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	RELACION	REL-32d05d4dc466d048e2961f7b
MASS_MOBILIZATION_PROTEST_DATA	RELACION	REL-435541bba7684694085356c2
MASS_MOBILIZATION_PROTEST_DATA	RELACION	REL-99525527adc1ae5960ac2055
MASS_MOBILIZATION_PROTEST_DATA_MEXICO	RELACION	REL-107500c8d4873fe4d05bb8e3
MASS_MOBILIZATION_PROTEST_DATA_MEXICO	RELACION	REL-e247f2d5250d822fb74a0638
MEXICO_ENTERPRISE_SURVEYS_COMPONENTE_PANEL_CANDIDATO_2006_2010	RELACION	REL-350211bc943be8bae0c8eea2
MEXICO_ENTERPRISE_SURVEYS_COMPONENTE_PANEL_CANDIDATO_2006_2010	RELACION	REL-abd2650bcf443274eb467a60
MEXICO_ENTERPRISE_SURVEYS_COMPONENTE_PANEL_CANDIDATO_2006_2010	RELACION	REL-e2371e6b0d421f30c496d3da
MEXICO_PANEL_STUDY_2012	RELACION	REL-382a1f202f13e8134f376a00
MEXICO_PANEL_STUDY_2012	RELACION	REL-ddc381f55d9879a6629a14d4
MICROCREDIT_IMPACTS_COMPARTAMOS_RCT	RELACION	REL-c9a73bd2a8258784f9f08ea8
MICROCREDIT_IMPACTS_RANDOMIZED_MICROCREDIT_PROGRAM_PLACEMENT_EXP	RELACION	REL-6c97fe0c5cb528557054a838
OECD	RELACION	REL-5fc50aa3d056d5b63f4e18df
PANEL_DE_COMPRA_DE_HOGARES	RELACION	REL-94e18be48f89c37e4d7164e8
PI	RELACION	REL-7feec534a72e40bdf9b6b393
PRICE_AND_INFORMATION_TYPE_IN_LIFE_MICROINSURANCE_DEMAND	RELACION	REL-0e3c2a3a6afd1dae2297740e
PUB	RELACION	REL-0a4bbf31b54c5ce3565ba753
PUB	RELACION	REL-6ebc288cb21990e446f70262
REGISTRO_DE_TANDAS_Y_REPUTACION	RELACION	REL-02a3b065790c80afc38dd59c
REGISTRO_OPERATIVO_DE_TANDAS_DIGITALES	RELACION	REL-a7bbff3f7ae4500cbb77c0ed
RELLABORALES	RELACION	REL-781037a17e27bb2b93e13a63
RELLABORALESPRUEBA	RELACION	REL-a8d0e6223c2d79b63a90b4f5
REPORTE_SOBRE_USO_Y_CONFIANZA_DE_SERVICIOS_FINANCIEROS_DIGITALES	RELACION	REL-0ccb1f487408f4999004b321
REPOSITORIOS_UNAM_COLMEX_ITAM_DATAVERSE_ICPSR	RELACION	REL-235427b4ebd4727b5ccdeb98
SE	RELACION	REL-b7e6ba3254af6cb2169d934e
SE	RELACION	REL-d17e953dff3478923dd1c000
SE	RELACION	REL-fd8abdfbae6d8de6a94eb38c
SERIES_SPEI_CODI_BANXICO	RELACION	REL-1867600f55b362380e728c4a
SERIES_SPEI_CODI_BANXICO	RELACION	REL-7a38c275915e890903752598
SICS	RELACION	REL-34b342f4b79071b6286f2cab
SIN_CANDIDATO_IDENTIFICADO	RELACION	REL-523fe941f36eef5710d093ee
UCDP	PAYLOAD	ucdp_ged261_codebook
UCDP	PAYLOAD	ucdp_ged261_csv
UCDP	RELACION	REL-2a1cc2aeaa3a0d0f5e1e49d2
UCDP	RELACION	REL-32c63460cc5fdb1efa3baafb
UCDP	RELACION	REL-5be4c9788e94fa83d2a54169
UCDP	RELACION	REL-6e785044dd97d2658a495bb2
VOTAR_ENTRE_BALAS	RELACION	REL-8d5ee427f92ae19be789b8d6
VOTAR_ENTRE_BALAS	RELACION	REL-f721d49d739e759d00a9643b
WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	RELACION	REL-266bee2fbe5407b7fb6975a7
WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	RELACION	REL-3e153324c7506ed0e35a7a70
WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	RELACION	REL-442cd065de98fdb5e3df2b95
WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	RELACION	REL-dc5971db0730ed2876fdb5b3
WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	RELACION	REL-dc9d0314872f568124926da8
WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	RELACION	REL-e86c10c4e19ea32e57b6a28d
WVS	PAYLOAD	f00006635_wvs7_questionnaire_mexico_2018_spanish
WVS	RELACION	REL-3d6a985a8dafc13fdbd39e4a
WVS	RELACION	REL-57df012cdba3e281563c1068
