id	encuesta	ola	universo	variable	estimador	ponderador	escala	grado_dependencia	publicada	cv_arbitro	n_no_ponderado	frase_discriminacion	post_corte_u_ola_retenida	dominio	dificultad	estrato
CIV-11	ENVIPE	2025	población de 18 años y más (TPer_Vic1)	AP4_4_01	proporción ponderada	FAC_ELE	binaria	P0	NO :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: paso 1 indices (envipe 2025, 36 archivos) y paso 2 sobre 36 bloques/19 572 cadenas :: NO-ENCONTRADO -- mismo hallazgo que CIV-08: 'su casa' como espacio fisico solo aparece en el cuaderno IX de la Ciudad de Mexico (9.25 a 9.28), no en el nacional; ademas envipe 2025 no trae paquete de indicadores en el indice	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	Inseguridad percibida en la propia casa tiene una tasa base muy baja: es la celda donde el baseline tonto B es mas dificil de superar, y donde M4 predice que ambos corredores pueden quedar dentro del IC de R.	NO	civico	MEDIA	civico|P0|MEDIA
CIV-12	ENPOL	2021	población de 18 años y más privada de la libertad	P3_21_1	proporción ponderada	FAC_PER	binaria	P2	SI :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: paso 1 indices (enpol 2021, 48 archivos) y paso 2 abriendo iii_detencion_2021_est.xlsx :: EXISTE-SATISFACE -- hoja 3.56 fila 11 'Intentaron apropiarse o le pidieron de forma directa' = 33 281.788 y 92.2329 por ciento de las 36 084.521 victimas de corrupcion en la detencion; la hoja 3.57 lo abre por sexo	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	Poblacion privada de la libertad es un universo que ningun corredor modela por defecto: M no tiene regla para poblacion penitenciaria y debe transportar tramite.mordida.discrecional fuera de su dominio; L tiene poca cobertura textual de ENPOL. Prueba transporte, no memoria.	NO	tramite	MEDIA	tramite|P2|MEDIA
DIN-01	ENIF	2018	mujeres de 18 a 70 años, persona elegida del hogar, residentes en viviendas particulares	P5_4	proporción ponderada	FAC_PER	binaria	P1	NO :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: paso 1 indices (enif 2018, 13 archivos) y paso 2 abriendo enif_2018_tabulados_ahorro.xlsx (16 cuadros) y _administracion.xlsx (10 cuadros), 17 bloques/2 044 cadenas :: NO-ENCONTRADO -- el cuadro 4.6 cruza tenencia por TAMANO DE LOCALIDAD ('Cuenta o tarjeta de nomina' 52.4995 por ciento) y el 4.7 cruza por sexo pero CONDICIONADO a ya tener cuenta; la tasa de tenencia por sexo no esta publicada	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	Tenencia de cuenta formal es el numerador de la inclusion financiera y M la deriva de dinero.ahorro.con_puente_y_respaldo; L tiene el dato de Global Findex, que usa otra definicion de universo. Divergen por definicion de universo antes que por modelado.	NO	dinero	MEDIA	dinero|P1|MEDIA
DIN-02	ENIF	2015	hombres de 18 a 70 años, persona elegida del hogar, residentes en viviendas particulares	P6_4	proporción ponderada	FAC_PER	binaria	P1	NO :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: paso 1 sobre los dos indices: enif 2015 tiene 4 filas en descarga-masiva (doc y microdatos) y 0 en canastas; el indice de canastas solo trae enif 2018 (13), 2021 (14) y 2024 (26) :: NO-ENCONTRADO -- no hay tabulados publicados de ENIF 2015 en el universo indexado; el paso 2 no tiene sobre que correr	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	Tenencia de credito formal contra informal es el corazon de dinero.credito.scoring_alternativo; L conoce la cifra agregada de ENIF. Divergen si el condicionamiento por sexo o por tamano de localidad invierte el orden que el agregado sugiere.	NO	dinero	MEDIA	dinero|P1|MEDIA
DIN-03	ENIF	2012	mujeres de 18 a 70 años, persona elegida del hogar, residentes en viviendas particulares	P7_1	proporción ponderada	FAC_PER	binaria	P1	NO :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: paso 1 sobre los dos indices: enif 2012 tiene 4 filas en descarga-masiva (doc y microdatos) y 0 en canastas :: NO-ENCONTRADO -- no hay tabulados publicados de ENIF 2012 en el universo indexado; el paso 2 no tiene sobre que correr	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	Tenencia de seguro es un producto de baja penetracion en Mexico y M lo deriva de familia.seguro.volatilidad_ausencia_estado, regla cuyo mecanismo es el hogar y no el mercado. Ola de 2012, anterior a casi toda la literatura de inclusion financiera que L pudo leer.	NO	dinero	MEDIA	dinero|P1|MEDIA
DIN-04	ENIF	2024	personas de 18 a 70 años, persona elegida del hogar, en localidades de menor a 2,500 habitantes	P4_4_6	proporción ponderada	FAC_PER	binaria	P0	NO :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: paso 1 indices (enif 2024, 26 archivos) y paso 2 abriendo enif_2024_tab_18_a_70_anios_comportamiento cuadro 4.8, 156 bloques/21 281 cadenas :: NO-ENCONTRADO -- el reactivo SI se publica ('Utilizo su tarjeta de credito o solicito un credito' = 3 809 307 y 10.971 por ciento nacional, por sexo) pero el eje de la fila es 'localidades de menos de 2 500 habitantes' y ENIF publica el corte 1 a 14 999 / 15 000 y mas: el corte declarado no existe en el tabulado	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	Uso de credito ante un choque de gasto es una conducta condicionada a haber tenido el choque: M la produce con dinero.ahorro.volatilidad_horizonte_corto; L probablemente ignora el condicionamiento y responde sobre la poblacion total. Mide respeto del universo condicional.	NO	dinero	MEDIA	dinero|P0|MEDIA
DIN-05	ENFIH	2019	personas de 18 años y más residentes en viviendas particulares, en localidades de menor de 2,500 habitantes	P8_1_1	proporción ponderada	FACTOR	binaria	P2	NO :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: paso 1 indices (enfih 2019, 18 archivos) y paso 2 abriendo enfih_2019_tb_tema_06 cuadro 6.2, 100 bloques/12 073 cadenas :: NO-ENCONTRADO -- el reactivo SI se publica ('Caja de ahorro de conocidos o del trabajo' = 2 179 557, mujeres 1 034 219) pero el corte publicado es 'De 1 a 14 999 habitantes', no el de menos de 2 500 que declara la fila	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	Deuda con caja de ahorro de conocidos o del trabajo es credito informal con puente social: es el reactivo que mas directamente toca cooperacion.tanda.conoce_organizadora y dinero.ahorro.informal_sin_puente. Casi no existe en literatura de divulgacion, asi que L tiene poco que recitar.	NO	dinero	MEDIA	dinero|P2|MEDIA
DIN-06	ENFIH	2019	mujeres de 18 años y más residentes en viviendas particulares	P8_8_2	proporción ponderada	FACTOR	binaria	P2	SI :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: paso 1 indices (enfih 2019, 18 archivos) y paso 2 abriendo enfih_2019_tb_tema_06_xlsx.zip, 01EST_06 DeuNoHipot.xlsx :: EXISTE-SATISFACE -- hoja 6.4 fila 14 'Tarjeta de credito bancaria': Total 10 807 422, Mujeres 5 150 365 sobre 45 937 254 mujeres de 18 anos y mas; el cuadro abre ademas por tamano de localidad	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	Tenencia de tarjeta de credito bancaria por hogar (ENFIH, unica edicion 2019) contra por persona (ENIF): la misma cantidad nominal con dos unidades de observacion distintas. Divergen si un corredor confunde hogar con persona.	NO	dinero	MEDIA	dinero|P2|MEDIA
DIN-07	Encuesta de Competencias Financieras (Banxico/CNBV)	2019	personas de 18 años y más que administran o aportan dinero al hogar, de nivel socioeconómico D o E (AMAI)	SF2	proporción ponderada	PESOP	binaria	P2	PENDIENTE-FUERA-DE-INDICE :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: paso 1 sobre los dos indices completos: 7 930 de 7 930 y 17 163 de 17 163 lineas contienen 'inegi' (control positivo), y 'competencias financieras', 'ecf', 'banxico' y 'cnbv' devuelven 0 lineas en ambos :: NO-ENCONTRADO -- el publicador de la fila es Banxico/CNBV: el diseno de dos pasos de FP-93 no puede alcanzarla POR CONSTRUCCION, no por fallo de busqueda. Necesita un universo propio, que este acto no abre	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	Hacer presupuesto en el hogar es una practica declarada, no una conducta observada: M no tiene regla de planeacion domestica salvo dinero.planeacion.formal_estable, atada a formalidad laboral. Divergen si la practica no sigue a la formalidad.	NO	dinero	MEDIA	dinero|P2|MEDIA
DIN-08	Encuesta de Competencias Financieras (Banxico/CNBV)	2019	personas de 18 a 25 años que administran o aportan dinero al hogar	SF7	proporción ponderada	PESOP	ordinal k=5	P2	PENDIENTE-FUERA-DE-INDICE :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: identico a DIN-07: los dos indices de FP-93 son 100 por ciento inegi.org.mx :: NO-ENCONTRADO -- publicador Banxico/CNBV, fuera del alcance del diseno de dos pasos	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	Puntualidad de pago en los ultimos tres meses es el analogo conductual de lo que compass-4 mide con IMOR: es la unica celda de encuesta emparejable con las celdas DOC de desenlace auditado. Su valor esta en el contraste declarado contra conducta observada.	NO	dinero	MEDIA	dinero|P2|MEDIA
DIN-09	Encuesta de Competencias Financieras (Banxico/CNBV)	2021	personas de 18 años y más que administran o aportan dinero al hogar	SF5	proporción ponderada	PESO	ordinal k=5	P2	PENDIENTE-FUERA-DE-INDICE :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: identico a DIN-07: los dos indices de FP-93 son 100 por ciento inegi.org.mx :: NO-ENCONTRADO -- publicador Banxico/CNBV, fuera del alcance del diseno de dos pasos	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	Misma pregunta que DIN-08 en la ola 2021, con mnemonico distinto (SF5 en vez de SF7): sonda de perturbacion barata -- si un corredor da la misma cifra a dos olas distintas, esta recitando y no modelando.	NO	dinero	FACIL	dinero|P2|FACIL
DIN-10	Encuesta de Competencias Financieras (Banxico/CNBV)	2021	mujeres de 18 años y más que administran o aportan dinero al hogar	SF13	proporción ponderada	PESO	ordinal k=4	P2	PENDIENTE-FUERA-DE-INDICE :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: identico a DIN-07: los dos indices de FP-93 son 100 por ciento inegi.org.mx :: NO-ENCONTRADO -- publicador Banxico/CNBV, fuera del alcance del diseno de dos pasos	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	Carga de deuda total del hogar es un agregado que requiere sumar productos heterogeneos: M debe componer varias reglas de dinero; L tiene la cifra de endeudamiento que publica la propia ECF. Divergen en la composicion, no en el nivel.	NO	dinero	MEDIA	dinero|P2|MEDIA
DIN-11	ENIF	2018	personas de 18 a 70 años, persona elegida del hogar, residentes en viviendas particulares	P5_3	proporción ponderada	FAC_PER	binaria	P1	NO :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: paso 1 indices (enif 2018, 13 archivos) y paso 2 sobre 17 bloques/2 044 cadenas, 26 cuadros de los dos cuadernos :: NO-ENCONTRADO -- 0 coincidencias de 'cuentas que no cobran comisiones'; el cuadro 4.5 publica 'conocimiento de la existencia de cuentas basicas' por tamano de localidad, que es otro reactivo	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	Conocimiento de cuentas sin comision es alfabetizacion financiera pura, sin conducta: M no tiene ninguna regla que produzca conocimiento -- solo conducta -- asi que debe declarar incertidumbre alta o extrapolar. Es la celda donde M deberia perder si el diseno es honesto.	NO	dinero	FACIL	dinero|P1|FACIL
DIN-12	Encuesta de Competencias Financieras (Banxico/CNBV)	2021	hombres de 18 años y más que administran o aportan dinero al hogar	SF10e	proporción ponderada	PESO	binaria	P2	PENDIENTE-FUERA-DE-INDICE :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: identico a DIN-07: los dos indices de FP-93 son 100 por ciento inegi.org.mx :: NO-ENCONTRADO -- publicador Banxico/CNBV, fuera del alcance del diseno de dos pasos	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	Que hizo el hogar cuando gasto mas de lo que entro: la respuesta discrimina entre red social (prestar de familiares), mercado formal (credito) y liquidacion de activos, que son tres reglas distintas del motor. Ninguna fuente de divulgacion publica ese reparto.	NO	dinero	MEDIA	dinero|P2|MEDIA
SFT-01	ENASIC	2022	Personas del hogar identificadas con discapacidad que necesitan cuidados (PN_CDISC=1, tabla TCSDemPO)	P4_13	proporción ponderada	FAC_HOG	binaria	P0	SI :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: paso 1 indices (enasic 2022, 1 archivo zip) y paso 2 abriendo 01EST_T2 Pob requiere cuidados, 48 bloques/8 731 cadenas :: EXISTE-SATISFACE -- Cuadro 2.7 fila 13: 'Si necesita que le brinden cuidado complementario' = 1 873 714 y 33.3049 por ciento sobre 5 625 946 personas con discapacidad o dependencia; abierto por sexo (mujeres 36.1216)	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	Necesidad percibida de mas cuidado para una persona dependiente es la demanda no satisfecha de cuidados: M la produce con familismo_obligacion, cuyo unico valor computado del programa es 69.33 por ciento (U1/E4b'). Es la celda donde M tiene el parametro mejor sostenido y L casi nada que recitar.	NO	salud	MEDIA	salud|P0|MEDIA
SFT-02	ENASIC	2022	Personas del hogar identificadas con discapacidad que necesitan cuidados (PN_CDISC=1, tabla TCSDemPO)	P4_12	media ponderada	FAC_HOG	continua (horas/día)	P0	SI :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: paso 1 indices (enasic 2022) y paso 2 abriendo 01EST_T2 Pob requiere cuidados :: EXISTE-SATISFACE -- Cuadro 2.22 fila 13: 'Promedio de horas diarias que se queda sola(o)' = 7.0511 para personas con discapacidad o dependencia; el cuadro abre por jefatura del hogar	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	Horas diarias que una persona dependiente pasa sola es una medida continua de desatencion, no una actitud: M debe convertir norma en horas, que es exactamente el salto que ADR-67(b) declara no sellado. Divergen en la unidad, no en el signo.	NO	salud	MEDIA	salud|P0|MEDIA
