cell_id	input_id	outcome	source_instrument	source_edition	source_reference_period	target_instrument	target_edition	target_reference_period	unit	axis	category	status	reason	consumer	calc_id	corrida_id	point	ic_lo	ic_hi	n	den_w	b_validas	metadata_source	metadata_source_sha256
RESULT-PISOS-ENVIPE2024-V2-EVASION-DOMINIO-RURAL-P	dominio::Rural	evasion	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	dominio	Rural	CONSTRUIBLE		tramite.evasion_norma.segmentacion_ejes_envipe2025	CALC-PISOS-ENVIPE2024-EJES-0002	CALC-PISOS-ENVIPE2024-EJES-0002--e2d8d1674a98	0.4291004565374159	0.39779365554838814	0.46116913640625923	4033	3332257.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENVIPE2024-V2-EVASION-DOMINIO-COMPLEMENTO-URBANO-P	dominio::Complemento urbano	evasion	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	dominio	Complemento urbano	CONSTRUIBLE		tramite.evasion_norma.segmentacion_ejes_envipe2025	CALC-PISOS-ENVIPE2024-EJES-0002	CALC-PISOS-ENVIPE2024-EJES-0002--e2d8d1674a98	0.4723676575449671	0.4524310691143336	0.49206818661120133	7683	5723239.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENVIPE2024-V2-EVASION-DOMINIO-URBANO-P	dominio::Urbano	evasion	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	dominio	Urbano	CONSTRUIBLE		tramite.evasion_norma.segmentacion_ejes_envipe2025	CALC-PISOS-ENVIPE2024-EJES-0002	CALC-PISOS-ENVIPE2024-EJES-0002--e2d8d1674a98	0.5693019140936104	0.5545169600213642	0.5837217250956352	25898	24367617.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENVIPE2024-V2-DENUNCIA-COBERTURA-SEGURO-NO-ASEGURADO-P	cobertura_seguro::no_asegurado	denuncia	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	cobertura_seguro	no_asegurado	CONSTRUIBLE		familia.seguro.denuncia.segmentacion_envipe2025	CALC-PISOS-ENVIPE2024-EJES-0002	CALC-PISOS-ENVIPE2024-EJES-0002--e2d8d1674a98	0.6335238483178248	0.5849432161458518	0.6817866400934546	652	314236.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENVIPE2024-V2-DENUNCIA-COBERTURA-SEGURO-ASEGURADO-P	cobertura_seguro::asegurado	denuncia	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	cobertura_seguro	asegurado	CONSTRUIBLE		familia.seguro.denuncia.segmentacion_envipe2025	CALC-PISOS-ENVIPE2024-EJES-0002	CALC-PISOS-ENVIPE2024-EJES-0002--e2d8d1674a98	0.7740559546028694	0.7108346601907894	0.8330591470908341	375	212172.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENCIG2023-V2-DIGITAL-SEXO-1-P	sexo::1	digital	ENCIG	2023	levantamiento 2023	ENCIG	2025	levantamiento 2025	TRAMITE	sexo	1	CONSTRUIBLE		tramite.gobierno_digital.util_sin_coercion.segmentacion_ejes_encig2025	CALC-PISOS-ENCIG2023-EJES-0002	CALC-PISOS-ENCIG2023-EJES-0002--e78137e8d9a6	0.5780492513486944	0.5621960586423821	0.5935453312085558	10407	55860318.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENCIG2023-V2-DIGITAL-SEXO-2-P	sexo::2	digital	ENCIG	2023	levantamiento 2023	ENCIG	2025	levantamiento 2025	TRAMITE	sexo	2	CONSTRUIBLE		tramite.gobierno_digital.util_sin_coercion.segmentacion_ejes_encig2025	CALC-PISOS-ENCIG2023-EJES-0002	CALC-PISOS-ENCIG2023-EJES-0002--e78137e8d9a6	0.5413364344014386	0.5263192189273178	0.5566568902867185	10527	51818705.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENCIG2023-V2-DIGITAL-EDAD-18-29-P	edad::18-29	digital	ENCIG	2023	levantamiento 2023	ENCIG	2025	levantamiento 2025	TRAMITE	edad	18-29	CONSTRUIBLE		tramite.gobierno_digital.util_sin_coercion.segmentacion_ejes_encig2025	CALC-PISOS-ENCIG2023-EJES-0002	CALC-PISOS-ENCIG2023-EJES-0002--e78137e8d9a6	0.6358248418060171	0.6085279489916731	0.6632928648460085	3316	15460607.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENCIG2023-V2-DIGITAL-EDAD-30-44-P	edad::30-44	digital	ENCIG	2023	levantamiento 2023	ENCIG	2025	levantamiento 2025	TRAMITE	edad	30-44	CONSTRUIBLE		tramite.gobierno_digital.util_sin_coercion.segmentacion_ejes_encig2025	CALC-PISOS-ENCIG2023-EJES-0002	CALC-PISOS-ENCIG2023-EJES-0002--e78137e8d9a6	0.6542108889000406	0.6362536512021962	0.672186272935905	7002	34653289.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENCIG2023-V2-DIGITAL-EDAD-45-59-P	edad::45-59	digital	ENCIG	2023	levantamiento 2023	ENCIG	2025	levantamiento 2025	TRAMITE	edad	45-59	CONSTRUIBLE		tramite.gobierno_digital.util_sin_coercion.segmentacion_ejes_encig2025	CALC-PISOS-ENCIG2023-EJES-0002	CALC-PISOS-ENCIG2023-EJES-0002--e78137e8d9a6	0.5355678254592071	0.5158395095348203	0.5551135667666445	6110	34746628.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENCIG2023-V2-DIGITAL-EDAD-60-MAS-P	edad::60+	digital	ENCIG	2023	levantamiento 2023	ENCIG	2025	levantamiento 2025	TRAMITE	edad	60+	CONSTRUIBLE		tramite.gobierno_digital.util_sin_coercion.segmentacion_ejes_encig2025	CALC-PISOS-ENCIG2023-EJES-0002	CALC-PISOS-ENCIG2023-EJES-0002--e78137e8d9a6	0.3985078716009915	0.37640428540961013	0.4207656700266648	4399	22246745.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENCIG2023-V2-DIGITAL-ESCOLARIDAD-HASTA-PRIMARIA-P	escolaridad::hasta_primaria	digital	ENCIG	2023	levantamiento 2023	ENCIG	2025	levantamiento 2025	TRAMITE	escolaridad	hasta_primaria	CONSTRUIBLE		tramite.gobierno_digital.util_sin_coercion.segmentacion_ejes_encig2025	CALC-PISOS-ENCIG2023-EJES-0002	CALC-PISOS-ENCIG2023-EJES-0002--e78137e8d9a6	0.31211489449743707	0.28436973276034083	0.34054458969743756	2693	14079421.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENCIG2023-V2-DIGITAL-ESCOLARIDAD-SECUNDARIA-P	escolaridad::secundaria	digital	ENCIG	2023	levantamiento 2023	ENCIG	2025	levantamiento 2025	TRAMITE	escolaridad	secundaria	CONSTRUIBLE		tramite.gobierno_digital.util_sin_coercion.segmentacion_ejes_encig2025	CALC-PISOS-ENCIG2023-EJES-0002	CALC-PISOS-ENCIG2023-EJES-0002--e78137e8d9a6	0.4390587862494803	0.4176698323028131	0.4608986275430342	4594	24425695.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENCIG2023-V2-DIGITAL-ESCOLARIDAD-MEDIA-SUPERIOR-P	escolaridad::media_superior	digital	ENCIG	2023	levantamiento 2023	ENCIG	2025	levantamiento 2025	TRAMITE	escolaridad	media_superior	CONSTRUIBLE		tramite.gobierno_digital.util_sin_coercion.segmentacion_ejes_encig2025	CALC-PISOS-ENCIG2023-EJES-0002	CALC-PISOS-ENCIG2023-EJES-0002--e78137e8d9a6	0.5572209588882723	0.5354903053245615	0.5793472046161102	5753	30610803.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENCIG2023-V2-DIGITAL-ESCOLARIDAD-SUPERIOR-P	escolaridad::superior	digital	ENCIG	2023	levantamiento 2023	ENCIG	2025	levantamiento 2025	TRAMITE	escolaridad	superior	CONSTRUIBLE		tramite.gobierno_digital.util_sin_coercion.segmentacion_ejes_encig2025	CALC-PISOS-ENCIG2023-EJES-0002	CALC-PISOS-ENCIG2023-EJES-0002--e78137e8d9a6	0.7303788097555632	0.7139566368022784	0.7465122625287364	7894	38563104.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENIF2021-V2-D9-SEXO-1-P	ahorra_solo_informal::sexo::1	ahorra_solo_informal	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	PERSONA ELEGIDA 18+	sexo	1	CONSTRUIBLE		dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	CALC-PISOS-ENIF2021-EJES-0003	CALC-PISOS-ENIF2021-EJES-0003--262046606410	0.35864758613030456	0.3427060941138382	0.37449969548054934	6209	42644224.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENIF2021-V2-D9-SEXO-2-P	ahorra_solo_informal::sexo::2	ahorra_solo_informal	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	PERSONA ELEGIDA 18+	sexo	2	CONSTRUIBLE		dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	CALC-PISOS-ENIF2021-EJES-0003	CALC-PISOS-ENIF2021-EJES-0003--262046606410	0.3955232998440402	0.38057394842892805	0.4105238557997685	7345	47684096.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENIF2021-V2-D9-EDAD-18-29-P	ahorra_solo_informal::edad::18-29	ahorra_solo_informal	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	PERSONA ELEGIDA 18+	edad	18-29	CONSTRUIBLE		dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	CALC-PISOS-ENIF2021-EJES-0003	CALC-PISOS-ENIF2021-EJES-0003--262046606410	0.47397583266507526	0.45211696980803534	0.49630138194185036	3221	24935476.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENIF2021-V2-D9-EDAD-30-44-P	ahorra_solo_informal::edad::30-44	ahorra_solo_informal	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	PERSONA ELEGIDA 18+	edad	30-44	CONSTRUIBLE		dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	CALC-PISOS-ENIF2021-EJES-0003	CALC-PISOS-ENIF2021-EJES-0003--262046606410	0.39966123102166035	0.3789656056239703	0.4203642184375335	4270	26577404.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENIF2021-V2-D9-EDAD-45-59-P	ahorra_solo_informal::edad::45-59	ahorra_solo_informal	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	PERSONA ELEGIDA 18+	edad	45-59	CONSTRUIBLE		dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	CALC-PISOS-ENIF2021-EJES-0003	CALC-PISOS-ENIF2021-EJES-0003--262046606410	0.3339516559059779	0.3133474939606962	0.35489929216001187	3252	21890947.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENIF2021-V2-D9-EDAD-60-MAS-P	ahorra_solo_informal::edad::60+	ahorra_solo_informal	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	PERSONA ELEGIDA 18+	edad	60+	CONSTRUIBLE		dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	CALC-PISOS-ENIF2021-EJES-0003	CALC-PISOS-ENIF2021-EJES-0003--262046606410	0.25978216332077736	0.23857474925433575	0.2817583740188255	2774	16639622.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENIF2021-V2-D9-ESCOLARIDAD-HASTA-PRIMARIA-P	ahorra_solo_informal::escolaridad::hasta_primaria	ahorra_solo_informal	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	PERSONA ELEGIDA 18+	escolaridad	hasta_primaria	CONSTRUIBLE		dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	CALC-PISOS-ENIF2021-EJES-0003	CALC-PISOS-ENIF2021-EJES-0003--262046606410	0.3474218551587848	0.3274434299877783	0.3667990471367577	3678	23786503.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENIF2021-V2-D9-ESCOLARIDAD-SECUNDARIA-P	ahorra_solo_informal::escolaridad::secundaria	ahorra_solo_informal	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	PERSONA ELEGIDA 18+	escolaridad	secundaria	CONSTRUIBLE		dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	CALC-PISOS-ENIF2021-EJES-0003	CALC-PISOS-ENIF2021-EJES-0003--262046606410	0.43923641557098714	0.41824328948290473	0.46090826460341483	3571	23048558.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENIF2021-V2-D9-ESCOLARIDAD-MEDIA-SUPERIOR-P	ahorra_solo_informal::escolaridad::media_superior	ahorra_solo_informal	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	PERSONA ELEGIDA 18+	escolaridad	media_superior	CONSTRUIBLE		dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	CALC-PISOS-ENIF2021-EJES-0003	CALC-PISOS-ENIF2021-EJES-0003--262046606410	0.4098093119222332	0.38960026691878813	0.4304435193019967	3336	23301247.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENIF2021-V2-D9-ESCOLARIDAD-SUPERIOR-P	ahorra_solo_informal::escolaridad::superior	ahorra_solo_informal	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	PERSONA ELEGIDA 18+	escolaridad	superior	CONSTRUIBLE		dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	CALC-PISOS-ENIF2021-EJES-0003	CALC-PISOS-ENIF2021-EJES-0003--262046606410	0.3079254311061226	0.2847879637039001	0.3314223825927069	2969	20192012.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENIF2021-V2-D9-LOCALIDAD-MENOR-DE-15-000-P	ahorra_solo_informal::localidad::menor de 15 000	ahorra_solo_informal	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	PERSONA ELEGIDA 18+	localidad	menor de 15 000	CONSTRUIBLE		dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	CALC-PISOS-ENIF2021-EJES-0003	CALC-PISOS-ENIF2021-EJES-0003--262046606410	0.42350079209783514	0.40589924841404224	0.44064829803263283	4989	32104620.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENIF2021-V2-D9-LOCALIDAD-15-000-Y-MAS-P	ahorra_solo_informal::localidad::15 000 y mas	ahorra_solo_informal	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	PERSONA ELEGIDA 18+	localidad	15 000 y mas	CONSTRUIBLE		dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	CALC-PISOS-ENIF2021-EJES-0003	CALC-PISOS-ENIF2021-EJES-0003--262046606410	0.35308795215693956	0.3384279998170356	0.3678085481250007	8565	58223700.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
EXCLUSION-PISOS-ENIF2021-AHORRA-SOLO-INFORMAL-FORMALIDAD-SIN-SEGURIDAD-SOCIAL	ahorra_solo_informal::formalidad::sin seguridad social	ahorra_solo_informal	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	PERSONA ELEGIDA 18+	formalidad	sin seguridad social	NO-CONSTRUIBLE	P3_13 comparable no existe en ENIF 2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024									forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
EXCLUSION-PISOS-ENIF2021-AHORRA-SOLO-INFORMAL-FORMALIDAD-CON-SEGURIDAD-SOCIAL	ahorra_solo_informal::formalidad::con seguridad social	ahorra_solo_informal	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	PERSONA ELEGIDA 18+	formalidad	con seguridad social	NO-CONSTRUIBLE	P3_13 comparable no existe en ENIF 2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024									forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENIF2021-V2-D9-CUENTA-SIN-CUENTA-P	ahorra_solo_informal::cuenta::sin cuenta	ahorra_solo_informal	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	PERSONA ELEGIDA 18+	cuenta	sin cuenta	CONSTRUIBLE		dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	CALC-PISOS-ENIF2021-EJES-0003	CALC-PISOS-ENIF2021-EJES-0003--262046606410	0.4700404206126354	0.45340909740483265	0.4864516291295601	6355	44857806.0	10000	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
