declaracion_id	input_id	localizador_declarado	identificador_declarado	activo_id	metodo_reconciliacion	evidencia_reconciliacion	estado_reconciliacion
DEC-0016bbdb76a64f14a8c90036	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/programas/cae/2007/tabulados/CA2007m_41.xls	CA2007m_41.xls	ACT-c13099365fede39cc1d45d42	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/programas/cae/2007/tabulados/CA2007m_41.xls	ACTIVO_UNICO
DEC-001cdee8411d5bc78af789fc	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/masiva/saladeprensa/boletines/poranio/boletines_2021_00.zip	boletines_2021_00.zip	ACT-686e4672ae39cb09c73d531f	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/masiva/saladeprensa/boletines/poranio/boletines_2021_00.zip	ACTIVO_UNICO
DEC-002003a9c4eb8fa0ec33b041	INP-63e67742a37186eacc45	https://www.inegi.org.mx/contenidos/programas/ccpv/2010/microdatos/urbano/MANZANA_EU_04_dbf.zip	MANZANA_EU_04_dbf.zip	ACT-735bf340695b39cd0f077111	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-0021338cd4de61bccc1509d6	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/investigacion/mcsm/tabulados/cou_pcn_cu_t_pc_2005.xlsx	cou_pcn_cu_t_pc_2005.xlsx	ACT-ef715490ccf50a2e88355206	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/investigacion/mcsm/tabulados/cou_pcn_cu_t_pc_2005.xlsx	ACTIVO_UNICO
DEC-002189368ded9a22afab84ab	INP-63e67742a37186eacc45	https://www.inegi.org.mx/contenidos/programas/ccpv/2020/microdatos/caas/Censo2020_CAAS_mex_sav.zip	Censo2020_CAAS_mex_sav.zip	ACT-601ac82bb386ea20fef8d172	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-002716718672a8a48c047845	INP-63e67742a37186eacc45	https://www.inegi.org.mx/contenidos/programas/cngspspe/2014/microdatos/AP_Participacion_cngspspe2014_dbf.zip	AP_Participacion_cngspspe2014_dbf.zip	ACT-21e1862e582919ae4473d64d	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-002a35ec83fbb884e1a8c5b3	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/investigacion/bienestar/ampliado/tabulados/2014/pob_sat_5.xlsx	pob_sat_5.xlsx	ACT-9480a5e338d7403b7e6832fc	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/investigacion/bienestar/ampliado/tabulados/2014/pob_sat_5.xlsx	ACTIVO_UNICO
DEC-002a5971da67a1a28b397d74	INP-63e67742a37186eacc45	https://www.inegi.org.mx/contenidos/programas/justiciapenal/2019/microdatos/JC_Imputados_ehriij2019_dbf.zip	JC_Imputados_ehriij2019_dbf.zip	ACT-7846b7b66ad16dbdb5403ce2	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-002beef0641b07505d2c48ba	INP-76143f24fced1856d563	data_raw:envipe2017/calculo_indicadores_r_envipe2017.pdf	envipe2017/calculo_indicadores_r_envipe2017.pdf	ACT-a2ea7a5a2303bd50e393481a	HASH_IDENTICO;RUTA_EXACTA	HASH_IDENTICO;RUTA_EXACTA	IDENTIDAD_VERIFICADA
DEC-002d6e6c97e92071c994b3dd	INP-63e67742a37186eacc45	https://www.inegi.org.mx/contenidos/programas/ccpv/2020/microdatos/caas/Censo2020_CAAS_mich_sas.zip	Censo2020_CAAS_mich_sas.zip	ACT-fd17685c07d742e11ddf1ad3	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-002e7cf3830a5bb758983fae	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/programas/mtptref/2018/tabulados/ori/MTPTREF_45.xlsx	MTPTREF_45.xlsx	ACT-08507ff8511be1d4cfae8a0b	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/programas/mtptref/2018/tabulados/ori/MTPTREF_45.xlsx	ACTIVO_UNICO
DEC-002fb3a58a2bc2f15abafc1a	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/programas/ce/2009/tabulados/establecimiento/CAP_MONTEPN08.xls	CAP_MONTEPN08.xls	ACT-04d2ae2fc92cc4702a8f3ef3	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/programas/ce/2009/tabulados/establecimiento/CAP_MONTEPN08.xls	ACTIVO_UNICO
DEC-0030231bbaaff48e384c984d	INP-89a4a6dc5baa05e3e190	https://www.inegi.org.mx/contenidos/programas/mcs/2012/microdatos/MCS_Gastopersona_2012_concil_2010_dta.zip	MCS_Gastopersona_2012_concil_2010_dta.zip	ACT-202db2388a91cbe4ac10fba2	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-0032397769144cc55a7b7d2a	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/programas/ce/2004/tabulados/cuadros/TURI_CUADRO_24.xls	TURI_CUADRO_24.xls	ACT-331c591f8f339ced53ba49ee	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/programas/ce/2004/tabulados/cuadros/TURI_CUADRO_24.xls	ACTIVO_UNICO
DEC-00341aca6cd18b17a5282398	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/programas/dutih/2018/tabulados/2018_u2ed604.xlsx	2018_u2ed604.xlsx	ACT-32c87302a32a43dc4cf7b458	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/programas/dutih/2018/tabulados/2018_u2ed604.xlsx	ACTIVO_UNICO
DEC-00369fffcbc1cb35b01611b8	INP-31d8a03b381d2c4acd8f	data_raw:ennvih/ehh09w_all.zip	ennvih3_2009_ponderador_transversal	ACT-d7fcee91e2e767ab8c66a205	HASH_IDENTICO;RUTA_EXACTA	HASH_IDENTICO;RUTA_EXACTA	IDENTIDAD_VERIFICADA
DEC-00377767569b84a3e877e2d4	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/programas/sit/2018/tabulados/ori/CSIT_378.xlsx	CSIT_378.xlsx	ACT-93643c55d609747fb966f821	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/programas/sit/2018/tabulados/ori/CSIT_378.xlsx	ACTIVO_UNICO
DEC-00384f24a04e20204b0f3181	INP-89a4a6dc5baa05e3e190	https://www.inegi.org.mx/contenidos/programas/cnije/2019/microdatos/m1/Marco_regulatorio_cnije2019_dbf.zip	Marco_regulatorio_cnije2019_dbf.zip	ACT-f980310b0e27f315c23249ff	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-00395d51391613537811681b	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/investigacion/experimentales/pob_joven/tabulados/219JovenC1_1.xlsx	219JovenC1_1.xlsx	ACT-824cb205ad9ed3f1f71a2fdc	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/investigacion/experimentales/pob_joven/tabulados/219JovenC1_1.xlsx	ACTIVO_UNICO
DEC-0039e1642df4506813d9d392	INP-89a4a6dc5baa05e3e190	https://www.inegi.org.mx/contenidos/investigacion/bienestar/ampliado/microdatos/2014/mcs_noagro_biare_ampliado_stata.zip	mcs_noagro_biare_ampliado_stata.zip	ACT-ed074a2937f7fd9a499c5700	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-003cf9e2081c066de67f7860	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/programas/dutih/2020/tabulados/2020_uest762.xlsx	2020_uest762.xlsx	ACT-d717b2fe3251ebd36ecaeacf	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/programas/dutih/2020/tabulados/2020_uest762.xlsx	ACTIVO_UNICO
DEC-003fcb5fc89fd00fe1576a6c	INP-89a4a6dc5baa05e3e190	https://www.inegi.org.mx/contenidos/investigacion/eash/2020/microdatos/enigh2020_viviendas_dta.zip	enigh2020_viviendas_dta.zip	ACT-d346f1b4acd2607aea6021a0	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-00416612f718eeba2ee3c794	INP-63e67742a37186eacc45	https://www.inegi.org.mx/contenidos/programas/molec/2025/microdatos/fd_molec_2025.xlsx	fd_molec_2025.xlsx	ACT-fe9fbf93e6df8e1a448ec26d	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-00426d09ebded9835065ae2e	INP-74937b1d6b324152f4f6	https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/fd_envipe2025.pdf	envipe2025_fd_pdf	ACT-7d993d10c090c449534e36f5	HASH_IDENTICO;RUTA_EXACTA;URL_EXACTA_SOLO_LOCALIZACION	HASH_IDENTICO;RUTA_EXACTA;URL_EXACTA_SOLO_LOCALIZACION	IDENTIDAD_VERIFICADA
DEC-00433fbd7dcadd8ea61484e2	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/masiva/indicadores/programas/ccpv/1950/cpv_english_00_xlsx.zip	cpv_english_00_xlsx.zip	ACT-92dc2b481cbe71aca950ecca	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/masiva/indicadores/programas/ccpv/1950/cpv_english_00_xlsx.zip	ACTIVO_UNICO
DEC-0045af9ddfe8c13ecd4e1649	INP-89a4a6dc5baa05e3e190	https://www.inegi.org.mx/contenidos/programas/cngmd/2015/microdatos/m2/Recursos_cngmd2015_dbf.zip	Recursos_cngmd2015_dbf.zip	ACT-caeffa8b4514c4a08692a751	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-0045d2f71b77c7ca5eeb6354	INP-89a4a6dc5baa05e3e190	https://www.inegi.org.mx/contenidos/programas/cngmd/2013/microdatos/recursos_cngmd2013_dbf.zip	recursos_cngmd2013_dbf.zip	ACT-3bedf3fe92ed59fbc52a84c9	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-0046fada537da063073c7793	INP-89a4a6dc5baa05e3e190	https://www.inegi.org.mx/contenidos/programas/envipe/2021/doc/fd_envipe2021.pdf	fd_envipe2021.pdf	ACT-0f286b28a52644e4d6da1f3f	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-0047994bed0173af14d7b449	INP-7a3306241258c875c9eb	https://www.inegi.org.mx/contenidos/programas/ccpv/2020/microdatos/Censo2020_CA_mor_sas.zip	Censo2020_CA_mor_sas.zip	ACT-378a79f15fce49aaae618a6c	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-0047af0d104181b374d26b25	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/programas/enpecyt/2013/tabulados/enp46.xls	enp46.xls	ACT-2df3672fd6a2040c9b179832	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/programas/enpecyt/2013/tabulados/enp46.xls	ACTIVO_UNICO
DEC-0048d1fdb4beede23af44d29	INP-63e67742a37186eacc45	https://www.inegi.org.mx/contenidos/programas/ccpv/2020/microdatos/ceu/Censo2020_CEU_tla_csv.zip	Censo2020_CEU_tla_csv.zip	ACT-89f06a443e69228952956418	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-00495c6a89165a3810601719	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/programas/enasjup/2017/tabulados/X_Victimizacion_al_interior_del_centro_enasjup_2017.xlsx	X_Victimizacion_al_interior_del_centro_enasjup_2017.xlsx	ACT-fec06fbd7d0247d231b5a04e	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/programas/enasjup/2017/tabulados/X_Victimizacion_al_interior_del_centro_enasjup_2017.xlsx	ACTIVO_UNICO
DEC-004985b7db501289451701bb	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/programas/envipe/2014/tabulados/IV_caracteristicas_victimas_2014_int.xlsx	IV_caracteristicas_victimas_2014_int.xlsx	ACT-95fa94d197be7c5c60e63c39	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/programas/envipe/2014/tabulados/IV_caracteristicas_victimas_2014_int.xlsx	ACTIVO_UNICO
DEC-004b3ba21472f3bfea866ce2	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/programas/ofyd/2018/tabulados/ori/OUT_18.xlsx	OUT_18.xlsx	ACT-dfce33b2ab4e355d1046112a	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/programas/ofyd/2018/tabulados/ori/OUT_18.xlsx	ACTIVO_UNICO
DEC-004f094d883e4d590b9be17c	INP-89a4a6dc5baa05e3e190	https://www.inegi.org.mx/contenidos/programas/cnpj/2017/microdatos/m2/Cierre_durante_anio_cnpjf2017_dbf.zip	Cierre_durante_anio_cnpjf2017_dbf.zip	ACT-61ce7a0617084610e21cd484	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-004fd506769bbe7e41b3e06c	INP-63e67742a37186eacc45	https://www.inegi.org.mx/contenidos/investigacion/bienestar/basico/microdatos/2015/biare_2015_julio_dta.zip	biare_2015_julio_dta.zip	ACT-1e508e85803213bb88fff4ea	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-00502a359b9b23b067f6180d	INP-63e67742a37186eacc45	https://www.inegi.org.mx/contenidos/programas/cngspspe/2011/microdatos/Modulo_3_Sistema_penitenciario/spe_adolescentes_cngspspe2011_dbf.zip	spe_adolescentes_cngspspe2011_dbf.zip	ACT-a331d3d7e10737b1fb5cb8aa	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-005163f007bb169db58015dc	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/programas/ce/1999/tabulados/MAN3709.xls	MAN3709.xls	ACT-18b306cb32ffa9f998df6306	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/programas/ce/1999/tabulados/MAN3709.xls	ACTIVO_UNICO
DEC-0055c6db87c30ae4c6f4617b	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/programas/ena/2017/tabulados/precisiones/ena17_ent_ipagri08.xlsx	ena17_ent_ipagri08.xlsx	ACT-2537974d9082d5159dbd01be	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/programas/ena/2017/tabulados/precisiones/ena17_ent_ipagri08.xlsx	ACTIVO_UNICO
DEC-0057bff7e96b21069dca063d	INP-89a4a6dc5baa05e3e190	https://www.inegi.org.mx/contenidos/programas/cnije/2018/microdatos/m1/Tribunal_Super_Justic_cnije2018_dbf.zip	Tribunal_Super_Justic_cnije2018_dbf.zip	ACT-24082250fcf3acbb8d436934	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-0057cd290a885f9db965ad89	INP-74937b1d6b324152f4f6	https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/datosabiertos/2025/conjunto_de_datos_enoe_2025_3t_csv.zip	enoe_2025_3t_csv	ACT-695b4be2a1e88533c833551d	HASH_IDENTICO;RUTA_EXACTA	HASH_IDENTICO;RUTA_EXACTA	IDENTIDAD_VERIFICADA
DEC-005880e84fe8033af96405f5	INP-220932eafff5baaebfaf	data_raw:envipe2021/bd_envipe_2021_csv.zip	envipe_2021_bd_envipe_2021_csv	ACT-1e6e2ea88d666a906e769ab5	HASH_IDENTICO;RUTA_EXACTA	HASH_IDENTICO;RUTA_EXACTA	IDENTIDAD_VERIFICADA
DEC-0058be67ce1a1d1bb3016f98	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/programas/ptf/2018/tabulados/ori/PTF_100.xlsx	PTF_100.xlsx	ACT-6b80d3df7088a1cb4d0cec40	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/programas/ptf/2018/tabulados/ori/PTF_100.xlsx	ACTIVO_UNICO
DEC-005a0759830f561d6eddc88d	INP-89a4a6dc5baa05e3e190	https://www.inegi.org.mx/contenidos/programas/cnpje/2013/microdatos/ap_invest_determ_cnpje2013_dbf.zip	ap_invest_determ_cnpje2013_dbf.zip	ACT-306983fd71fadd9f35c54be0	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-005be3db31048b0fdef5cad5	INP-63e67742a37186eacc45	https://www.inegi.org.mx/contenidos/programas/enigh/nc/2008/microdatos/NCV_Erogaciones_2008_concil_2010_dbf.zip	NCV_Erogaciones_2008_concil_2010_dbf.zip	ACT-36ec383ca957bf69edbd6ae9	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-00609120a567c6458df5ebc4	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/programas/esidet/2014/tabulados/NAEV3310.xlsx	NAEV3310.xlsx	ACT-c07be8fac7c1a6daff4a00b0	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/programas/esidet/2014/tabulados/NAEV3310.xlsx	ACTIVO_UNICO
DEC-00632330ce0309ae67e3d020	INP-63e67742a37186eacc45	https://www.inegi.org.mx/contenidos/programas/ccpv/2010/microdatos/iter/ageb_manzana/05_coahuila_2010_ageb_manzana_urbana_xls.zip	05_coahuila_2010_ageb_manzana_urbana_xls.zip	ACT-ce45fbfe08e5bfeb0477ee19	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-00670c647aa19247567cfd37	INP-31d8a03b381d2c4acd8f	data_raw:c_sdem_v4.pdf	enoe_cuestionario_sociodemografico_v4_pdf	ACT-34b45f55a7136341eee4b4ba	HASH_IDENTICO;RUTA_EXACTA	HASH_IDENTICO;RUTA_EXACTA	IDENTIDAD_VERIFICADA
DEC-0067245cdb7e7e2094cdb4bb	INP-89a4a6dc5baa05e3e190	https://www.inegi.org.mx/contenidos/programas/cngspspe/2019/microdatos/m3/Asocia_interguber_cngspspe2019_dbf.zip	Asocia_interguber_cngspspe2019_dbf.zip	ACT-dfffc955e387f62c4fb8d8eb	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-00672bb3d8fd53d1f04bab9c	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/programas/ensi/2010/tabulados/Cua_23.xls	Cua_23.xls	ACT-64785eea8b61dc57b142ce2d	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/programas/ensi/2010/tabulados/Cua_23.xls	ACTIVO_UNICO
DEC-006b1f193dea586602c0e921	INP-89a4a6dc5baa05e3e190	https://www.inegi.org.mx/contenidos/programas/modecult/microdatos/modecult_may2017_sav.zip	modecult_may2017_sav.zip	ACT-1e55c3fedab631ba8656b9c8	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-006b3dee37e5ce8e3b30004e	INP-89a4a6dc5baa05e3e190	https://www.inegi.org.mx/contenidos/programas/ccpv/2005/microdatos/viviendas/vivloc2005_13_dbf.zip	vivloc2005_13_dbf.zip	ACT-260b2d87a394c29113c5e313	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-006c2b72b788525cf75b0f46	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/programas/si/2018/tabulados/ori/CSI_15.xlsx	CSI_15.xlsx	ACT-8e904cbd9985dc3fb3f05db6	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/programas/si/2018/tabulados/ori/CSI_15.xlsx	ACTIVO_UNICO
DEC-006de9841f1f308eac4f3a27	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/programas/cnpje/2024/tabulados/cnpje2024_serv_peri.xlsx	cnpje2024_serv_peri.xlsx	ACT-2a2e96927d13de093a226677	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/programas/cnpje/2024/tabulados/cnpje2024_serv_peri.xlsx	ACTIVO_UNICO
DEC-006e75b5d6e76e825915e7d6	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/programas/pibact/2018/tabulados/ori/cbs_r_287.xlsx	cbs_r_287.xlsx	ACT-c21050a14cbb3cf477211c06	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/programas/pibact/2018/tabulados/ori/cbs_r_287.xlsx	ACTIVO_UNICO
DEC-007014d7b7353a597c92e4b7	INP-63e67742a37186eacc45	https://www.inegi.org.mx/contenidos/programas/ccpv/2020/microdatos/cl/Censo2020_CL_coa_sas.zip	Censo2020_CL_coa_sas.zip	ACT-f5dc5cd4ee68e0ae4b54ae45	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-00724379da8978e4ee34a02b	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/programas/enpol/2021/tabulados/xi_corrupcion_general_2021_err.xlsx	xi_corrupcion_general_2021_err.xlsx	ACT-30f96c8076b705cdaabdb589	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/programas/enpol/2021/tabulados/xi_corrupcion_general_2021_err.xlsx	ACTIVO_UNICO
DEC-0072d1fa994557d94cccaa20	INP-89a4a6dc5baa05e3e190	https://www.inegi.org.mx/contenidos/programas/cnpj/2015/microdatos/m2/Denuncias_querellas_cnpjf2015_dbf.zip	Denuncias_querellas_cnpjf2015_dbf.zip	ACT-2c3a664af0ec220e6c47fe2c	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
