candidato_reconciliacion_id	activos_implicados	declaraciones_implicadas	similitud_observada	razon_candidata	evidencia_pendiente	estado_revision
CREC-bbdc5be30eb9ecc8fa4fef1c	ACT-634421a387511e0f22e5c297;ACT-736afc4d6c5c4ef27413f286	DEC-76caf91f0e058912abc2390a;DEC-8fd2fad29c22952ea82e5533	nombre_archivo_exacto:00_nacional_2005_iter_txt.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-6833f1e0a57ceac4f800bacb	ACT-8cc586695fb44f49b4fd59fc;ACT-955e17ce0b04e8772b94ade7	DEC-595d7fdfe1bcf1577dfe929c;DEC-6e6ee939494373d345da8ce3	nombre_archivo_exacto:00_nacional_2010_iter_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-02d3e7019a5191d0d7c256e5	ACT-ac4658e7f5e74e18e4d31f30;ACT-bc7d5905f8946d6771665063	DEC-589fd99c53a34b2223236482;DEC-ed62b1bbd8e7653b245997ed	nombre_archivo_exacto:01_aguascalientes_1990_iter_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-abbfb12beab84d1c748e8a27	ACT-9e59ad7f62ef0956baba75eb;ACT-e0c19c7f84457dbb440a0e58	DEC-42f968157f2ad5afb8242e9b;DEC-841f1f1e727997f4c1b2e3b1	nombre_archivo_exacto:01_aguascalientes_1990_iter_txt.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-fc2134d85f2bf101d0998378	ACT-55ee78b84d0d595ed594df62;ACT-a96b66bc3a9cf436fbd34c14	DEC-b31074b5e9e90a5fd9f27aa2;DEC-df6fbc945bec29ce32aff76b	nombre_archivo_exacto:01_aguascalientes_1990_iter_xls.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-2b2d5a2914380867a7f132a7	ACT-0b36ed75a287dfbbd9b6a9e1;ACT-775d91e08735462391d46f45	DEC-01bf18c263c26fdb5ad5ce52;DEC-b5705ea5c75fef8e384b933d	nombre_archivo_exacto:01_aguascalientes_1995_iter_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-d8130d397065f9b1f77f2094	ACT-01ca5109a7da6bcf7e3045ff;ACT-4504cbffbe2aefd2ec000fba	DEC-daceae080d32875f2d74b5db;DEC-efad8caf1a768846d721eec9	nombre_archivo_exacto:01_aguascalientes_1995_iter_txt.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-62e9d7ac323adaa577e215e8	ACT-20d7fa9ff9384cc5452a7657;ACT-e1702ef48e1b5947efe5577f	DEC-b7c2ebc1822e2766e1f98cd8;DEC-e9543176a63099703d717cda	nombre_archivo_exacto:01_aguascalientes_1995_iter_xls.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-e09c615b03734d27999b00d3	ACT-1a891c69c022ee50c57ad106;ACT-284ae53e7031b1bda68a475a	DEC-9a8e5a97ec40d175a3d4c9f8;DEC-cb4c67a2947f75ad896c1f11	nombre_archivo_exacto:01_aguascalientes_2000_iter_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-3914cba47e99b0a713acdfa0	ACT-89d7112230bd7b3866e57ffa;ACT-9d875821536359337f348962	DEC-206a46d936f2f0e61761be04;DEC-575d8ca464c646be6f0acb08	nombre_archivo_exacto:01_aguascalientes_2000_iter_txt.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-7fce6efeda5234b5f2c50c87	ACT-6486ea3cadddbf48531bb8d3;ACT-d67b4c92e59c82bcd5e2433a	DEC-4b4fd4b8b3f8ce2ea7323d5d;DEC-829253ea30a2b56093df8c19	nombre_archivo_exacto:01_aguascalientes_2000_iter_xls.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-5ad3a3f9aa9e62dd170e88ec	ACT-49223676a996e153de93a55f;ACT-65957a102dfdd467abefd6a2	DEC-7b040fd77869a5ae415c04cf;DEC-995a54ca62bae3565767d186	nombre_archivo_exacto:01_aguascalientes_2005_iter_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-1e5903955cefad4ddac0c763	ACT-068cb6138a19daf09b5be3e7;ACT-5bc665effc6787aa3b0005f8	DEC-e8bb55a30dd7ba93517afc50;DEC-f0e9d22f719286fe3f37230a	nombre_archivo_exacto:01_aguascalientes_2005_iter_txt.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-f8b1c0731dd3424966653e42	ACT-1fc27db553a417edee7ce0dd;ACT-2803078c64ad4c024e376a4c	DEC-5277cddfaa57b6e46d4783be;DEC-9261014c1e6ced24f0289ac5	nombre_archivo_exacto:01_aguascalientes_2005_iter_xls.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-d7eb4386e99b3ef20f919755	ACT-3a26d57c19669a1ebdb0f554;ACT-a97f55a516d4136ec79e3989	DEC-5b5a3a9681f9ca2bebbcd498;DEC-8ef907f4d768b9b88ddb6629	nombre_archivo_exacto:01_aguascalientes_2010_ageb_manzana_urbana_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-81c7a5f580a9c347d65ba223	ACT-25510352fb8a6e9bbc5154d3;ACT-bf8265c836ee7bf7eef3c66b	DEC-88a23b97db460dc2d49770cc;DEC-b34063f1379f5957ced233d0	nombre_archivo_exacto:01_aguascalientes_2010_ageb_manzana_urbana_xls.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-568209ea6e48afecadd10e1c	ACT-2c3383b421980aa8aed0ed69;ACT-e4e86fff3b910a93381a0b74	DEC-253b9b54fe6676495be5f91f;DEC-666fd89f465ddc14c1cadc65	nombre_archivo_exacto:01_aguascalientes_2010_iter_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-1863a8c52579a264fb79bd5e	ACT-7ea8271689cc179c2bb55f5a;ACT-ae3c8641f80e8bfab0ffa935	DEC-3acd2b775ae1f29368cc2cc5;DEC-50aba1be2f0b2f33fd92f3d8	nombre_archivo_exacto:01_aguascalientes_2010_iter_xls.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-d71a2c3900301f96c0d11023	ACT-03c4c92e2138f5899c936111;ACT-3fbea351762d4098a4fdc05a	DEC-18d7a65341e4cbc3dc4e8e90;DEC-884af44b1993b65549607d62	nombre_archivo_exacto:02_baja_california_1990_iter_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-82175fc9a4ac8c1a32f7602d	ACT-68133b820937831cdb4a3597;ACT-79d178e0e2732af0051c486c	DEC-4a0ff22be98e6804387d3081;DEC-d315281ea17ddc7708ad51b6	nombre_archivo_exacto:02_baja_california_1990_iter_txt.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-fe855daf93cb1881c5e75c00	ACT-0a53b56fc0df309f4aac56bd;ACT-5ef6dd4324429f644020285f	DEC-5692867240a6e715b26a89c5;DEC-f70fad962d4022ebfd548ed4	nombre_archivo_exacto:02_baja_california_1990_iter_xls.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-34120e219067e7179f88205b	ACT-84df80138f9b1228234ded45;ACT-e8b1041d45ebe535d69471b2	DEC-9780337e13d7328858baeda9;DEC-fa9ac5f55f1dd46490fefa74	nombre_archivo_exacto:02_baja_california_1995_iter_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-24e7bb99f870f48beff38d5d	ACT-be86a5dfca9c8e1189573d17;ACT-f8112624f5dda22132db4b3a	DEC-26b6994c68adc9c8a74634b7;DEC-8926986cd0e8b14805394384	nombre_archivo_exacto:02_baja_california_1995_iter_txt.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-6d8b0cad1b25d4802059eb3f	ACT-3a5a16fcadd5392fc3c5d6e1;ACT-d12516e8b3016419d64a8d2e	DEC-2467049dc0febbe2e4181ea7;DEC-cc91e8d54dcc80df86510253	nombre_archivo_exacto:02_baja_california_1995_iter_xls.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-ed3eb8f4ef04e46e51d6fc0f	ACT-8ee1a1d261c535a2221a064e;ACT-b353d2cd0cc4a84975394cd7	DEC-06471bd8446d19f9920f31df;DEC-8d6f7615192c2be815c366eb	nombre_archivo_exacto:02_baja_california_2000_iter_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-cc3c277c65f2c96112b3acc8	ACT-1c817cc854de17c3f71a0a17;ACT-a852a81bc898642256be6c69	DEC-cffe48b293a268147d5cbd91;DEC-d8a8983604d31563fabf1183	nombre_archivo_exacto:02_baja_california_2000_iter_txt.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-8fe90ea8753e2787231098db	ACT-4900f70dc6297cd113b3dc72;ACT-a3fe6f9eb480d20b87c0e811	DEC-2a15717093a21886321598b8;DEC-4cee9fc06f7266ad56366e6c	nombre_archivo_exacto:02_baja_california_2000_iter_xls.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-84f38f686cdb1f4a527ac3f2	ACT-6671d10575395efa1628ec9d;ACT-d52aa81d7d2ba6e4716126f1	DEC-1f44c0bf796bb6eedeae053b;DEC-bf7a4ddbc93f176040eaffb6	nombre_archivo_exacto:02_baja_california_2005_iter_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-05f5cc07b3358ab5d492d7fa	ACT-93657b89936e1827988961c0;ACT-dec458486378d3afa86c503a	DEC-47af1f172010af0caf18828c;DEC-c5e664788fff96e25e4a99b0	nombre_archivo_exacto:02_baja_california_2005_iter_txt.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-aacb45932cebee88e722de5d	ACT-0886dcc75aea6a0e26e820d3;ACT-ef42195260b00a9b2e6e2ea4	DEC-4d78f544c0f8e631014b8560;DEC-5333ff36aafa3c350f5ba1a9	nombre_archivo_exacto:02_baja_california_2005_iter_xls.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-dda5b69678fc05d40579bcea	ACT-1801efe76a11e9f5a0c14ac2;ACT-31aee3be10fda2c76c13153f	DEC-a674db5e9e57dc97bfef65cf;DEC-d1ec4edd5e71c7d8748cc169	nombre_archivo_exacto:02_baja_california_2010_ageb_manzana_urbana_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-f655293bad0fc20dd9f2e51c	ACT-ee33adb54978cc705dba3abe;ACT-f7156aa515dd02c79929ad57	DEC-418bec40ee281add50ffd61e;DEC-c9d17f77e61dce2468c7ad0e	nombre_archivo_exacto:02_baja_california_2010_ageb_manzana_urbana_xls.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-99caf7b24163d969a720af5d	ACT-73d64127d68472346d5ba3f8;ACT-d6b723771f67d7cc6be78182	DEC-8a189797424fb212a0bf8613;DEC-ddc4d15f65b6f82011a45a59	nombre_archivo_exacto:02_baja_california_2010_iter_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-eb803fc696a063aef43611ff	ACT-6a6d7d73d7a50a171a0c4ed2;ACT-e92f089c9b5e3ca7c4c8dfd6	DEC-b2d059d832e6d1aa529afcde;DEC-df6e44a5fa5d185c2d1f6d2e	nombre_archivo_exacto:02_baja_california_2010_iter_xls.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-c9350732573a47eb1110af50	ACT-11ed9061921d37eb288af115;ACT-ff3e2835cebd9a28966f79ee	DEC-676f179a6d746bf5c1eef39b;DEC-f26a0bdb89bcf1e24b808729	nombre_archivo_exacto:03_baja_california_sur_1990_iter_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-53850ccec985ae4404fdff30	ACT-163f13d627476c0cfb688b2c;ACT-9d9470dc921ab318a2dfda40	DEC-24c77e09a9e4c776bb36485d;DEC-af68fea07c35926821927f9e	nombre_archivo_exacto:03_baja_california_sur_1990_iter_txt.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-83092e5b76f20dbd3a54ca8e	ACT-605346a124b0a160bb29cabc;ACT-da4a59ee7ab3985f8d9b5e77	DEC-1986e14bea381ac3eca219c2;DEC-e37347e1487b163d50403195	nombre_archivo_exacto:03_baja_california_sur_1990_iter_xls.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-1f37c0b652c731f4cd783918	ACT-9d4d35a3523e37a961dbcc62;ACT-b653568ef3088a67aab0711b	DEC-0a57465ded06e0196b1b0a4f;DEC-cfd26b26e83d1d302c771223	nombre_archivo_exacto:03_baja_california_sur_1995_iter_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-51321b881144f53de3ab4e6f	ACT-bdbe4ec1c8f15e25b3931bc0;ACT-eb3cd4ae8f33ba215f6279fe	DEC-5a464ef180de40e39ad29e3d;DEC-de16d19123d7685ac025deb1	nombre_archivo_exacto:03_baja_california_sur_1995_iter_txt.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-042a838d215495f0a79358db	ACT-b0d38460ad427aa1a759f11e;ACT-daeeb397531710aa55ce7912	DEC-16cb0e40d5bb69ac050d605c;DEC-6054931c074a63b054359e23	nombre_archivo_exacto:03_baja_california_sur_1995_iter_xls.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-705f4f02e694121301219771	ACT-1fef6a16a30c59ebb425ceda;ACT-5ce6c13521f022541789fa19	DEC-204ebe599d5d7cb14cac44cf;DEC-2480d13731acd4ce017f8253	nombre_archivo_exacto:03_baja_california_sur_2000_iter_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-65f30b0f8dbc01971a58784b	ACT-9925e70bffebf69ed533a5fb;ACT-dc2bf5083131c71d93c99db5	DEC-81a94feb8bdf6b2b42d38220;DEC-8667d19fdf98ddc07a4e5ae6	nombre_archivo_exacto:03_baja_california_sur_2000_iter_txt.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-9005e7d251b5ff9c1cbbb51b	ACT-510feaa76f2d04d27d3658f5;ACT-cf279b42c43e7af6d8c03011	DEC-2a339064e95fa66d3cb90d49;DEC-bd8a09186ea009338f5a41d7	nombre_archivo_exacto:03_baja_california_sur_2000_iter_xls.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-7f1f15e78de6d9b78078a49e	ACT-06f8ee5ce1f268b13096877d;ACT-0bc69df63fec5461ee92bcb2	DEC-34de4e594075c2c7ad7b2f99;DEC-708ff16290671ae46e9558f3	nombre_archivo_exacto:03_baja_california_sur_2005_iter_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-70f73047e785338ec4d43969	ACT-9c0721c83d71fe64ceb8d3d0;ACT-baf9b1850e0cfa02eedcf2fb	DEC-97431b6de4d10e3452878d08;DEC-cbbebdafe7f45f5667689703	nombre_archivo_exacto:03_baja_california_sur_2005_iter_txt.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-f1698f1f326afd8a0e2c226f	ACT-5c445b18d93c259297728d1d;ACT-747308ab3e2e56e0561c696c	DEC-9ba10f8404f97615c52d3222;DEC-b89eb21a0d332f740e1295e2	nombre_archivo_exacto:03_baja_california_sur_2005_iter_xls.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-d797aedf385247692eb208f2	ACT-277a1dfa42ceba4d2149b911;ACT-76e29094e9f6f2a4ce3f1e0f	DEC-379d89a724f45b79211d9f55;DEC-f06fdfba2481a11a9581a10e	nombre_archivo_exacto:03_baja_california_sur_2010_ageb_manzana_urbana_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-665c5f6e0f678492ed4a21f3	ACT-4b2eb13a0c652db6be238fe0;ACT-925ae7e5ad85254f3821f273	DEC-79671d690d0ea26bf65ef6ee;DEC-9038ed61635c2f1bfdbe074a	nombre_archivo_exacto:03_baja_california_sur_2010_ageb_manzana_urbana_xls.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-0cfa73e340d69da245feda79	ACT-18e3971320831a8b3d82aa9c;ACT-fcbb59455e5d21311fcd5d02	DEC-03edddbadd3436db9a96e690;DEC-380971544babc6e0f2150a45	nombre_archivo_exacto:03_baja_california_sur_2010_iter_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-885c2ec5c547325ba7a2c939	ACT-49ae15e32aefe35bfeb2a0b5;ACT-a8630d2b01571e69e8641503	DEC-0585108abac5a536f1a66962;DEC-12f4cfd42659c4117ebbc4eb	nombre_archivo_exacto:03_baja_california_sur_2010_iter_xls.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-e5e42bd9c8bc836695b1531d	ACT-39d34d4a58385d756a14dce3;ACT-49bb084428d23e380623a847	DEC-58a899cdf24817ac2a4f02f3;DEC-994f80c2943fbc1f4310aaec	nombre_archivo_exacto:04_campeche_1990_iter_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-a637566a6908e811c7c31b4f	ACT-5104d15e9332f953a20847ba;ACT-fb0fac70bad3d3c870997f8e	DEC-3457eac4b46d6c3b8dbff9f3;DEC-5696bb3215b90ad37e7b0fc3	nombre_archivo_exacto:04_campeche_1990_iter_txt.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-8b600714c95ae99d1d0dc247	ACT-1c0970318ab992bf52ea49a2;ACT-5df52138d5dd0d237f3ebfdb	DEC-584299eda6d551425f05598c;DEC-9edb0dbfebdbe2fea579e6be	nombre_archivo_exacto:04_campeche_1990_iter_xls.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-83793e0805236673676a5fa2	ACT-39a3da93c7dea993f8afb875;ACT-a0263024db5dfd1c1be30fb6	DEC-714471e15e6759f039f3adca;DEC-c4bc3e36dc49d34903a0791c	nombre_archivo_exacto:04_campeche_1995_iter_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-6560b8527f6a353ab6647f46	ACT-592c5be88e18bcefc99a9d7c;ACT-fcb007837a0a8fe99dbfbbb7	DEC-77f63f3fbb8025907b9869b8;DEC-8f41c9990d1e0b4487751a33	nombre_archivo_exacto:04_campeche_1995_iter_txt.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
