input_id	ruta	tipo	hash_input	parser	declaraciones_encontradas	declaraciones_parseadas	errores	reserva
INP-54e47b05c02921eeca57	/home/pc0/mm-corpus/raw/R2.1_R2.2_R10.2_RNM_microdato/inegi_rnm_catalog_search_intento_search_param.html	indice_o_lista_local	a466058ec91f9acf31e3cff06278f1618adedf9ec72c7c81adc7e7fe63c4c428	html_urls	50	50	NINGUNO	NINGUNA
INP-55125b29ab1d7fae7815	/home/pc0/mm-corpus/raw/enut2014_diccionario_variables.html	indice_o_lista_local	db9c9f75b47a2842fd1d5f0a4d7b950ccd1036f1456eb8511d55e0f223163cda	html_urls	93	93	NINGUNO	NINGUNA
INP-5993a77f77c7e1b2276b	/home/pc0/mm-corpus/raw/enut2024_diccionario_variables.html	indice_o_lista_local	f9a2e32bc7673946b521e0bdde4b6786318a3dfbaba046d658e26e745e28b422	html_urls	56	56	NINGUNO	NINGUNA
INP-5aaf9888ddf42d62ad11	data/mapa-fuentes-2026-08-06.tsv	mapa_fuentes	34f611febbba2124b48949390188a314124c09c3731e113ca33e6be063e4d55d	tsv	134	134	NINGUNO	NINGUNA
INP-621de908ca7bb80a0d96	data/mapa-ext-general-2026-08-06.tsv	mapa_fuentes	568e6bff54826de0db3453759ee4a3bc11123706c1d89b13ed0aa086338f831b	tsv	17	17	NINGUNO	NINGUNA
INP-63e67742a37186eacc45	/home/pc0/mm-corpus/raw/DescargaMasivaOD_582026_171540_NACIONAL_7930url.xml	xml_descarga_masiva	ebd66f3dd4975252bf18f28e8495cb9be2a2f66c8ca538dcaef339dbbcbbcb8d	xml_urls	8002	8002	NINGUNO	NINGUNA
INP-67e0cecea292751d88cd	data/exploracion-puertas-2026-08-08.tsv	lista_local_conservada	de126ae7bfd31199463fca98b2568b7b12ad5faf6ec6d808c7985c8f3061fc02	tsv	19	19	NINGUNO	NINGUNA
INP-74937b1d6b324152f4f6	data/manifiesto.yaml	manifiesto_procedencia	6b057f0035dc0ab9b6395e007bcdc56a304235d417b91e97446f61f134dd6a52	manifest_yaml	510	510	NINGUNO	NINGUNA
INP-76143f24fced1856d563	/home/pc0/mm-corpus/raw	corpus_local	33b2e27ca0b0aa48893ff07bdb0b3ba04a242e92e70b65e94b52c5fe68588ac9	corpus_tree	510	510	NINGUNO	NINGUNA
INP-77b96ee4f0ea30c9eb7b	data/universo-puertas-2026-08-08.tsv	universo_declarativo	8c6b756f496a6222836bf110917541cdfab972f22c8c41321cb5f41235ff9089	tsv	32	32	NINGUNO	NINGUNA
INP-7a3306241258c875c9eb	/home/pc0/mm-corpus/raw/DescargaMasivaOD_382026_131650.xml	xml_descarga_masiva	97bdf1888b9c441860cc4bc49f445026fc35335695840c85fedab22f5d3fa46c	xml_urls	576	576	NINGUNO	NINGUNA
INP-89a4a6dc5baa05e3e190	data/indice-descarga-masiva-2026-08-05.tsv	indice_versionado	4712c093041cf2d2437207ce6d2492c4d0c752c4f45e3997bd9edff1d310a3ae	tsv	7930	7930	NINGUNO	NINGUNA
INP-94736edb2f6463209dd3	data/inventarios/inventario-fuentes-migracion-mexico.md	inventario_canonico	635016b15f844e550836cffc048a95a34306966186f2c67ad37922f5216a0c71	markdown_urls	61	61	NINGUNO	NINGUNA
INP-9c5f8aadf4bda239adba	/home/pc0/mm-corpus/raw/R3.4_Banxico_CoDi_SPEI/banxico_sie_cuadro_CF882_cuentas_pago_cobro.html	indice_o_lista_local	05cec9b9a2937b22f8644e2f674c183559b86fd97b3235312f23b21ab99f4964	html_urls	13	13	NINGUNO	NINGUNA
INP-c050041beec040b6e8d1	data/cola-ext-academico-2026-08-06.tsv	mecanismo_declarativo	67d67537be06aaab3ddb1609f4a1eab2e0d36d6d3d1d7e7b847a4aa08bfa0b5c	tsv	15	15	NINGUNO	NINGUNA
INP-c0cc31757ae6e10a35ab	/home/pc0/mm-corpus/raw/R3.4_Banxico_CoDi_SPEI/banxico_sie_cuadro_CF884_operaciones.html	indice_o_lista_local	5bd31243e63fad1cb680728f1a3cfbddba6196506aa0f7779adbc6c8aaa5a5de	html_urls	13	13	NINGUNO	NINGUNA
INP-c63f60bd40b3a071506b	data/inventarios/inventario_fuentes_uso_del_tiempo_cuidados_hogar_mexico.md	inventario_canonico	f9bdf9ace86765a0efa544c77be21956cd7d524b4a4caa5d3c2e129f84caaec4	markdown_urls	41	41	NINGUNO	NINGUNA
INP-c9757f1233de2e827de3	data/inventarios/inventario_fuentes_trabajo_ingreso_formalidad_mexico.md	inventario_canonico	a717c3a102ea8df9bf4022aa3e23ac36533b8e2e52d8acc3bd981c4dce861e67	markdown_urls	41	41	NINGUNO	NINGUNA
INP-d12b9c430635a14ebeb5	data/inventarios/inventario_fuentes_salud_mexico.md	inventario_canonico	1f9037bd62eb6829010e1c37b80d6f721320e16c4f9c18e02624217fb85bc280	markdown_urls	51	51	NINGUNO	NINGUNA
INP-d709baafc6c70ee84aed	data/mapa-ext-civil-2026-08-06.tsv	mapa_fuentes	8dc14bdfb607cc9dd11bebb5cc0f46bfe243d222b74c3fcec1bafa62a6eb49ff	tsv	20	20	NINGUNO	NINGUNA
INP-e146c7391e32a0314bae	data/catalogo-fuentes-v2_0.md	catalogo_versionado	86227a43ebec8a7bc8cae13783aa86bdf897ce177b071d838fcec1bb5db50af0	markdown_urls	35	35	NINGUNO	NINGUNA
INP-e29b606daa015b729a38	/home/pc0/mm-corpus/raw/enut2009_diccionario_variables.html	indice_o_lista_local	ccd1eb3e762d8b4c9075450da9ec2c8bb97496ab2794476c4a124b284591b6a8	html_urls	65	65	NINGUNO	NINGUNA
INP-e8870c08e249baa8f0d3	data/inventarios/inventario_fuentes_clase-fuente-mexico.md	inventario_canonico	59fe6045d2c54645aa3f6e63dcc4b2ba5bbaa71e1f22766921ce8151bbd5cf14	markdown_urls	38	38	NINGUNO	NINGUNA
INP-ec4ca3e474e4d74a6a98	data/exploracion-puertas-2026-08-07.tsv	lista_local_conservada	078c97b936d30f196ac52914d574dde0980ecb9f8fe039f2b868fa4558a37a70	tsv	26	26	NINGUNO	NINGUNA
INP-ee5787665c36ed7e1aeb	data/cola-aperturas-externas-2026-08-06.tsv	mecanismo_declarativo	64a0e746ba5b0f52b61ef5d0f3b0ee6ea0e81bd57aa3dc4846e30647afcf851d	tsv	15	15	NINGUNO	NINGUNA
INP-eea46caee62d9a5634f9	data/indice-canastas-2026-08-08.tsv	indice_versionado	56d05256260154b782dc77d456cc520f2fcb4bf82a2993dc430759e93320661a	tsv	17163	17163	NINGUNO	NINGUNA
INP-f397d99693d36aa9ccd7	/home/pc0/mm-corpus/raw/R2.1_R2.2_R10.2_RNM_microdato/inegi_rnm_catalog_330_enaproce2015.html	indice_o_lista_local	25d01ec9153514adb967c76979923e1ac4a195bb5d4f4361496f7c46e6854881	html_urls	52	52	NINGUNO	NINGUNA
INP-fa897631c06d30da7cb7	data/inventarios/inventario_fuentes_cultura_valores_opinion_mexico.md	inventario_canonico	f56768b85cccd57c3553031706a3cc80e4d793d45db0372f599429f7caef9e1b	markdown_urls	46	46	NINGUNO	NINGUNA
INP-fbd6ab03ef397a6dd6c9	/home/pc0/mm-corpus/raw/R3.4_Banxico_CoDi_SPEI/banxico_sie_cuadro_CF881_cuentas_validadas.html	indice_o_lista_local	1debc7f3cc65edde5ef8c48544c03bf7dd6244a836dd19ad299c138e25fc3f55	html_urls	13	13	NINGUNO	NINGUNA
INP-fed0c0f7ca109d3dd125	data/cola-ext-oficial-2026-08-06.tsv	mecanismo_declarativo	cbb251c12bd4ef941745c9af32ff6a880f6a32aa66059076c92f0d6292ac6bc1	tsv	12	12	NINGUNO	NINGUNA
