reporte_id	record_id	record_sha256	batch_id	batch_sha256	payload_id	representacion_id	sha256	objeto_logico_id	grado_inspeccion	afirmacion_tipo	objeto_tipo	localizador	descripcion_neutral	frontera_inspeccion	estado	privacidad	fecha
RPTC-B2-0132f7ef0fdb1198d2fb922b8a85cd1bb9ba735425a1131c86077e4fc9dc9438	E2R-8d505c27549da386905a249676318b98f9cfe497f293a3fa49cc7e523f0da166	c39f60214a1b03edfed31996562744e1af7e1f355003ef025b1b22abb0062e75	E2B-dd3fb5c1cdb198a82161ee54ed57bf7ff9b9e1f2d1a41507507b71a024513ce0	dd3fb5c1cdb198a82161ee54ed57bf7ff9b9e1f2d1a41507507b71a024513ce0	encig_2021_encig21_base_datos_dbf	REP-3fb901747d7635b99b1ac7ab19c682490241f49d67d6cd43fb3798ab4d0e3290	8eb184f2675f56511d223e565f55ae9389bb7457ff973aa7a54dc73046d10a30	OBJ-B2-2226d5b22be8ff869e8c0e3855cf7d3afbc023cd702c1f9fdd7111b865af1081	E2	RESUMEN-NEUTRAL-COMPACTO	FORMATO-NO-SOPORTADO	zip!/miembro=2:encig2021_01_sec1_A_3_4_5_8_9_10.dbf!/contenido	FORMATO-NO-SOPORTADO; objetos=6; muestra=E2R-8d505c27549da386905a249676318b98f9cfe497f293a3fa49cc7e523f0da166	contenedor y miembros completos; anidados hasta profundidad 4	EXCEPCION-ESPECIFICA	DEPURADO	2026-08-17
RPTC-B2-014a295d9e099e458261efeda5d0669b87c7fc0c01461fbb08c1a3d7e7d1cebc	E2R-23bf1d4c4a5d7ee837d0dac370b7fd894bc0c4e3e63767e0db464dc76dcd852f	f27c3f304fa2c0ade2cf881548e4b792b6ca184631bd941174307211ebce9e69	E2B-bf7e1a2e1f847d0d7379250c783844154d0c9ce93289190e54b96c74fd4ad4f0	bf7e1a2e1f847d0d7379250c783844154d0c9ce93289190e54b96c74fd4ad4f0	enoe_2024_1t_csv	REP-58319701b5f95b63c26414abef99a57b41db805620e6677f8c4ea4faef8fd635	0beed808bf4f1457d6ec13600a8bdd3ca8db7e7276ab14675a44e74e6a33592c	OBJ-B2-0e324954c35b4caa5e997b26bc5d49e31bd9e43d5b37bb5c49c95ad8c5d55dba	E2	RESUMEN-NEUTRAL-COMPACTO	[REDACTADO-PRIVACIDAD]	zip!/miembro=73:conjunto_de_datos_coe1_enoe_2024_1t/catalogos/p3k2.csv	[REDACTADO-PRIVACIDAD]; objetos=118; muestra=E2R-23bf1d4c4a5d7ee837d0dac370b7fd894bc0c4e3e63767e0db464dc76dcd852f	contenedor y miembros completos; anidados hasta profundidad 4	E2-COMPLETO	DEPURADO	2026-08-17
RPTC-B2-01515ff9ff9cc7b913057481668377363d261e4fed54d3f94b8b0654c5a037ad	E2R-0b97427c4c9991c05d127bb7f2227049a958538c389d54bea1057f91dd7dce65	316b79738e30e793d22e84193d26995d5a345b4c6f94d77b7951e96966bc17ee	E2B-6bd5347a8f7344d62a45b8653312053c3d1e332b494517746d6f7db76c2f09a0	6bd5347a8f7344d62a45b8653312053c3d1e332b494517746d6f7db76c2f09a0	enoen_2022_1t_csv	REP-8f886ee2ceaa846c2cacb8aa50fa93ec269002718ce15f44a60e66e0278be44c	7b91b51494239d5c0458fada84872e1745e4115c8e924be7511fc5a0d1c48ca9	OBJ-B2-90f96ede33fc2d2191d6a84c8a001a5a3a347797731b233b6aa8c6afb1f0f580	E2	RESUMEN-NEUTRAL-COMPACTO	TABLA	zip!/miembro=119:conjunto_de_datos_coe1_enoen_2022_1t/catalogos/p5g13.csv#/contenido-tabla	TABLA; objetos=378; muestra=E2R-0b97427c4c9991c05d127bb7f2227049a958538c389d54bea1057f91dd7dce65	contenedor y miembros completos; anidados hasta profundidad 4	E2-COMPLETO	[REDACTADO-PRIVACIDAD]	2026-08-17
RPTC-B2-0160397bb32e64a63276e3bc8c457de25955945de283449a77fb81a97d44b9c9	E2R-a194751fa81b43180f9aaf740af5982286fdf1be4cc8d7252c5755a25a1d3692	8d0e6827ca99a28e3c6e12744112090c6f869a13dd6c53c835275fa85fe1dd64	E2B-c069a1ac75e9b8b5fe7a18b015cfea1c688e00b00f32dbf30d3a7f452d304596	c069a1ac75e9b8b5fe7a18b015cfea1c688e00b00f32dbf30d3a7f452d304596	enoe_2024_3t_csv	REP-46e3e646887099e46e078864899fb9d2c5f50b29367b4abb7340d79480b6ef77	f384a1b8872e051856ed2241289400302b13a8701489b1c596390452c183cd01	OBJ-B2-a4188e55ac65d40016cc38868285d049e6888536e3d1329faf3512e6c7954b52	E2	RESUMEN-NEUTRAL-COMPACTO	COLUMNA	zip!/miembro=210:conjunto_de_datos_coe1_enoe_2024_3t/catalogos/p2k.csv#/contenido-tabla#columna=2	COLUMNA; objetos=1086; muestra=E2R-a194751fa81b43180f9aaf740af5982286fdf1be4cc8d7252c5755a25a1d3692	contenedor y miembros completos; anidados hasta profundidad 4	E2-COMPLETO	DEPURADO	2026-08-17
RPTC-B2-018f63c685aa0e29cac38908aead6364ca1b3b841d67dca26cbf3c99afaadb68	E2R-a0ef50087afc9ab3f5621be64b4e40901a5cc89c689be4f2e4b37ce029fedff8	e4ab4b01592c9874c48227603105073080b1a81fdb99146c76fc2b2966a88b1f	E2B-d857b7edc3015a6bbf0a44a1ead85ea5057bfa9662f33256fca53990794dffeb	d857b7edc3015a6bbf0a44a1ead85ea5057bfa9662f33256fca53990794dffeb	enoe_2023_4t_csv	REP-bbbf364d4824ebfc08c67aff4d9a0bf23523b7027076fea612fb8ef57bed17cb	add63ea0f5ae2649bfc726b7bc0040304674bab11e31ef6e3c26af6274d0bfa5	OBJ-B2-c024ac2570bca10db80e86d410bd4a1aee0ebffbb34e527e01367b51b3430f19	E2	RESUMEN-NEUTRAL-COMPACTO	FORMATO-NO-SOPORTADO	zip!/miembro=326:conjunto_de_datos_sdem_enoe_2023_4t/modelo_entidad_relacion/modelo_er_enoe_2023_4t.jpg!/contenido	FORMATO-NO-SOPORTADO; objetos=5; muestra=E2R-a0ef50087afc9ab3f5621be64b4e40901a5cc89c689be4f2e4b37ce029fedff8	contenedor y miembros completos; anidados hasta profundidad 4	EXCEPCION-ESPECIFICA	DEPURADO	2026-08-17
RPTC-B2-01c5b7570172bb88e01d6e72ddae41ba2811246344694cafa646ee498990eafb	E2R-6ed877eb02fd4fb17de677f15d11cef58cc1a4e9a6d8672650bf993329311055	b8a7a52d7c9e50242610644cf8be21b24b0e7b51f550b0fbf550bc3ad658d459	E2B-7b4637bf3689fa99ad353037f96d0d48680d94c42c665771daaf509a6d09025a	7b4637bf3689fa99ad353037f96d0d48680d94c42c665771daaf509a6d09025a	enut2014_bd_dbf	REP-2bf7d9410646635bc9e33d9d57d55d8b4a6eba7503b51808699844284955bcd6	96edba74fa5a1ec2cdfd64e7fc973bb9b16b0948a39cefef0e4d8314f8c4f2e3	OBJ-B2-2b4c2f70d27bcfc8a485df1f4d9957072b628090fea91ba13ac8e87b5c8f315b	E2	RESUMEN-NEUTRAL-COMPACTO	[REDACTADO-PRIVACIDAD]	zip!/miembro=1:Enut2014_PoblacionIndigena.zip!/miembro=7:TVivienda.DBF	[REDACTADO-PRIVACIDAD]	contenedor y miembros completos; anidados hasta profundidad 4	E2-COMPLETO	[REDACTADO-PRIVACIDAD]	2026-08-17
RPTC-B2-025ec987e9ab72e04a3621cf6e0b9605601fdaa71430082720d6c5c65f1a577a	E2R-172d718db2736b2d2b40c46e27240026d0e3a88cfb8bf57f414e68beb66a569e	dd83cd35f554009f4b4d1d79ef084b9e1b8f379c6eea6aabf074359432934638	E2B-8ad183a23dd6e5448410e900c9adc5eb8beab599c616faa74a605cc09dae1d16	8ad183a23dd6e5448410e900c9adc5eb8beab599c616faa74a605cc09dae1d16	envipe2020_csv	REP-464f6e33f91fc2a79056c311007b6f872e64715d8845bc5301cee0e77ad6aba9	26f468da631bfdb94994a9e5051fa973468608f0da56612b6897df16a2797b9d	OBJ-B2-7d225a50e479d533eda8a56ad002da4bd7900ba0a9ad0a0ce4b7393c4869f7a3	E2	RESUMEN-NEUTRAL-COMPACTO	TABLA	zip!/miembro=84:conjunto_de_datos_TMod_Vic_ENVIPE_2020/catalogos/BP1_31_07.csv#/contenido-tabla	TABLA; objetos=565; muestra=E2R-172d718db2736b2d2b40c46e27240026d0e3a88cfb8bf57f414e68beb66a569e	contenedor y miembros completos; anidados hasta profundidad 4	E2-COMPLETO	[REDACTADO-PRIVACIDAD]	2026-08-17
RPTC-B2-028af666c5e5083e025aa2a4ac3de37eb00b46a6daa7c33ea60a239ca425228e	E2R-458092fddfd3048531601e2b505dbbb54cd39a10fc289f4b1403f3c3bd3a9395	822d93c7516601c372e69d1436a9b9d2e40052598581d33e0654ca891217f153	E2B-6dd515c4c51ed73e4954251b4fb491c7202b82616ecfeed727a8e0a9eab4c490	6dd515c4c51ed73e4954251b4fb491c7202b82616ecfeed727a8e0a9eab4c490	NO-APLICA	REP-f4725203a46cf3a5124bde2761704ecd0e64f73c66573b90024533aefc483f23	c015839b84cba0a9f42cf0ddebee1df379efad0639e43799cdb948f5153fa8f9	OBJ-B2-421bb51ac34766e1205a80be6272f53bce5f9765d6ead17c5462a26ab88b786e	E2	RESUMEN-NEUTRAL-COMPACTO	[REDACTADO-PRIVACIDAD]	pagina=84#linea-estructural=22	[REDACTADO-PRIVACIDAD]	todas las páginas; texto no extraíble se declara por página	E2-COMPLETO	[REDACTADO-PRIVACIDAD]	2026-08-17
RPTC-B2-02ae44f4e9cd988cd386c23f94b231771b10d26d122a836c336441922fc435a9	E2R-8ac31b634725c223813e8441370e088e28cbde30ac71dd467d45d829f6dbfc04	339ec8ca55189a48c61b93a0d74c3f1dc5f2e81f94cbee1f45bc256bd1177412	E2B-e3795debbf8a16c9c5fbc0d8e6b7713f4abf24f68bc36ea7274177be257eca2f	e3795debbf8a16c9c5fbc0d8e6b7713f4abf24f68bc36ea7274177be257eca2f	mociba_2023_mociba2023_bd_dta	REP-2f35822a35be4dcbd76930b56e199dd131dd20d87300c63c1ccdd790576dd13c	8669bc65bd72f9291d7eb900eddd7edb40b11fb02bc311e76c2d901a673cf6fd	OBJ-B2-96a3c1b8beee141554b1839f93c26fdcecbb11d3cf05d79993c701e871c24822	E2	RESUMEN-NEUTRAL-COMPACTO	[REDACTADO-PRIVACIDAD]	zip!/miembro=1:MOCIBA2023.dta	[REDACTADO-PRIVACIDAD]; objetos=1; muestra=E2R-8ac31b634725c223813e8441370e088e28cbde30ac71dd467d45d829f6dbfc04	contenedor y miembros completos; anidados hasta profundidad 4	E2-COMPLETO	DEPURADO	2026-08-17
RPTC-B2-02d9b3d00690227d90b31d5e807d92349991cb66f77e3f76e21d36fdc2c29273	E2R-7c2bdd92b2b33dd43f4851fddf6c33a889d6dede93eaa8eb7dfcc8f3c2abb504	5e38a825717eec95bd97aa4b9da92575651f82c05f332e0f7e90b90ce9a787aa	E2B-cfd0ae5d95fd36fdf3352cf00231122271095a16ce083be7566a519e656f9661	cfd0ae5d95fd36fdf3352cf00231122271095a16ce083be7566a519e656f9661	encig_2023_encig23_base_datos_dta	REP-5c04324547d46696e73cef30c5a0fc53d2f214ad9f8faaac627027be2469edf6	082253153ae48ebd0c6b31183b7a4e969ef2caa09825d32bc9396b04bc159c10	OBJ-B2-0da01d8840b340ab1caf846f0108113d304fc8284f4089a2ced9e4406ca1149b	E2	RESUMEN-NEUTRAL-COMPACTO	[REDACTADO-PRIVACIDAD]	[REDACTADO-PRIVACIDAD]	[REDACTADO-PRIVACIDAD]; objetos=120; muestra=E2R-7c2bdd92b2b33dd43f4851fddf6c33a889d6dede93eaa8eb7dfcc8f3c2abb504	contenedor y miembros completos; anidados hasta profundidad 4	E2-COMPLETO	[REDACTADO-PRIVACIDAD]	2026-08-17
RPTC-B2-02f7e74a4359d3bda72d99a7b9a1dc86bb48182ace2b5fc22e7073b515e46e6c	E2R-d7262d5f5add0fa6bb5acc753999397469f114703c0d8533e5816a1ed910be20	02e983f69d64d6fe192bd12b5022dffebf8b3f55b526eaf201e6e9ddb99030dd	E2B-b5f69eb0e7854219c19dd83cef05e279d1ba9dc8723b3f7ad446c34253da13e9	b5f69eb0e7854219c19dd83cef05e279d1ba9dc8723b3f7ad446c34253da13e9	za5900_overview	REP-4d79c59a5bd586534ff66013c56d4b81c39117bad63f9b5b6bd0769cdfae0f9f	1bfbd19be390dcdd32f2c6b3b16e3743196c88687cd1c28bfa3a974f90b6efb4	OBJ-B2-47c75043425664a0ecd17bdf163b2203c477df54b38965a170bf21fd0e6fb186	E2	RESUMEN-NEUTRAL-COMPACTO	[REDACTADO-PRIVACIDAD]	pagina=3#linea-estructural=72	[REDACTADO-PRIVACIDAD]	todas las páginas; texto no extraíble se declara por página	E2-COMPLETO	[REDACTADO-PRIVACIDAD]	2026-08-17
RPTC-B2-02f96d904cbfac812be62958452f268580c9b4ae21fd94b56ab93c24b36460b2	E2R-f5eb9c86808d2890b280b71b15235d7fdfee07ceba6324e5ee598f5ac6baabc6	130354b261e7f908357466939fc96ab951e8947e908b05ced85c91236d3a0722	E2B-e1d44ecd33cd0249db797a913cf8168110f9da5e33a1b7eaca23b05bc7b3a6fd	e1d44ecd33cd0249db797a913cf8168110f9da5e33a1b7eaca23b05bc7b3a6fd	enoe_2019_1t_csv	REP-c27d0441f2d08ebe4f46a31b855a8e3d4f23a61a912ef3758d19fc5f6b1b8b72	fffc14c0b6e7f1e3ea33ce587dad4716820313fc6de9c5c34542c6495175ed4b	OBJ-B2-cc2c142b99075e62bcb6441e160b737b7415011a3d52a33c07fa66f950b235ab	E2	RESUMEN-NEUTRAL-COMPACTO	FORMATO-NO-SOPORTADO	zip!/miembro=32:conjunto_de_datos_hog_enoe_2019_1t/modelo_entidad_relacion/modelo_er_enoe_2019_1t.jpg!/contenido	FORMATO-NO-SOPORTADO; objetos=5; muestra=E2R-f5eb9c86808d2890b280b71b15235d7fdfee07ceba6324e5ee598f5ac6baabc6	contenedor y miembros completos; anidados hasta profundidad 4	EXCEPCION-ESPECIFICA	DEPURADO	2026-08-17
RPTC-B2-030c49bbcfe674d07646dbeb66f5b5d579635a1b69f69bdcafcf353d48ff66c5	E2R-ebc393c2dff7e2eb3f6406bc1b881b02676c3716a12ca689755df4c2b2c59512	fefb5a107e086013c3ae8ac2d364c6021b32220007a7489b2d3bacbc30f1ea2a	E2B-4bdb1ed9aff993fef6fa2ea7c7038a00f33efc300d3c402227d6cf1191095303	4bdb1ed9aff993fef6fa2ea7c7038a00f33efc300d3c402227d6cf1191095303	enestyc_2001_ejemplobd_enestyc_2001_dbf	REP-74e8fe74ec72ca70a25d18531deed98b457b1e2042b0c233c277a3b21c2a0361	5ebafbc4b51967db3165f932c37165f78d28ab703064f7db1a63cddbdb718169	OBJ-B2-eff2984643de1c22116c1d7497e8adac994949aa489418f881070469498f6db7	E2	RESUMEN-NEUTRAL-COMPACTO	[REDACTADO-PRIVACIDAD]	zip!/miembro=2:enestyc2001b.dbf	[REDACTADO-PRIVACIDAD]; objetos=2; muestra=E2R-ebc393c2dff7e2eb3f6406bc1b881b02676c3716a12ca689755df4c2b2c59512	contenedor y miembros completos; anidados hasta profundidad 4	E2-COMPLETO	[REDACTADO-PRIVACIDAD]	2026-08-17
