llave	calc	result_id	celda	instrumento	ola	conducta	eje	segmento	unidad	naturaleza_ic	firma_fp	estado_adopcion	origen_piso	paquete	estado
RESULT-AMAI-NSE-ENDUTIH-2023-internet-BAJO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-internet-BAJO-P		ENDUTIH	2023	internet	NSE	BAJO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-internet-MEDIO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-internet-MEDIO-P		ENDUTIH	2023	internet	NSE	MEDIO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_cobertura-ALTO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_cobertura-ALTO-P		ENDUTIH	2023	no_celular_cobertura	NSE	ALTO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_cobertura-BAJO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_cobertura-BAJO-P		ENDUTIH	2023	no_celular_cobertura	NSE	BAJO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_cobertura-MEDIO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_cobertura-MEDIO-P		ENDUTIH	2023	no_celular_cobertura	NSE	MEDIO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_costo-ALTO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_costo-ALTO-P		ENDUTIH	2023	no_celular_costo	NSE	ALTO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_costo-BAJO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_costo-BAJO-P		ENDUTIH	2023	no_celular_costo	NSE	BAJO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_costo-MEDIO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_costo-MEDIO-P		ENDUTIH	2023	no_celular_costo	NSE	MEDIO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_preferencia-ALTO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_preferencia-ALTO-P		ENDUTIH	2023	no_celular_preferencia	NSE	ALTO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_preferencia-BAJO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_preferencia-BAJO-P		ENDUTIH	2023	no_celular_preferencia	NSE	BAJO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_preferencia-MEDIO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_preferencia-MEDIO-P		ENDUTIH	2023	no_celular_preferencia	NSE	MEDIO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_acceso-ALTO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_acceso-ALTO-P		ENDUTIH	2023	no_internet_acceso	NSE	ALTO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_acceso-BAJO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_acceso-BAJO-P		ENDUTIH	2023	no_internet_acceso	NSE	BAJO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_acceso-MEDIO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_acceso-MEDIO-P		ENDUTIH	2023	no_internet_acceso	NSE	MEDIO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_costo-ALTO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_costo-ALTO-P		ENDUTIH	2023	no_internet_costo	NSE	ALTO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_costo-BAJO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_costo-BAJO-P		ENDUTIH	2023	no_internet_costo	NSE	BAJO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_costo-MEDIO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_costo-MEDIO-P		ENDUTIH	2023	no_internet_costo	NSE	MEDIO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_preferencia-ALTO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_preferencia-ALTO-P		ENDUTIH	2023	no_internet_preferencia	NSE	ALTO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_preferencia-BAJO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_preferencia-BAJO-P		ENDUTIH	2023	no_internet_preferencia	NSE	BAJO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_preferencia-MEDIO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001	RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_preferencia-MEDIO-P		ENDUTIH	2023	no_internet_preferencia	NSE	MEDIO	persona 6+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-endutih-2023-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-ahorra_ambas_vias-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-ahorra_ambas_vias-ALTO-P		ENIF	2024	ahorra_ambas_vias	NSE	ALTO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-ahorra_ambas_vias-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-ahorra_ambas_vias-BAJO-P		ENIF	2024	ahorra_ambas_vias	NSE	BAJO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-ahorra_ambas_vias-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-ahorra_ambas_vias-MEDIO-P		ENIF	2024	ahorra_ambas_vias	NSE	MEDIO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-ahorra_solo_formal-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-ahorra_solo_formal-ALTO-P		ENIF	2024	ahorra_solo_formal	NSE	ALTO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-ahorra_solo_formal-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-ahorra_solo_formal-BAJO-P		ENIF	2024	ahorra_solo_formal	NSE	BAJO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-ahorra_solo_formal-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-ahorra_solo_formal-MEDIO-P		ENIF	2024	ahorra_solo_formal	NSE	MEDIO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-ahorra_solo_informal-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-ahorra_solo_informal-ALTO-P		ENIF	2024	ahorra_solo_informal	NSE	ALTO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-ahorra_solo_informal-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-ahorra_solo_informal-BAJO-P		ENIF	2024	ahorra_solo_informal	NSE	BAJO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-ahorra_solo_informal-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-ahorra_solo_informal-MEDIO-P		ENIF	2024	ahorra_solo_informal	NSE	MEDIO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-desconfia_conoce_proteccion-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-desconfia_conoce_proteccion-BAJO-P		ENIF	2024	desconfia_conoce_proteccion	NSE	BAJO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-desconfia_no_conoce_proteccion-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-desconfia_no_conoce_proteccion-ALTO-P		ENIF	2024	desconfia_no_conoce_proteccion	NSE	ALTO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-desconfia_no_conoce_proteccion-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-desconfia_no_conoce_proteccion-BAJO-P		ENIF	2024	desconfia_no_conoce_proteccion	NSE	BAJO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-desconfia_no_conoce_proteccion-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-desconfia_no_conoce_proteccion-MEDIO-P		ENIF	2024	desconfia_no_conoce_proteccion	NSE	MEDIO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-formal_cualquiera-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-formal_cualquiera-ALTO-P		ENIF	2024	formal_cualquiera	NSE	ALTO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-formal_cualquiera-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-formal_cualquiera-BAJO-P		ENIF	2024	formal_cualquiera	NSE	BAJO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-formal_cualquiera-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-formal_cualquiera-MEDIO-P		ENIF	2024	formal_cualquiera	NSE	MEDIO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_con_ss-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_con_ss-ALTO-P		ENIF	2024	horizonte_corto_con_ss	NSE	ALTO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_con_ss-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_con_ss-BAJO-P		ENIF	2024	horizonte_corto_con_ss	NSE	BAJO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_con_ss-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_con_ss-MEDIO-P		ENIF	2024	horizonte_corto_con_ss	NSE	MEDIO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_no_trabaja-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_no_trabaja-ALTO-P		ENIF	2024	horizonte_corto_no_trabaja	NSE	ALTO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_no_trabaja-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_no_trabaja-BAJO-P		ENIF	2024	horizonte_corto_no_trabaja	NSE	BAJO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_no_trabaja-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_no_trabaja-MEDIO-P		ENIF	2024	horizonte_corto_no_trabaja	NSE	MEDIO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_sin_ss-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_sin_ss-ALTO-P		ENIF	2024	horizonte_corto_sin_ss	NSE	ALTO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_sin_ss-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_sin_ss-BAJO-P		ENIF	2024	horizonte_corto_sin_ss	NSE	BAJO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_sin_ss-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_sin_ss-MEDIO-P		ENIF	2024	horizonte_corto_sin_ss	NSE	MEDIO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-horizonte_no_corto_con_ss-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-horizonte_no_corto_con_ss-ALTO-P		ENIF	2024	horizonte_no_corto_con_ss	NSE	ALTO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-horizonte_no_corto_con_ss-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-horizonte_no_corto_con_ss-BAJO-P		ENIF	2024	horizonte_no_corto_con_ss	NSE	BAJO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-horizonte_no_corto_con_ss-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-horizonte_no_corto_con_ss-MEDIO-P		ENIF	2024	horizonte_no_corto_con_ss	NSE	MEDIO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-horizonte_no_corto_sin_ss-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-horizonte_no_corto_sin_ss-ALTO-P		ENIF	2024	horizonte_no_corto_sin_ss	NSE	ALTO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-horizonte_no_corto_sin_ss-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-horizonte_no_corto_sin_ss-BAJO-P		ENIF	2024	horizonte_no_corto_sin_ss	NSE	BAJO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
RESULT-AMAI-NSE-ENIF-2024-horizonte_no_corto_sin_ss-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001	RESULT-AMAI-NSE-ENIF-2024-horizonte_no_corto_sin_ss-MEDIO-P		ENIF	2024	horizonte_no_corto_sin_ss	NSE	MEDIO	persona elegida 18+	IC95-DE-DISENO	FP-260924-GEN2-CLASE-AMAI-1-e773-01	ADOPTADO	NUEVO	amai-nse-enif-2024-0001	NO-EVALUADO
