# DERIVADO (P5, ACTO GEN2-RELEVO-TANDA-1): DEMANDA DE MEDICION DE CAJA.
# 154 slots SIN-CANDIDATO agrupados en 71 corridas naturales. De aqui salen los siguientes encargos de caja.
corrida_natural	slots_sin_oferta	slots	consumidores_familia	razon
CORR-0030	2	RES-0107;RES-0108	CIV-M-04	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-R-CIV-M-10;CORR-SIN-CALC-DECLARADA
CORR-0034	2	RES-0112;RES-0113	CIV-M-10	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-R-CIV-M-12;CORR-SIN-CALC-DECLARADA
CORR-0038	2	RES-0117;RES-0118	CIV-M-12	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-R-CIV-M-13;CORR-SIN-CALC-DECLARADA
CORR-0042	2	RES-0122;RES-0123	CIV-M-13	CORR-SIN-CALC-DECLARADA
CORR-0046	2	RES-0127;RES-0128	DIN-M-01	CORR-SIN-CALC-DECLARADA
CORR-0050	2	RES-0132;RES-0133	FAM-M-01	CORR-SIN-CALC-DECLARADA
CORR-0054	2	RES-0137;RES-0138	FAM-M-05	CORR-SIN-CALC-DECLARADA
CORR-0058	2	RES-0142;RES-0143	FAM-M-06	CORR-SIN-CALC-DECLARADA
CORR-0062	2	RES-0147;RES-0148	FAM-M-07	CORR-SIN-CALC-DECLARADA
CORR-0066	2	RES-0152;RES-0153	TRA-M-02	CORR-SIN-CALC-DECLARADA
CORR-0070	2	RES-0157;RES-0158	TRA-M-03	CORR-SIN-CALC-DECLARADA
CORR-0074	2	RES-0162;RES-0163	TRA-M-07	CORR-SIN-CALC-DECLARADA
CORR-0020	1	RES-0095	CIV-M-01	CORR-SIN-CALC-DECLARADA
CORR-0021	1	RES-0096	CIV-M-01	CORR-SIN-CALC-DECLARADA
CORR-0023	1	RES-0099	CIV-M-01	CORR-SIN-CALC-DECLARADA
CORR-0024	1	RES-0100	CIV-M-02	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-R-CIV-M-01
CORR-0025	1	RES-0101	CIV-M-02	CORR-SIN-CALC-DECLARADA
CORR-0027	1	RES-0104	CIV-M-02	CORR-SIN-CALC-DECLARADA
CORR-0028	1	RES-0105	CIV-M-04	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-R-CIV-M-02
CORR-0029	1	RES-0106	CIV-M-04	CORR-SIN-CALC-DECLARADA
CORR-0031	1	RES-0109	CIV-M-04	CORR-SIN-CALC-DECLARADA
CORR-0032	1	RES-0110	CIV-M-10	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-R-CIV-M-04
CORR-0033	1	RES-0111	CIV-M-10	CORR-SIN-CALC-DECLARADA
CORR-0035	1	RES-0114	CIV-M-10	CORR-SIN-CALC-DECLARADA
CORR-0036	1	RES-0115	CIV-M-12	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-R-CIV-M-10
CORR-0037	1	RES-0116	CIV-M-12	CORR-SIN-CALC-DECLARADA
CORR-0039	1	RES-0119	CIV-M-12	CORR-SIN-CALC-DECLARADA
CORR-0040	1	RES-0120	CIV-M-13	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-R-CIV-M-12
CORR-0041	1	RES-0121	CIV-M-13	CORR-SIN-CALC-DECLARADA
CORR-0043	1	RES-0124	CIV-M-13	CORR-SIN-CALC-DECLARADA
CORR-0044	1	RES-0125	DIN-M-01	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-R-CIV-M-13
CORR-0045	1	RES-0126	DIN-M-01	CORR-SIN-CALC-DECLARADA
CORR-0047	1	RES-0129	DIN-M-01	CORR-SIN-CALC-DECLARADA
CORR-0048	1	RES-0130	FAM-M-01	CORR-SIN-CALC-DECLARADA
CORR-0049	1	RES-0131	FAM-M-01	CORR-SIN-CALC-DECLARADA
CORR-0051	1	RES-0134	FAM-M-01	CORR-SIN-CALC-DECLARADA
CORR-0052	1	RES-0135	FAM-M-05	CORR-SIN-CALC-DECLARADA
CORR-0053	1	RES-0136	FAM-M-05	CORR-SIN-CALC-DECLARADA
CORR-0055	1	RES-0139	FAM-M-05	CORR-SIN-CALC-DECLARADA
CORR-0056	1	RES-0140	FAM-M-06	CORR-SIN-CALC-DECLARADA
CORR-0057	1	RES-0141	FAM-M-06	CORR-SIN-CALC-DECLARADA
CORR-0059	1	RES-0144	FAM-M-06	CORR-SIN-CALC-DECLARADA
CORR-0060	1	RES-0145	FAM-M-07	CORR-SIN-CALC-DECLARADA
CORR-0061	1	RES-0146	FAM-M-07	CORR-SIN-CALC-DECLARADA
CORR-0063	1	RES-0149	FAM-M-07	CORR-SIN-CALC-DECLARADA
CORR-0064	1	RES-0150	TRA-M-02	CORR-SIN-CALC-DECLARADA
CORR-0065	1	RES-0151	TRA-M-02	CORR-SIN-CALC-DECLARADA
CORR-0067	1	RES-0154	TRA-M-02	CORR-SIN-CALC-DECLARADA
CORR-0068	1	RES-0155	TRA-M-03	CORR-SIN-CALC-DECLARADA
CORR-0069	1	RES-0156	TRA-M-03	CORR-SIN-CALC-DECLARADA
CORR-0071	1	RES-0159	TRA-M-03	CORR-SIN-CALC-DECLARADA
CORR-0072	1	RES-0160	TRA-M-07	CORR-SIN-CALC-DECLARADA
CORR-0073	1	RES-0161	TRA-M-07	CORR-SIN-CALC-DECLARADA
CORR-0075	1	RES-0164	TRA-M-07	CORR-SIN-CALC-DECLARADA
CORR-0077	1	RES-0171	DIN.ahorro_solo_informal.enif2024	CORR-SIN-CALC-DECLARADA
CORR-0078	1	RES-0172	G5.familismo_obligacion	CORR-SIN-CALC-DECLARADA
CORR-0079	1	RES-0173	G5.obligacion_medida	CORR-SIN-CALC-DECLARADA
CORR-0080	1	RES-0174	G5.radio_confianza	CORR-SIN-CALC-DECLARADA
