fecha,producto,regimen_definicion,imor_porcentaje,unidad_observacion,universo_institucional,fuente
2016-01,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.960000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2016-12,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.080000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2017-01,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.140000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2017-02,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.140000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2017-03,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.090000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2017-04,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.030000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2017-05,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.200000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2017-06,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.230000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2017-07,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.280000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2017-08,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.300000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2017-09,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.310000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2017-10,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.500000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2017-11,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.490000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2017-12,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.380000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2018-01,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.400000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2018-02,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.380000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2018-03,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.360000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2018-04,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.410000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2018-05,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.500000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2018-06,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.430000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2018-07,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.440000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2018-08,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.400000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2018-09,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.430000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2018-10,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.450000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2018-11,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.350000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2018-12,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.240000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2019-01,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.180000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2019-02,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.230000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2019-03,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.170000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2019-04,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.200000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2019-05,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.230000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2019-06,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.210000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2019-07,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.210000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2019-08,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.150000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2019-09,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.200000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2019-10,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.230000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2019-11,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.160000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2019-12,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.110000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2020-01,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.090000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2020-02,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.100000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2020-03,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.140000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2020-04,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.320000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2020-05,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.500000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2020-06,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.390000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2020-07,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.080000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2020-08,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.670000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2020-09,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.630000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2020-10,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.040000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2020-11,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,5.030000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2020-12,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,5.400000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2021-01,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,5.720000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2021-02,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,5.530000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2021-03,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.900000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2021-04,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.500000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2021-05,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.260000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2021-06,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.950000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2021-07,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.690000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2021-08,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.530000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2021-09,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.430000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2021-10,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.400000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2021-11,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.280000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2021-12,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.270000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2022-01,Consumo total,IFRS9_ETAPA_3,3.060000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2022-02,Consumo total,IFRS9_ETAPA_3,2.960000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2022-03,Consumo total,IFRS9_ETAPA_3,2.860000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2022-04,Consumo total,IFRS9_ETAPA_3,2.830000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2022-05,Consumo total,IFRS9_ETAPA_3,2.960000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2022-06,Consumo total,IFRS9_ETAPA_3,2.840000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2022-07,Consumo total,IFRS9_ETAPA_3,2.770000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2022-08,Consumo total,IFRS9_ETAPA_3,2.850000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2022-09,Consumo total,IFRS9_ETAPA_3,2.850000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2022-10,Consumo total,IFRS9_ETAPA_3,2.960000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2022-11,Consumo total,IFRS9_ETAPA_3,2.830000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2022-12,Consumo total,IFRS9_ETAPA_3,2.880000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2023-01,Consumo total,IFRS9_ETAPA_3,2.950000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2023-02,Consumo total,IFRS9_ETAPA_3,2.940000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2023-03,Consumo total,IFRS9_ETAPA_3,2.880000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2023-04,Consumo total,IFRS9_ETAPA_3,2.890000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2023-05,Consumo total,IFRS9_ETAPA_3,3.000000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2023-06,Consumo total,IFRS9_ETAPA_3,3.000000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2023-07,Consumo total,IFRS9_ETAPA_3,3.080000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2023-08,Consumo total,IFRS9_ETAPA_3,3.100000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2023-09,Consumo total,IFRS9_ETAPA_3,3.140000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2023-10,Consumo total,IFRS9_ETAPA_3,3.240000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2023-11,Consumo total,IFRS9_ETAPA_3,3.240000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2023-12,Consumo total,IFRS9_ETAPA_3,3.320000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2024-01,Consumo total,IFRS9_ETAPA_3,3.320000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2024-02,Consumo total,IFRS9_ETAPA_3,3.240000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2024-03,Consumo total,IFRS9_ETAPA_3,3.070000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2024-04,Consumo total,IFRS9_ETAPA_3,2.970000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2024-05,Consumo total,IFRS9_ETAPA_3,2.950000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2024-06,Consumo total,IFRS9_ETAPA_3,2.950000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2024-07,Consumo total,IFRS9_ETAPA_3,2.970000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2024-08,Consumo total,IFRS9_ETAPA_3,2.970000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2024-09,Consumo total,IFRS9_ETAPA_3,3.070000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2024-10,Consumo total,IFRS9_ETAPA_3,3.100000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2024-11,Consumo total,IFRS9_ETAPA_3,3.030000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2024-12,Consumo total,IFRS9_ETAPA_3,3.100000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2025-01,Consumo total,IFRS9_ETAPA_3,3.110000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2025-02,Consumo total,IFRS9_ETAPA_3,3.080000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2025-03,Consumo total,IFRS9_ETAPA_3,2.880000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2025-04,Consumo total,IFRS9_ETAPA_3,2.930000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
