# GENERADO por tools/dominios/dinero-series/dictamina.py — no editar
id_afirmacion	programa_cola	dictamen	serie	id_serie_tabla	periodicidad	unidad	url	fecha_descarga_constancia	result_ids	valores	veredicto	evaluacion	razon
ASTRA5-U0-CRPOP-018	CNBV	RESULT	Banxico · IMOR de consumo por producto, banca comercial (Informe Trimestral ene-mar 2026)	gen2_banxico_imor_consumo_producto_mensual_2026t1_html	mensual	porcentaje de saldo de cartera (SERIE-ADMINISTRATIVA; no persona)	https://www.banxico.org.mx/TablasWeb/informes-trimestrales/enero-marzo-2026/B133C3DC-462F-40C1-B2BA-04086A1CFAB1.html	2026-09-11	RESULT-BANXICO-SERIES-NOM-2024-03;RESULT-BANXICO-SERIES-TDC-2024-03	RESULT-BANXICO-SERIES-NOM-2024-03=2.76;RESULT-BANXICO-SERIES-TDC-2024-03=3.39	MATIZA	RETROSPECTIVA	igual que CRPOP-007: solo el comparador de sistema mar-2024; la cifra de la institución y el ROA quedan NO-ACCESIBLE aquí
ASTRA5-U0-CRPOP-029	CNBV	NO-CONSTRUIBLE	—	—	—	—	—				—	—	IMOR/IMORA/ROE de una SOFOM ENR y su línea de fondeo: la CNBV no publica serie prudencial de ENR (buscado: boletín estadístico de SOFOM ENR en el manifiesto y en las dos constancias); la fuente son reportes de calificadora y emisora
ASTRA5-U0-CRPOP-031	CNBV	NO-ACCESIBLE	CNBV · Boletín estadístico del sector de ahorro y crédito popular (SOFIPO), por entidad	boletín EACP/SOFIPO	trimestral	serie administrativa (ver fuente)	https://portafolioinfo.cnbv.gob.mx/				—	—	IMOR sector SOFIPO jun-2025 e indicadores de CAME: boletín SOFIPO; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org). NICAP e intervención: comunicados, no serie
ASTRA5-U0-CRPOP-036	CNBV	NO-ACCESIBLE	CNBV · 040-1A-R16 por institución (IMOR/IMORA por tipo de cartera)	040-1A-R16 por institución	mensual	serie administrativa (ver fuente)	https://portafolioinfo.cnbv.gob.mx/				—	—	«IMOR de consumo del sector popular» abr-2021 no es agregado publicado; se construiría agregando R16 por institución con una lista de bancos populares a declarar; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org)
ASTRA5-U0-CRPOP-040	CNBV	NO-CONSTRUIBLE	—	—	—	—	—				—	—	umbrales normativos de alerta (partes relacionadas, interés capitalizado) y un dato de emisora quebrada: no es afirmación sobre una serie; buscado: R16 y boletines en las dos constancias
ASTRA5-U0-CRPOP-044	CNBV	RESULT	Banxico · IMOR de consumo por producto, banca comercial (Informe Trimestral ene-mar 2026)	gen2_banxico_imor_consumo_producto_mensual_2026t1_html	mensual	porcentaje de saldo de cartera (SERIE-ADMINISTRATIVA; no persona)	https://www.banxico.org.mx/TablasWeb/informes-trimestrales/enero-marzo-2026/B133C3DC-462F-40C1-B2BA-04086A1CFAB1.html	2026-09-11	RESULT-BANXICO-SERIES-CON-2024-12;RESULT-BANXICO-SERIES-CON-2026-03	RESULT-BANXICO-SERIES-CON-2024-12=3.1;RESULT-BANXICO-SERIES-CON-2026-03=3.26	CONFIRMA	RETROSPECTIVA	la parte de sistema («IMOR de consumo del sistema ~3%») se sostiene en dic-2024 y mar-2026; la de bancos populares (5-8% / 10-16% ajustado) es R16 por institución, NO-ACCESIBLE aquí
ASTRA5-U0-CRPOP-049	CNBV	NO-ACCESIBLE	CNBV · 040-1A-R16 por institución (IMOR/IMORA por tipo de cartera)	040-1A-R16 por institución	mensual	serie administrativa (ver fuente)	https://portafolioinfo.cnbv.gob.mx/				—	—	IMOR etapa 3 de Compartamos: R16 por institución; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org). Castigos trimestrales: reporte BMV de la emisora, no serie CNBV
ASTRA5-U0-CRPOP-055	CNBV	RESULT	Banxico · IMOR de consumo por producto, banca comercial (Informe Trimestral ene-mar 2026)	gen2_banxico_imor_consumo_producto_mensual_2026t1_html	mensual	porcentaje de saldo de cartera (SERIE-ADMINISTRATIVA; no persona)	https://www.banxico.org.mx/TablasWeb/informes-trimestrales/enero-marzo-2026/B133C3DC-462F-40C1-B2BA-04086A1CFAB1.html	2026-09-11	RESULT-BANXICO-SERIES-CON-2023-12	RESULT-BANXICO-SERIES-CON-2023-12=3.32	CONFIRMA	RETROSPECTIVA	IMOR de consumo dic-2023 (3.4%) cae dentro de 0.5 pp del RESULT; los IMOR ajustados (consumo 10.5%, tarjeta 13.7% jun-2025) y la banca total (2.1/4.1) no están en las constancias: NO-ACCESIBLE aquí
ASTRA5-U0-CRPOP-057	CNBV	NO-ACCESIBLE	CNBV · 040-1A-R16 por institución (IMOR/IMORA por tipo de cartera)	040-1A-R16 por institución	mensual	serie administrativa (ver fuente)	https://portafolioinfo.cnbv.gob.mx/				—	—	la regla IMORA > 2.5×IMOR se evalúa por institución con R16 (bancos) y boletín SOFIPO (CAME); host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org)
ASTRA5-U0-CRPOP-060	CNBV	NO-ACCESIBLE	CNBV · Boletín estadístico del sector de ahorro y crédito popular (SOFIPO), por entidad	boletín EACP/SOFIPO	trimestral	serie administrativa (ver fuente)	https://portafolioinfo.cnbv.gob.mx/				—	—	castigos y cartera vencida ajustada de CAME y comparación con Azteca/BanCoppel/Findep: boletín SOFIPO y R16 por institución; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org)
ASTRA5-U0-CLASE-042	CNBV	NO-ACCESIBLE	CNBV · Boletín estadístico del sector de ahorro y crédito popular (SOFIPO), por entidad	boletín EACP/SOFIPO	trimestral	serie administrativa (ver fuente)	https://portafolioinfo.cnbv.gob.mx/				—	—	morosidad de SOFIPO 2025 (9.91%): boletín SOFIPO; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org). La alerta del REF es texto, no serie
ASTRA5-U0-CRFAC-004	BANXICO	NO-ACCESIBLE	Banxico SIE · financiamiento al sector privado / cartera de consumo	SIE CF297 (manifiesto: banxico_sie_cf297_financiamiento_sector_privado)	mensual	serie administrativa (ver fuente)	https://www.banxico.org.mx/SieInternet/				—	—	crecimiento real de la cartera de consumo: SIE (el payload CF297 está en el manifiesto pero no en este clon; se trae desde caja); host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org)
ASTRA5-U0-CRFAC-007	BANXICO	RESULT	Banxico · IMOR de consumo por producto, banca comercial (Informe Trimestral ene-mar 2026)	gen2_banxico_imor_consumo_producto_mensual_2026t1_html	mensual	porcentaje de saldo de cartera (SERIE-ADMINISTRATIVA; no persona)	https://www.banxico.org.mx/TablasWeb/informes-trimestrales/enero-marzo-2026/B133C3DC-462F-40C1-B2BA-04086A1CFAB1.html	2026-09-11	RESULT-BANXICO-SERIES-CON-YOY-2026-03-PP;RESULT-BANXICO-SERIES-TDC-YOY-2026-03-PP;RESULT-BANXICO-SERIES-ABCD-YOY-2026-03-PP;RESULT-BANXICO-SERIES-NOM-YOY-2026-03-PP;RESULT-BANXICO-SERIES-PER-YOY-2026-03-PP	RESULT-BANXICO-SERIES-CON-YOY-2026-03-PP=0.38;RESULT-BANXICO-SERIES-TDC-YOY-2026-03-PP=0.38;RESULT-BANXICO-SERIES-ABCD-YOY-2026-03-PP=0.44;RESULT-BANXICO-SERIES-NOM-YOY-2026-03-PP=-0.04;RESULT-BANXICO-SERIES-PER-YOY-2026-03-PP=0.82	MATIZA	RETROSPECTIVA	RETROSPECTIVO-NO-PREREGISTRADO (no estaba en spec §5): el patrón «morosidad sube en todos los segmentos salvo nómina» se ve en el cambio interanual a mar-2026 (nómina es el único negativo); la cita del REF es de dic-2025 y el crecimiento de saldos no está en esta serie
ASTRA5-U0-CRFAC-011	BANXICO	NO-ACCESIBLE	Banxico · Indicadores Básicos de Tarjetas de Crédito (RIB)	RIB tarjetas	semestral	serie administrativa (ver fuente)	https://www.banxico.org.mx/				—	—	CAT promedio de tarjetas clásicas 2024: RIB de tarjetas de Banxico; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org). Fichas CONDUSEF y «44% totaleros»: otra fuente (CONDUSEF / encuesta), fuera de este acto
ASTRA5-U0-CRFAC-013	BANXICO	NO-ACCESIBLE	Banxico SIE · financiamiento al sector privado / cartera de consumo	SIE CF297 (manifiesto: banxico_sie_cf297_financiamiento_sector_privado)	mensual	serie administrativa (ver fuente)	https://www.banxico.org.mx/SieInternet/				—	—	financiamiento a hogares como % del PIB: SIE financiamiento + PIB; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org)
ASTRA5-U0-CRFAC-020	BANXICO	NO-CONSTRUIBLE	—	—	—	—	—				—	—	morosidad de SOFOM ENR y OIFNB «en niveles históricamente altos»: dicho del REF, que la construye con información de burós; no hay serie pública por sector (buscado: boletines CNBV y SIE en el manifiesto)
ASTRA5-U0-CRPOP-050	BANXICO	NO-ACCESIBLE	Banxico · Indicadores Básicos de Créditos Personales y de Nómina (RIB)	RIB personales/microcrédito	anual	serie administrativa (ver fuente)	https://www.banxico.org.mx/				—	—	pérdida esperada y CAT por institución: RIB de créditos personales de Banxico; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org)
ASTRA5-U0-TRUST-018	BANXICO	NO-CONSTRUIBLE	—	—	—	—	—				—	—	«82% de las transacciones en efectivo»: sin fuente identificada; no es serie administrativa de pagos (las series SPEI/CoDi del manifiesto miden montos y operaciones electrónicas, no la proporción en efectivo); el piso de persona sería ENIF, fuera de este acto
ASTRA5-U0-VIOL-041	BANXICO	NO-CONSTRUIBLE	—	—	—	—	—				—	—	estudio econométrico de Banxico (homicidios → IED estatal): estimación de investigación, no serie; título no identificado por el report
ASTRA5-U0-CONS-021	BANXICO	NO-ACCESIBLE	Banxico · Indicadores Básicos de Tarjetas de Crédito (RIB)	RIB tarjetas	semestral	serie administrativa (ver fuente)	https://www.banxico.org.mx/				—	—	participación de MSI en saldos de tarjeta: RIB de tarjetas de Banxico; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org)
