era	job	paso	n	mediana_s	p90_s
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	motor ejecutable — procedencia→B→evaluar() sobre las celdas-D del disco (bloqueante)	97	1.0	1.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	guardias	Set up job	97	0.0	0.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	guardias	Intérprete del runner (crudo, para que quede en el log)	97	0.0	0.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	guardias	Complete job	97	0.0	0.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	Set up job	97	0.0	1.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	Intérprete del runner (crudo, para que quede en el log)	97	0.0	0.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	svystat.py — validación independiente (bloqueante)	97	0.0	0.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	sidecars de forense/encargos y forense/notas — sello de cuerpo (bloqueante)	8	0.0	0.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	Baseline temporal — corte y compatibilidad del estimando	97	0.0	1.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	adq_config.py — lector de data/adq-config.yaml (bloqueante)	97	0.0	0.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	adq_doctor.py — clasificación de lock/crontab (bloqueante)	97	0.0	1.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	Fuentes financieras — unidades, faltantes y duplicados (bloqueante)	97	0.0	0.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	N34 — producto, costo y daño (bloqueante)	97	0.0	0.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	contrato sintético de C2 — piloto celda-D (bloqueante)	97	0.0	1.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	consumidor de celda-D — piloto 2, fila M05 derivada (bloqueante)	97	0.0	1.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	tubería de ids y union — T15 por mutación, guarda de salto de línea, gramática de FP (bloqueante)	29	0.0	1.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	comparabilidad por texto de crédito ENIF — forma de la tabla K1-K8 × 5 olas (bloqueante)	52	0.0	0.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	cargador de linaje — los tres caminos del id superado (bloqueante)	35	0.0	0.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	adicionales	Complete job	97	0.0	0.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	suite	Set up job	97	0.0	0.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	suite	Intérprete del runner (crudo, para que quede en el log)	97	0.0	0.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	suite	Transporte paralelo, compuerta y semántica del baseline (bloqueante)	97	0.0	1.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	suite	Complete job	97	0.0	0.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	check	Set up job	97	0.0	0.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	check	Todos los grupos requeridos terminaron correctamente	97	0.0	1.0
ERA3-mas-guardias (suite+adicionales+guardias+check)	check	Complete job	97	0.0	0.0
ERA4-actual (+preflight-calc, desde PR #948)	suite	Suite de verificación (modo línea base — verde = no empeoraste)	5	193.0	195.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	marcador por segmento — tabla derivada y guardias (bloqueante)	5	108.0	148.0
ERA4-actual (+preflight-calc, desde PR #948)	guardias	Guardias huérfanas — censo + invocador correcto por archivo (bloqueante)	5	35.0	36.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	métrica rectora — celdas_validadas en la primera línea del tablero (bloqueante)	5	32.0	38.0
ERA4-actual (+preflight-calc, desde PR #948)	guardias	Checkout sin marketplace (repo público — cero descargas de action)	5	17.0	18.0
ERA4-actual (+preflight-calc, desde PR #948)	preflight-calc	Checkout con la base (clon propio — D-23, no se toca el de otro job)	5	7.0	8.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	Checkout sin marketplace (repo público — cero descargas de action)	5	7.0	7.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	adq_investigacion.py — proyección de demanda no se queda atrás (bloqueante)	5	7.0	8.0
ERA4-actual (+preflight-calc, desde PR #948)	suite	Checkout sin marketplace (repo público — cero descargas de action)	5	6.0	8.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	emite_m — resolver de ola_calibracion por conducta (bloqueante)	5	4.0	6.0
ERA4-actual (+preflight-calc, desde PR #948)	preflight-calc	Prueba por mutación del chequeo (bloqueante — D-21, el acto cablea su test)	5	3.0	3.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	Instala dependencias (requirements.txt — explícito, nunca lo que traiga el runner)	5	3.0	4.0
ERA4-actual (+preflight-calc, desde PR #948)	guardias	Instala dependencias (requirements.txt — explícito, nunca lo que traiga el runner)	5	3.0	4.0
ERA4-actual (+preflight-calc, desde PR #948)	preflight-calc	Instala dependencias (requirements.txt — explícito, nunca lo que traiga el runner)	5	2.0	3.0
ERA4-actual (+preflight-calc, desde PR #948)	suite	Instala dependencias (requirements.txt — explícito, nunca lo que traiga el runner)	5	2.0	4.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	descargador por id de manifiesto — arnés HTTP local (bloqueante)	5	2.0	4.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	T-CRON — huella del cron y no-regresión de baseline (bloqueante)	5	1.0	5.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	motor ejecutable — procedencia→B→evaluar() sobre las celdas-D del disco (bloqueante)	5	1.0	1.0
ERA4-actual (+preflight-calc, desde PR #948)	preflight-calc	Set up job	5	0.0	0.0
ERA4-actual (+preflight-calc, desde PR #948)	preflight-calc	Intérprete del runner (crudo, para que quede en el log)	5	0.0	0.0
ERA4-actual (+preflight-calc, desde PR #948)	preflight-calc	preflight sobre los CALC sin sello que este cambio toca (bloqueante)	5	0.0	0.0
ERA4-actual (+preflight-calc, desde PR #948)	preflight-calc	Complete job	5	0.0	0.0
ERA4-actual (+preflight-calc, desde PR #948)	suite	Set up job	5	0.0	0.0
ERA4-actual (+preflight-calc, desde PR #948)	suite	Intérprete del runner (crudo, para que quede en el log)	5	0.0	0.0
ERA4-actual (+preflight-calc, desde PR #948)	suite	Transporte paralelo, compuerta y semántica del baseline (bloqueante)	5	0.0	2.0
ERA4-actual (+preflight-calc, desde PR #948)	suite	Complete job	5	0.0	1.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	Set up job	5	0.0	1.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	Intérprete del runner (crudo, para que quede en el log)	5	0.0	0.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	svystat.py — validación independiente (bloqueante)	5	0.0	0.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	sidecars de forense/encargos y forense/notas — sello de cuerpo (bloqueante)	5	0.0	0.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	Baseline temporal — corte y compatibilidad del estimando	5	0.0	0.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	adq_config.py — lector de data/adq-config.yaml (bloqueante)	5	0.0	1.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	adq_doctor.py — clasificación de lock/crontab (bloqueante)	5	0.0	0.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	Fuentes financieras — unidades, faltantes y duplicados (bloqueante)	5	0.0	0.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	N34 — producto, costo y daño (bloqueante)	5	0.0	0.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	contrato sintético de C2 — piloto celda-D (bloqueante)	5	0.0	0.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	consumidor de celda-D — piloto 2, fila M05 derivada (bloqueante)	5	0.0	1.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	tubería de ids y union — T15 por mutación, guarda de salto de línea, gramática de FP (bloqueante)	5	0.0	1.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	comparabilidad por texto de crédito ENIF — forma de la tabla K1-K8 × 5 olas (bloqueante)	5	0.0	1.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	cargador de linaje — los tres caminos del id superado (bloqueante)	5	0.0	1.0
ERA4-actual (+preflight-calc, desde PR #948)	adicionales	Complete job	5	0.0	0.0
ERA4-actual (+preflight-calc, desde PR #948)	guardias	Set up job	5	0.0	0.0
ERA4-actual (+preflight-calc, desde PR #948)	guardias	Intérprete del runner (crudo, para que quede en el log)	5	0.0	0.0
ERA4-actual (+preflight-calc, desde PR #948)	guardias	Complete job	5	0.0	1.0
ERA4-actual (+preflight-calc, desde PR #948)	check	Set up job	5	0.0	0.0
ERA4-actual (+preflight-calc, desde PR #948)	check	Todos los grupos requeridos terminaron correctamente	5	0.0	1.0
ERA4-actual (+preflight-calc, desde PR #948)	check	Complete job	5	0.0	1.0
