relacion_id	fuente_canonica_normalizada	tipo_trabajo	siguiente_accion_original	siguiente_accion_original_sha256	input_requerido_original	reserva_original	evidencia_ref_original	criterio_cierre_individual
REL-162b116abdb2212886430f08	CSES	BUSQUEDA_DIRIGIDA	Abrir codebook y cuestionario México 2018 y documentar variable, codificación y granularidad; cerrar si no aparece el diseño requerido.	68eb1fc86d0f1a425e1a5a7c259246ba20bdf33fa8731f12b32efd604b6d59f4	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L12	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-1677b0003626a1bd5bf971cb	ENIGH	CURADURIA_FUENTE	Búsqueda dirigida en diccionarios.	effb634f3527f56afcf55b9ce67a10a6b7d0a83eb5d62fca40f3f50067b2541f	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	MAIN:data/mapa-fuentes-2026-08-06.tsv:L3	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.
REL-16d3c66af7fc856df2130139	ENFIH	CURADURIA_FUENTE	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.	eba3e0df63b8ce6ed4d6ac7d49ae306643848764635e477c17ceebb3784f12b9	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	MAIN:data/abrir4-variables-2026-08-08.tsv	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.
REL-1867600f55b362380e728c4a	SERIES_SPEI_CODI_BANXICO	BUSQUEDA_DIRIGIDA	Abrir Informe Anual o catálogo SIE, registrar idSerie/idCuadro y extraer series comparables CoDi/SPEI.	627cdc48ecf33b06281e4c77f09111e07ffd02e6f95becd8bc41402851462de7	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-fuentes-2026-08-06.tsv:L135	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-18976f4767e5da3c5e572877	FINANZAS	CURADURIA_FUENTE	Resolver la etiqueta FINANZAS a una fuente canónica concreta ya reunida y abrir su instrumento contra el par requerido.	c5b344f3f2a9867317cc96ec459a437373e5f98668ace2f235f09acb7eb413b6	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	MAIN:canon/modelo-decision-v4_0.md;MAIN:data/abrir4-variables-2026-08-08.tsv;MAIN:data/mapa-ext-general-2026-08-06.tsv;MAIN:forense/REVERIFICACION-DEMANDA-vs-UNIVERSO-2026-08-07-v1_0.md	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.
REL-1d4ea097a836307f28dd2f49	ENCOAP	ANALISIS_MEDICION	Abrir cuestionario y diccionario ENCOAP; localizar el reactivo y el desenlace exactos exigidos por la necesidad.	b8bdc9d6e9a1fb98030c092a30fba2d89ad270f5454126a743d3d1ff00a342ae	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L15	Resultado reproducible o NO_DETERMINADO por campo material faltante.
REL-1d9d402e2e1aa77c9c01cb5f	MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	BUSQUEDA_DIRIGIDA	Obtener archivo y codebook del proyecto; verificar evento, actor, demanda, respuesta, geografía y cobertura temporal para México.	9ad341e8331316a8cb8c8fda7ae8779a3c69b15482a8efcd5bccf545be8fe70b	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L11	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-20c9e9445e7c52770b6c3b10	DOES_CORRUPTION_INFORMATION_INSPIRE_THE_FIGHT_OR_QUASH_THE_HOPE	BUSQUEDA_DIRIGIDA	Abrir instrumento y tablas del estudio; localizar tratamiento informativo, outcome y estimando pertinente.	7f036c47afc4a5bd11592b151d061aea99b8b28e82df65d53698b1eed5678ecb	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-ext-academico-2026-08-06.tsv	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-21e914d37dac786386bf91dc	FINANZAS	CURADURIA_FUENTE	Resolver la etiqueta FINANZAS a una fuente canónica concreta ya reunida y abrir su instrumento contra el par requerido.	c5b344f3f2a9867317cc96ec459a437373e5f98668ace2f235f09acb7eb413b6	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	MAIN:canon/gobernanza-v1_15.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md;MAIN:corpus/reports/Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.
REL-2230c5027c1ce5589c32d9b0	LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	BUSQUEDA_DIRIGIDA	Recuperar el paquete canónico del estudio y revisar instrumento, diseño, outcomes y tablas de impacto.	188d651a6af2f033dc69c06c7aaf4437a579dbe7fd06babadb256bde77e0912c	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-ext-academico-2026-08-06.tsv	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-235427b4ebd4727b5ccdeb98	REPOSITORIOS_UNAM_COLMEX_ITAM_DATAVERSE_ICPSR	CURADURIA_FUENTE	Identificar un estudio concreto ya indexado, abrir protocolo/datos y verificar umbral, asignación y outcome electoral.	3bac30a99a9113aefd17f46b4a6e20793526c3229cc6c86d0111041fab2c5d51	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	MAIN:canon/glosario-v5_6.md	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.
REL-2a1cc2aeaa3a0d0f5e1e49d2	UCDP	BUSQUEDA_DIRIGIDA	Abrir GED codebook.	623a70ad87a08b2702c4109b04f42746a3983ae4b1a6f4de155544695aa5872e	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-ext-general-2026-08-06.tsv:L14	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-2d58abfc1b418484af3f2f7d	ENFIH	CURADURIA_FUENTE	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.	eba3e0df63b8ce6ed4d6ac7d49ae306643848764635e477c17ceebb3784f12b9	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	MAIN:data/abrir4-variables-2026-08-08.tsv	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.
REL-2fab7f66a0e6963788542b3a	ENCOAP	BUSQUEDA_DIRIGIDA	Abrir cuestionario y diccionario ENCOAP; localizar el reactivo y el desenlace exactos exigidos por la necesidad.	b8bdc9d6e9a1fb98030c092a30fba2d89ad270f5454126a743d3d1ff00a342ae	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-ext-general-2026-08-06.tsv:L4	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-2fbf749b083e578d4462b842	FINANZAS	CURADURIA_FUENTE	Resolver la etiqueta FINANZAS a una fuente canónica concreta ya reunida y abrir su instrumento contra el par requerido.	c5b344f3f2a9867317cc96ec459a437373e5f98668ace2f235f09acb7eb413b6	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	MAIN:canon/glosario-v5_6.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.
REL-32afb54be292bc8e3070dfca	ENVIPE	CURADURIA_FUENTE	Abrir reactivos conjuntos.	26b86d28d003715f1f89ac9cfafe46b35291f7befbaf05a2da3c0de37ad9289f	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	MAIN:forense/matriz-impacto-universal-2026-08-06.md:L82	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.
REL-32d05d4dc466d048e2961f7b	MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	BUSQUEDA_DIRIGIDA	Obtener archivo y codebook del proyecto; verificar evento, actor, demanda, respuesta, geografía y cobertura temporal para México.	9ad341e8331316a8cb8c8fda7ae8779a3c69b15482a8efcd5bccf545be8fe70b	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L11	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-350211bc943be8bae0c8eea2	MEXICO_ENTERPRISE_SURVEYS_COMPONENTE_PANEL_CANDIDATO_2006_2010	BUSQUEDA_DIRIGIDA	Abrir diccionario y archivo panel; comprobar dos observaciones por idPANEL2006 y mapear predictor y desenlace requeridos.	e6132f567607fb339cb3c907e9b29072e9c2d5d7cabb00cde3709c1779a00e4f	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L7	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-36cde7fa0d470608a94ddb1e	ENFIH	CURADURIA_FUENTE	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.	eba3e0df63b8ce6ed4d6ac7d49ae306643848764635e477c17ceebb3784f12b9	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	MAIN:data/abrir4-variables-2026-08-08.tsv	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.
REL-374d073941162109bb37265b	ELECTORAL_PRECINCT_LEVEL_DATABASE_FOR_MEXICAN_MUNICIPAL_ELECTION	BUSQUEDA_DIRIGIDA	Abrir codebook y verificar variables de sección, elección, tratamiento/exposición y resultado.	9957c47d3db955f1de333864ac17809f74852dce4e6be6b2e0c1b48699595c80	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-ext-academico-2026-08-06.tsv	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-382a1f202f13e8134f376a00	MEXICO_PANEL_STUDY_2012	BUSQUEDA_DIRIGIDA	Abrir cuestionario y codebook 2012 y localizar las variables exactas y su llave longitudinal.	ede6819bb1cd3ce12f58d9a0c61b51fb63a379c6261fdc7adc0f74514e4d87a9	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-ext-general-2026-08-06.tsv	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-3b746c49c7c051083df6ee81	ENFIH	CURADURIA_FUENTE	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.	eba3e0df63b8ce6ed4d6ac7d49ae306643848764635e477c17ceebb3784f12b9	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	MAIN:data/abrir4-variables-2026-08-08.tsv	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.
REL-3d47f2e740a4b56741e9c6e2	GDELT	BUSQUEDA_DIRIGIDA	Extraer un universo México acotado, aplicar deduplicación documentada y mapear CAMEO/actores/respuesta al objeto.	c47b9de2d903b150a58012d8ab146ff3f7decaec78eb1b3830948fd76cd9e1bd	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-ext-general-2026-08-06.tsv:L8	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-3d6a985a8dafc13fdbd39e4a	WVS	BUSQUEDA_DIRIGIDA	Abrir cuestionario y codebook Wave 7 México; localizar reactivo, codificación y desenlace coobservado.	833bafb3e73736976b1c32e34ee3f932173db62df98d8ae6609255ee613e1873	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-ext-general-2026-08-06.tsv:L17	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-3e153324c7506ed0e35a7a70	WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	BUSQUEDA_DIRIGIDA	Abrir cuestionario.	39ee5ac3ba3c2cebc413638b07231b7e028d335a941707fa9e7498318de8a709	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-ext-general-2026-08-06.tsv:L13	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-435541bba7684694085356c2	MASS_MOBILIZATION_PROTEST_DATA	BUSQUEDA_DIRIGIDA	Abrir codebook y payload México; verificar campos completos y documentar explícitamente si existe algún vínculo con trámite o gobierno digital.	a359d8730c4106786103e3a28d953efd060494d50a0266f056159848d96464a2	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-ext-general-2026-08-06.tsv:L9	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-4360d0a91e5f8be30916c2b9	LATINOBARÓMETRO	BUSQUEDA_DIRIGIDA	Obtener el microdato bajo la licencia aplicable y mapear reactivo, codificación y desenlace para México.	895a660662f6e2aff564303d117da35585b981c90bf2f123407e2eb5912d9439	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:forense/hitoE-campana-medicion-v2_0.md	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-45672e7d7c5ac7c69edaede4	ENFIH	CURADURIA_FUENTE	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.	eba3e0df63b8ce6ed4d6ac7d49ae306643848764635e477c17ceebb3784f12b9	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	MAIN:data/abrir4-variables-2026-08-08.tsv	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.
REL-4773e33ebd7e704a595bbf07	ENNVIH	CURADURIA_FUENTE	Abrir codebooks por ola y localizar indicador temporal, conducta financiera y llave individual longitudinal.	30f41045c01d499d3f9a6bb096c2b78a69c9248ef91505caad5543f4acb98e66	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	MAIN:forense/matriz-impacto-universal-2026-08-06.md	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.
REL-48285fd8e0a22a38147245ed	CSES	BUSQUEDA_DIRIGIDA	Abrir codebook y payload canónico CSES México 2018; buscar literalmente variables de trámite/gobierno digital y documentar el universo revisado.	8ee078346b250f268e109cbd9fa96787f709ba657f922354e5b07c0308511ae5	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-ext-general-2026-08-06.tsv:L7	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
REL-4945113fd8870341191221b6	INE	BUSQUEDA_DIRIGIDA	Precisar producto.	a2933ad267dd4f774af3cbb7a6ca82d0e0e7a619bba45e612406024ceffdb997	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	MAIN:data/mapa-fuentes-2026-08-06.tsv:L97	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.
