instrumento	instrumento_ola_u1	conducta_u1	estado_nse	grupos_publicables	n_grupos_publicables
ENIF	ENIF 2024 (derivado de RESULT)	no_ahorra	CON-PISO-NSE	BAJO;MEDIO;ALTO	3
ENIF	ENIF 2024	no_recibe_dinero_familiares_para_vejez	CON-PISO-NSE	BAJO;MEDIO;ALTO	3
ENIF	ENIF 2024	no_tiene_ahorros_enif2024	CON-PISO-NSE	BAJO;MEDIO;ALTO	3
ENIF	ENIF 2024	recibe_dinero_familiares_para_vejez	CON-PISO-NSE	BAJO;MEDIO;ALTO	3
ENIF	ENIF 2024	tiene_ahorros_enif2024	CON-PISO-NSE	BAJO;MEDIO;ALTO	3
ENIGH	ENIGH 2016	R	CELDA-O-INTERACCION-NO-CONDUCTA		0
ENIGH	ENIGH 2022	no_recibe_remesas	COMPLEMENTO-DE-recibe_remesas-NO-MEDIDO-APARTE		0
ENIGH	ENIGH 2022	recibe_remesas	CON-PISO-NSE	BAJO;MEDIO;ALTO	3
ENNViH-1	ENNViH-1 2002	R	CELDA-O-INTERACCION-NO-CONDUCTA		0
ENSANUT	ENSANUT 2024	razon_no_vacunacion_logistica	INSTRUMENTO-FUERA-DEL-ALCANCE-AMAI-DE-ESTE-ACTO		0
ENSANUT	ENSANUT 2024	razon_no_vacunacion_no_logistica	INSTRUMENTO-FUERA-DEL-ALCANCE-AMAI-DE-ESTE-ACTO		0
ENUT	ENUT 2024	share_horas_mujeres_40mas	INSTRUMENTO-FUERA-DEL-ALCANCE-AMAI-DE-ESTE-ACTO		0
ENVIPE	ENVIPE 2012	R	CELDA-O-INTERACCION-NO-CONDUCTA		0
ENVIPE	ENVIPE 2024	S1xD1	NSE-NO-CONSTRUIBLE-EN-EL-INSTRUMENTO		0
ENVIPE	ENVIPE 2024	S1xD2	NSE-NO-CONSTRUIBLE-EN-EL-INSTRUMENTO		0
ENVIPE	ENVIPE 2024	S1xD3	NSE-NO-CONSTRUIBLE-EN-EL-INSTRUMENTO		0
ENVIPE	ENVIPE 2024	S2xD1	NSE-NO-CONSTRUIBLE-EN-EL-INSTRUMENTO		0
ENVIPE	ENVIPE 2024	S2xD2	NSE-NO-CONSTRUIBLE-EN-EL-INSTRUMENTO		0
ENVIPE	ENVIPE 2024	S2xD3	NSE-NO-CONSTRUIBLE-EN-EL-INSTRUMENTO		0
ENVIPE	ENVIPE 2024	S3xD1	NSE-NO-CONSTRUIBLE-EN-EL-INSTRUMENTO		0
ENVIPE	ENVIPE 2024	S3xD2	NSE-NO-CONSTRUIBLE-EN-EL-INSTRUMENTO		0
ENVIPE	ENVIPE 2024	S3xD3	NSE-NO-CONSTRUIBLE-EN-EL-INSTRUMENTO		0
ENVIPE	ENVIPE 2024	S4xD1	NSE-NO-CONSTRUIBLE-EN-EL-INSTRUMENTO		0
ENVIPE	ENVIPE 2024	S4xD2	NSE-NO-CONSTRUIBLE-EN-EL-INSTRUMENTO		0
ENVIPE	ENVIPE 2024	S4xD3	NSE-NO-CONSTRUIBLE-EN-EL-INSTRUMENTO		0
ENVIPE	ENVIPE 2025 · tmod_vic (conjunto_de_datos) · unidad = DELITO	civico.denuncia.con_seguro_ejes_envipe2025	NSE-NO-CONSTRUIBLE-EN-EL-INSTRUMENTO		0
ENVIPE	ENVIPE 2025	cumple_norma_envipe2025	NSE-NO-CONSTRUIBLE-EN-EL-INSTRUMENTO		0
ENVIPE	ENVIPE 2025	denuncia_con_miedo_o_desconfianza	NSE-NO-CONSTRUIBLE-EN-EL-INSTRUMENTO		0
ENVIPE	ENVIPE 2025	denuncia_por_otra_razon	NSE-NO-CONSTRUIBLE-EN-EL-INSTRUMENTO		0
ENVIPE	ENVIPE 2025	evade_norma_envipe2025	NSE-NO-CONSTRUIBLE-EN-EL-INSTRUMENTO		0
ENVIPE	ENVIPE 2025 · tmod_vic · unidad = DELITO	tramite.evasion_norma_ejes_envipe2025	NSE-NO-CONSTRUIBLE-EN-EL-INSTRUMENTO		0
LAPOP	LAPOP 2019	milpa/tramite-ola5-propuesta-v0.yaml · civico.contexto_institucional_victimas.lapop	INSTRUMENTO-FUERA-DEL-ALCANCE-AMAI-DE-ESTE-ACTO		0
MOTRAL	MOTRAL 2015	milpa/tramite-ola5-propuesta-v0.yaml · trabajo.prestaciones.valoracion_seguridad_social_motral	INSTRUMENTO-FUERA-DEL-ALCANCE-AMAI-DE-ESTE-ACTO		0
enfih2019	enfih2019	no_tiene_afore	INSTRUMENTO-FUERA-DEL-ALCANCE-AMAI-DE-ESTE-ACTO		0
enfih2019	enfih2019	tiene_afore	INSTRUMENTO-FUERA-DEL-ALCANCE-AMAI-DE-ESTE-ACTO		0
