instrumento	ola	conducta	unidad	grupo_nse	punto	ic95_inf	ic95_sup	n	estado	validacion_nse	result_punto	calc
ENIF	2024	desconfia_conoce_proteccion	persona elegida 18+	ALTO				52	SUPRIMIDA-N	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-desconfia_conoce_proteccion-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	desconfia_no_conoce_proteccion	persona elegida 18+	BAJO	0.05057131197714752	0.039852759402524474	0.06427701957789114	1618	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-desconfia_no_conoce_proteccion-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	desconfia_no_conoce_proteccion	persona elegida 18+	MEDIO	0.06977685077503532	0.04719874278553384	0.09268419843001764	695	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-desconfia_no_conoce_proteccion-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	desconfia_no_conoce_proteccion	persona elegida 18+	ALTO	0.03903209217138681	0.017455658468953944	0.06551066029980515	223	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-desconfia_no_conoce_proteccion-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	formal_cualquiera	persona elegida 18+	BAJO	0.1515440117845974	0.13876913781699513	0.1639278840005075	6028	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-formal_cualquiera-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	formal_cualquiera	persona elegida 18+	MEDIO	0.31568963928262583	0.29492655254684014	0.33508132181726324	4561	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-formal_cualquiera-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	formal_cualquiera	persona elegida 18+	ALTO	0.46040610818887495	0.43728469385756447	0.4848452225564138	2869	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-formal_cualquiera-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	horizonte_corto_con_ss	persona elegida 18+	BAJO	0.5314541845176787	0.4883444905930564	0.5746924367985671	1045	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_con_ss-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	horizonte_corto_con_ss	persona elegida 18+	MEDIO	0.3833356919453017	0.34844481480781	0.4199400916716183	1627	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_con_ss-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	horizonte_corto_con_ss	persona elegida 18+	ALTO	0.25870546677917416	0.22898598525470176	0.2891367026004223	1283	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_con_ss-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	horizonte_corto_no_trabaja	persona elegida 18+	BAJO	0.70714500350687	0.6751056689768514	0.7361793931611609	1912	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_no_trabaja-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	horizonte_corto_no_trabaja	persona elegida 18+	MEDIO	0.6085138872991352	0.5625211499783789	0.6548330263962794	1006	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_no_trabaja-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	horizonte_corto_no_trabaja	persona elegida 18+	ALTO	0.5054362812150167	0.44766569599851336	0.5630427805843174	531	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_no_trabaja-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	horizonte_corto_sin_ss	persona elegida 18+	BAJO	0.6332046695485092	0.6074708586421724	0.6573612642160078	2512	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_sin_ss-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	horizonte_corto_sin_ss	persona elegida 18+	MEDIO	0.5254316367365491	0.4924774117382431	0.5599237409789677	1621	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_sin_ss-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	horizonte_corto_sin_ss	persona elegida 18+	ALTO	0.35347782062734817	0.30584956423427434	0.4013096859692191	826	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-horizonte_corto_sin_ss-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	horizonte_no_corto_con_ss	persona elegida 18+	BAJO	0.4685458154823213	0.4253075632014328	0.5116555094069436	1045	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-horizonte_no_corto_con_ss-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	horizonte_no_corto_con_ss	persona elegida 18+	MEDIO	0.6166643080546983	0.5800599083283817	0.65155518519219	1627	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-horizonte_no_corto_con_ss-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	horizonte_no_corto_con_ss	persona elegida 18+	ALTO	0.7412945332208258	0.7108632973995778	0.7710140147452983	1283	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-horizonte_no_corto_con_ss-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	horizonte_no_corto_sin_ss	persona elegida 18+	BAJO	0.3667953304514908	0.3426387357839923	0.3925291413578277	2512	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-horizonte_no_corto_sin_ss-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	horizonte_no_corto_sin_ss	persona elegida 18+	MEDIO	0.47456836326345087	0.44007625902103237	0.507522588261757	1621	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-horizonte_no_corto_sin_ss-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	horizonte_no_corto_sin_ss	persona elegida 18+	ALTO	0.6465221793726518	0.5986903140307809	0.6941504357657255	826	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-horizonte_no_corto_sin_ss-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	informal_cualquiera	persona elegida 18+	BAJO	0.5014595581489761	0.48352974052877234	0.5195789257207559	6028	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-informal_cualquiera-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	informal_cualquiera	persona elegida 18+	MEDIO	0.5992017901518719	0.5786904897810058	0.620962952060414	4561	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-informal_cualquiera-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	informal_cualquiera	persona elegida 18+	ALTO	0.6080037998468035	0.5812384107413651	0.6315789073435862	2869	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-informal_cualquiera-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	no_ahorra	persona elegida 18+	BAJO	0.458403558220141	0.4409491664451847	0.47677094858049646	6028	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-no_ahorra-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	no_ahorra	persona elegida 18+	MEDIO	0.3197484846078493	0.2991268623510101	0.33953623921622317	4561	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-no_ahorra-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	no_ahorra	persona elegida 18+	ALTO	0.24674646006036877	0.22579168830416896	0.2695611891751828	2869	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-no_ahorra-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	no_recibe_dinero_familiares_para_vejez	persona elegida 18+	BAJO	0.48398799352449173	0.46400639399192195	0.5027231278155839	5069	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-no_recibe_dinero_familiares_para_vejez-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	no_recibe_dinero_familiares_para_vejez	persona elegida 18+	MEDIO	0.5503318795683563	0.5287109431237665	0.5727044657676641	4155	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-no_recibe_dinero_familiares_para_vejez-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	no_recibe_dinero_familiares_para_vejez	persona elegida 18+	ALTO	0.6230163867569329	0.5944333976916829	0.6509467079142819	2633	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-no_recibe_dinero_familiares_para_vejez-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	no_tiene_ahorros_enif2024	persona elegida 18+	BAJO	0.458403558220141	0.4409491664451847	0.47677094858049646	6028	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-no_tiene_ahorros_enif2024-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	no_tiene_ahorros_enif2024	persona elegida 18+	MEDIO	0.3197484846078493	0.2991268623510101	0.33953623921622317	4561	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-no_tiene_ahorros_enif2024-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	no_tiene_ahorros_enif2024	persona elegida 18+	ALTO	0.24674646006036877	0.22579168830416896	0.2695611891751828	2869	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-no_tiene_ahorros_enif2024-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	recibe_dinero_familiares_para_vejez	persona elegida 18+	BAJO	0.5160120064755083	0.49727687218441596	0.535993606008078	5069	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-recibe_dinero_familiares_para_vejez-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	recibe_dinero_familiares_para_vejez	persona elegida 18+	MEDIO	0.44966812043164367	0.42729553423233596	0.4712890568762334	4155	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-recibe_dinero_familiares_para_vejez-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	recibe_dinero_familiares_para_vejez	persona elegida 18+	ALTO	0.37698361324306706	0.3490532920857181	0.40556660230831704	2633	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-recibe_dinero_familiares_para_vejez-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	tiene_ahorros_enif2024	persona elegida 18+	BAJO	0.541596441779859	0.5232290514195036	0.5590508335548152	6028	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-tiene_ahorros_enif2024-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	tiene_ahorros_enif2024	persona elegida 18+	MEDIO	0.6802515153921507	0.6604637607837768	0.7008731376489898	4561	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-tiene_ahorros_enif2024-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	tiene_ahorros_enif2024	persona elegida 18+	ALTO	0.7532535399396313	0.7304388108248173	0.774208311695831	2869	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-tiene_ahorros_enif2024-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENDUTIH	2023	actividad_mensajes	persona 6+	BAJO	0.8905293266319141	0.883314653384278	0.8978783955439489	16110	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-actividad_mensajes-BAJO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	actividad_mensajes	persona 6+	MEDIO	0.9116865896478782	0.9053468992976207	0.9174585313725238	19172	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-actividad_mensajes-MEDIO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	actividad_mensajes	persona 6+	ALTO	0.9453441334012835	0.9394958180495004	0.9513777841980768	11024	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-actividad_mensajes-ALTO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	actividad_tramite	persona 6+	BAJO	0.09791753083616536	0.09102030765759953	0.10561929927240173	16110	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-actividad_tramite-BAJO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	actividad_tramite	persona 6+	MEDIO	0.16588649270849534	0.1577949400825486	0.17439158252014553	19172	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-actividad_tramite-MEDIO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	actividad_tramite	persona 6+	ALTO	0.29378560791014885	0.2811457779220923	0.30611798844570487	11024	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-actividad_tramite-ALTO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	celular	persona 6+	BAJO	0.7105459271806381	0.7016811224936264	0.7198086058255708	25937	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-celular-BAJO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	celular	persona 6+	MEDIO	0.8754604985823435	0.8684249892937237	0.8823267398810158	21092	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-celular-MEDIO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	celular	persona 6+	ALTO	0.9325134004134952	0.9262413571406811	0.9386794820348289	11439	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-celular-ALTO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	internet	persona 6+	BAJO	0.6442540289600968	0.6343781141230792	0.654450510501742	25937	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-internet-BAJO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	internet	persona 6+	MEDIO	0.8990217185175178	0.8923339246154035	0.9050831576489807	21092	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-internet-MEDIO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	internet	persona 6+	ALTO	0.9538616599891169	0.9478748242412901	0.9601495621631703	11439	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-internet-ALTO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	no_celular_cobertura	persona 6+	BAJO	0.005637379433900701	0.003708657312309761	0.007729173886133665	6882	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_cobertura-BAJO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	no_celular_cobertura	persona 6+	MEDIO	0.00105580792565789	0.00016697281226516126	0.002256732415178109	2261	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_cobertura-MEDIO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	no_celular_cobertura	persona 6+	ALTO	0.0010343217677873343	0.0	0.00317520126541286	651	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_cobertura-ALTO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	no_celular_costo	persona 6+	BAJO	0.4232713641743352	0.40380268284283083	0.4425265423612999	6882	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_costo-BAJO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	no_celular_costo	persona 6+	MEDIO	0.2522286885480332	0.22596477450629326	0.27969767350894753	2261	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_costo-MEDIO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	no_celular_costo	persona 6+	ALTO	0.14448960792347618	0.10802078261992051	0.18172540750561725	651	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_costo-ALTO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	no_celular_preferencia	persona 6+	BAJO	0.17292626610206835	0.1602467606127611	0.18598259178201412	6882	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_preferencia-BAJO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	no_celular_preferencia	persona 6+	MEDIO	0.1927026925514198	0.17171463790756425	0.2154916799365872	2261	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_preferencia-MEDIO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	no_celular_preferencia	persona 6+	ALTO	0.16929275820471457	0.13352219467335966	0.20602094797047726	651	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-no_celular_preferencia-ALTO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	no_internet_acceso	persona 6+	BAJO	0.11949669091672545	0.11054267786427932	0.1295596935129343	9827	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_acceso-BAJO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	no_internet_acceso	persona 6+	MEDIO	0.09782895561651753	0.07777771802001235	0.11812549395920278	1920	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_acceso-MEDIO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	no_internet_acceso	persona 6+	ALTO	0.08686657611534845	0.05678528705435585	0.12218461890443423	415	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_acceso-ALTO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	no_internet_costo	persona 6+	BAJO	0.1353618978245114	0.12301453663175958	0.1488411589402666	9827	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_costo-BAJO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	no_internet_costo	persona 6+	MEDIO	0.04204690577833121	0.027285006975727062	0.05949672577027866	1920	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_costo-MEDIO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	no_internet_costo	persona 6+	ALTO	0.0225623236861352	0.008054554940315858	0.040484926615621884	415	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_costo-ALTO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	no_internet_preferencia	persona 6+	BAJO	0.14448880937719827	0.13405236856953318	0.15573868752488568	9827	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_preferencia-BAJO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	no_internet_preferencia	persona 6+	MEDIO	0.17826936929853826	0.15429821975232852	0.20318410875491325	1920	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_preferencia-MEDIO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2023	no_internet_preferencia	persona 6+	ALTO	0.27399435795632643	0.21185036835645552	0.3359838874274861	415	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENDUTIH-2023-no_internet_preferencia-ALTO-P	CALC-AMAI-NSE-ENDUTIH-2023-0001
ENDUTIH	2024	actividad_mensajes	persona 6+	BAJO	0.8665907626955385	0.8574038520616968	0.875480597728683	15154	PUBLICABLE	APROXIMACION-DESVIADA	RESULT-AMAI-NSE-ENDUTIH-2024-actividad_mensajes-BAJO-P	CALC-AMAI-NSE-ENDUTIH-2024-0001
ENDUTIH	2024	actividad_mensajes	persona 6+	MEDIO	0.915211319500507	0.908652312003584	0.9210152887276839	20115	PUBLICABLE	APROXIMACION-DESVIADA	RESULT-AMAI-NSE-ENDUTIH-2024-actividad_mensajes-MEDIO-P	CALC-AMAI-NSE-ENDUTIH-2024-0001
ENDUTIH	2024	actividad_mensajes	persona 6+	ALTO	0.9391098635333008	0.9319264374299774	0.9455950277449705	11558	PUBLICABLE	APROXIMACION-DESVIADA	RESULT-AMAI-NSE-ENDUTIH-2024-actividad_mensajes-ALTO-P	CALC-AMAI-NSE-ENDUTIH-2024-0001
ENDUTIH	2024	actividad_tramite	persona 6+	BAJO	0.09104974829704736	0.08365100909214228	0.09825118452518715	15154	PUBLICABLE	APROXIMACION-DESVIADA	RESULT-AMAI-NSE-ENDUTIH-2024-actividad_tramite-BAJO-P	CALC-AMAI-NSE-ENDUTIH-2024-0001
ENDUTIH	2024	actividad_tramite	persona 6+	MEDIO	0.16019282108035762	0.15195943257598116	0.1683011650831381	20115	PUBLICABLE	APROXIMACION-DESVIADA	RESULT-AMAI-NSE-ENDUTIH-2024-actividad_tramite-MEDIO-P	CALC-AMAI-NSE-ENDUTIH-2024-0001
ENDUTIH	2024	actividad_tramite	persona 6+	ALTO	0.2828653962997131	0.27030516020064527	0.2950646257172576	11558	PUBLICABLE	APROXIMACION-DESVIADA	RESULT-AMAI-NSE-ENDUTIH-2024-actividad_tramite-ALTO-P	CALC-AMAI-NSE-ENDUTIH-2024-0001
ENDUTIH	2024	celular	persona 6+	BAJO	0.7106348940299964	0.7001115696923318	0.7209988634624058	23706	PUBLICABLE	APROXIMACION-DESVIADA	RESULT-AMAI-NSE-ENDUTIH-2024-celular-BAJO-P	CALC-AMAI-NSE-ENDUTIH-2024-0001
