instrumento	ola	conducta	diferencia_alto_menos_bajo	ic95_inf	ic95_sup	despeja_cero	semiancho_ic_bajo	semiancho_ic_medio	semiancho_ic_alto
ENDUTIH	2023	celular	0.22196747323285704	0.2107105113514702	0.23291906091191686	SI	0.009063741665972236	0.006950875293646075	0.006219062447073875
ENDUTIH	2023	internet	0.3096076310290201	0.2986076467667346	0.32052688470524837	SI	0.01003619818933138	0.0063746165167886115	0.006137368960940082
ENDUTIH	2023	no_celular_cobertura	-0.0046030576661133665	-0.007297351242749236	-0.0015068982065405212	SI	0.002010258286911952	0.0010448798014564737	0.00158760063270643
ENDUTIH	2023	no_celular_costo	-0.278781756250859	-0.31991875819578613	-0.23812026560342417	SI	0.019361929759234536	0.026866449501327133	0.03685231244284837
ENDUTIH	2023	no_celular_preferencia	-0.0036335078973537827	-0.044204886145500236	0.036763853354565466	NO	0.012867915584626508	0.02188852101451147	0.036249376648558804
ENDUTIH	2023	no_internet_acceso	-0.032630114801376994	-0.06395151641230169	0.004951003677028336	NO	0.009508507824327495	0.020173887969595218	0.03269966592503919
ENDUTIH	2023	no_internet_costo	-0.11279957413837621	-0.13295977622009247	-0.09197403857188509	SI	0.012913311154253503	0.0161058593972758	0.016215185837653013
ENDUTIH	2023	no_internet_preferencia	0.12950554857912816	0.06711018326491267	0.19073898932378858	SI	0.01084315947767625	0.024442944501292363	0.062066759535515284
ENDUTIH	2024	actividad_mensajes	0.07251910083776236	0.06089187028984472	0.08353967722245165	SI	0.009038372833493125	0.006181488362049958	0.006834295157496562
ENDUTIH	2024	actividad_tramite	0.1918156480026657	0.17763150150436238	0.20622840882790366	SI	0.007300087716522435	0.008170866253578477	0.012379732758306172
ENDUTIH	2024	celular	0.21893805718678894	0.20604393659066217	0.23063429165839006	SI	0.010443646885037017	0.006759218451688365	0.007435385657613536
ENDUTIH	2024	internet	0.29511545761416136	0.2835508258711601	0.30616642923528475	SI	0.009985736198120487	0.005898465410526188	0.006222295441569492
ENDUTIH	2024	no_celular_cobertura				NO-ESTIMABLE	0.0036239038914640045	0.0016706333053416755	
ENDUTIH	2024	no_celular_costo	-0.27989901794734195	-0.3187934600296937	-0.23857907272447315	SI	0.020654967486655268	0.02503576454537547	0.031311187224404416
ENDUTIH	2024	no_celular_preferencia	-0.018391018650501217	-0.051754022496081804	0.015448739044274993	NO	0.012671174288910111	0.023208848502711987	0.03000412941115404
ENDUTIH	2024	no_internet_acceso	0.02052724297294628	-0.03436457385022607	0.08102226392120006	NO	0.010719331065164865	0.01187515010233866	0.056231921385758755
ENDUTIH	2024	no_internet_costo	-0.11832363450654859	-0.13539857780481757	-0.09909229066724468	SI	0.012469293349285829	0.016503781882871882	0.013558463929912081
ENDUTIH	2024	no_internet_preferencia	0.02920803660015381	-0.01223744456843956	0.07981332819657713	NO	0.011140234573351795	0.029552892856259894	0.04615807649191371
ENDUTIH	2025	actividad_mensajes	0.07525156773181019	0.06459348228671913	0.08670734202322006	SI	0.008555274096129384	0.00598208481835949	0.007143772687379812
ENDUTIH	2025	actividad_tramite	0.17809766549516384	0.16290339798548306	0.1924522437592656	SI	0.00800793975744174	0.00865317293478271	0.012130197691148759
ENDUTIH	2025	celular	0.1749678016171039	0.16415802558380993	0.18556801844644336	SI	0.009287745438970485	0.006279811213936448	0.006361324841285931
ENDUTIH	2025	internet	0.2549418576310247	0.24333193445424334	0.26605668607972155	SI	0.009341540037738127	0.005208676736863538	0.005758063645858846
ENDUTIH	2025	no_celular_cobertura	-0.00347480281536296	-0.00791312812742036	0.0020363648620116	NO	0.003211349853314324		0.003176150546689244
ENDUTIH	2025	no_celular_costo	-0.24930506443478206	-0.28158943118481833	-0.21309673666137194	SI	0.01960309346087924	0.024267564886319176	0.02912749964131551
ENDUTIH	2025	no_celular_preferencia	-0.01850679097852065	-0.05350303789588453	0.015328569960688796	NO	0.014028606513880298	0.026035302570593652	0.031512646117008374
ENDUTIH	2025	no_internet_acceso	-0.027575972644739585	-0.06419197365024235	0.014492769189043499	NO	0.011178678009289018	0.024757523950681308	0.037491344439976856
ENDUTIH	2025	no_internet_costo	-0.12426874732281702	-0.14343434808768835	-0.09963988963500867	SI	0.013302865599098865	0.00833301419944981	0.01630126174905316
ENDUTIH	2025	no_internet_preferencia	0.13156795210901906	0.050045904716409066	0.20623893066957427	SI	0.0127049193835167	0.029469264998383968	0.07860310297938113
