report	dominio	estado	estimadores_v1_2	calc_gen2_sin_adoptar	afirmaciones	medible_en_corpus	medible_con_adquisicion	no_medible_por_diseno
Moral_Emotions_in_Mexico__Declared_Dignity__Relational_Face__and_Residual_Catholic_Guilt.md	EMOCIONES_MORALES	MEDIBLE-CON-ADQUISICIÓN	0	0	26	0	18	8
Mérito__Movilidad_Social_y_Desigualdad_en_México__Actualización_2025-2026.md	MOVILIDAD	EN-MEDICIÓN	0	7	56	4	41	11
Non-Family_Social_Capital_in_Mexico__Cooperation__Trust__and_Collective_Action_Beyond_Kinship.md	CAPITAL_SOCIAL	MEDIDO	614	6	30	9	8	13
Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md	POLITICA	MEDIDO	16	11	90	20	42	28
Psicología__Conducta_y_Sociedad_en_el_México_Contemporáneo__Análisis_Transcultural_y_Estructural.md	SINTESIS	SIN-AFIRMACIONES-EN-MAPA	0	0	0	0	0	0
Psicología_de_la_Juventud_Mexicana_Contemporánea__Gen_Z_y_Millennials_Jóvenes_como_Cohorte_Divergente.md	JUVENTUD	MEDIBLE-EN-CORPUS-SIN-CALC	0	0	29	4	14	11
Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md	CONSUMO	MEDIDO	4470	0	81	3	42	36
Psicología_del_Trabajo_en_México__Un_Mapa_Basado_en_Evidencia.md	TRABAJO	MEDIDO	26273	0	85	13	48	24
Psychology_of_Mexico-US_Migration__Identity__Family__Aspiration__and_Wellbeing_in_2025.md	MIGRACION	MEDIDO	126	2	58	5	29	24
Reconfiguración_de_los_Guiones_de_Género_en_México__Masculinidades__Feminidades_y_Violencia_a_través_de_Clase__Generación_y_Región.md	GENERO	MEDIDO	6887	0	47	7	26	14
Religiosidad_y_Psicología_del_Mexicano_Contemporáneo__Moral__Afrontamiento__Consumo_e_Identidad_en_Transformación.md	RELIGIOSIDAD	MEDIDO	360	0	39	5	25	9
Report_26__The_Contemporary_Mexican_and_Knowledge__Expertise__Education_and_Information_as_Decision_Behavior.md	CONOCIMIENTO	MEDIBLE-CON-ADQUISICIÓN	0	0	26	0	15	11
Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md	SALUD_MENTAL	MEDIDO	180	1	62	7	44	11
Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md	SANCION_SOCIAL	MEDIBLE-EN-CORPUS-SIN-CALC	0	0	13	1	3	9
Vejez_y_Cuidado_Intergeneracional_en_México__El_Debilitamiento_del_Seguro_Familiar.md	FAMILIA_CUIDADOS	MEDIDO	709	0	46	6	27	13
