llave	calc	causa	firma	nota
RESULT-TRA-SXD12-C2-P-S1xD3	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	PISO-HEREDADO-DE-LEGACY		re-medido por GEN2-PISOS-GEN2-2 (PR #1123: pisos y sucesores -0002 sellados, sin adopción firmada; censo 2026-09-24-GEN2-ENCIG-PISOS-GEN2-1-censo.tsv)
RESULT-TRA-SXD12-C2-P-S2xD1	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	PISO-HEREDADO-DE-LEGACY		re-medido por GEN2-PISOS-GEN2-2 (PR #1123: pisos y sucesores -0002 sellados, sin adopción firmada; censo 2026-09-24-GEN2-ENCIG-PISOS-GEN2-1-censo.tsv)
RESULT-TRA-SXD12-C2-P-S2xD2	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	PISO-HEREDADO-DE-LEGACY		re-medido por GEN2-PISOS-GEN2-2 (PR #1123: pisos y sucesores -0002 sellados, sin adopción firmada; censo 2026-09-24-GEN2-ENCIG-PISOS-GEN2-1-censo.tsv)
RESULT-TRA-SXD12-C2-P-S2xD3	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	PISO-HEREDADO-DE-LEGACY		re-medido por GEN2-PISOS-GEN2-2 (PR #1123: pisos y sucesores -0002 sellados, sin adopción firmada; censo 2026-09-24-GEN2-ENCIG-PISOS-GEN2-1-censo.tsv)
RESULT-TRA-SXD12-C2-P-S3xD1	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	PISO-HEREDADO-DE-LEGACY		re-medido por GEN2-PISOS-GEN2-2 (PR #1123: pisos y sucesores -0002 sellados, sin adopción firmada; censo 2026-09-24-GEN2-ENCIG-PISOS-GEN2-1-censo.tsv)
RESULT-TRA-SXD12-C2-P-S3xD2	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	PISO-HEREDADO-DE-LEGACY		re-medido por GEN2-PISOS-GEN2-2 (PR #1123: pisos y sucesores -0002 sellados, sin adopción firmada; censo 2026-09-24-GEN2-ENCIG-PISOS-GEN2-1-censo.tsv)
RESULT-TRA-SXD12-C2-P-S3xD3	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	PISO-HEREDADO-DE-LEGACY		re-medido por GEN2-PISOS-GEN2-2 (PR #1123: pisos y sucesores -0002 sellados, sin adopción firmada; censo 2026-09-24-GEN2-ENCIG-PISOS-GEN2-1-censo.tsv)
RESULT-TRA-SXD12-C2-P-S4xD1	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	PISO-HEREDADO-DE-LEGACY		re-medido por GEN2-PISOS-GEN2-2 (PR #1123: pisos y sucesores -0002 sellados, sin adopción firmada; censo 2026-09-24-GEN2-ENCIG-PISOS-GEN2-1-censo.tsv)
RESULT-TRA-SXD12-C2-P-S4xD2	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	PISO-HEREDADO-DE-LEGACY		re-medido por GEN2-PISOS-GEN2-2 (PR #1123: pisos y sucesores -0002 sellados, sin adopción firmada; censo 2026-09-24-GEN2-ENCIG-PISOS-GEN2-1-censo.tsv)
RESULT-TRA-SXD12-C2-P-S4xD3	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	PISO-HEREDADO-DE-LEGACY		re-medido por GEN2-PISOS-GEN2-2 (PR #1123: pisos y sucesores -0002 sellados, sin adopción firmada; censo 2026-09-24-GEN2-ENCIG-PISOS-GEN2-1-censo.tsv)
RESULT-PISOS-ENCIG2023-V2-DIGITAL-SEXO-1-P	CALC-PISOS-ENCIG2023-EJES-0002	MARGINAL-NO-ADOPTADA		ENCIG 2025: sin adopción en nivel (veto o diferida)
RESULT-PISOS-ENCIG2023-V2-DIGITAL-SEXO-2-P	CALC-PISOS-ENCIG2023-EJES-0002	MARGINAL-NO-ADOPTADA		ENCIG 2025: sin adopción en nivel (veto o diferida)
RESULT-PISOS-ENCIG2023-V2-DIGITAL-EDAD-18-29-P	CALC-PISOS-ENCIG2023-EJES-0002	MARGINAL-NO-ADOPTADA		ENCIG 2025: sin adopción en nivel (veto o diferida)
RESULT-PISOS-ENCIG2023-V2-DIGITAL-EDAD-30-44-P	CALC-PISOS-ENCIG2023-EJES-0002	MARGINAL-NO-ADOPTADA		ENCIG 2025: sin adopción en nivel (veto o diferida)
RESULT-PISOS-ENCIG2023-V2-DIGITAL-EDAD-45-59-P	CALC-PISOS-ENCIG2023-EJES-0002	MARGINAL-NO-ADOPTADA		ENCIG 2025: sin adopción en nivel (veto o diferida)
RESULT-PISOS-ENCIG2023-V2-DIGITAL-EDAD-60-MAS-P	CALC-PISOS-ENCIG2023-EJES-0002	MARGINAL-NO-ADOPTADA		ENCIG 2025: sin adopción en nivel (veto o diferida)
RESULT-PISOS-ENCIG2023-V2-DIGITAL-ESCOLARIDAD-HASTA-PRIMARIA-P	CALC-PISOS-ENCIG2023-EJES-0002	MARGINAL-NO-ADOPTADA		ENCIG 2025: sin adopción en nivel (veto o diferida)
RESULT-PISOS-ENCIG2023-V2-DIGITAL-ESCOLARIDAD-SECUNDARIA-P	CALC-PISOS-ENCIG2023-EJES-0002	MARGINAL-NO-ADOPTADA		ENCIG 2025: sin adopción en nivel (veto o diferida)
RESULT-PISOS-ENCIG2023-V2-DIGITAL-ESCOLARIDAD-MEDIA-SUPERIOR-P	CALC-PISOS-ENCIG2023-EJES-0002	MARGINAL-NO-ADOPTADA		ENCIG 2025: sin adopción en nivel (veto o diferida)
RESULT-PISOS-ENCIG2023-V2-DIGITAL-ESCOLARIDAD-SUPERIOR-P	CALC-PISOS-ENCIG2023-EJES-0002	MARGINAL-NO-ADOPTADA		ENCIG 2025: sin adopción en nivel (veto o diferida)
RESULT-ENDIREH2021-DIS-TABLA#55	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#153	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#154	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#155	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#163	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#165	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#167	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#169	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#170	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#174	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#177	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#179	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#187	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#190	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#195	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#197	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#199	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#204	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#205	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#213	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#215	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#217	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#219	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#224	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#226	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#229	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#237	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#245	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#254	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#255	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#263	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#265	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#267	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#268	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#269	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#270	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#271	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#272	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#273	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#274	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#275	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#276	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#277	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#279	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#282	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#283	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#284	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#285	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#287	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#288	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#289	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#290	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#291	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#292	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#293	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#294	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#295	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#297	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#298	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#299	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#304	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#305	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#313	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-DIS-TABLA#317	CALC-ENDIREH-PISOS-2021-DISCRIMINACION-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-ESC-TABLA#54	CALC-ENDIREH-PISOS-2021-ESCOLAR-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-ESC-TABLA#55	CALC-ENDIREH-PISOS-2021-ESCOLAR-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-ESC-TABLA#63	CALC-ENDIREH-PISOS-2021-ESCOLAR-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-ESC-TABLA#65	CALC-ENDIREH-PISOS-2021-ESCOLAR-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-NF-BC-TABLA#162	CALC-ENDIREH-PISOS-2021-NOFISICA-BC-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-NF-BC-TABLA#200	CALC-ENDIREH-PISOS-2021-NOFISICA-BC-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-NF-BC-TABLA#201	CALC-ENDIREH-PISOS-2021-NOFISICA-BC-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-NF-BC-TABLA#219	CALC-ENDIREH-PISOS-2021-NOFISICA-BC-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-NF-BC-TABLA#249	CALC-ENDIREH-PISOS-2021-NOFISICA-BC-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-NF-BC-TABLA#250	CALC-ENDIREH-PISOS-2021-NOFISICA-BC-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-NF-BC-TABLA#260	CALC-ENDIREH-PISOS-2021-NOFISICA-BC-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-NF-BC-TABLA#263	CALC-ENDIREH-PISOS-2021-NOFISICA-BC-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-NF-BC-TABLA#268	CALC-ENDIREH-PISOS-2021-NOFISICA-BC-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-NF-BC-TABLA#271	CALC-ENDIREH-PISOS-2021-NOFISICA-BC-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-NF-BC-TABLA#272	CALC-ENDIREH-PISOS-2021-NOFISICA-BC-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-NF-BC-TABLA#276	CALC-ENDIREH-PISOS-2021-NOFISICA-BC-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
RESULT-ENDIREH2021-NF-BC-TABLA#280	CALC-ENDIREH-PISOS-2021-NOFISICA-BC-0001	CELDA-SUPRIMIDA	FP-260923-ASTRA5-U2-ENDIREH-6a2c-01	sin punto publicable en el CALC
