instrumento	conducta_u1	estados_u1	result_consumidor_u1	estado_regional_u5	nota
ENVIPE	S1xD1	ADOPTADO-POR-FIRMA	RESULT-TRA-SXD12-C2-P-S1xD1	IDENTIDAD-CONSUMIDOR-POR-DESDOBLAR	El código U1 es una identidad de celda/interacción, no una conducta simple; requiere vincular su estimando antes de declarar expectativa geográfica.
ENVIPE	S1xD2	ADOPTADO-POR-FIRMA	RESULT-TRA-SXD12-C2-P-S1xD2	IDENTIDAD-CONSUMIDOR-POR-DESDOBLAR	El código U1 es una identidad de celda/interacción, no una conducta simple; requiere vincular su estimando antes de declarar expectativa geográfica.
ENVIPE	S1xD3	ADOPTADO-POR-FIRMA	RESULT-TRA-SXD12-C2-P-S1xD3	IDENTIDAD-CONSUMIDOR-POR-DESDOBLAR	El código U1 es una identidad de celda/interacción, no una conducta simple; requiere vincular su estimando antes de declarar expectativa geográfica.
ENVIPE	S2xD1	ADOPTADO-POR-FIRMA	RESULT-TRA-SXD12-C2-P-S2xD1	IDENTIDAD-CONSUMIDOR-POR-DESDOBLAR	El código U1 es una identidad de celda/interacción, no una conducta simple; requiere vincular su estimando antes de declarar expectativa geográfica.
ENVIPE	S2xD2	ADOPTADO-POR-FIRMA	RESULT-TRA-SXD12-C2-P-S2xD2	IDENTIDAD-CONSUMIDOR-POR-DESDOBLAR	El código U1 es una identidad de celda/interacción, no una conducta simple; requiere vincular su estimando antes de declarar expectativa geográfica.
ENVIPE	S2xD3	ADOPTADO-POR-FIRMA	RESULT-TRA-SXD12-C2-P-S2xD3	IDENTIDAD-CONSUMIDOR-POR-DESDOBLAR	El código U1 es una identidad de celda/interacción, no una conducta simple; requiere vincular su estimando antes de declarar expectativa geográfica.
ENVIPE	S3xD1	ADOPTADO-POR-FIRMA	RESULT-TRA-SXD12-C2-P-S3xD1	IDENTIDAD-CONSUMIDOR-POR-DESDOBLAR	El código U1 es una identidad de celda/interacción, no una conducta simple; requiere vincular su estimando antes de declarar expectativa geográfica.
ENVIPE	S3xD2	ADOPTADO-POR-FIRMA	RESULT-TRA-SXD12-C2-P-S3xD2	IDENTIDAD-CONSUMIDOR-POR-DESDOBLAR	El código U1 es una identidad de celda/interacción, no una conducta simple; requiere vincular su estimando antes de declarar expectativa geográfica.
ENVIPE	S3xD3	ADOPTADO-POR-FIRMA	RESULT-TRA-SXD12-C2-P-S3xD3	IDENTIDAD-CONSUMIDOR-POR-DESDOBLAR	El código U1 es una identidad de celda/interacción, no una conducta simple; requiere vincular su estimando antes de declarar expectativa geográfica.
ENVIPE	S4xD1	ADOPTADO-POR-FIRMA	RESULT-TRA-SXD12-C2-P-S4xD1	IDENTIDAD-CONSUMIDOR-POR-DESDOBLAR	El código U1 es una identidad de celda/interacción, no una conducta simple; requiere vincular su estimando antes de declarar expectativa geográfica.
ENVIPE	S4xD2	ADOPTADO-POR-FIRMA	RESULT-TRA-SXD12-C2-P-S4xD2	IDENTIDAD-CONSUMIDOR-POR-DESDOBLAR	El código U1 es una identidad de celda/interacción, no una conducta simple; requiere vincular su estimando antes de declarar expectativa geográfica.
ENVIPE	S4xD3	ADOPTADO-POR-FIRMA	RESULT-TRA-SXD12-C2-P-S4xD3	IDENTIDAD-CONSUMIDOR-POR-DESDOBLAR	El código U1 es una identidad de celda/interacción, no una conducta simple; requiere vincular su estimando antes de declarar expectativa geográfica.
ENVIPE	civico.denuncia.con_seguro_ejes_envipe2025	PISO-EN-MARCADOR:EVALUADA; ADOPCION-POR-VERIFICAR	RESULT-PISOS-ENVIPE2024-V2-DENUNCIA-COBERTURA-SEGURO-ASEGURADO-P;RESULT-PISOS-ENVIPE2024-V2-DENUNCIA-COBERTURA-SEGURO-NO-ASEGURADO-P	PENDIENTE-DICTAMEN-REGIONAL	Última ola o serie regional no medida, salvo estado MEDIDO-REGION.
ENVIPE	denuncia_con_miedo_o_desconfianza	CONSUMO-GEN2-ACTIVO	RESULT-ENVIPE-DEN-P-C2-U4	PENDIENTE-DICTAMEN-REGIONAL	Última ola o serie regional no medida, salvo estado MEDIDO-REGION.
ENVIPE	tramite.evasion_norma_ejes_envipe2025	PISO-EN-MARCADOR:EVALUADA; ADOPCION-POR-VERIFICAR	RESULT-PISOS-ENVIPE2024-V2-EVASION-DOMINIO-COMPLEMENTO-URBANO-P;RESULT-PISOS-ENVIPE2024-V2-EVASION-DOMINIO-RURAL-P;RESULT-PISOS-ENVIPE2024-V2-EVASION-DOMINIO-URBANO-P;RESULT-PISOS-ENVIPE2024-V2-EVASION-EDAD-18-29-P;RESULT-PISOS-ENVIPE2024-V2-EVASION-EDAD-30-44-P;RESULT-PISOS-ENVIPE2024-V2-EVASION-EDAD-45-59-P;RESULT-PISOS-ENVIPE2024-V2-EVASION-EDAD-60-MAS-P;RESULT-PISOS-ENVIPE2024-V2-EVASION-ESCOLARIDAD-HASTA-PRIMARIA-P;RESULT-PISOS-ENVIPE2024-V2-EVASION-ESCOLARIDAD-MEDIA-SUPERIOR-P;RESULT-PISOS-ENVIPE2024-V2-EVASION-ESCOLARIDAD-SECUNDARIA-P;RESULT-PISOS-ENVIPE2024-V2-EVASION-ESCOLARIDAD-SUPERIOR-P;RESULT-PISOS-ENVIPE2024-V2-EVASION-SEXO-1-P;RESULT-PISOS-ENVIPE2024-V2-EVASION-SEXO-2-P	PENDIENTE-DICTAMEN-REGIONAL	Última ola o serie regional no medida, salvo estado MEDIDO-REGION.
