serie_id	instrumento	dominio	conducta_texto	eje	segmento	unidad	dictamen	direccion	k	olas	delta_pp	pares_fuera	causa_sin_serie	calc	result
ENVIPE-S1XD3-NACIONAL-TOTAL	ENVIPE	tramite	DELITOS (una fila por delito de tmod_vic) con BP1_20 in {1,2} -- la unidad y el universo EXACTOS de prereg-caja-ENVIPE-EVASION-NORMA (MAESTRA34-L5 P3). ENVIPE 2024 ENTERA para C1 (cruce escolaridad_proxy x dominio_urbano_rural, I24, n de soporte). ENVIPE 2023 ENTERA como insumo de C7 (cruce, I23). ENVIPE 2025 SOLO para los marginales de UN EJE (escolaridad_proxy, dominio_urbano_rural, nacional), a traves del modulo congelado tools/celda_d/marginales_reproduccion.py con la ola cargada reservada=True. El cruce de 2025 es COMMIT-3.	NACIONAL	TOTAL	C2 piso log-aditivo sobre los marginales SELLADOS de 2025, celda S1xD3 = hasta primaria x Urbano	SIN-SERIE	NINGUNA	1	2024		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-S1XD3-NACIONAL-TOTAL
ENVIPE-S2XD1-NACIONAL-TOTAL	ENVIPE	tramite	DELITOS (una fila por delito de tmod_vic) con BP1_20 in {1,2} -- la unidad y el universo EXACTOS de prereg-caja-ENVIPE-EVASION-NORMA (MAESTRA34-L5 P3). ENVIPE 2024 ENTERA para C1 (cruce escolaridad_proxy x dominio_urbano_rural, I24, n de soporte). ENVIPE 2023 ENTERA como insumo de C7 (cruce, I23). ENVIPE 2025 SOLO para los marginales de UN EJE (escolaridad_proxy, dominio_urbano_rural, nacional), a traves del modulo congelado tools/celda_d/marginales_reproduccion.py con la ola cargada reservada=True. El cruce de 2025 es COMMIT-3.	NACIONAL	TOTAL	C2 piso log-aditivo sobre los marginales SELLADOS de 2025, celda S2xD1 = secundaria x Rural	SIN-SERIE	NINGUNA	1	2024		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-S2XD1-NACIONAL-TOTAL
ENVIPE-S2XD2-NACIONAL-TOTAL	ENVIPE	tramite	DELITOS (una fila por delito de tmod_vic) con BP1_20 in {1,2} -- la unidad y el universo EXACTOS de prereg-caja-ENVIPE-EVASION-NORMA (MAESTRA34-L5 P3). ENVIPE 2024 ENTERA para C1 (cruce escolaridad_proxy x dominio_urbano_rural, I24, n de soporte). ENVIPE 2023 ENTERA como insumo de C7 (cruce, I23). ENVIPE 2025 SOLO para los marginales de UN EJE (escolaridad_proxy, dominio_urbano_rural, nacional), a traves del modulo congelado tools/celda_d/marginales_reproduccion.py con la ola cargada reservada=True. El cruce de 2025 es COMMIT-3.	NACIONAL	TOTAL	C2 piso log-aditivo sobre los marginales SELLADOS de 2025, celda S2xD2 = secundaria x Complemento urbano	SIN-SERIE	NINGUNA	1	2024		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-S2XD2-NACIONAL-TOTAL
ENVIPE-S2XD3-NACIONAL-TOTAL	ENVIPE	tramite	DELITOS (una fila por delito de tmod_vic) con BP1_20 in {1,2} -- la unidad y el universo EXACTOS de prereg-caja-ENVIPE-EVASION-NORMA (MAESTRA34-L5 P3). ENVIPE 2024 ENTERA para C1 (cruce escolaridad_proxy x dominio_urbano_rural, I24, n de soporte). ENVIPE 2023 ENTERA como insumo de C7 (cruce, I23). ENVIPE 2025 SOLO para los marginales de UN EJE (escolaridad_proxy, dominio_urbano_rural, nacional), a traves del modulo congelado tools/celda_d/marginales_reproduccion.py con la ola cargada reservada=True. El cruce de 2025 es COMMIT-3.	NACIONAL	TOTAL	C2 piso log-aditivo sobre los marginales SELLADOS de 2025, celda S2xD3 = secundaria x Urbano	SIN-SERIE	NINGUNA	1	2024		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-S2XD3-NACIONAL-TOTAL
ENVIPE-S3XD1-NACIONAL-TOTAL	ENVIPE	tramite	DELITOS (una fila por delito de tmod_vic) con BP1_20 in {1,2} -- la unidad y el universo EXACTOS de prereg-caja-ENVIPE-EVASION-NORMA (MAESTRA34-L5 P3). ENVIPE 2024 ENTERA para C1 (cruce escolaridad_proxy x dominio_urbano_rural, I24, n de soporte). ENVIPE 2023 ENTERA como insumo de C7 (cruce, I23). ENVIPE 2025 SOLO para los marginales de UN EJE (escolaridad_proxy, dominio_urbano_rural, nacional), a traves del modulo congelado tools/celda_d/marginales_reproduccion.py con la ola cargada reservada=True. El cruce de 2025 es COMMIT-3.	NACIONAL	TOTAL	C2 piso log-aditivo sobre los marginales SELLADOS de 2025, celda S3xD1 = media superior x Rural	SIN-SERIE	NINGUNA	1	2024		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-S3XD1-NACIONAL-TOTAL
ENVIPE-S3XD2-NACIONAL-TOTAL	ENVIPE	tramite	DELITOS (una fila por delito de tmod_vic) con BP1_20 in {1,2} -- la unidad y el universo EXACTOS de prereg-caja-ENVIPE-EVASION-NORMA (MAESTRA34-L5 P3). ENVIPE 2024 ENTERA para C1 (cruce escolaridad_proxy x dominio_urbano_rural, I24, n de soporte). ENVIPE 2023 ENTERA como insumo de C7 (cruce, I23). ENVIPE 2025 SOLO para los marginales de UN EJE (escolaridad_proxy, dominio_urbano_rural, nacional), a traves del modulo congelado tools/celda_d/marginales_reproduccion.py con la ola cargada reservada=True. El cruce de 2025 es COMMIT-3.	NACIONAL	TOTAL	C2 piso log-aditivo sobre los marginales SELLADOS de 2025, celda S3xD2 = media superior x Complemento urbano	SIN-SERIE	NINGUNA	1	2024		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-S3XD2-NACIONAL-TOTAL
ENVIPE-S3XD3-NACIONAL-TOTAL	ENVIPE	tramite	DELITOS (una fila por delito de tmod_vic) con BP1_20 in {1,2} -- la unidad y el universo EXACTOS de prereg-caja-ENVIPE-EVASION-NORMA (MAESTRA34-L5 P3). ENVIPE 2024 ENTERA para C1 (cruce escolaridad_proxy x dominio_urbano_rural, I24, n de soporte). ENVIPE 2023 ENTERA como insumo de C7 (cruce, I23). ENVIPE 2025 SOLO para los marginales de UN EJE (escolaridad_proxy, dominio_urbano_rural, nacional), a traves del modulo congelado tools/celda_d/marginales_reproduccion.py con la ola cargada reservada=True. El cruce de 2025 es COMMIT-3.	NACIONAL	TOTAL	C2 piso log-aditivo sobre los marginales SELLADOS de 2025, celda S3xD3 = media superior x Urbano	SIN-SERIE	NINGUNA	1	2024		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-S3XD3-NACIONAL-TOTAL
ENVIPE-S4XD1-NACIONAL-TOTAL	ENVIPE	tramite	DELITOS (una fila por delito de tmod_vic) con BP1_20 in {1,2} -- la unidad y el universo EXACTOS de prereg-caja-ENVIPE-EVASION-NORMA (MAESTRA34-L5 P3). ENVIPE 2024 ENTERA para C1 (cruce escolaridad_proxy x dominio_urbano_rural, I24, n de soporte). ENVIPE 2023 ENTERA como insumo de C7 (cruce, I23). ENVIPE 2025 SOLO para los marginales de UN EJE (escolaridad_proxy, dominio_urbano_rural, nacional), a traves del modulo congelado tools/celda_d/marginales_reproduccion.py con la ola cargada reservada=True. El cruce de 2025 es COMMIT-3.	NACIONAL	TOTAL	C2 piso log-aditivo sobre los marginales SELLADOS de 2025, celda S4xD1 = superior x Rural	SIN-SERIE	NINGUNA	1	2024		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-S4XD1-NACIONAL-TOTAL
ENVIPE-S4XD2-NACIONAL-TOTAL	ENVIPE	tramite	DELITOS (una fila por delito de tmod_vic) con BP1_20 in {1,2} -- la unidad y el universo EXACTOS de prereg-caja-ENVIPE-EVASION-NORMA (MAESTRA34-L5 P3). ENVIPE 2024 ENTERA para C1 (cruce escolaridad_proxy x dominio_urbano_rural, I24, n de soporte). ENVIPE 2023 ENTERA como insumo de C7 (cruce, I23). ENVIPE 2025 SOLO para los marginales de UN EJE (escolaridad_proxy, dominio_urbano_rural, nacional), a traves del modulo congelado tools/celda_d/marginales_reproduccion.py con la ola cargada reservada=True. El cruce de 2025 es COMMIT-3.	NACIONAL	TOTAL	C2 piso log-aditivo sobre los marginales SELLADOS de 2025, celda S4xD2 = superior x Complemento urbano	SIN-SERIE	NINGUNA	1	2024		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-S4XD2-NACIONAL-TOTAL
ENVIPE-S4XD3-NACIONAL-TOTAL	ENVIPE	tramite	DELITOS (una fila por delito de tmod_vic) con BP1_20 in {1,2} -- la unidad y el universo EXACTOS de prereg-caja-ENVIPE-EVASION-NORMA (MAESTRA34-L5 P3). ENVIPE 2024 ENTERA para C1 (cruce escolaridad_proxy x dominio_urbano_rural, I24, n de soporte). ENVIPE 2023 ENTERA como insumo de C7 (cruce, I23). ENVIPE 2025 SOLO para los marginales de UN EJE (escolaridad_proxy, dominio_urbano_rural, nacional), a traves del modulo congelado tools/celda_d/marginales_reproduccion.py con la ola cargada reservada=True. El cruce de 2025 es COMMIT-3.	NACIONAL	TOTAL	C2 piso log-aditivo sobre los marginales SELLADOS de 2025, celda S4xD3 = superior x Urbano	SIN-SERIE	NINGUNA	1	2024		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-S4XD3-NACIONAL-TOTAL
ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-DOMINIO-URBANO-RURAL-COMPLEMENTO-URBANO	ENVIPE	tramite	Evasión BP1_20 en 1/2; denuncia BPCOD=01, BP1_20 en 1/2 y BP2_1 en 1/2.	DOMINIO-URBANO-RURAL	COMPLEMENTO-URBANO	proporción ponderada [0,1]	SIN-SERIE	NINGUNA	1	2025		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-DOMINIO-URBANO-RURAL-COMPLEMENTO-URBANO
ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-DOMINIO-URBANO-RURAL-RURAL	ENVIPE	tramite	Evasión BP1_20 en 1/2; denuncia BPCOD=01, BP1_20 en 1/2 y BP2_1 en 1/2.	DOMINIO-URBANO-RURAL	RURAL	proporción ponderada [0,1]	SIN-SERIE	NINGUNA	1	2025		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-DOMINIO-URBANO-RURAL-RURAL
ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-DOMINIO-URBANO-RURAL-URBANO	ENVIPE	tramite	Evasión BP1_20 en 1/2; denuncia BPCOD=01, BP1_20 en 1/2 y BP2_1 en 1/2.	DOMINIO-URBANO-RURAL	URBANO	proporción ponderada [0,1]	SIN-SERIE	NINGUNA	1	2025		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-DOMINIO-URBANO-RURAL-URBANO
ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-EDAD-18-29	ENVIPE	tramite	Evasión BP1_20 en 1/2; denuncia BPCOD=01, BP1_20 en 1/2 y BP2_1 en 1/2.	EDAD	18-29	proporción ponderada [0,1]	SIN-SERIE	NINGUNA	1	2025		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-EDAD-18-29
ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-EDAD-30-44	ENVIPE	tramite	Evasión BP1_20 en 1/2; denuncia BPCOD=01, BP1_20 en 1/2 y BP2_1 en 1/2.	EDAD	30-44	proporción ponderada [0,1]	SIN-SERIE	NINGUNA	1	2025		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-EDAD-30-44
ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-EDAD-45-59	ENVIPE	tramite	Evasión BP1_20 en 1/2; denuncia BPCOD=01, BP1_20 en 1/2 y BP2_1 en 1/2.	EDAD	45-59	proporción ponderada [0,1]	SIN-SERIE	NINGUNA	1	2025		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-EDAD-45-59
ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-EDAD-60	ENVIPE	tramite	Evasión BP1_20 en 1/2; denuncia BPCOD=01, BP1_20 en 1/2 y BP2_1 en 1/2.	EDAD	60	proporción ponderada [0,1]	SIN-SERIE	NINGUNA	1	2025		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-EDAD-60
ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-ESCOLARIDAD-PROXY-HASTA-PRIMARIA	ENVIPE	tramite	Evasión BP1_20 en 1/2; denuncia BPCOD=01, BP1_20 en 1/2 y BP2_1 en 1/2.	ESCOLARIDAD-PROXY	HASTA-PRIMARIA	proporción ponderada [0,1]	SIN-SERIE	NINGUNA	1	2025		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-ESCOLARIDAD-PROXY-HASTA-PRIMARIA
ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-ESCOLARIDAD-PROXY-MEDIA-SUPERIOR	ENVIPE	tramite	Evasión BP1_20 en 1/2; denuncia BPCOD=01, BP1_20 en 1/2 y BP2_1 en 1/2.	ESCOLARIDAD-PROXY	MEDIA-SUPERIOR	proporción ponderada [0,1]	SIN-SERIE	NINGUNA	1	2025		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-ESCOLARIDAD-PROXY-MEDIA-SUPERIOR
ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-ESCOLARIDAD-PROXY-SECUNDARIA	ENVIPE	tramite	Evasión BP1_20 en 1/2; denuncia BPCOD=01, BP1_20 en 1/2 y BP2_1 en 1/2.	ESCOLARIDAD-PROXY	SECUNDARIA	proporción ponderada [0,1]	SIN-SERIE	NINGUNA	1	2025		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-ESCOLARIDAD-PROXY-SECUNDARIA
ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-ESCOLARIDAD-PROXY-SUPERIOR	ENVIPE	tramite	Evasión BP1_20 en 1/2; denuncia BPCOD=01, BP1_20 en 1/2 y BP2_1 en 1/2.	ESCOLARIDAD-PROXY	SUPERIOR	proporción ponderada [0,1]	SIN-SERIE	NINGUNA	1	2025		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-ESCOLARIDAD-PROXY-SUPERIOR
ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-SEXO-1-HOMBRE	ENVIPE	tramite	Evasión BP1_20 en 1/2; denuncia BPCOD=01, BP1_20 en 1/2 y BP2_1 en 1/2.	SEXO	1-HOMBRE	proporción ponderada [0,1]	SIN-SERIE	NINGUNA	1	2025		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-SEXO-1-HOMBRE
ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-SEXO-2-MUJER	ENVIPE	tramite	Evasión BP1_20 en 1/2; denuncia BPCOD=01, BP1_20 en 1/2 y BP2_1 en 1/2.	SEXO	2-MUJER	proporción ponderada [0,1]	SIN-SERIE	NINGUNA	1	2025		NINGUNO	MENOS-DE-3-OLAS-EN-EL-CORPUS	CALC-ENVIPE-SERIE-DICTAMEN-0001	RESULT-DC-ENVIPE-TABLA#serie_id=ENVIPE-TRAMITE-EVASION-NORMA-EJES-ENVIPE2025-SEXO-2-MUJER
