estrategia_a,estrategia_b,n00_masa,n01_masa,n10_masa,n11_masa,denominador_ambas,p_ambas,ee_ambas,ic95_lo_ambas,ic95_hi_ambas,n_soporte_a,masa_soporte_a,p_b_dado_a,ee_b_dado_a,ic95_lo_b_dado_a,ic95_hi_b_dado_a,n_soporte_b,masa_soporte_b,p_a_dado_b,ee_a_dado_b,ic95_lo_a_dado_b,ic95_hi_a_dado_b,estado_ambas,estado_b_dado_a,estado_a_dado_b
P6_10_2,P6_10_8,18837978.0,408912.0,8852052.0,189505.0,28288447.0,0.006699024517,0.001105363569,0.004531557264,0.00886649177,2077,9041557.0,0.020959332557,0.003443610227,0.014206882408,0.027711782707,176,598417.0,0.316677166591,0.044840786594,0.228750497712,0.40460383547,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_3,P6_10_4,8413707.0,551759.0,17120480.0,2202501.0,28288447.0,0.077858674957,0.005594629276,0.066888369722,0.088828980191,4220,19322981.0,0.113983499751,0.008294251757,0.097719602901,0.130247396601,649,2754260.0,0.799670691946,0.024003051495,0.752603980561,0.846737403331,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_3,P6_10_5,8318463.0,647003.0,17026702.0,2296279.0,28288447.0,0.081173738523,0.004945620753,0.071476050517,0.090871426529,4220,19322981.0,0.118836684671,0.007274233293,0.104572904958,0.133100464384,753,2943282.0,0.780176347356,0.022447678253,0.736159510838,0.824193183874,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_3,P6_10_6,8183605.0,781861.0,17196990.0,2125991.0,28288447.0,0.075154037265,0.012694698679,0.050261463962,0.100046610567,4220,19322981.0,0.110023965764,0.017816310225,0.075088610504,0.144959321024,585,2907852.0,0.731120772309,0.042066844993,0.648633424708,0.81360811991,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_3,P6_10_7,8419003.0,546463.0,17019639.0,2303342.0,28288447.0,0.081423416422,0.005643088997,0.070358088283,0.09248874456,4220,19322981.0,0.119202207982,0.0082950239,0.102936797065,0.135467618899,753,2849805.0,0.808245476445,0.020692348383,0.767670602478,0.848820350411,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_3,P6_10_8,8777929.0,187537.0,18912101.0,410880.0,28288447.0,0.014524657363,0.001789814985,0.011015074201,0.018034240524,4220,19322981.0,0.021263799825,0.002622796936,0.016120852627,0.026406747022,176,598417.0,0.686611510034,0.042641181702,0.602997966453,0.770225053615,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_4,P6_10_5,23122821.0,2411366.0,2222344.0,531916.0,28288447.0,0.018803294504,0.002639437354,0.013627717715,0.023978871293,649,2754260.0,0.193124832078,0.023410396452,0.14722023643,0.239029427727,753,2943282.0,0.180722064688,0.021788335343,0.137998109721,0.223446019656,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_4,P6_10_6,23023401.0,2510786.0,2357194.0,397066.0,28288447.0,0.014036330803,0.002435629183,0.009260394052,0.018812267555,649,2754260.0,0.144164312737,0.022245433273,0.100544051051,0.187784574424,585,2907852.0,0.136549590557,0.027079219873,0.083450932391,0.189648248723,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_4,P6_10_7,23383606.0,2150581.0,2055036.0,699224.0,28288447.0,0.024717652404,0.003267916426,0.018309713843,0.031125590965,649,2754260.0,0.25387000501,0.027556335348,0.199835788449,0.307904221572,753,2849805.0,0.245358542076,0.025359145752,0.195632714744,0.295084369407,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_4,P6_10_8,25073940.0,460247.0,2616090.0,138170.0,28288447.0,0.0048843261,0.000910258515,0.003099433257,0.006669218942,649,2754260.0,0.050165924786,0.009233116415,0.032061042346,0.068270807225,176,598417.0,0.230892504725,0.038615149541,0.155173461299,0.306611548151,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_5,P6_10_6,22849475.0,2495690.0,2531120.0,412162.0,28288447.0,0.014569976217,0.002206767508,0.010242806006,0.018897146427,753,2943282.0,0.140034831865,0.018999145582,0.102780097739,0.17728956599,585,2907852.0,0.14174105147,0.025943669001,0.090869053742,0.192613049199,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_5,P6_10_7,23206244.0,2138921.0,2232398.0,710884.0,28288447.0,0.025129834805,0.003058940812,0.019131668931,0.031128000679,753,2943282.0,0.241527655182,0.024744687968,0.19300669579,0.290048614574,753,2849805.0,0.249450050091,0.023658844105,0.203058282468,0.295841817714,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_5,P6_10_8,24899397.0,445768.0,2790633.0,152649.0,28288447.0,0.005396160489,0.001085962476,0.003266736135,0.007525584843,753,2943282.0,0.051863531935,0.010113582412,0.03203217572,0.071694888149,176,598417.0,0.255088007192,0.043586073734,0.169621659163,0.340554355222,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_6,P6_10_7,23289380.0,2091215.0,2149262.0,758590.0,28288447.0,0.026816247636,0.00315524745,0.020629237576,0.033003257697,585,2907852.0,0.260876413242,0.04136554341,0.179764222431,0.341988604054,753,2849805.0,0.266190142834,0.02380399459,0.219513754901,0.312866530768,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_6,P6_10_8,24894045.0,486550.0,2795985.0,111867.0,28288447.0,0.00395451189,0.000861438587,0.002265348269,0.00564367551,585,2907852.0,0.038470664944,0.009599785156,0.019646795098,0.057294534791,176,598417.0,0.186938205298,0.036824807851,0.114729777829,0.259146632767,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_7,P6_10_8,25100050.0,338592.0,2589980.0,259825.0,28288447.0,0.009184844965,0.001390963667,0.006457354859,0.011912335071,753,2849805.0,0.091172904813,0.013110817158,0.065464379906,0.11688142972,176,598417.0,0.434187197222,0.048975615734,0.338152692146,0.530221702298,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
