conducta	ola	ambito	ventana	instrumento	dictamen	publicacion_nacional	calc_id	result_id	resultados_sha256	evidencia
discriminacion_item_03	2006	discriminacion_laboral		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
discriminacion_item_04	2006	discriminacion_laboral		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
discriminacion_item_05	2006	discriminacion_laboral		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
discriminacion_item_06	2006	discriminacion_laboral		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
discriminacion_laboral_anual	2006	discriminacion_laboral		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
decision_gasto	2006	economia_decisiones		MC	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
decision_su_dinero	2006	economia_decisiones		MC	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
dinero_personal	2006	economia_decisiones		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
escolar_aviso_o_denuncia	2006	escolar		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
escolar_vida	2006	escolar		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
familiar_anual	2006	familiar		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
laboral_anual	2006	laboral_interpersonal		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
laboral_denuncia	2006	laboral_interpersonal		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_alguna_anual	2006	pareja		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_alguna_vida	2006	pareja		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_ayuda_autoridad	2006	pareja		MC/MD	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_ayuda_institucional_C	2006	pareja	vida	MS soltera	EXCLUIDO_POR_DISEÑO	NO_APLICA				MS P28_2 pregunta aviso/denuncia a familiares; sin bloque P7.7
pareja_denuncia_en_autoridad	2006	pareja		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_denuncia_o_aviso_familiar	2006	pareja		MS	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_economica_patrimonial_anual	2006	pareja		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_economica_patrimonial_vida	2006	pareja		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_emocional_control_anual	2006	pareja		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_emocional_control_vida	2006	pareja		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_fisica_anual	2006	pareja		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_fisica_vida	2006	pareja		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_razon_01	2006	pareja		MC/MD	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_razon_02	2006	pareja		MC/MD	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_razon_03	2006	pareja		MC/MD	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_razon_04	2006	pareja		MC/MD	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_razon_05	2006	pareja		MC/MD	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_razon_06	2006	pareja		MC/MD	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_razon_07	2006	pareja		MC/MD	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_razon_08	2006	pareja		MC/MD	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_razon_09	2006	pareja		MC/MD	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_razon_10	2006	pareja		MC/MD	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_razon_11	2006	pareja		MC/MD	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_razon_12	2006	pareja		MC/MD	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_reciente_C	2006	pareja	año	MS soltera	EXCLUIDO_POR_DISEÑO	NO_APLICA				MS P28_1 no tiene pares de frecuencia anual P7.4
pareja_sexual_anual	2006	pareja		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
pareja_sexual_vida	2006	pareja		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
discriminacion_laboral_desde_octubre_2010	2011	discriminacion_laboral		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
discriminacion_laboral_item_01	2011	discriminacion_laboral		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
discriminacion_laboral_item_02	2011	discriminacion_laboral		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
discriminacion_laboral_item_03	2011	discriminacion_laboral		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
discriminacion_laboral_item_04	2011	discriminacion_laboral		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
discriminacion_laboral_item_05	2011	discriminacion_laboral		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
perjuicio_embarazo_vida	2011	discriminacion_laboral		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
prueba_embarazo_vida	2011	discriminacion_laboral		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
decision_gasto	2011	economia_decisiones		A	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
decision_su_dinero	2011	economia_decisiones		A	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
dinero_libre	2011	economia_decisiones		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_decisiones_actuales_B	2011	economia_decisiones	entrevista	B alguna vez unida	EXCLUIDO_POR_DISEÑO	NO_APLICA				B 7.1 mide dinero libre, sin decisiones con pareja actual
permiso_01	2011	economia_decisiones		C	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
permiso_02	2011	economia_decisiones		C	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
permiso_03	2011	economia_decisiones		C	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
permiso_04	2011	economia_decisiones		C	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
permiso_05	2011	economia_decisiones		C	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
permiso_06	2011	economia_decisiones		C	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
permiso_07	2011	economia_decisiones		C	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
despojo_bienes_vida	2011	externo/familiares u otros		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
externo_ayuda_actos_10_12	2011	externo/familiares u otros	vida	A/B/C hechos 10–12	EXCLUIDO_POR_DISEÑO	NO_APLICA				2.10/2.12 de ayuda y resultado solo cubren actos 1–9 de 2.6
externo_ayuda_autoridad	2011	externo/familiares u otros		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
externo_comunitaria_lugar_desde_octubre_2010	2011	externo/familiares u otros		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
externo_comunitaria_lugar_vida	2011	externo/familiares u otros		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
externo_denuncia_ultima_visita	2011	externo/familiares u otros		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
externo_escolar_agresor_desde_octubre_2010	2011	externo/familiares u otros		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
externo_escolar_agresor_vida	2011	externo/familiares u otros		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
externo_escolar_lugar_desde_octubre_2010	2011	externo/familiares u otros		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
externo_escolar_lugar_vida	2011	externo/familiares u otros		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
externo_familiar_agresor_desde_octubre_2010	2011	externo/familiares u otros		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
externo_familiar_agresor_vida	2011	externo/familiares u otros		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
externo_informo_familia	2011	externo/familiares u otros		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
externo_laboral_agresor_desde_octubre_2010	2011	externo/familiares u otros		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
externo_laboral_agresor_vida	2011	externo/familiares u otros		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
externo_laboral_lugar_desde_octubre_2010	2011	externo/familiares u otros		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
externo_laboral_lugar_vida	2011	externo/familiares u otros		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_alguna_desde_octubre_2010	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_alguna_vida	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_ayuda_institucional	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_denuncia_institucional_C	2011	pareja	vida	C soltera	EXCLUIDO_POR_DISEÑO	NO_APLICA				C 6.4 pregunta ayuda e informó a familiares; sin resultado separado de denuncia institucional
pareja_denuncia_ultima_visita	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_economica_patrimonial_desde_octubre_2010	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_economica_patrimonial_vida	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
pareja_emocional_control_desde_octubre_2010	2011	pareja		A/B/C según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2011-MODULOS-0001	RESULT-ENDIREH2011-MOD-TABLA	e202c81d3addf8c0e2344af32c921da2219185db80ab81b58f660899fd324c63	spec.md + RESULT sellado
