propuesta_id	relacion_id	task_id	input_existe	contrato_existe	reporte_worker_existe	schema_valido	hash_snapshot_valido	hash_baseline_valido	join_reporte_activo_valido	accion_original_preservada	unicidad_propuesta	excepcion_cegamiento_validada	expediente_integrable	modifica_baseline	estado_supervision	errores	razon_terminal
SEMPROP-016e061766317b7a57cf0510	REL-02b8ee6d0e13dfb6dc7d3331	SEMTSK-dddb9a9097f7fd957a5eb2ce	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-1505eb6ac2a52c5836b1734f	REL-162b116abdb2212886430f08	SEMTSK-dddb9a9097f7fd957a5eb2ce	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-b9f29ec668933bec3f759548	REL-48285fd8e0a22a38147245ed	SEMTSK-dddb9a9097f7fd957a5eb2ce	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-ceed26db23c2b833a7b868b0	REL-c0ffdbcc616f342880df820a	SEMTSK-dddb9a9097f7fd957a5eb2ce	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-50dce4ba73379a5272a6c1c1	REL-ee1e829631a8bb7de93bcfd3	SEMTSK-dddb9a9097f7fd957a5eb2ce	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-82b6bcd0ad683b5ea6994fb3	REL-20c9e9445e7c52770b6c3b10	SEMTSK-ce2354d17ce132097cdf80d1	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-257377a59f8e0025ceb576c7	REL-bb570a7a7c72c881de31f75d	SEMTSK-ce2354d17ce132097cdf80d1	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-9812c6951c8ded730656f0fb	REL-894b3c5025557df7ef942f2a	SEMTSK-5fe01d6b0ee36f93ad99c21c	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-5ab91df25cea3de9c2f64235	REL-374d073941162109bb37265b	SEMTSK-37f8f057f86be8b36d4f49f3	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-fc2ed926c0de9ec3414d41fa	REL-d67770c443936b1d84304513	SEMTSK-7d62da78b912933008a8340a	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-25d3a3e975bb04b42884978e	REL-51392f82de7f4c77d1bb75c1	SEMTSK-a157241ebb1c79de3ce81517	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-bf92a7a3490f9d1c288d9225	REL-a750d90d3d9e1e19938fa8c4	SEMTSK-a157241ebb1c79de3ce81517	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-69d0ffa8b39e250187fc5ec7	REL-cc6596882b8f135c946ad0f4	SEMTSK-a157241ebb1c79de3ce81517	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-efe9f2aef32030dce56c6c71	REL-f07a221600f81a075ee85ac8	SEMTSK-a157241ebb1c79de3ce81517	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-39347e9e2551774074491528	REL-60e9df4e4ea6f51ca6e4ddc0	SEMTSK-1c964807bd81e4e0ead2c010	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-7bcb597554e9d3bb39998732	REL-cf8f5979c73cdbe59cfaf5fd	SEMTSK-1c964807bd81e4e0ead2c010	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-399ddf3a333a0cca6a18f409	REL-ea0dde2ebf4bd96af8e3e139	SEMTSK-1c964807bd81e4e0ead2c010	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-d8bdeedb8b516c3a7d8e5ff4	REL-1d4ea097a836307f28dd2f49	SEMTSK-3b6bf9d47738f63ea98fb8b5	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-17d7799beaf671998ea61800	REL-2fab7f66a0e6963788542b3a	SEMTSK-3b6bf9d47738f63ea98fb8b5	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-07c9210d4b600e10e67bb256	REL-8da82cf2f91efb7fe1958467	SEMTSK-3b6bf9d47738f63ea98fb8b5	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-db3f6fe12b10fad954871834	REL-d82eb6cef055001e7587db31	SEMTSK-3b6bf9d47738f63ea98fb8b5	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-a8ceaf2bd9a0fa7635a4c8a3	REL-e74ad11dd79c7485c9704116	SEMTSK-3b6bf9d47738f63ea98fb8b5	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-78c1ef13d6d4e7566b5f160f	REL-87b4ab08a7e1b65f965ffb88	SEMTSK-4b8bc49453beab59d50eff74	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-046a8e10e371688b1a4b72b8	REL-63835b1a27c62356495d6104	SEMTSK-c751b2cc702b660de290303b	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-c9a2a103b4f0181250600007	REL-de059d547843c8fefa01197a	SEMTSK-3b18db64ab499eb0d247cee1	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-7266d11d7c2b852d9dd338cd	REL-16d3c66af7fc856df2130139	SEMTSK-39c97ebccbcabb16be3b99ac	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-c1dcd8eb77b8cdc4511b0f06	REL-2d58abfc1b418484af3f2f7d	SEMTSK-39c97ebccbcabb16be3b99ac	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-701ff8f994a5a206acb7acd4	REL-36cde7fa0d470608a94ddb1e	SEMTSK-39c97ebccbcabb16be3b99ac	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-bb7f92f0de87e772dde1cebe	REL-3b746c49c7c051083df6ee81	SEMTSK-39c97ebccbcabb16be3b99ac	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-79b6860ea823a9b2b8255ee7	REL-45672e7d7c5ac7c69edaede4	SEMTSK-39c97ebccbcabb16be3b99ac	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-d274fb609a0195a1277f61dc	REL-50e6d069fd121a8a7cd64fc5	SEMTSK-39c97ebccbcabb16be3b99ac	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-04aded63e3a41623b3c9ac74	REL-6b52ae9ea4b72a9f27f01260	SEMTSK-39c97ebccbcabb16be3b99ac	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-9c257cde07583770b6f7ce73	REL-928de62ad3c403adf193bfc4	SEMTSK-39c97ebccbcabb16be3b99ac	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-f908b8c4b1b1a306520bfe49	REL-987f01cb468fa0b51b2dffc6	SEMTSK-39c97ebccbcabb16be3b99ac	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-7620fd6ca18e32d59e78f928	REL-a63dce9852d52046595e28f0	SEMTSK-39c97ebccbcabb16be3b99ac	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-960fe5b57b5d2b9eee822025	REL-da62a7c3cdb80080258aa148	SEMTSK-39c97ebccbcabb16be3b99ac	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-667c7e7f75c22bcbc181755c	REL-fb6a1baf579c6521a638b093	SEMTSK-39c97ebccbcabb16be3b99ac	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-4d64d541f6f2ee113d24c613	REL-00e7bd28c9c0db01fd89a3be	SEMTSK-718bda65cc2827a7c59c6cd3	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-f08d2b003d526b995f508954	REL-12f0d41801fa7f161510f61e	SEMTSK-718bda65cc2827a7c59c6cd3	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-0845daa8a39e3dd40f1dedd4	REL-dd07107a27bb1a5682a22176	SEMTSK-718bda65cc2827a7c59c6cd3	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-49d1d2f7ffe0e85dfc193352	REL-f6d34c22618564c885af98e9	SEMTSK-718bda65cc2827a7c59c6cd3	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-0765c99f52957d555d92bcd7	REL-f96e306aefb2bab19baafbcc	SEMTSK-718bda65cc2827a7c59c6cd3	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-1b85fb13a560768816350675	REL-1677b0003626a1bd5bf971cb	SEMTSK-09c3e82c827fc9ccc9516671	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-a6ded92343f3305a8145c514	REL-4773e33ebd7e704a595bbf07	SEMTSK-9f45d9d4b202bc05d4f830be	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-1553329e93778fc44e1d3400	REL-4b4d25bbe2c702aed1884440	SEMTSK-7ab6d8e8a3185b4a6c836320	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-4e3a4fc3b241d57001703e3b	REL-01ff8326fdbe3c0a4e299a02	SEMTSK-563a5ea45e21215bf3cbccca	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-9fd87ed66076129f71054739	REL-0b6385436015c470992017f1	SEMTSK-563a5ea45e21215bf3cbccca	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-06a6f1f288a16c0faa8be8d2	REL-12b348704acbcdd4b811185b	SEMTSK-563a5ea45e21215bf3cbccca	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-e368f6d28c972b501a97190b	REL-641a2435b0e68b2049b73d72	SEMTSK-563a5ea45e21215bf3cbccca	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-2fa9f767c94081ba4c3ca13b	REL-7c92eca186a227ee718864e6	SEMTSK-563a5ea45e21215bf3cbccca	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-ec68d230ab21f31004e5eb0a	REL-89b5a730c80b52245609d460	SEMTSK-563a5ea45e21215bf3cbccca	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-f59f1315fa16e7e9fbef7edf	REL-8f6cc360dac1c16f2ea6c7ea	SEMTSK-563a5ea45e21215bf3cbccca	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-fad236dbca1fd6d664358b22	REL-b8a1bd303f0aac03e3b1bdd7	SEMTSK-563a5ea45e21215bf3cbccca	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-65a1e07e7418bd6d7b6917ca	REL-c065ff3c4b02af2b359a6a40	SEMTSK-563a5ea45e21215bf3cbccca	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-451b8fd29d84bf84ecdc9d14	REL-cf53a5e4bf5bf666390fa543	SEMTSK-563a5ea45e21215bf3cbccca	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-f1edbdf4286745ba5e3af102	REL-d7d327e72f466b970d040e81	SEMTSK-563a5ea45e21215bf3cbccca	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-41352bce360d291ebcd0a3d4	REL-ed3674d93fbcd45914630569	SEMTSK-563a5ea45e21215bf3cbccca	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-7235cb9d8a098424873dbd6f	REL-f586d39d7211922886da9f95	SEMTSK-563a5ea45e21215bf3cbccca	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-482bc659fd7bec80b759753f	REL-0c03e53054567fc014b50bc0	SEMTSK-0ad76db67c2503616ade139d	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
