propuesta_id	task_id	input_sha256	worker_report_sha256	snapshot_t0_sha256	baseline_sha256	relacion_id	accion	adjudicacion_vigente	adjudicacion_propuesta	afirmacion_origen_tipo	tratar_como_hecho	reporte_inspeccion_ref	evidencia_ref_original	evidencia_ref_accion_original	evidencia_ref_evidencia_original	siguiente_accion_original	siguiente_accion_original_sha256	input_requerido_original	reserva_original	reserva_curador	cegamiento_roto	excepcion_cegamiento_ref	estado_terminal	expediente_integrable	modifica_baseline	fail_closed
SEMPROP-016e061766317b7a57cf0510	SEMTSK-dddb9a9097f7fd957a5eb2ce	f8129d3cb89a1da978ff3dda7bcccd4e7c737df34701ead6ae441ded612fe635	01d679396f870c2244e0bef738459eedbc773019bc086445cce7d8e4dbc8f586	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	4dd527eb25bf9d4ed1047c7956d9ee51f20175361f9404315baae476c057cc76	REL-02b8ee6d0e13dfb6dc7d3331	NO_DETERMINADO	CANDIDATA	CANDIDATA	INFERENCIA_PROPUESTA	NO	NO_DETERMINADO	MAIN:data/mapa-ext-general-2026-08-06.tsv:L7	MAIN:data/mapa-ext-general-2026-08-06.tsv:L7	MAIN:data/mapa-ext-general-2026-08-06.tsv:L7	Abrir codebook y cuestionario México 2018 y documentar variable, codificación y granularidad; cerrar si no aparece el diseño requerido.	68eb1fc86d0f1a425e1a5a7c259246ba20bdf33fa8731f12b32efd604b6d59f4	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	No hay evidencia nueva con join exacto suficiente para promover una adjudicación.	NO	NO_APLICA	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO	NO	NO	SI
SEMPROP-1505eb6ac2a52c5836b1734f	SEMTSK-dddb9a9097f7fd957a5eb2ce	f8129d3cb89a1da978ff3dda7bcccd4e7c737df34701ead6ae441ded612fe635	01d679396f870c2244e0bef738459eedbc773019bc086445cce7d8e4dbc8f586	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	4dd527eb25bf9d4ed1047c7956d9ee51f20175361f9404315baae476c057cc76	REL-162b116abdb2212886430f08	NO_DETERMINADO	CANDIDATA	CANDIDATA	INFERENCIA_PROPUESTA	NO	NO_DETERMINADO	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L12	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L12	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L12	Abrir codebook y cuestionario México 2018 y documentar variable, codificación y granularidad; cerrar si no aparece el diseño requerido.	68eb1fc86d0f1a425e1a5a7c259246ba20bdf33fa8731f12b32efd604b6d59f4	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	No hay evidencia nueva con join exacto suficiente para promover una adjudicación.	NO	NO_APLICA	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO	NO	NO	SI
SEMPROP-b9f29ec668933bec3f759548	SEMTSK-dddb9a9097f7fd957a5eb2ce	f8129d3cb89a1da978ff3dda7bcccd4e7c737df34701ead6ae441ded612fe635	01d679396f870c2244e0bef738459eedbc773019bc086445cce7d8e4dbc8f586	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	4dd527eb25bf9d4ed1047c7956d9ee51f20175361f9404315baae476c057cc76	REL-48285fd8e0a22a38147245ed	NO_DETERMINADO	CANDIDATA	CANDIDATA	INFERENCIA_PROPUESTA	NO	NO_DETERMINADO	MAIN:data/mapa-ext-general-2026-08-06.tsv:L7	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L12	MAIN:data/mapa-ext-general-2026-08-06.tsv:L7	Abrir codebook y payload canónico CSES México 2018; buscar literalmente variables de trámite/gobierno digital y documentar el universo revisado.	8ee078346b250f268e109cbd9fa96787f709ba657f922354e5b07c0308511ae5	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	No hay evidencia nueva con join exacto suficiente para promover una adjudicación.	NO	NO_APLICA	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO	NO	NO	SI
SEMPROP-ceed26db23c2b833a7b868b0	SEMTSK-dddb9a9097f7fd957a5eb2ce	f8129d3cb89a1da978ff3dda7bcccd4e7c737df34701ead6ae441ded612fe635	01d679396f870c2244e0bef738459eedbc773019bc086445cce7d8e4dbc8f586	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	4dd527eb25bf9d4ed1047c7956d9ee51f20175361f9404315baae476c057cc76	REL-c0ffdbcc616f342880df820a	NO_DETERMINADO	CANDIDATA	CANDIDATA	INFERENCIA_PROPUESTA	NO	NO_DETERMINADO	MAIN:data/mapa-ext-general-2026-08-06.tsv:L7	MAIN:data/mapa-ext-general-2026-08-06.tsv:L7	MAIN:data/mapa-ext-general-2026-08-06.tsv:L7	Abrir codebook y cuestionario México 2018 y documentar variable, codificación y granularidad; cerrar si no aparece el diseño requerido.	68eb1fc86d0f1a425e1a5a7c259246ba20bdf33fa8731f12b32efd604b6d59f4	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	No hay evidencia nueva con join exacto suficiente para promover una adjudicación.	NO	NO_APLICA	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO	NO	NO	SI
SEMPROP-50dce4ba73379a5272a6c1c1	SEMTSK-dddb9a9097f7fd957a5eb2ce	f8129d3cb89a1da978ff3dda7bcccd4e7c737df34701ead6ae441ded612fe635	01d679396f870c2244e0bef738459eedbc773019bc086445cce7d8e4dbc8f586	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	4dd527eb25bf9d4ed1047c7956d9ee51f20175361f9404315baae476c057cc76	REL-ee1e829631a8bb7de93bcfd3	NO_DETERMINADO	CANDIDATA	CANDIDATA	INFERENCIA_PROPUESTA	NO	NO_DETERMINADO	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L12	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L12	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L12	Abrir codebook y cuestionario México 2018 y documentar variable, codificación y granularidad; cerrar si no aparece el diseño requerido.	68eb1fc86d0f1a425e1a5a7c259246ba20bdf33fa8731f12b32efd604b6d59f4	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	No hay evidencia nueva con join exacto suficiente para promover una adjudicación.	NO	NO_APLICA	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO	NO	NO	SI
SEMPROP-82b6bcd0ad683b5ea6994fb3	SEMTSK-ce2354d17ce132097cdf80d1	85b30104d323fc11421e0bbe8d8ddeaaec56b7f2cca985fb8b2aaa08f39720aa	03360b0c46b6da5dd7069636afa83f0265f8a57335e645dbef86043892ebd984	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	4dd527eb25bf9d4ed1047c7956d9ee51f20175361f9404315baae476c057cc76	REL-20c9e9445e7c52770b6c3b10	NO_DETERMINADO	CANDIDATA	CANDIDATA	INFERENCIA_PROPUESTA	NO	NO_DETERMINADO	MAIN:data/mapa-ext-academico-2026-08-06.tsv	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L6	MAIN:data/mapa-ext-academico-2026-08-06.tsv	Abrir instrumento y tablas del estudio; localizar tratamiento informativo, outcome y estimando pertinente.	7f036c47afc4a5bd11592b151d061aea99b8b28e82df65d53698b1eed5678ecb	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	No hay evidencia nueva con join exacto suficiente para promover una adjudicación.	NO	NO_APLICA	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO	NO	NO	SI
SEMPROP-257377a59f8e0025ceb576c7	SEMTSK-ce2354d17ce132097cdf80d1	85b30104d323fc11421e0bbe8d8ddeaaec56b7f2cca985fb8b2aaa08f39720aa	03360b0c46b6da5dd7069636afa83f0265f8a57335e645dbef86043892ebd984	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	4dd527eb25bf9d4ed1047c7956d9ee51f20175361f9404315baae476c057cc76	REL-bb570a7a7c72c881de31f75d	NO_DETERMINADO	CANDIDATA	CANDIDATA	INFERENCIA_PROPUESTA	NO	NO_DETERMINADO	MAIN:data/mapa-ext-academico-2026-08-06.tsv	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L2	MAIN:data/mapa-ext-academico-2026-08-06.tsv	Abrir instrumento y tablas del estudio; localizar tratamiento informativo, outcome y estimando pertinente.	7f036c47afc4a5bd11592b151d061aea99b8b28e82df65d53698b1eed5678ecb	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	No hay evidencia nueva con join exacto suficiente para promover una adjudicación.	NO	NO_APLICA	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO	NO	NO	SI
SEMPROP-9812c6951c8ded730656f0fb	SEMTSK-5fe01d6b0ee36f93ad99c21c	79698b30e21b3527dac2920d247197586113c44c7351f6bb6d096b5931cc267a	60862fe057486c5ab921b9e31c7d0b97056bb386b2ba0a56198919f7dab86a66	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	4dd527eb25bf9d4ed1047c7956d9ee51f20175361f9404315baae476c057cc76	REL-894b3c5025557df7ef942f2a	NO_DETERMINADO	CANDIDATA	CANDIDATA	INFERENCIA_PROPUESTA	NO	NO_DETERMINADO	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L6	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L6	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L6	Obtener instrumentos.	cef21d4b27584a48612860c4563cbdbffff41cea1d4c000a0ac1bf70a59977d9	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	No hay evidencia nueva con join exacto suficiente para promover una adjudicación.	NO	NO_APLICA	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO	NO	NO	SI
SEMPROP-5ab91df25cea3de9c2f64235	SEMTSK-37f8f057f86be8b36d4f49f3	443f0de39fab84e079bbb0eadf4587d849ab2351f64f0d67a67b25a9657bb936	3ac351d9e231e7e52f14a75d269bdc6d4ba6728aba9d49eff51d9825b7d76ca5	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	4dd527eb25bf9d4ed1047c7956d9ee51f20175361f9404315baae476c057cc76	REL-374d073941162109bb37265b	NO_DETERMINADO	CANDIDATA	CANDIDATA	INFERENCIA_PROPUESTA	NO	NO_DETERMINADO	MAIN:data/mapa-ext-academico-2026-08-06.tsv	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L21	MAIN:data/mapa-ext-academico-2026-08-06.tsv	Abrir codebook y verificar variables de sección, elección, tratamiento/exposición y resultado.	9957c47d3db955f1de333864ac17809f74852dce4e6be6b2e0c1b48699595c80	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	No hay evidencia nueva con join exacto suficiente para promover una adjudicación.	NO	NO_APLICA	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO	NO	NO	SI
SEMPROP-fc2ed926c0de9ec3414d41fa	SEMTSK-7d62da78b912933008a8340a	10e8cd67098be92a2f51b157a6ea0bc2a0f3c6987f12fb3fa752e01a1c2dc8bb	bf3d45c188b5728f9e99177808cd3c7fe4bc66228265efbefa404dfb6f6d3dba	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	4dd527eb25bf9d4ed1047c7956d9ee51f20175361f9404315baae476c057cc76	REL-d67770c443936b1d84304513	NO_DETERMINADO	CANDIDATA	CANDIDATA	INFERENCIA_PROPUESTA	NO	NO_DETERMINADO	MAIN:data/mapa-fuentes-2026-08-06.tsv:L62	MAIN:data/mapa-fuentes-2026-08-06.tsv:L62	MAIN:data/mapa-fuentes-2026-08-06.tsv:L62	Descargar el levantamiento y diccionario ENAFIN pertinente; mapear variable y desenlace concretos de la necesidad.	7cb863871fe49af869598ca1aa6fe02c65737dfa8015481d96c4500874549f2e	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	No hay evidencia nueva con join exacto suficiente para promover una adjudicación.	NO	NO_APLICA	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO	NO	NO	SI
SEMPROP-25d3a3e975bb04b42884978e	SEMTSK-a157241ebb1c79de3ce81517	29bdd9b42d035dd7b8eca7bcf54b3b45ccb99d3fd9c096f4755547f71da0f787	1e0c9804535f217c8eb03e291f2b10a20e76d250d5a9bf8c29e8a2be56aaf97a	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	4dd527eb25bf9d4ed1047c7956d9ee51f20175361f9404315baae476c057cc76	REL-51392f82de7f4c77d1bb75c1	NO_DETERMINADO	CANDIDATA	CANDIDATA	INFERENCIA_PROPUESTA	NO	NO_DETERMINADO	MAIN:forense/matriz-impacto-universal-2026-08-06.md	MAIN:canon/glosario-v5_6.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	MAIN:forense/matriz-impacto-universal-2026-08-06.md	Abrir cuestionario/diccionario ENBIARE y localizar texto, codificación y llave del reactivo junto con el desenlace requerido.	b5b88ffc4e5d47a7af72b18249563a58676ecaf4cd51b8068fa3c6f309ad418c	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	No hay evidencia nueva con join exacto suficiente para promover una adjudicación.	NO	NO_APLICA	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO	NO	NO	SI
