id	raiz_logica	archivo	sha256	estado_worktree_nuevo	estado_clon_adquisicion	consumidor_habilitado
ennvih2_2005_hogar_dta	data_raw	ennvih/ehh05dta_all.zip	fc4ea4ae7d0cf4bc906bb46ad5e1e7444b9c24f8e0c569ae3f6e5a9b72453c1a	COINCIDE	COINCIDE	CALC-TANDAS-ENNVIH-0001
ennvih2_2005_ponderador_transversal	data_raw	ennvih/ehh05w_all.zip	34ee12b0c0d71e76676197089b5fd6048c0fdaa590a220f440d95526b1f4713b	COINCIDE	COINCIDE	CALC-TANDAS-ENNVIH-0001
ennvih2_2005_hogar_q	data_raw	ennvih/ehh05q_all.zip	e73709d1de16f4c79cd20a48080dca7ea6ec3a2dcca491837d7f79a00928e894	COINCIDE	COINCIDE	CALC-TANDAS-ENNVIH-0001
ennvih2_2005_guia	data_raw	ennvih/guiausuariov2.pdf	6d3334e77e1d417bf7be997715c4e38b0c0047e595a948d7bbcd8295255f0ddc	COINCIDE	COINCIDE	CALC-TANDAS-ENNVIH-0001
ennvih3_2009_hogar_dta	data_raw	ennvih/ehh09dta_all.zip	00a7649a1839a3523be22612c2fa3555d5e743cf5329d6bcdc432b901e98bd15	COINCIDE	COINCIDE	CALC-TANDAS-ENNVIH-0001
ennvih3_2009_ponderador_transversal	data_raw	ennvih/ehh09w_all.zip	e7929b49a7cd4f1eae5aa17da77c7eea4794d0f26265fbd40dde5e9c8e3ef8b8	COINCIDE	COINCIDE	CALC-TANDAS-ENNVIH-0001
ennvih3_2009_hogar_q	data_raw	ennvih/ehh09q_all.zip	4eaed9c07a638fdd388901cd84692b9de2f8503ccf5d54da524b660b46fb5340	COINCIDE	COINCIDE	CALC-TANDAS-ENNVIH-0001
ennvih3_2009_guia	data_raw	ennvih/guia_de_usuario_ennvih-3.pdf	f5e884eb6d923211ea21bf98c5584d87cb04e7540c62d59d6812bbaa28401ba8	COINCIDE	COINCIDE	CALC-TANDAS-ENNVIH-0001
ennvih3_2009_factores_exp	data_raw	ennvih/calculo-de-factores-de-expansion.pdf	cc297561caa5e963fd5a7cd88a8ab0a45726b997015eafbcdac7bcf088fe214d	COINCIDE	COINCIDE	CALC-TANDAS-ENNVIH-0001
encig25_base_datos_csv	data_raw	encig25_base_datos_csv.zip	47daf2f732366ad842b7f60c784be9d61db68a00ae1a693980ec6a683e0d9e12	COINCIDE	COINCIDE	parametros activos GEN2 (4 RESULT)
encuci2020_bd_dbf	data_raw	BD_ENCUCI2020_dbf.zip	0414fd59e2afcc36294530687c721e8e86bd04e76ad95bfce4b7b2e70853f283	COINCIDE	COINCIDE	parametros activos GEN2 (3 RESULT)
envipe2025_csv	data_raw	envipe2025_csv.zip	8a7a99fd90ce9d03229759ba0ad84db4fba98b5bb1f5c85eef7d718b007816fa	COINCIDE	COINCIDE	parametros activos GEN2 (1 RESULT)
enigh2022_nc_csv	data_raw	enigh2022_nc_csv.zip	3b2b0bc9c95323b470608113d2902ff3a832764367135f136270b4ce092c9e06	COINCIDE	COINCIDE	parametros activos GEN2 (1 RESULT)
enif_2024_enif_2024_bd_csv	data_raw	enif_2024_bd_csv.zip	00e4b0b42775276b2da236a5bba8c64dc5a92c289908a4727dec93dc7684f039	COINCIDE	COINCIDE	parametros activos GEN2 (7 RESULT)
