# DERIVADO por tools/crosswalk_tablas_fd.py (crosswalk-tablas-fd-1.0.0). NO se edita a mano: se re-genera.
# ACTO GEN2-CAJA-REACTIVOS-FD-1 (15/sep/2026, CAJA). Acredita NC-0245 leyendo el FD REAL
# desde la raíz montada. Cero microdato abierto: sólo descriptores y metadato indexado.
# umbrales: cobertura>=0.95 margen>=0.3
# Lo que NO entra al crosswalk, por motivo acreditado. No se retira del denominador.
instrumento	archivo_miembro	motivo	detalle	variables_miembro	filas_ciegas	mejor_candidata	mejor_cobertura
ADQ15_CNBV_BDIF_inclusion_financiera	USO BAN NAL	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (ADQ15_CNBV_BDIF_inclusion_financiera/Diccionario_DGPASF.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	4	8		
ADQ15_CNBV_BDIF_inclusion_financiera	USO EACP NAL	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (ADQ15_CNBV_BDIF_inclusion_financiera/Diccionario_DGPASF.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	4	8		
censo2020	CAAS_Alojamientos	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (Censo2020_CAAS_descriptor_bd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
censo2020	CAAS_Trabajadores	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (Censo2020_CAAS_descriptor_bd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
censo2020	CAAS_Usuarios	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (Censo2020_CAAS_descriptor_bd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
censo2020	COD_TC_Rasgo	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (Censo2020_CEU_descriptor_bd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
censo2020	TI_MANZANA_EU	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (Censo2020_CEU_descriptor_bd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
censo2020	TR_VIALIDAD_EU	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (Censo2020_CEU_descriptor_bd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
cpv2020	MIGRANTES	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (diccionario_cuestionario_ampliado_cpv2020.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
cpv2020	PERSONAS	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (diccionario_cuestionario_ampliado_cpv2020.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
cpv2020	VIVIENDAS	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (diccionario_cuestionario_ampliado_cpv2020.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enadid2023	TFECHISEMB	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (fd_enadid23.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enadid2023	THOGAR	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (fd_enadid23.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enadid2023	TMIGRANTE	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (fd_enadid23.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enadid2023	TMUJER1	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (fd_enadid23.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enadid2023	TMUJER2	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (fd_enadid23.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enadid2023	TSDEM	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (fd_enadid23.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enadid2023	TVIVIENDA	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (fd_enadid23.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enadid2023	nota_bases_datos_enadid_2023.txt	NO-ES-TABLA-DE-DATOS	índice, diagrama, catálogo o nota del descriptor: no es una tabla de reactivos y no tiene enunciado que recuperar	5	5		
enasem2018	MHAS_ENASEM_2018_variables_crea	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2018/enasem_2018_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2018	archivo_maestro_seguimiento	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2018/enasem_2018_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2018	sect_a_c_d_f_e_pc_h_i	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2018/enasem_2018_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2018	sect_b_fallecidos_nueva_muestra	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2018/enasem_2018_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2018	sect_b_no_residentes_nueva_mues	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2018/enasem_2018_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2018	sect_b_no_residentes_seguimient	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2018/enasem_2018_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2018	sect_g_j_k_sa	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2018/enasem_2018_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2018	sect_sa_sb_sc_sd_se_sh_si	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2018/enasem_2018_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2018	sect_sg_sj	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2018/enasem_2018_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2018	sect_trh_nueva_muestra	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2018/enasem_2018_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2018	sect_trh_seguimiento	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2018/enasem_2018_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2021	MASTER_FOLLOW_UP_FILE_2021	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2021/enasem_2021_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2021	MHAS_ENASEM_2021_CONSTRUCTED_VA	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2021/enasem_2021_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2021	SECT_A_C_D_E_PC_F_H_I_2021	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2021/enasem_2021_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2021	SECT_B_NON_RESIDENT_FOLLOW_UP_2	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2021/enasem_2021_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2021	SECT_G_J_K_SA_2021	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2021/enasem_2021_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2021	SECT_SA_SB_SC_SD_SE_SH_SI_2021	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2021/enasem_2021_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2021	SECT_SG_SJ_2021	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2021/enasem_2021_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2021	SECT_TRH_FOLLOW_UP_2021	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2021/enasem_2021_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2021	SECT_B_NON_RESIDENT_FOLLOW_UP_2021.csv	IDENTIDAD-INSUFICIENTE	cobertura 0.75 < 0.95	32	31	SECT_B_NON_RESIDENT_FOLLOW_UP_2	0.7500
enasem2024	TR_ENASEM24_MASTER_FOLLOW_UP_FI	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2024/enasem_2024_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2024	TR_ENASEM24_MHAS_ENASEM_2024_CO	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2024/enasem_2024_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2024	TR_ENASEM24_SECT_A_C_D_E_PC_F_H	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2024/enasem_2024_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2024	TR_ENASEM24_SECT_B_DECEASED_NEW	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2024/enasem_2024_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2024	TR_ENASEM24_SECT_B_FOLLOW_UP	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2024/enasem_2024_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2024	TR_ENASEM24_SECT_B_NEW_SAMPLE	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2024/enasem_2024_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2024	TR_ENASEM24_SECT_G_J_K	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2024/enasem_2024_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2024	TR_ENASEM24_SECT_SA_SB_SC_SD_SE	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2024/enasem_2024_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2024	TR_ENASEM24_SECT_TRH_FOLLOW_UP	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2024/enasem_2024_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasem2024	TR_ENASEM24_SECT_TRH_NEW_SAMPLE	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (enasem2024/enasem_2024_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enasic2022	Catálogo	NO-ES-TABLA-DE-DATOS	índice, diagrama, catálogo o nota del descriptor: no es una tabla de reactivos y no tiene enunciado que recuperar	16	16		
enasic2022	INDICADORES	NO-ES-TABLA-DE-DATOS	índice, diagrama, catálogo o nota del descriptor: no es una tabla de reactivos y no tiene enunciado que recuperar	21	21		
endutih2023	Diagrama Entidad - Relación_img	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (endutih2023/FD_ENDUTIH2023.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
endutih2023	Indice	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (endutih2023/FD_ENDUTIH2023.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
endutih2023	tic_2023_hogares	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (endutih2023/FD_ENDUTIH2023.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
endutih2023	tic_2023_residentes	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (endutih2023/FD_ENDUTIH2023.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
endutih2023	tic_2023_usuarios	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (endutih2023/FD_ENDUTIH2023.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
endutih2023	tic_2023_usuarios2	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (endutih2023/FD_ENDUTIH2023.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
endutih2023	tic_2023_viviendas	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (endutih2023/FD_ENDUTIH2023.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
endutih2024	Diagrama Entidad - Relación_img	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (endutih2024/fd_endutih2024.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
endutih2024	Indice	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (endutih2024/fd_endutih2024.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
endutih2024	tc_cve_catalogo_entidad	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (endutih2024/fd_endutih2024.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
endutih2024	tic_2024_hogares	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (endutih2024/fd_endutih2024.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
endutih2024	tic_2024_residentes	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (endutih2024/fd_endutih2024.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
endutih2024	tic_2024_usuarios	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (endutih2024/fd_endutih2024.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
endutih2024	tic_2024_usuarios2	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (endutih2024/fd_endutih2024.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
endutih2024	tic_2024_viviendas	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (endutih2024/fd_endutih2024.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
endutih2025	Diagrama Entidad - Relación_img	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (endutih2025/fd_endutih2025.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
endutih2025	Indice	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (endutih2025/fd_endutih2025.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
endutih2025	tc_cve_catalogo_entidad	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (endutih2025/fd_endutih2025.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
endutih2025	tic_2025_hogares	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (endutih2025/fd_endutih2025.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
endutih2025	tic_2025_residentes	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (endutih2025/fd_endutih2025.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
endutih2025	tic_2025_usuarios	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (endutih2025/fd_endutih2025.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
endutih2025	tic_2025_usuarios2	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (endutih2025/fd_endutih2025.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
endutih2025	tic_2025_viviendas	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (endutih2025/fd_endutih2025.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
enut2019	enut_2019/nota_bd_enut_2019.txt	NO-ES-TABLA-DE-DATOS	índice, diagrama, catálogo o nota del descriptor: no es una tabla de reactivos y no tiene enunciado que recuperar	4	4		
mociba2015	Modelo de datos	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (mociba2015/mociba2015_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
mociba2015	TCiberacoso	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (mociba2015/mociba2015_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
mociba2015	ÍNDICE	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (mociba2015/mociba2015_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
mociba2015	MOCIBA2015.sav	IDENTIDAD-INSUFICIENTE	cobertura 0.86 < 0.95; la hoja tiene un miembro mejor	159	159	TCiberacoso	0.8553
mociba2016	DIAGRAMA ENTIDAD - RELACIÓN	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (mociba2016/mociba2016_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
mociba2016	ÍNDICE	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (mociba2016/mociba2016_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
mociba2017	DIAGRAMA ENTIDAD - RELACIÓN	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (mociba2017/mociba2017_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
mociba2017	ÍNDICE	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (mociba2017/mociba2017_fd.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
