fuente_canonica	nombre	institucion	dominios	operable	microdatos	acceso	n_urls_portal	slug_portal	n_payloads_disco	n_payloads_integros	reglas_que_gatea	estado_cobertura
GLOBAL FINDEX DATABASE	Global Findex Database	Banco Mundial; levantamiento por Gallup.	clase-fuente;credito-ahorro-finanzas-hogar	sí	sí	sí	0		0	0		NO-EN-ESTE-APARTADO
MOCIBA	Módulo sobre Ciberacoso	INEGI. Módulo adosado a la ENDUTIH.	seguridad_justicia;tecnologia-digital	sí	sí	sí	48	mociba	48	48		EN-DISCO-NO-CUBRE
SAEH	Subsistema Automatizado de Egresos Hospitalarios	Dirección General de Información en Salud (DGIS), Secretaría de Salud `[verificado]`.	clase-fuente;salud	sí	sí	sí	0		0	0		NO-EN-ESTE-APARTADO
SISTEMA NACIONAL DE VIGILANCIA	Sistema Nacional de Vigilancia Epidemiológica	Dirección General de Epidemiología (DGE), Secretaría de Salud `[verificado, ya en `inventario_fuentes_salud_mexico.md:62`]`.	clase-fuente;salud	no	?	sí	0		0	0		NO-EN-ESTE-APARTADO
"""LOS NEGOCIOS EN LA ECONOMÍA D"	"""Los negocios en la economía de Internet"""	INEGI	tecnologia-digital	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
ACS	American Community Survey (ACS) y Puerto Rico Community Survey	U.S. Census Bureau	migracion	sí	sí	sí	0		0	0		NO-EN-ESTE-APARTADO
AHORRO FINANCIERO Y FINANCIAMI	Ahorro Financiero y Financiamiento en México	CNBV.	credito-ahorro-finanzas-hogar	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
ANUARIO DE MIGRACIÓN Y REMESAS	Anuario de Migración y Remesas México / Yearbook of Migration and Remittances Mexico	Fundación BBVA México y la Secretaría de Gobernación a través de la Secretaría Técnica del CONAPO, con BBVA Research	migracion	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
BDIF	Bases de Datos de Inclusión Financiera	Comisión Nacional Bancaria y de Valores (CNBV), Dirección General para el Acceso a Servicios Financieros.	credito-ahorro-finanzas-hogar	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
BIT	Banco de Información de Telecomunicaciones	Comisión Reguladora de Telecomunicaciones (CRT), organismo adscrito a la Agencia de Transformación Digital y Telecomunicaciones (ATDT). Creado por el extinto Instituto Federal de Telecomunicaciones (IFT), que a su vez heredó información de la Cofetel. Los registros, repositorios digitales y sistemas del IFT —incluido el Banco de Información con el historial estadístico del sector— pasaron a disposición de la CRT. El IFT se extinguió el 17 de octubre de 2025, al nombrarse la presidencia de la CRT y quedar abrogada la Ley Federal de Telecomunicaciones y Radiodifusión (verificado).	tecnologia-digital	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
BOLETÍN ESTADÍSTICO DE SOLICIT	Boletín Estadístico de Solicitantes de Refugio en México	UPMRIP en colaboración con la Comisión Mexicana de Ayuda a Refugiados (COMAR)	migracion	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
CBP	CBP Nationwide Encounters y Southwest Land Border Encounters	U.S. Customs and Border Protection	migracion	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
CENSO DE ALOJAMIENTOS DE ASIST	Censo de Alojamientos de Asistencia Social	INEGI.	uso_del_tiempo_cuidados_hogar	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
CERO DESABASTO	Cero Desabasto	colectivo de +140 organizaciones de sociedad civil, impulsado por Práctica: Laboratorio para la Democracia y Nosotrxs — funcionalmente independiente del gobierno `[verificado]`.	clase-fuente	no	?	sí	0		0	0		NO-EN-ESTE-APARTADO
CLUES	Clave Única de Establecimientos de Salud	Dirección General de Información en Salud (DGIS), Secretaría de Salud `[verificado]`.	clase-fuente	sí	sí	sí	0		0	0		NO-EN-ESTE-APARTADO
CNARTYS	Catálogo Nacional de Regulaciones, Trámites y Servicios	Comisión Nacional de Mejora Regulatoria (CONAMER), órgano administrativo desconcentrado de la Secretaría de Economía	tramites_estado	no	?	?	0		0	0		NO-EN-ESTE-APARTADO
CNGF	Censo Nacional de Gobierno Federal (CNGF) y censos nacionales de gobierno en el ámbito estatal	INEGI	tecnologia-digital	sí	sí	sí	28	cngf	0	0		EN-PORTAL-SIN-BAJAR
CNGMD	Censo Nacional de Gobiernos Municipales y Demarcaciones Territoriales de la Ciudad de México	INEGI, Subsistema Nacional de Información de Gobierno, Seguridad Pública e Impartición de Justicia	tecnologia-digital	sí	sí	sí	219	cngmd	0	0		EN-PORTAL-SIN-BAJAR
COFEPRIS	Comisión Federal para la Protección contra Riesgos Sanitarios	Comisión Federal para la Protección contra Riesgos Sanitarios `[verificado]`.	clase-fuente	no	?	sí	0		0	0		NO-EN-ESTE-APARTADO
COMPILACIONES ESTADÍSTICAS DE 	Compilaciones estadísticas de la STPS	Secretaría del Trabajo y Previsión Social (STPS), Dirección General de Investigación y Estadísticas del Trabajo (DGIET)	trabajo_ingreso_formalidad	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
CONEVAL	Consejo Nacional de Evaluación de la Política de Desarrollo Social	Consejo Nacional de Evaluación de la Política de Desarrollo Social, **absorbido por INEGI el 17/jul/2025** según hallazgo del fork de investigación de esta sesión `[verificado por búsqueda; no re-verificado por segunda fuente independiente — reportar con esa reserva]`.	clase-fuente	sí	sí	sí	0		0	0		NO-EN-ESTE-APARTADO
CONSAR	Comisión Nacional del Sistema de Ahorro para el Retiro	Comisión Nacional del Sistema de Ahorro para el Retiro `[verificado]`.	clase-fuente	no	?	sí	0		0	0		NO-EN-ESTE-APARTADO
CPS	Current Population Survey (CPS) y Annual Social and Economic Supplement	U.S. Census Bureau y Bureau of Labor Statistics	migracion	sí	sí	sí	0		0	0		NO-EN-ESTE-APARTADO
CSISFLM	Cuenta Satélite de las Instituciones sin Fines de Lucro de México	INEGI — Sistema de Cuentas Nacionales de México	capital_social	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
CUENTA SATÉLITE DEL TRABAJO NO	Cuenta Satélite del Trabajo No Remunerado de los Hogares de México	INEGI (Sistema de Cuentas Nacionales de México).	uso_del_tiempo_cuidados_hogar	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
DTM	Matriz de Seguimiento del Desplazamiento (DTM), México	Organización Internacional para las Migraciones (OIM), oficina en México	migracion	no	?	sí	0		0	0		NO-EN-ESTE-APARTADO
ECOVID-ED	Encuesta para la Medición del Impacto COVID-19 en la Educación	INEGI. Proyecto de investigación, no programa regular.	tecnologia-digital	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
ECOVID-ML	Encuesta Telefónica sobre COVID-19 y Mercado Laboral	INEGI	trabajo_ingreso_formalidad	sí	sí	sí	0		0	0		NO-EN-ESTE-APARTADO
EIC	Encuesta Intercensal	INEGI	migracion	sí	sí	sí	0		0	0		NO-EN-ESTE-APARTADO
EMIF NORTE	Encuesta sobre Migración en la Frontera Norte de México	El Colegio de la Frontera Norte, con UPMRIP, CONAPO, CONAPRED, STPS, SRE y Secretaría de Bienestar	migracion	no	sí	?	0		0	0		NO-EN-ESTE-APARTADO
EMIF SUR	Encuesta sobre Migración en la Frontera Sur de México	Misma coordinación interinstitucional que Emif Norte. Opera en Guatemala, El Salvador y Honduras	migracion	no	sí	?	0		0	0		NO-EN-ESTE-APARTADO
ENAFIN	Encuesta Nacional de Financiamiento de las Empresas	CNBV en coordinación con INEGI.	credito-ahorro-finanzas-hogar	no	?	sí	9	enafin	0	0		EN-PORTAL-SIN-BAJAR
ENAID	Encuesta Nacional de Acceso a la Información Pública y Protección de Datos Personales	INEGI en convenio con el entonces INAI. Existió un repositorio del proyecto a cargo del INAI además del micrositio del INEGI. Custodia actual [no verificado]	tramites_estado	no	?	?	4	enaid	0	0		EN-PORTAL-SIN-BAJAR
ENCC	Encuesta Nacional sobre Calidad de la Ciudadanía	Instituto Nacional Electoral (entonces IFE), con instituciones académicas	capital_social	no	no	?	0		0	0		NO-EN-ESTE-APARTADO
ENCOAP	Encuesta Nacional de Confianza en la Administración Pública	INEGI	tramites_estado	no	?	?	12	encoap	0	0		EN-PORTAL-SIN-BAJAR
ENCODAT	Encuesta Nacional de Consumo de Drogas, Alcohol y Tabaco (ENCODAT) y la serie ENA	"en 2025, esfuerzo conjunto de la Comisión Nacional de Salud Mental y Adicciones (CONASAMA), el Instituto Nacional de Psiquiatría ""Ramón de la Fuente Muñiz"" (INPRFM) y el INSP, bajo la Secretaría de Salud `[verificado]`. Las primeras ediciones fueron dirigidas por la Dirección General de Epidemiología y el entonces Instituto Mexicano de Psiquiatría `[verificado]`."	salud	no	?	sí	0		0	0		NO-EN-ESTE-APARTADO
ENCODE	Encuesta Nacional de Consumo de Drogas en Estudiantes	INPRFM, con CONADIC (hoy CONASAMA), Secretaría de Salud y SEP `[verificado]`.	salud	no	?	sí	0		0	0		NO-EN-ESTE-APARTADO
ENCRIGE	Encuesta Nacional de Calidad Regulatoria e Impacto Gubernamental en Empresas	INEGI, con SHCP, Secretaría de Economía, COFEMER (hoy CONAMER) y CEESP	tramites_estado	no	?	?	3	encrige	0	0		EN-PORTAL-SIN-BAJAR
ENCUESTA NACIONAL DE BIENESTAR	Encuesta Nacional de Bienestar Autorreportado	INEGI.	uso_del_tiempo_cuidados_hogar	sí	sí	sí	0		2	2		EN-DISCO-NO-CUBRE
ENCUESTA NACIONAL DE OPINIÓN C	Encuesta Nacional de Opinión Católica	Católicas por el Derecho a Decidir, México. `[no verificado]` la composición completa del equipo responsable.	cultura_valores_opinion	no	?	?	0		0	0		NO-EN-ESTE-APARTADO
ENCUESTA NACIONAL DE RELIGIÓN,	Encuesta Nacional de Religión, Secularización y Laicidad	"<cite index=""19-2"">Universidad Nacional Autónoma de México (UNAM), 2015</cite>. `[verificado]` la existencia y la referencia de publicación."	cultura_valores_opinion	no	?	?	0		0	0		NO-EN-ESTE-APARTADO
ENCUESTA NACIONAL MCCI SOBRE C	Encuesta Nacional MCCI sobre Corrupción e Impunidad	Mexicanos Contra la Corrupción y la Impunidad (MCCI), organización no gubernamental fundada en 2015 `[verificado]`.	clase-fuente	no	?	sí	0		0	0		NO-EN-ESTE-APARTADO
ENCUESTA NACIONAL PARA EL SIST	Encuesta Nacional para el Sistema de Cuidados	INEGI.	uso_del_tiempo_cuidados_hogar	sí	sí	sí	0		0	0		NO-EN-ESTE-APARTADO
ENCUESTA NACIONAL SOBRE CONFIA	Encuesta Nacional sobre Confianza del Consumidor	INEGI (con el Banco de México en la definición del indicador).	cultura_valores_opinion	no	sí	?	0		6	2		EN-DISCO-NO-CUBRE
ENCUESTA NACIONAL SOBRE CREENC	Encuesta Nacional sobre Creencias y Prácticas Religiosas en México	"<cite index=""17-0"">Red de Investigadores del Fenómeno Religioso en México (RIFREM), con CONACYT, El Colegio de la Frontera Norte, El Colegio de Jalisco y CIESAS</cite>. `[verificado]`"	cultura_valores_opinion	no	?	?	0		0	0		NO-EN-ESTE-APARTADO
ENCUESTAS ECONÓMICAS NACIONALE	Encuestas Económicas Nacionales mensuales y anuales	INEGI	trabajo_ingreso_formalidad	no	?	?	0		0	0		NO-EN-ESTE-APARTADO
ENE	Encuesta Nacional de Empleo (ENE) y Encuesta Nacional de Empleo Urbano	INEGI, históricamente con la STPS	trabajo_ingreso_formalidad	no	?	?	13	ene	0	0		EN-PORTAL-SIN-BAJAR
ENESTYC	Encuesta Nacional de Empleo, Salarios, Tecnología y Capacitación en el Sector Manufacturero	INEGI y STPS	trabajo_ingreso_formalidad	no	?	?	15	enestyc	15	15		EN-DISCO-NO-CUBRE
ENFIH	Encuesta Nacional sobre las Finanzas de los Hogares	Banco de México en conjunto con INEGI; levantamiento a cargo del INEGI.	credito-ahorro-finanzas-hogar	sí	sí	sí	5	enfih	2	2		EN-DISCO-NO-CUBRE
ENIM / MICS	Encuesta Nacional de Niños, Niñas y Mujeres	INSP con UNICEF México `[no verificado en esta sesión]`.	salud	no	?	?	0		0	0		NO-EN-ESTE-APARTADO
ENM	Encuesta Nacional de Migración	Área de Investigación Aplicada y Opinión del Instituto de Investigaciones Jurídicas, UNAM. Colección *Los mexicanos vistos por sí mismos*	migracion	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
ENSAFI	Encuesta Nacional sobre Salud Financiera	INEGI en colaboración con CONDUSEF.	credito-ahorro-finanzas-hogar	sí	sí	sí	2	ensafi	1	1		EN-DISCO-NO-CUBRE
ENVI	Encuesta Nacional de Vivienda	INEGI, en colaboración con CONAVI, INFONAVIT, FOVISSSTE y Sociedad Hipotecaria Federal.	credito-ahorro-finanzas-hogar	no	?	sí	4	envi	0	0		EN-PORTAL-SIN-BAJAR
ESTAD	Encuesta de Satisfacción, Trato Adecuado y Digno	Dirección General de Calidad y Educación en Salud (DGCES), con Instituto Nacional de Salud Pública (INSP), desde 2015 `[verificado]`.	clase-fuente	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
ESTADÍSTICA DE INGRESOS Y EGRE	Estadística de ingresos y egresos por remesas	Banco de México, con insumos del INEGI para remesas en efectivo y especie	migracion	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
ESTADÍSTICA DE USUARIOS DEL SI	Estadística de usuarios del sistema Llave MX	Agencia de Transformación Digital y Telecomunicaciones (ATDT)	tecnologia-digital	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
ESTADÍSTICA EDUCATIVA	Estadística educativa	Secretaría de Educación Pública (SEP), Dirección General de Planeación, Programación y Estadística Educativa	tecnologia-digital	sí	sí	sí	0		0	0		NO-EN-ESTE-APARTADO
ESTADÍSTICAS DE LA POBLACIÓN M	Estadísticas de la población mexicana en el exterior y de matrícula consular	Instituto de los Mexicanos en el Exterior (IME), Secretaría de Relaciones Exteriores	migracion	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
ESTADÍSTICAS DE NATALIDAD / NA	Estadísticas de Natalidad / Nacimientos registrados	INEGI (con base en Registro Civil); la Secretaría de Salud opera además su propio subsistema de nacimientos (SINAC) `[no verificado en detalle]`.	salud	sí	sí	sí	0		0	0		NO-EN-ESTE-APARTADO
ESTADÍSTICAS Y REGISTROS DEL S	Estadísticas y registros del sector cultural	(a) INEGI, en colaboración con la Secretaría de Cultura; (b) Secretaría de Cultura.	cultura_valores_opinion	no	?	?	0		0	0		NO-EN-ESTE-APARTADO
ETOE	Encuesta Telefónica de Ocupación y Empleo	INEGI	trabajo_ingreso_formalidad	no	?	?	0		0	0		NO-EN-ESTE-APARTADO
GATS	Encuesta Global de Tabaquismo en Adultos	INSP, con coordinación de CONASAMA (en 2015, CONADIC) y asistencia técnica de OPS/OMS y de los CDC de Estados Unidos; financiamiento de la Iniciativa Bloomberg en las primeras ediciones `[verificado]`.	salud	no	?	sí	0		0	0		NO-EN-ESTE-APARTADO
I Y II CONTEO	Conteo de Población y Vivienda	INEGI	migracion	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
IEDMX	Índice de Estado de Derecho en México (IEDMX) e Índice Global de Estado de Derecho	World Justice Project (WJP). En México con contrapartes académicas en publicaciones derivadas (p. ej. PIRC-CIDE)	tramites_estado	no	?	?	0		0	0		NO-EN-ESTE-APARTADO
IMSS	Familia de instrumentos de satisfacción de usuarios	IMSS `[verificado]`.	clase-fuente	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
INCBG	Índice Nacional de Corrupción y Buen Gobierno	Transparencia Mexicana, A.C.	tramites_estado	no	?	?	0		0	0		NO-EN-ESTE-APARTADO
INE	Instituto Nacional Electoral	Instituto Nacional Electoral, órgano constitucional autónomo `[verificado]`.	clase-fuente	sí	sí	sí	0		0	0	R7.1; R7.3	NO-EN-ESTE-APARTADO
IPUMS	IPUMS International, muestras censales de México armonizadas	Minnesota Population Center, University of Minnesota, con el INEGI como oficina asociada	migracion	no	sí	?	0		0	0		NO-EN-ESTE-APARTADO
MGA	Métrica de Gobierno Abierto	Coordinada por el INAI y realizada por el Centro de Investigación y Docencia Económicas (CIDE). Continuidad institucional tras 2025 [no verificado]	tramites_estado	no	?	?	0		0	0		NO-EN-ESTE-APARTADO
MMP	Mexican Migration Project (MMP), difundido también como Mesoamerican Migration Project	Departamento de Investigación sobre Movimientos Sociales de la Universidad de Guadalajara y Office of Population Research de Princeton University. Sitio adicional alojado en Brown University	migracion	no	sí	?	0		0	0		NO-EN-ESTE-APARTADO
MOCUP	Módulo de Cultura Política	INEGI	capital_social	no	no	?	0		0	0		NO-EN-ESTE-APARTADO
MTPTREF	Mediciones Trimestrales de los Puestos de Trabajo y sus Remuneraciones por Entidad Federativa	INEGI	trabajo_ingreso_formalidad	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
MÓDULO DE MIGRACIÓN INTERNA E 	Módulo de Migración Interna e Internacional 2002, adjunto a la Encuesta Nacional de Empleo	INEGI	migracion	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
MÓDULO SOBRE EVENTOS CULTURALE	Módulo sobre Eventos Culturales Seleccionados	INEGI.	cultura_valores_opinion	no	sí	?	0		0	0		NO-EN-ESTE-APARTADO
MÓDULOS Y ENCUESTAS COMPLEMENT	Módulos y encuestas complementarias del INEGI con contenido parcial del dominio	Ediciones | Cobertura | Microdatos | Contenido pertinente	salud	no	?	?	0		0	0		NO-EN-ESTE-APARTADO
OCDE	Health at a Glance: Latin America and the Caribbean	OCDE, con Banco Mundial.	clase-fuente	no	?	sí	0		0	0		NO-EN-ESTE-APARTADO
OHSS	Yearbook of Immigration Statistics y series mensuales de la Office of Homeland Security Statistics	Office of Homeland Security Statistics, U.S. Department of Homeland Security (antes Office of Immigration Statistics)	migracion	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
OTROS SUBSISTEMAS DE LA DGIS	Otros subsistemas de la DGIS	DGIS, Secretaría de Salud `[verificado — listado de componentes]`.	salud	no	?	sí	0		0	0		NO-EN-ESTE-APARTADO
PEW RESEARCH CENTER	Global Attitudes / Religious Landscape	Pew Research Center.	cultura_valores_opinion	no	sí	?	0		0	0		NO-EN-ESTE-APARTADO
PI	Portafolio de Información	CNBV.	credito-ahorro-finanzas-hogar	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
PL	Pobreza Laboral (PL) e Índice de la Tendencia Laboral de la Pobreza	INEGI. Anteriormente Consejo Nacional de Evaluación de la Política de Desarrollo Social (CONEVAL): el 16 de julio de 2025 las reformas legales formalizaron la desaparición del CONEVAL y transfirieron al INEGI la medición de la pobreza y la evaluación integral de la política de desarrollo social, asumidas formalmente desde el 17 de julio de 2025. En diciembre de 2025 se publicó en el DOF la creación de la Dirección General de Evaluación y Medición de Pobreza dentro del INEGI.	trabajo_ingreso_formalidad	no	no	sí	0		0	0		NO-EN-ESTE-APARTADO
