id_manifiesto	raiz	archivo	sha256_declarado	tamano_declarado	estado_observado	universo_busqueda	mecanismo	fecha	razon
abmex2021_technical_report_v1_0_final_eng_110921	descargas_mx	[REDACTADO-PRIVACIDAD]	485b9e37c0b845e56caf5dc9b4a37e2fa6271a82b41f709d960ccd8ab58ee2a2	191445	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
abmex2023_technical_report_v4_0_final_eng_231117	descargas_mx	[REDACTADO-PRIVACIDAD]	f12f33d7c957f2020eb3e7a2c49e9bc21fe0372b501f753fcbfcb929541e4b05	222999	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
ages_125_alumnos_10	descargas_mx	AGEs 125 - Alumnos 10.pdf	27af792f50294b987c6c06e18ae34c3edaa435305a351c673f049352b3d92dff	662968	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
ages_125_directores_10	descargas_mx	AGEs 125 - Directores 10.pdf	3827e3d47e2a439e95ee99fde5c8fbc80dd77ce70bccdc9627d5922f5e23a058	441376	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
ages_125_maestros_10	descargas_mx	AGEs 125 - Maestros 10.pdf	d6fa16934f75a66c5a59228001813a7fce9e439b188fdd6c86b4cb79f490e605	436084	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
ages_125_padres_10	descargas_mx	AGEs 125 - Padres 10.pdf	83c1b7f7dc2aeda91ee872b7300a219a3e0432a0ce9a6dff203dca0d9e72a8a5	490676	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
datadetails	descargas_mx	DataDetails.xls	2b88ef960078381b9ecdc439bd57a5f1c1e06da81cb9caac21f16b9cfca343c3	682496	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
dataverse_files	descargas_mx	dataverse_files.zip	6358fb5ef7aaafaa186940591c27bd4fc52c66ecca37e3e9381040c270a4096d	9987996	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
ddi_documentation_english_microdata_2049	descargas_mx	ddi-documentation-english_microdata-2049.pdf	8a52a2866e0cb19cf3e6b95d74c8e3edeaa75d386d7edd2dad7a8fb672e2216f	188156	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
ddi_documentation_english_microdata_2661	descargas_mx	ddi-documentation-english_microdata-2661.pdf	98e6a7af6f136f44aa70bacf3d9d861cbe013f7f04a6b2f54db53d39007eec68	350548	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
descargamasiva_1382026_134046	descargas_mx	DescargaMasiva_1382026_134046.zip	16813631ba7be8af0ed5a0bf023e767903087f5992a6f2a1bccac8c75afb71c1	603147	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
ea3385cf_en	descargas_mx	ea3385cf-en.pdf	809f88f32a4ec886cab0dd60bb4be2ac278849947a4f9efad5f6bb5df1ebc10e	6433711	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
gps_dataset	descargas_mx	GPS_Dataset.zip	00bbf0b335df3a6ec2d55e98c364c271ade4da6afda16cc6fa41f1605e51da44	6109324	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
gps_dataset_country_level	descargas_mx	GPS_dataset_country_level.zip	6f453e8dffdf41b2f854e4ef287b377651ae8de6a9da93439b03f927e21e4074	19034	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
gps_questionnaires	descargas_mx	GPS_Questionnaires.zip	ef0b2070e8d837cd2fa8200441b087a5e5a024a9351c1b0a5ed9becf08b80e41	287039	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
license	descargas_mx	LICENSE.txt	df9617509f34b9cbe7e8112356cb9f2a3152daeea5921c6c31df17b98518c0c2	14974	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
mex_2010_iepep_v01_m_v01_a_puf	descargas_mx	MEX_2010_IEPEP_v01_M_v01_A_PUF.xml	1be3954374452925c0687f8277536cb9a2756f7eabf24eefe5463cd74a552e7b	1634808	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
mex_2010_iepep_v01_m_v01_a_puf_ascii_sas	descargas_mx	MEX_2010_IEPEP_v01_M_v01_A_PUF_ASCII_SAS.zip	8e245bd56744407ed9730abc1f01db7fdfa5ef1c0710988653c4f721ca10782b	1247226	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
mex_2010_iepep_v01_m_v01_a_puf_ascii_spss	descargas_mx	MEX_2010_IEPEP_v01_M_v01_A_PUF_ASCII_SPSS.zip	6a214a241bcb70e5d08123771e3a070eb213064a76d9764b008fd57ac30e5331	1241470	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
mex_2010_iepep_v01_m_v01_a_puf_spss	descargas_mx	MEX_2010_IEPEP_v01_M_v01_A_PUF_SPSS.zip	567e024217b6ff3a095ba2e9cd92cddba7e45e1b4c56bcaa7cec8ac7e3959dc6	1296385	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
mex_2010_iepep_v01_m_v01_a_puf_stata8	descargas_mx	MEX_2010_IEPEP_v01_M_v01_A_PUF_STATA8.zip	9b1777f4cc49d69381bd911f87ed770e33a351eb0dd44a174796b783b1ce6c43	1225843	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
mex_2011_lfepie_v01_m	descargas_mx	MEX_2011_LFEPIE_v01_M.xml	c7ae3180b897a65982aa2c49fdbc96671687867e54d69487f3771ff9545461f4	317584	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
mex_2011_lfepie_v01_m_ascii_sas_spss	descargas_mx	MEX_2011_LFEPIE_v01_M_ASCII_SAS_SPSS.zip	5d6dcb6137344c0ab041a4627561ba4a74b4dd060089980e68bec4eba986fe01	223372	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
mex_2011_lfepie_v01_m_spss	descargas_mx	MEX_2011_LFEPIE_v01_M_SPSS.zip	cbebbf0faf1375ea2cf7d2e73ed995f11288e6ab6969dc1ddcbbdfbe6289a69c	192837	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
mex_2011_lfepie_v01_m_stata8	descargas_mx	MEX_2011_LFEPIE_v01_M_Stata8.zip	765dc43b7d556723ca358002e4b479f774f7b6e502ea086c8e182f76382efb8b	245845	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
mex_2012_2014_ecepie_v01_m_v01_a_puf	descargas_mx	MEX_2012-2014_ECEPIE_v01_M_v01_A_PUF.xml	714056e1f36d52bc08236cf3c0a6fe084055db1fa3d9bb86d6b9903c954b33cf	1258485	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
mex_2012_2014_ecepie_v01_m_v01_a_puf_sas_spss_ascii	descargas_mx	MEX_2012-2014_ECEPIE_v01_M_v01_A_PUF_SAS_SPSS_ASCII.zip	c528dce803fae07b8439c61e4c5068bae4583144ce1f2199cbfe033ac34ef086	1147259	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
mex_2012_2014_ecepie_v01_m_v01_a_puf_spss	descargas_mx	MEX_2012-2014_ECEPIE_v01_M_v01_A_PUF_SPSS.zip	2e6cf60b874b261e9831a1ae6b32c4f193788a1a7416bf6587d2a420c8ccde91	1252117	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
mex_2012_2014_ecepie_v01_m_v01_a_puf_stata12_with_unique_spanish_characters	descargas_mx	MEX_2012-2014_ECEPIE_v01_M_v01_A_PUF_Stata12-with unique Spanish characters.zip	e2d9c865a83d6e411d9058f8a00f63171ee6bf601231d4c46559c134a3f74134	1669994	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
mex_2012_2014_ecepie_v01_m_v01_a_puf_stata12_without_unique_spanish_characters	descargas_mx	MEX_2012-2014_ECEPIE_v01_M_v01_A_PUF_Stata12 - without unique Spanish characters.zip	7ad557106f1cb1e5c57ec2a96c4375a53fb5acd134b31c8d7e677493b732009f	1447314	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
mex_2021_lapop_americasbarometer_v1_2_w	descargas_mx	MEX_2021_LAPOP_AmericasBarometer_v1.2_w.dta	153fb0f81acfffb41bbe247b7fce81159350e1fdfcb342a14bb034bcb7d95566	1687348	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
mex_2023_lapop_americasbarometer_v1_0_w	descargas_mx	MEX_2023_LAPOP_AmericasBarometer_v1.0_w.dta	4a9410a53cde9d11edeb23465bdbadce8a6abcc18330b6eebe2a4493be6e765c	1136219	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
mex_2023_lapop_americasbarometer_v1_0_w_2	descargas_mx	MEX_2023_LAPOP_AmericasBarometer_v1.0_w.sav	a355e4ca93476d66a4138ec7f565574214fbba517de219d71ff1c2851a61fa2a	859299	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
mex_pilp_tb_v1	descargas_mx	MEX_PILP_TB_v1.xlsx	240986e507bc445592da2641a5d640360e8204c3ed65b09ca60922100d97fae7	17139	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
mexico_americasbarometer_2018_19_technical_report_w_100919	descargas_mx	Mexico_AmericasBarometer_2018-19_Technical_Report_W_100919.pdf	35aa8f4b2f2a2aae613ae6e4b7e0ee47278bfc33869568e84f708da9affb544f	340084	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
mexico_lapop_americasbarometer_2019_codebook_v1_0_w	descargas_mx	Mexico LAPOP AmericasBarometer 2019_Codebook_v1.0_W.pdf	4efa5809c3fde487516a60acf782f013444889a775bf368745c8da577cba75ce	246587	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
mexico_lapop_americasbarometer_2019_v1_0_w	descargas_mx	Mexico LAPOP AmericasBarometer 2019 v1.0_W.dta	c88f79ebb8e73c473cd78d894eb093261f172e736a35bd7bc677b4e8b1454a57	832946	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
mexico_synthesisreport	descargas_mx	Mexico_SynthesisReport.pdf	e00f981f5f15eb1e11721c05950d5aa922c8a53fe7a4aa0172f1aa953a4d3446	126444	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
mm_users_manual_0515	descargas_mx	MM_users_manual_0515.pdf	03541007078e661e4df11863f5c62fbe9adb3f745e91547446d05737fcf7cd45	122934	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
