# data/emparejamiento-motor-v1_1.tsv -- ACTO MAESTRA32-E6 · ETIQUETA-v1_2, COMMIT-2 (re-corrida)
# Re-corrida VERBATIM de la especificacion congelada de MAESTRA32-E2
# (forense/notas/2026-08-28-empareja-spec.md, COMMIT-1) sobre las tablas
# reparadas por este acto: data/inventario-reactivos-v1_2.tsv +
# data/inventario-fd-v1_1.tsv, en vez de v1_1/v1_0. Ningun termino, criterio
# de CANDIDATO/circularidad/co-observacion cambio. Detalle de la re-corrida y
# de las dos claves DESCARTES re-clavadas: forense/notas/2026-08-30-etiqueta-v1_2-cierre.md.
gen	coef	lado	variable_id	instrumento	texto	via	veredicto_candidato	razon	tabla	termino
G5	familismo_apoyo	desenlace	FILTRO5_6	enasic2022	FILTRO 5.6: ¿CUIDA A OTROS HOGARES? (4.69 = 6 EN EL RENGLÓN DE LA PERSONA ENTREVISTADA)	texto	CANDIDATO		inventario-fd-v1_1	cuida a
G5	familismo_apoyo	desenlace	P6_47	enasic2022	6.47 Si a usted le pagaran, ¿le gustaría ser cuidador(a) profesional de personas?	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	familismo_apoyo	desenlace	P6_48	enasic2022	6.48 ¿Usted estaría dispuesta(o) a capacitarse para ser cuidador(a) de personas?	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	familismo_apoyo	desenlace	P7_9_01	enasic2022	7.9.01 (ENTREGUE TARJETA 4) En la siguiente pregunta, por favor use las respuestas que vienen en la tarjeta. En su opinión, ¿cuáles son las tres características principales que deben tener las reside…	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	familismo_apoyo	desenlace	EDAD	enasic2022	Edad de la persona cuidadora	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	familismo_apoyo	desenlace	FILTRO5_6	enasic2022	FILTRO 5.6: ¿CUIDA A OTROS HOGARES? (4.69 = 6 EN EL RENGLÓN DE LA PERSONA ENTREVISTADA)	texto	CANDIDATO		inventario-fd-v1_1	cuida a
G5	familismo_apoyo	desenlace	FILTRO6_10	enasic2022	FILTRO 6.10: ¿LA (EL) INFORMANTE ES CUIDADOR(A) DE PERSONAS DE SU HOGAR Y/O DE OTROS HOGARES? (6.1 = 1 Y/O 6.13 = 1 Y/O 6.15 = 1 Y/O 6.17 = 1 Y/O 6.19 = 1 Y/O 6.21 = 1 Y/O (6.32 = ALGÚN CÓDIGO 1 EN O…	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	familismo_apoyo	desenlace	LLAVEMOD	enasic2022	Llave de identificación de la persona cuidadora	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	familismo_apoyo	desenlace	P6_47	enasic2022	6.47 Si a usted le pagaran, ¿le gustaría ser cuidador(a) profesional de personas?	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	familismo_apoyo	desenlace	P6_48	enasic2022	6.48 ¿Usted estaría dispuesta(o) a capacitarse para ser cuidador(a) de personas?	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	familismo_apoyo	desenlace	P7_9_01	enasic2022	7.9.01 (ENTREGUE TARJETA 4) En la siguiente pregunta, por favor use las respuestas que vienen en la tarjeta. En su opinión, ¿cuáles son las tres características principales que deben tener las reside…	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	familismo_apoyo	desenlace	SEXO	enasic2022	Sexo de la persona cuidadora	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	familismo_apoyo	desenlace	P2_6_3	enut2019	2.6 ¿En este hogar contratan enfermeras(os) o cuidadoras(es) de niñas, niños o de personas mayores o con alguna discapacidad o enfermedad?	texto	DESCARTADO-con-razón	"mide contratación de cuidador(a) remunerado(a) externo (sustituye a la familia), polo opuesto de ""carga de cuidado"" recayendo en la familia -- re-clavado de '(raiz)' a 'enut2019' (ACTO MAESTRA32-E6, enut2019_fd.xlsx ya resuelto por la regla v1_1 aplicada por primera vez a la capa FD)"	inventario-fd-v1_1	cuidador
G5	radio_confianza	theta	P30_1. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? La radio	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_10. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? Los vecinos	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_11. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? La familia	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_12. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? El gobierno	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_13. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? Las organizaciones de ciudadanos3	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_14. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? El Presidente de la República	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_15. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? El Instituto Federal Electoral	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_16. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? La Comisión Nacional de Derechos Humanos	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_17. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? Los jueces	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_18. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? La Suprema Corte de Justicia	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_19. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? Los diputados	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_2. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? La prensa	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_20. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? Los senadores	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_21. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? Los gobernadores estatales o jefe de gobierno	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_22. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? Los presidentes municipales o Jefes delegacionales	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_23. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? La Policía	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_24. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? El Ejército	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_25. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? Los militares	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_26. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? Los partidos políticos	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_27. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? Las organizaciones indígenas y campesina	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_3. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? La televisión	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_4. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? Las redes sociales	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_5. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? Los empresarios	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_6. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? La iglesia	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_7. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? Los maestros	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_8. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? Los médicos	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P30_9. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? Los sindicatos	encup2012		id	CANDIDATO		inventario-reactivos-v1_2	confía en
G5	radio_confianza	theta	P5_7_2	enif2015	no confía en las instituciones financieras o le dan mal servicio?	texto	CANDIDATO		inventario-fd-v1_1	confía en
G5	radio_confianza	theta	P6_6_3	enif2015	no confía en las instituciones financieras o le dan mal servicio?	texto	CANDIDATO		inventario-fd-v1_1	confía en
G5	radio_confianza	theta	P7_3_5	enif2015	¿No confía en las aseguradoras?	texto	CANDIDATO		inventario-fd-v1_1	confía en
G5	radio_confianza	theta	P5_4_5	enif2012	No confía en los bancos	texto	CANDIDATO		inventario-fd-v1_1	confía en
G5	radio_confianza	theta	P6_5_3	enif2012	No confía en los bancos o le dan mal servicio	texto	CANDIDATO		inventario-fd-v1_1	confía en
G5	radio_confianza	theta	P2_1	mociba2016	2. La situación de (Que una persona lo(a) registre en un servicio o sitio para ser blanco de spam, virus y/o contacto con desconocidos), principalmente, ¿a través de qué medio se dio?	texto	DESCARTADO-con-razón	homónimo: exposición a spam/virus/contacto de desconocidos en internet (uso de TIC), no radio de confianza interpersonal	inventario-fd-v1_1	desconocidos
G5	radio_confianza	desenlace	NCUIDADORA	elcos2012		id	CANDIDATO		inventario-reactivos-v1_2	cuidador
G5	radio_confianza	desenlace	P28B. Dígame si está usted de acuerdo o en desacuerdo con las siguientes frases Si uno no se cuida a sí mismo la gente se aprovechará	encup2012		id	DESCARTADO-con-razón	"homónimo: ítem de autocuidado/confianza generalizada (""si uno no se cuida a sí mismo la gente se aprovechará""), no carga de cuidado familiar"	inventario-reactivos-v1_2	cuida a
G5	radio_confianza	desenlace	U_POB_ELAB_CUL	censo2020	Población usuaria de 12 a 130 años que elabora o cultiva productos o cuida animales	texto	DESCARTADO-con-razón	homónimo: cuidado de animales/cultivo agrícola, no cuidado de personas -- re-clavado de '(raiz)' a 'censo2020' (ACTO MAESTRA32-E6, Censo2020_CAAS_descriptor_bd.xlsx ya resuelto por la regla v1_1 aplicada por primera vez a la capa FD)	inventario-fd-v1_1	cuida a
G5	radio_confianza	desenlace	CUIDA_ADULTO_18	enasem2018	Uso del tiempo: Cuida a un adulto enfermo o discapacitado 2018	texto	CANDIDATO		inventario-fd-v1_1	cuida a
G5	radio_confianza	desenlace	CUIDA_MENOR_18	enasem2018	Uso del tiempo: Cuida a niños menores de 12 años 2018	texto	CANDIDATO		inventario-fd-v1_1	cuida a
G5	radio_confianza	desenlace	CUIDA_ADULTO_18	enasem2021	Uso del tiempo: Cuida a un adulto enfermo o discapacitado 2021	texto	CANDIDATO		inventario-fd-v1_1	cuida a
G5	radio_confianza	desenlace	CUIDA_MENOR_18	enasem2021	Uso del tiempo: Cuida a niños menores de 12 años 2021	texto	CANDIDATO		inventario-fd-v1_1	cuida a
G5	radio_confianza	desenlace	CUIDA_ADULTO_24	enasem2024	Uso del tiempo: Cuida a un adulto enfermo o discapacitado 2024	texto	CANDIDATO		inventario-fd-v1_1	cuida a
G5	radio_confianza	desenlace	CUIDA_MENOR_24	enasem2024	Uso del tiempo: Cuida a niños menores de 12 años 2024	texto	CANDIDATO		inventario-fd-v1_1	cuida a
G5	radio_confianza	desenlace	P4_14_1	enasic2022	4.14.1 ¿Este tiempo o cuidados para (NOMBRE) lo complementarían con el apoyo de una enfermera(o) o persona cuidadora?	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	radio_confianza	desenlace	P4_18	enasic2022	4.18 (Aunque en la semana pasada nadie del hogar la(o) cuidó), ¿quién es la cuidadora o cuidador principal de (NOMBRE) en el hogar?	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	radio_confianza	desenlace	P4_18A	enasic2022	4.18a El (la) cuidador(a) principal ¿qué es de (NOMBRE)	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	radio_confianza	desenlace	P4_29	enasic2022	4.29 (Aunque en la semana pasada nadie del hogar la(o) cuidó), ¿quién es la cuidadora o cuidador principal de (NOMBRE) en el hogar?	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	radio_confianza	desenlace	P4_29A	enasic2022	4.29a El (la) cuidador(a) principal ¿qué es de (NOMBRE)?	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	radio_confianza	desenlace	P4_3	enasic2022	4.3 (Aunque en la semana pasada nadie del hogar la(o) cuidó), ¿quién es la cuidadora o cuidador principal de (NOMBRE) en el hogar?	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	radio_confianza	desenlace	P4_3A	enasic2022	4.3a El (la) cuidador(a) principal ¿qué es de (NOMBRE)?	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	radio_confianza	desenlace	P4_44	enasic2022	4.44 (Aunque en la semana pasada nadie del hogar la(o) cuidó), ¿quién es la cuidadora o cuidador principal de (NOMBRE) en el hogar?	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	radio_confianza	desenlace	P4_44A	enasic2022	4.44a El (la) cuidador(a) principal ¿qué es de (NOMBRE)?	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	radio_confianza	desenlace	P4_55_2	enasic2022	4.55.2 ¿Este tiempo o cuidados que le faltan a (NOMBRE) si pudiera los cubriría con el apoyo o atención de personal de enfermería o persona cuidadora?	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	radio_confianza	desenlace	P4_60	enasic2022	4.60 (Aunque en la semana pasada nadie del hogar la(o) cuidó), ¿quién es la cuidadora o cuidador principal de (NOMBRE) en el hogar?	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	radio_confianza	desenlace	P4_60A	enasic2022	4.60a El (la) cuidador(a) principal ¿qué es de (NOMBRE)?	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	radio_confianza	desenlace	P4_69NA	enasic2022	4.69.NA IDENTIFICACIÓN DE POBLACIÓN OBJETIVO DE 15 AÑOS Y MÁS - NO APLICA (NO ES PERSONA ELEGIDA, NI CUIDADORA Y NO PERTENECE A UN HOGAR UNIPERSONAL)	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	radio_confianza	desenlace	P2_4_4	enasic2022	2.4.4 ¿En este hogar contratan personas cuidadoras de niñas, niños, de personas adultas mayores o con alguna discapacidad o enfermedad?	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	radio_confianza	desenlace	FILTRO5_6	enasic2022	FILTRO 5.6: ¿CUIDA A OTROS HOGARES? (4.69 = 6 EN EL RENGLÓN DE LA PERSONA ENTREVISTADA)	texto	CANDIDATO		inventario-fd-v1_1	cuida a
G5	radio_confianza	desenlace	P6_47	enasic2022	6.47 Si a usted le pagaran, ¿le gustaría ser cuidador(a) profesional de personas?	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	radio_confianza	desenlace	P6_48	enasic2022	6.48 ¿Usted estaría dispuesta(o) a capacitarse para ser cuidador(a) de personas?	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	radio_confianza	desenlace	P7_9_01	enasic2022	7.9.01 (ENTREGUE TARJETA 4) En la siguiente pregunta, por favor use las respuestas que vienen en la tarjeta. En su opinión, ¿cuáles son las tres características principales que deben tener las reside…	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	radio_confianza	desenlace	FILTRO5_6	enasic2022	FILTRO 5.6: ¿CUIDA A OTROS HOGARES? (4.69 = 6 EN EL RENGLÓN DE LA PERSONA ENTREVISTADA)	texto	CANDIDATO		inventario-fd-v1_1	cuida a
G5	radio_confianza	desenlace	P6_47	enasic2022	6.47 Si a usted le pagaran, ¿le gustaría ser cuidador(a) profesional de personas?	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	radio_confianza	desenlace	P6_48	enasic2022	6.48 ¿Usted estaría dispuesta(o) a capacitarse para ser cuidador(a) de personas?	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	radio_confianza	desenlace	P7_9_01	enasic2022	7.9.01 (ENTREGUE TARJETA 4) En la siguiente pregunta, por favor use las respuestas que vienen en la tarjeta. En su opinión, ¿cuáles son las tres características principales que deben tener las reside…	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	radio_confianza	desenlace	EDAD	enasic2022	Edad de la persona cuidadora	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	radio_confianza	desenlace	FILTRO5_6	enasic2022	FILTRO 5.6: ¿CUIDA A OTROS HOGARES? (4.69 = 6 EN EL RENGLÓN DE LA PERSONA ENTREVISTADA)	texto	CANDIDATO		inventario-fd-v1_1	cuida a
G5	radio_confianza	desenlace	FILTRO6_10	enasic2022	FILTRO 6.10: ¿LA (EL) INFORMANTE ES CUIDADOR(A) DE PERSONAS DE SU HOGAR Y/O DE OTROS HOGARES? (6.1 = 1 Y/O 6.13 = 1 Y/O 6.15 = 1 Y/O 6.17 = 1 Y/O 6.19 = 1 Y/O 6.21 = 1 Y/O (6.32 = ALGÚN CÓDIGO 1 EN O…	texto	CANDIDATO		inventario-fd-v1_1	cuidador
G5	radio_confianza	desenlace	LLAVEMOD	enasic2022	Llave de identificación de la persona cuidadora	texto	CANDIDATO		inventario-fd-v1_1	cuidador
