# DERIVADO por tools/crosswalk_tablas_fd.py (crosswalk-tablas-fd-1.0.0). NO se edita a mano: se re-genera.
# ACTO GEN2-CAJA-REACTIVOS-FD-1 (15/sep/2026, CAJA). Acredita NC-0245 leyendo el FD REAL
# desde la raíz montada. Cero microdato abierto: sólo descriptores y metadato indexado.
# umbrales: cobertura>=0.95 margen>=0.3
# Un emparejamiento que el FD no sostiene NO está aquí: está en el residual, con motivo.
instrumento	archivo_miembro	payload_id	hoja_fd	payload_id_fd	sha256_12_fd	metodo	evidencia_fd	clave_variable	variables_miembro	variables_hoja	variables_comunes	cobertura	margen	filas_ciegas_cubiertas
endutih2023	tic_2023_usuarios2.DBF	endutih2023/endutih2023_bd_dbf.zip	tic_2023_usuarios2	endutih2023/FD_ENDUTIH2023.xlsx	0f78146a6d61	FD-DECLARA-TABLA	celda «Tabla: tic_2023_usuarios2»	casefold+sufijo-de-ola	93	92	92	0.9892	0.8172	1
endutih2023	tic_2023_viviendas.DBF	endutih2023/endutih2023_bd_dbf.zip	tic_2023_viviendas	endutih2023/FD_ENDUTIH2023.xlsx	0f78146a6d61	FD-DECLARA-TABLA	celda «Tabla: tic_2023_viviendas»	casefold+sufijo-de-ola	20	19	19	0.9500	0.5500	1
endutih2024	tic_2024_hogares.DBF	endutih2024/endutih2024_bd_dbf.zip	tic_2024_hogares	endutih2024/fd_endutih2024.xlsx	ecdf95924b0b	FD-DECLARA-TABLA	celda «Tabla: tic_2024_hogares»	casefold+sufijo-de-ola	105	104	104	0.9905	0.8857	1
endutih2024	tic_2024_residentes.DBF	endutih2024/endutih2024_bd_dbf.zip	tic_2024_residentes	endutih2024/fd_endutih2024.xlsx	ecdf95924b0b	FD-DECLARA-TABLA	celda «Tabla: tic_2024_residentes»	casefold+sufijo-de-ola	28	27	27	0.9643	0.3571	1
endutih2024	tic_2024_usuarios.DBF	endutih2024/endutih2024_bd_dbf.zip	tic_2024_usuarios	endutih2024/fd_endutih2024.xlsx	ecdf95924b0b	FD-DECLARA-TABLA	celda «Tabla: tic_2024_usuarios»	casefold+sufijo-de-ola	232	231	231	0.9957	0.9181	1
endutih2024	tic_2024_usuarios2.DBF	endutih2024/endutih2024_bd_dbf.zip	tic_2024_usuarios2	endutih2024/fd_endutih2024.xlsx	ecdf95924b0b	FD-DECLARA-TABLA	celda «Tabla: tic_2024_usuarios2»	casefold+sufijo-de-ola	95	94	94	0.9895	0.8000	1
endutih2024	tic_2024_viviendas.DBF	endutih2024/endutih2024_bd_dbf.zip	tic_2024_viviendas	endutih2024/fd_endutih2024.xlsx	ecdf95924b0b	FD-DECLARA-TABLA	celda «Tabla: tic_2024_viviendas»	casefold+sufijo-de-ola	22	21	21	0.9545	0.5000	1
endutih2025	ti25hog.dbf	endutih2025/endutih2025_bd_dbf.zip	tic_2025_hogares	endutih2025/fd_endutih2025.xlsx	d02caecea044	IDENTIDAD-DE-VARIABLES	104/104 variables del miembro emparejan; margen 0.89 sobre la segunda candidata; emparejamiento mutuo	casefold+sufijo-de-ola	104	104	104	1.0000	0.8942	104
endutih2025	ti25res.dbf	endutih2025/endutih2025_bd_dbf.zip	tic_2025_residentes	endutih2025/fd_endutih2025.xlsx	d02caecea044	IDENTIDAD-DE-VARIABLES	27/28 variables del miembro emparejan; margen 0.36 sobre la segunda candidata; emparejamiento mutuo	casefold+sufijo-de-ola	28	27	27	0.9643	0.3571	28
endutih2025	ti25usu.dbf	endutih2025/endutih2025_bd_dbf.zip	tic_2025_usuarios	endutih2025/fd_endutih2025.xlsx	d02caecea044	IDENTIDAD-DE-VARIABLES	239/239 variables del miembro emparejan; margen 0.92 sobre la segunda candidata; emparejamiento mutuo	casefold+sufijo-de-ola	239	239	239	1.0000	0.9247	239
endutih2025	ti25usu2.dbf	endutih2025/endutih2025_bd_dbf.zip	tic_2025_usuarios2	endutih2025/fd_endutih2025.xlsx	d02caecea044	IDENTIDAD-DE-VARIABLES	108/108 variables del miembro emparejan; margen 0.83 sobre la segunda candidata; emparejamiento mutuo	casefold+sufijo-de-ola	108	108	108	1.0000	0.8333	108
endutih2025	ti25viv.dbf	endutih2025/endutih2025_bd_dbf.zip	tic_2025_viviendas	endutih2025/fd_endutih2025.xlsx	d02caecea044	IDENTIDAD-DE-VARIABLES	21/22 variables del miembro emparejan; margen 0.50 sobre la segunda candidata; emparejamiento mutuo	casefold+sufijo-de-ola	22	21	21	0.9545	0.5000	22
mociba2015	tciberacoso.dbf	mociba2015/mociba2015_bd_dbf.zip	TCiberacoso	mociba2015/mociba2015_fd.xlsx	d22b978b21b4	FD-DECLARA-TABLA	celda «Tabla:Tciberacoso»	casefold+sufijo-de-ola	158	136	136	0.8608	0.8608	22
mociba2016	MOD_2016_CIBERACOSO.DBF	mociba2016/mociba2016_bd_dbf.zip	MOD_2016_CIBERACOSO	mociba2016/mociba2016_fd.xlsx	bf54150e6b7e	FD-DECLARA-TABLA	celda «Tabla:MOD_2016_CIBERACOSO»	casefold+sufijo-de-ola	208	207	206	0.9904	0.9904	2
mociba2016	MOD_2016_CIBERACOSO.sav	mociba2016/mociba2016_bd_sav.zip	MOD_2016_CIBERACOSO	mociba2016/mociba2016_fd.xlsx	bf54150e6b7e	FD-DECLARA-TABLA	celda «Tabla:MOD_2016_CIBERACOSO»	casefold+sufijo-de-ola	208	207	206	0.9904	0.9904	2
mociba2017	mod_2017_ciberacoso.dbf	mociba2017/mociba2017_bd_dbf.zip	MOD_2017_CIBERACOSO	mociba2017/mociba2017_fd.xlsx	636f2df5f630	FD-DECLARA-TABLA	celda «Tabla:MOD_2017_CIBERACOSO»	casefold+sufijo-de-ola	171	170	170	0.9942	0.9942	1
mociba2017	mod_2017_ciberacoso.sav	mociba2017/mociba2017_bd_sav.zip	MOD_2017_CIBERACOSO	mociba2017/mociba2017_fd.xlsx	636f2df5f630	FD-DECLARA-TABLA	celda «Tabla:MOD_2017_CIBERACOSO»	casefold+sufijo-de-ola	171	170	170	0.9942	0.9942	1
