id	raiz	archivo	familia	bytes_declarados	bytes_reales	C-EXISTE	C-HASH	C-ESTRUCTURA	miembro_corrupto	mtime_real
enigh2022_nc_csv	data_raw	enigh2022_nc_csv.zip	zip	90030937	90030937	EXISTE	COINCIDE	INTEGRO		2026-07-30T04:21:52-06:00
ennvih1_2002_hogar_dta	data_raw	ennvih/ehh02dta_all.zip	zip	17534918	17534918	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:13-06:00
ennvih1_2002_hogar_cb	data_raw	ennvih/ehh02cb_all.zip	zip	2195863	2195863	EXISTE	COINCIDE	ERROR:NotImplementedError	That compression method is not supported	2026-07-30T10:56:14-06:00
ennvih1_2002_hogar_q	data_raw	ennvih/ehh02q_all.zip	zip	3750632	3750632	EXISTE	COINCIDE	ERROR:NotImplementedError	That compression method is not supported	2026-07-30T10:56:15-06:00
ennvih1_2002_ponderador	data_raw	ennvih/ehh02w_all.zip	zip	755310	755310	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:15-06:00
ennvih1_2002_local_dta	data_raw	ennvih/eloc02dta_all.zip	zip	1591239	1591239	EXISTE	COINCIDE	ERROR:NotImplementedError	That compression method is not supported	2026-07-30T10:56:16-06:00
ennvih1_2002_local_cb	data_raw	ennvih/eloc02cb_all.zip	zip	901067	901067	EXISTE	COINCIDE	ERROR:NotImplementedError	That compression method is not supported	2026-07-30T10:56:17-06:00
ennvih1_2002_local_q	data_raw	ennvih/eloc02q_all.zip	zip	5995112	5995112	EXISTE	COINCIDE	ERROR:NotImplementedError	That compression method is not supported	2026-07-30T10:56:18-06:00
ennvih1_2002_guia	data_raw	ennvih/guiausuariov1.pdf	pdf	483275	483275	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:19-06:00
ennvih2_2005_hogar_dta	data_raw	ennvih/ehh05dta_all.zip	zip	20198874	20198874	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:21-06:00
ennvih2_2005_hogar_cb	data_raw	ennvih/ehh05cb_all.zip	zip	1184711	1184711	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:22-06:00
ennvih2_2005_hogar_q	data_raw	ennvih/ehh05q_all.zip	zip	2913036	2913036	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:23-06:00
ennvih2_2005_ponderador_transversal	data_raw	ennvih/ehh05w_all.zip	zip	759009	759009	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:23-06:00
ennvih2_2005_ponderador_longitudinal	data_raw	ennvih/ehh05lw_all.zip	zip	698559	698559	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:24-06:00
ennvih2_2005_local_dta	data_raw	ennvih/eloc05dta_all.zip	zip	417340	417340	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:25-06:00
ennvih2_2005_local_cb	data_raw	ennvih/eloc05cb_all.zip	zip	166796	166796	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:25-06:00
ennvih2_2005_local_q	data_raw	ennvih/eloc05q_all.zip	zip	642097	642097	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:26-06:00
ennvih2_2005_guia	data_raw	ennvih/guiausuariov2.pdf	pdf	307528	307528	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:27-06:00
ennvih3_2009_hogar_dta	data_raw	ennvih/ehh09dta_all.zip	zip	26376091	26376091	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:29-06:00
ennvih3_2009_hogar_cb	data_raw	ennvih/ehh09cb_all.zip	zip	10077598	10077598	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:31-06:00
ennvih3_2009_hogar_q	data_raw	ennvih/ehh09q_all.zip	zip	6156032	6156032	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:32-06:00
ennvih3_2009_ponderador_transversal	data_raw	ennvih/ehh09w_all.zip	zip	876722	876722	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:33-06:00
ennvih3_2009_ponderador_longitudinal	data_raw	ennvih/ehh09lw_all.zip	zip	655349	655349	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:33-06:00
ennvih3_2009_local_dta	data_raw	ennvih/eloc09dta_all.zip	zip	423878	423878	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:34-06:00
ennvih3_2009_local_cb	data_raw	ennvih/eloc09cb_all.zip	zip	1796199	1796199	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:35-06:00
ennvih3_2009_local_q	data_raw	ennvih/eloc09q_all.zip	zip	2618552	2618552	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:36-06:00
ennvih3_2009_guia	data_raw	ennvih/guia_de_usuario_ennvih-3.pdf	pdf	774086	774086	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:36-06:00
ennvih3_2009_factores_exp	data_raw	ennvih/calculo-de-factores-de-expansion.pdf	pdf	337947	337947	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:37-06:00
encuci2020_bd_dbf	data_raw	BD_ENCUCI2020_dbf.zip	zip	6913684	6913684	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:27:02-06:00
encuci2020_fd_pdf	data_raw	FD_ENCUCI2020.pdf	pdf	1758249	1758249	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:27:02-06:00
descargamasiva_3072026_105543	descargas_mx	DescargaMasiva_3072026_105543.zip	zip	602155	602155	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:55:45-06:00
descargamasiva_3072026_10560	descargas_mx	DescargaMasiva_3072026_10560.zip	zip	602154	602154	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:03-06:00
descargamasiva_3072026_105617	descargas_mx	DescargaMasiva_3072026_105617.zip	zip	602150	602150	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:19-06:00
descargamasiva_3072026_105625	descargas_mx	DescargaMasiva_3072026_105625.zip	zip	602154	602154	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:26-06:00
descargamasiva_3072026_10567	descargas_mx	DescargaMasiva_3072026_10567.zip	zip	602152	602152	EXISTE	COINCIDE	INTEGRO		2026-07-30T10:56:08-06:00
1_vfinal_cuestionario_hogar_ensanut_2024_etiquetas_cuestionarios	descargas_mx	1 VFINAL Cuestionario Hogar ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	pdf	662210	662210	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:18:48-06:00
2_vfinal_cuestionario_nios_0_a_9_ensanut_2024_etiquetas_cuestionarios	descargas_mx	2 VFINAL Cuestionario nios 0 a 9 ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	pdf	518103	518103	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:20:02-06:00
3_vfinal_cuestionario_adolescentes_ensanut_2024_etiquetas_cuestionarios	descargas_mx	3 VFINAL Cuestionario adolescentes ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	pdf	479013	479013	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:20:21-06:00
4_vfinal_cuestionario_adultos_ensanut_2024_etiquetas_cuestionarios	descargas_mx	4 VFINAL Cuestionario adultos ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	pdf	795644	795644	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:20:28-06:00
5_vfinal_cuestionario_utilizadores_ensanut_2024_etiquetas_cuestionarios	descargas_mx	5 VFINAL Cuestionario utilizadores ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	pdf	267996	267996	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:20:34-06:00
indice_de_bienestar_cuestionarios	descargas_mx	Indice de Bienestar.Cuestionarios.docx	zip	13255	13255	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:19:56-06:00
nse_hogar_ensanut_2024_catlogo	descargas_mx	NSE_Hogar_ENSANUT_2024.Catlogo.xlsx	zip	137855	137855	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:20:42-06:00
nse_hogar_ensanut_2024_csv_csv	descargas_mx	NSE_Hogar_ENSANUT_2024.csv.csv.zip	zip	83570	83570	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:19:46-06:00
nse_integrantes_ensanut_2024_catlogo	descargas_mx	NSE_Integrantes_ENSANUT_2024.Catlogo.xlsx	zip	138387	138387	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:20:43-06:00
nse_integrantes_ensanut_2024_csv_csv	descargas_mx	NSE_Integrantes_ENSANUT_2024.csv.csv.zip	zip	256745	256745	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:19:47-06:00
adolescentes_ensanut2024_w_csv_csv	descargas_mx	adolescentes_ensanut2024_w.csv.csv.zip	zip	416868	416868	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:19:51-06:00
adolescentes_ensanut2024_w_stata_stata	descargas_mx	adolescentes_ensanut2024_w.stata.stata.zip	zip	798929	798929	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:19:30-06:00
adultos_ensanut2024_w_catlogo_csv_csv	descargas_mx	adultos_ensanut2024_w.Catlogo.csv.csv.zip	zip	234627	234627	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:19:53-06:00
adultos_ensanut2024_w_catlogo	descargas_mx	adultos_ensanut2024_w.Catlogo.xlsx	zip	247551	247551	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:20:46-06:00
hogar_ensanut2024_w_icb_catlogo	descargas_mx	hogar_ensanut2024_w_ICB.Catlogo.xlsx	zip	162227	162227	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:20:39-06:00
hogar_ensanut2024_w_icb_csv_csv	descargas_mx	hogar_ensanut2024_w_ICB.csv.csv.zip	zip	996094	996094	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:19:39-06:00
integrantes_ensanut2024_w_icb_catlogo	descargas_mx	integrantes_ensanut2024_w_ICB.Catlogo.xlsx	zip	197249	197249	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:20:41-06:00
integrantes_ensanut2024_w_icb_csv_csv	descargas_mx	integrantes_ensanut2024_w_ICB.csv.csv.zip	zip	1858331	1858331	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:19:40-06:00
menores_ensanut2024_w_catlogo	descargas_mx	menores_ensanut2024_w.Catlogo.xlsx	zip	197357	197357	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:20:44-06:00
menores_ensanut2024_w_csv_csv	descargas_mx	menores_ensanut2024_w.csv.csv.zip	zip	617777	617777	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:19:49-06:00
menores_ensanut2024_w_stata_stata	descargas_mx	menores_ensanut2024_w.stata.stata.zip	zip	1133030	1133030	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:19:28-06:00
utilizadores_ensanut2024_w_catlogo	descargas_mx	utilizadores_ensanut2024_w.Catlogo.xlsx	zip	153149	153149	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:20:47-06:00
utilizadores_ensanut2024_w_csv_csv	descargas_mx	utilizadores_ensanut2024_w.csv.csv.zip	zip	284328	284328	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:19:54-06:00
utilizadores_ensanut2024_w_stata_stata	descargas_mx	utilizadores_ensanut2024_w.stata.stata.zip	zip	424623	424623	EXISTE	COINCIDE	INTEGRO		2026-07-30T11:19:34-06:00
enif2018_fd_xlsx	data_raw	enif_2018_fd.xlsx	zip	246905	246905	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:29-06:00
enif2018_cuestionario_pdf	data_raw	enif_2018_cuestionario.pdf	pdf	1688866	1688866	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:31-06:00
enif2021_fd_zip	data_raw	enif_2021_fd_pdf.zip	zip	1229311	1229311	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:32-06:00
enif2021_cuestionario_pdf	data_raw	enif_2021_cuestionario.pdf	pdf	1214633	1214633	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:33-06:00
enif2024_fd_xlsx	data_raw	enif_2024_fd.xlsx	zip	122271	122271	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:33-06:00
enif2024_cuestionario_pdf	data_raw	enif_2024_cuestionario.pdf	pdf	1228366	1228366	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:34-06:00
envipe2018_fd_pdf	data_raw	fd_envipe2018.pdf	pdf	1901994	1901994	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:36-06:00
envipe2018_cuest_principal_pdf	data_raw	cuest_principal_envipe2018.pdf	pdf	1601730	1601730	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:37-06:00
envipe2018_cuest_modulo_pdf	data_raw	cuest_modulo_envipe2018.pdf	pdf	1427717	1427717	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:38-06:00
envipe2019_fd_pdf	data_raw	fd_envipe2019.pdf	pdf	1918379	1918379	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:40-06:00
envipe2019_cuest_principal_pdf	data_raw	cuest_principal_envipe2019.pdf	pdf	1132943	1132943	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:41-06:00
envipe2019_cuest_modulo_pdf	data_raw	cuest_modulo_envipe2019.pdf	pdf	936504	936504	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:42-06:00
envipe2020_fd_pdf	data_raw	fd_envipe2020.pdf	pdf	1969912	1969912	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:43-06:00
envipe2020_cuest_principal_pdf	data_raw	cuest_principal_envipe2020.pdf	pdf	1093270	1093270	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:45-06:00
envipe2020_cuest_modulo_pdf	data_raw	cuest_modulo_envipe2020.pdf	pdf	904277	904277	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:46-06:00
envipe2021_fd_pdf	data_raw	fd_envipe2021.pdf	pdf	1758289	1758289	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:47-06:00
envipe2021_cuest_principal_pdf	data_raw	cuest_principal_envipe2021.pdf	pdf	1121593	1121593	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:47-06:00
envipe2021_cuest_modulo_pdf	data_raw	cuest_modulo_envipe2021.pdf	pdf	911976	911976	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:48-06:00
envipe2022_fd_pdf	data_raw	fd_envipe2022.pdf	pdf	2910338	2910338	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:51-06:00
envipe2022_cuest_principal_pdf	data_raw	cuest_principal_envipe2022.pdf	pdf	1263461	1263461	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:53-06:00
envipe2022_cuest_modulo_pdf	data_raw	cuest_modulo_envipe2022.pdf	pdf	948921	948921	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:54-06:00
envipe2023_fd_pdf	data_raw	fd_envipe2023.pdf	pdf	2980669	2980669	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:58-06:00
envipe2023_cuest_principal_pdf	data_raw	cuest_principal_envipe2023.pdf	pdf	1257728	1257728	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:58-06:00
envipe2023_cuest_modulo_pdf	data_raw	cuest_modulo_envipe2023.pdf	pdf	947099	947099	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:46:00-06:00
envipe2024_fd_pdf	data_raw	fd_envipe2024.pdf	pdf	3087144	3087144	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:46:02-06:00
envipe2024_cuest_principal_pdf	data_raw	cuest_principal_envipe2024.pdf	pdf	1308710	1308710	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:46:04-06:00
envipe2024_cuest_modulo_pdf	data_raw	cuest_modulo_envipe2024.pdf	pdf	933605	933605	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:46:05-06:00
envipe2025_fd_pdf	data_raw	fd_envipe2025.pdf	pdf	2284580	2284580	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:46:07-06:00
envipe2025_cuest_principal_pdf	data_raw	cuest_principal_envipe2025.pdf	pdf	1264383	1264383	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:46:08-06:00
envipe2025_cuest_modulo_pdf	data_raw	cuest_modulo_envipe2025.pdf	pdf	930409	930409	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:46:09-06:00
encig2015_cuestionario_pdf	data_raw	encig15_cuestionario.pdf	pdf	1703035	1703035	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:46:13-06:00
encig2017_cuestionario_pdf	data_raw	encig17_cuestionario.pdf	pdf	1151457	1151457	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:46:17-06:00
encig2019_fd_pdf	data_raw	encig19_estructura_base_datos.pdf	pdf	1634670	1634670	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:46:18-06:00
encig2019_cuestionario_pdf	data_raw	encig19_cuestionario.pdf	pdf	1744074	1744074	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:46:19-06:00
encig2021_cuestionario_pdf	data_raw	encig21_cuestionario.pdf	pdf	1918370	1918370	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:46:22-06:00
enoe_2019_1t_csv	data_raw	conjunto_de_datos_enoe_2019_1t_csv.zip	zip	44252554	44252554	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:30:29-06:00
enoe_2019_2t_csv	data_raw	conjunto_de_datos_enoe_2019_2t_csv.zip	zip	44295173	44295173	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:30:58-06:00
enoe_2019_3t_csv	data_raw	conjunto_de_datos_enoe_2019_3t_csv.zip	zip	44134773	44134773	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:31:40-06:00
enoe_2019_4t_csv	data_raw	conjunto_de_datos_enoe_2019_4t_csv.zip	zip	39117268	39117268	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:32:17-06:00
enoe_2020_1t_csv	data_raw	conjunto_de_datos_enoe_2020_1t_csv.zip	zip	43904494	43904494	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:32:48-06:00
enoen_2020_3t_csv	data_raw	conjunto_de_datos_enoen_2020_3t_csv.zip	zip	34070549	34070549	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:33:13-06:00
enoen_2020_4t_csv	data_raw	conjunto_de_datos_enoen_2020_4t_csv.zip	zip	42038767	42038767	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:33:47-06:00
enoen_2021_1t_csv	data_raw	conjunto_de_datos_enoen_2021_1t_csv.zip	zip	45815136	45815136	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:34:12-06:00
enoen_2021_2t_csv	data_raw	conjunto_de_datos_enoen_2021_2t_csv.zip	zip	33876717	33876717	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:34:31-06:00
enoen_2021_3t_csv	data_raw	conjunto_de_datos_enoen_2021_3t_csv.zip	zip	51070919	51070919	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:35:23-06:00
enoen_2021_4t_csv	data_raw	conjunto_de_datos_enoen_2021_4t_csv.zip	zip	43112416	43112416	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:35:56-06:00
enoen_2022_1t_csv	data_raw	conjunto_de_datos_enoen_2022_1t_csv.zip	zip	44630600	44630600	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:36:34-06:00
enoen_2022_2t_csv	data_raw	conjunto_de_datos_enoen_2022_2t_csv.zip	zip	41272360	41272360	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:37:01-06:00
enoen_2022_3t_csv	data_raw	conjunto_de_datos_enoen_2022_3t_csv.zip	zip	40289417	40289417	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:37:32-06:00
enoen_2022_4t_csv	data_raw	conjunto_de_datos_enoen_2022_4t_csv.zip	zip	40388980	40388980	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:38:00-06:00
enoe_2023_1t_csv	data_raw	conjunto_de_datos_enoe_2023_1t_csv.zip	zip	41532376	41532376	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:38:34-06:00
enoe_2023_2t_csv	data_raw	conjunto_de_datos_enoe_2023_2t_csv.zip	zip	42728491	42728491	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:39:20-06:00
enoe_2023_3t_csv	data_raw	conjunto_de_datos_enoe_2023_3t_csv.zip	zip	44005595	44005595	EXISTE	COINCIDE	INTEGRO		2026-07-30T20:03:16-06:00
enoe_2023_4t_csv	data_raw	conjunto_de_datos_enoe_2023_4t_csv.zip	zip	43788274	43788274	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:40:41-06:00
enoe_2024_1t_csv	data_raw	conjunto_de_datos_enoe_2024_1t_csv.zip	zip	55944351	55944351	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:41:29-06:00
enoe_2024_2t_csv	data_raw	conjunto_de_datos_enoe_2024_2t_csv.zip	zip	41777459	41777459	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:41:58-06:00
enoe_2024_3t_csv	data_raw	conjunto_de_datos_enoe_2024_3t_csv.zip	zip	53958272	53958272	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:42:46-06:00
enoe_2024_4t_csv	data_raw	conjunto_de_datos_enoe_2024_4t_csv.zip	zip	54101479	54101479	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:43:31-06:00
enoe_2025_1t_csv	data_raw	conjunto_de_datos_enoe_2025_1t_csv.zip	zip	61038674	61038674	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:44:26-06:00
enoe_2025_2t_csv	data_raw	conjunto_de_datos_enoe_2025_2t_csv.zip	zip	53803168	53803168	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:07-06:00
enoe_2025_3t_csv	data_raw	conjunto_de_datos_enoe_2025_3t_csv.zip	zip	46026887	46026887	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:45:41-06:00
enoe_2025_4t_csv	data_raw	conjunto_de_datos_enoe_2025_4t_csv.zip	zip	54060030	54060030	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:46:39-06:00
enoe_2026_1t_csv	data_raw	conjunto_de_datos_enoe_2026_1t_csv.zip	zip	42978855	42978855	EXISTE	COINCIDE	INTEGRO		2026-07-30T19:47:18-06:00
encig2015_estructura_base_datos_pdf	data_raw	encig15_estructura_base_datos.pdf	pdf	4340061	4340061	EXISTE	COINCIDE	INTEGRO		2026-07-30T20:06:24-06:00
encig2017_estructura_base_datos_pdf	data_raw	encig17_estructura_base_datos.pdf	pdf	2116934	2116934	EXISTE	COINCIDE	INTEGRO		2026-07-30T20:06:25-06:00
encig2021_estructura_base_datos_pdf	data_raw	encig21_estructura_base_datos.pdf	pdf	2612238	2612238	EXISTE	COINCIDE	INTEGRO		2026-07-30T20:06:27-06:00
enoe_con_basedatos_proy2010_pdf	data_raw	con_basedatos_proy2010.pdf	pdf	2517892	2517892	EXISTE	COINCIDE	INTEGRO		2026-07-30T20:10:29-06:00
enoen_trim3_2020_trim4_2022_documentacion_zip	data_raw	enoe_n_trim3_2020-trim4_2022.zip	zip	167598763	167598763	EXISTE	COINCIDE	INTEGRO		2026-07-30T20:12:53-06:00
enoe_cuestionario_ampliado_v5_pdf	data_raw	c_amp_v5.pdf	pdf	1074087	1074087	EXISTE	COINCIDE	INTEGRO		2026-07-30T22:02:50-06:00
enoe_cuestionario_ampliado_v6a_pdf	data_raw	c_amp_v6a.pdf	pdf	610436	610436	EXISTE	COINCIDE	INTEGRO		2026-07-30T20:13:54-06:00
enoe_cuestionario_basico_v5_pdf	data_raw	c_bas_v5.pdf	pdf	1057071	1057071	EXISTE	COINCIDE	INTEGRO		2026-07-30T22:02:50-06:00
enoe_cuestionario_basico_v7_pdf	data_raw	c_bas_v7.pdf	pdf	591203	591203	EXISTE	COINCIDE	INTEGRO		2026-07-30T20:13:56-06:00
enoe_cuestionario_sociodemografico_v4_pdf	data_raw	c_sdem_v4.pdf	pdf	916902	916902	EXISTE	COINCIDE	INTEGRO		2026-07-30T22:02:50-06:00
