id_manifiesto	archivo	raiz	tamano_bytes	usado_para_declara_uso	necesidades_que_lo_citan	tsv_de_apertura_que_lo_toca	estado	universo_declarado	consumo_detectado	consumo_universo_declarado	sha256_observado	representacion_id	estado_e0	grado_inspeccion	objetos_logicos	frontera_inspeccion	reporte_neutral_ref	contrato_sha256	reporte_sha256
20260813143000_export_csv	[REDACTADO-PRIVACIDAD]	data_raw	97035	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	PRESENTE-INTEGRO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	2dd83b5f8df0a7604c5de58d30f302164b6162d02de48f4ad05566a5d2edeadc	REP-e4e224b857b458539f5393c13804194af4f4580419dbfbe9b8503a5014764cec	PRESENTE-INTEGRO	E2	63	contenedor y miembros completos; anidados hasta profundidad 4	E2B-1e15c21991b82e51ad33eb5df9469be94c5971dc049cd702b380519789edc7c1	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	fa77ad9c72220c00a97d6919778759134e254497fed7bfaaffdbbec795111d6a
20260813144500_export_csv	[REDACTADO-PRIVACIDAD]	data_raw	96787	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	PRESENTE-INTEGRO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	a27fabf5a81731ecf342df91a9caba12c9136be610bfce35d4bfb07a7007fa1c	REP-71db5b577991030fde36ac207c122a25dd7c4bb4f7e57384c8b26d0fde923f5a	PRESENTE-INTEGRO	E2	63	contenedor y miembros completos; anidados hasta profundidad 4	E2B-dfd1c79efc6249ab2f0abed2a18b8ed9c540f3fe7fa3c4242d3ac67531616368	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	51d0086f4c7645dbc244d613cc54784703f2e81fe97a12a6780291058fb088e7
20260813150000_export_csv	[REDACTADO-PRIVACIDAD]	data_raw	88079	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	PRESENTE-INTEGRO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	16e1caf1bc1b251727802f2df6b1f9ab210cc898ab76d65d2828170d42e3ed50	REP-b3bc0403019c9a293caa4bd463270a834f84357c7212b6a223a655a380db6c62	PRESENTE-INTEGRO	E2	63	contenedor y miembros completos; anidados hasta profundidad 4	E2B-ab530618200697182ae1ced68644ef8cb1999db8333e30a4f64f485809324ba3	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	8a415ff6f02f601781e01a3c5594cfb18475318c808da2505f2acb8ddb037d54
20260813151500_export_csv	[REDACTADO-PRIVACIDAD]	data_raw	90679	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	PRESENTE-INTEGRO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	77ad2066fc0d043284d31a6a2c0138b7dc119b2ebdef195154ab0c7d3d15d28d	REP-3ebb38c24f8e3036e99742cffd23fb66a6d25238b1e748b5cdf2d0d524efae9d	PRESENTE-INTEGRO	E2	63	contenedor y miembros completos; anidados hasta profundidad 4	E2B-237107b205d531dc1cf494ac5b4e68be37d91792bd5b3734e7376fd3f1a2272f	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	7a8cdc1ba0c44838815ad405a37ee54126259bb6f22ecd3ea2bd56631ceb9d10
20260813153000_export_csv	[REDACTADO-PRIVACIDAD]	data_raw	99325	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	PRESENTE-INTEGRO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	98ead7b90c6e493f6908867ec437cd82215c98660bbe02b406b6e9e919eb6d8e	REP-575e23dd5830a9bc885fa0d3023dae4528b037038d1043458d3e045f663fed21	PRESENTE-INTEGRO	E2	63	contenedor y miembros completos; anidados hasta profundidad 4	E2B-800e0ab7201d527dcf1be710d61fb52fc23bc4b5379160fc0c89149ed65d960c	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	41f16225ddc073e38c8006211d9ab70ad3ab91a1f09ffab80fdcb609fdf9c454
20260813154500_export_csv	[REDACTADO-PRIVACIDAD]	data_raw	116106	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	PRESENTE-INTEGRO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	172c7a33f52f52c7eb8cf55928317d7a558db976558f785f6cb0f3625fb54139	REP-0f64e3f6afc91446e480049947d6c4bea0a4def4013c00edb16617850806e8b9	PRESENTE-INTEGRO	E2	63	contenedor y miembros completos; anidados hasta profundidad 4	E2B-eb7d72b3492a5397e9e69f9b1c83827694f8e50b86359cd8dbc511db054c733a	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	0dc370beff959bf11dd5e6b9d9f65f64d3fddbe99f7d45693c128ba7205ca179
20260813160000_export_csv	[REDACTADO-PRIVACIDAD]	data_raw	98851	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	PRESENTE-INTEGRO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	0ba5a6d4a5b44ebbc12cc44f93b113aa947cae4a8b6c461ad8bd2d413cce0077	REP-4a341a0a5180645cdeeecf716c8acceff784f60d13189450d6a46db1266164e8	PRESENTE-INTEGRO	E2	63	contenedor y miembros completos; anidados hasta profundidad 4	E2B-0b42f5ffcfb06b3a52fb660483d45f58d326bcb6f98ec2bc7ecff2a8b59d285c	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	caed7661a5f25d8abc98610727656097c73ec9e9edd4580707e098c356602be6
2_vfinal_cuestionario_nios_0_a_9_ensanut_2024_etiquetas_cuestionarios	2 VFINAL Cuestionario nios 0 a 9 ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	descargas_mx	518103	sin uso asignado — registro de inventario	NO-APLICA	NO-APLICA	SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango,	[REDACTADO-PRIVACIDAD]	buscado por ambas vias -- hash (produccion-modelo.tsv, 11 filas) y ruta (11 scripts de tests/, forense/notas/2026-08-13-cep-cotejo.md SS1-2) -- ninguna empata @	af65f922094c42a31d77cad5d8d889c0d7e597b925c7ef0efe1ae700fd66981c	REP-9bd65b24850c64ca1ea98ab13da6927a89364c33e60bdfb708cd6f804198e5be	PRESENTE-INTEGRO	E2	727	todas las páginas; texto no extraíble se declara por página	E2B-229894f5316f2d3d4fae5e36960a6a7373cce38432d48c7d5e2e01da745a5168	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	58c09536001cfe0c0b076ff538a11d661a4f967dafe2b0bc478bc97e9fccb0df
3_vfinal_cuestionario_adolescentes_ensanut_2024_etiquetas_cuestionarios	3 VFINAL Cuestionario adolescentes ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	descargas_mx	479013	sin uso asignado — registro de inventario	NO-APLICA	NO-APLICA	SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango,	[REDACTADO-PRIVACIDAD]	buscado por ambas vias -- hash (produccion-modelo.tsv, 11 filas) y ruta (11 scripts de tests/, forense/notas/2026-08-13-cep-cotejo.md SS1-2) -- ninguna empata @	344f32ef0f873f86fb20faf1d6afd2bfa0bc3735656ea4fe4d71e39736faeeab	REP-8efbbb8372970c106d906bdab4e86ad5e9a0d8a9ae6babf7a14340b74155594c	PRESENTE-INTEGRO	E2	1040	todas las páginas; texto no extraíble se declara por página	E2B-909cd250c4ffbf9be8e824e0f64689b780711091477792ac69ae6fb79bc90db4	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	9831521364f4b424a5c1d4ce2a5e30144ce32ebf935522e22ba6d98f75cbefa0
4_vfinal_cuestionario_adultos_ensanut_2024_etiquetas_cuestionarios	4 VFINAL Cuestionario adultos ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	descargas_mx	795644	sin uso asignado — registro de inventario	NO-APLICA	NO-APLICA	SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango,	[REDACTADO-PRIVACIDAD]	buscado por ambas vias -- hash (produccion-modelo.tsv, 11 filas) y ruta (11 scripts de tests/, forense/notas/2026-08-13-cep-cotejo.md SS1-2) -- ninguna empata @	0bc30c3b7f08bda0b1cfebb823eb2bfdd815581fd1d93ea956314bf6507f82d0	REP-37cc5a527be11064a79f2f3884a53034cbb5f4aabed8843c593bd35967ac1926	PRESENTE-INTEGRO	E2	1782	todas las páginas; texto no extraíble se declara por página	E2B-bf74902b6be837d745c23877d2ad408157a9fe3d07aa3d11e6a486eecb7e42be	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	db185014621f8bf127dace0f40358d0a02445b6f79f1274a3ebfb3e857aac312
518939279mexico_lapop_final_2006_data_set_092906	518939279mexico_lapop_final 2006 data set 092906.dta	descargas_mx	416557	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	FUERA-DE-DISCO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	NO-APLICA	NO-APLICA	FUERA-DE-DISCO	E0	0	W0-CONTABILIZACION-E-INTEGRIDAD	NO-APLICA	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	NO-APLICA
5_vfinal_cuestionario_utilizadores_ensanut_2024_etiquetas_cuestionarios	5 VFINAL Cuestionario utilizadores ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	descargas_mx	267996	sin uso asignado — registro de inventario	NO-APLICA	NO-APLICA	SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango,	[REDACTADO-PRIVACIDAD]	buscado por ambas vias -- hash (produccion-modelo.tsv, 11 filas) y ruta (11 scripts de tests/, forense/notas/2026-08-13-cep-cotejo.md SS1-2) -- ninguna empata @	004aacee3729009e79065ba7e2c4afacfc7f7c3e418e735c405f46e9189fafa6	REP-ac1020907d5bebd6b22880d0b3e0908e9be550696543dfb15960f5451377f371	PRESENTE-INTEGRO	E2	260	todas las páginas; texto no extraíble se declara por página	E2B-e9cc7829cb98bdf60bca0aee80a7d2ed325f5c99da4963ee1892fe2ceb3c8a98	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	a8ccd71f8319e80310e06bd8744a0c21d93b85b46834a8bcb8ebcd00c8aa139d
642348348mexico_2004_export_version	642348348mexico 2004 export version.dta	descargas_mx	429746	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	FUERA-DE-DISCO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	NO-APLICA	NO-APLICA	FUERA-DE-DISCO	E0	0	W0-CONTABILIZACION-E-INTEGRIDAD	NO-APLICA	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	NO-APLICA
682647031technical_information_mexico_2004	682647031Technical information_Mexico_2004.pdf	descargas_mx	37463	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	FUERA-DE-DISCO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	NO-APLICA	NO-APLICA	FUERA-DE-DISCO	E0	0	W0-CONTABILIZACION-E-INTEGRIDAD	NO-APLICA	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	NO-APLICA
abmex18_v12_0_2_5_spa_190207_w	ABMex18-v12.0.2.5-Spa-190207_W.pdf	descargas_mx	1435555	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	FUERA-DE-DISCO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	NO-APLICA	NO-APLICA	FUERA-DE-DISCO	E0	0	W0-CONTABILIZACION-E-INTEGRIDAD	NO-APLICA	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	NO-APLICA
abmex2021_mexico_questionnaire_v17_2_5_2_spa_210420_w	[REDACTADO-PRIVACIDAD]	descargas_mx	1029836	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	FUERA-DE-DISCO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	NO-APLICA	NO-APLICA	FUERA-DE-DISCO	E0	0	W0-CONTABILIZACION-E-INTEGRIDAD	NO-APLICA	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	NO-APLICA
abmex2021_technical_report_v1_0_final_eng_110921	[REDACTADO-PRIVACIDAD]	descargas_mx	191445	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	FUERA-DE-DISCO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	NO-APLICA	NO-APLICA	FUERA-DE-DISCO	E0	0	W0-CONTABILIZACION-E-INTEGRIDAD	NO-APLICA	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	NO-APLICA
abmex2023_technical_report_v4_0_final_eng_231117	[REDACTADO-PRIVACIDAD]	descargas_mx	222999	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	FUERA-DE-DISCO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	NO-APLICA	NO-APLICA	FUERA-DE-DISCO	E0	0	W0-CONTABILIZACION-E-INTEGRIDAD	NO-APLICA	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	NO-APLICA
adolescentes_ensanut2024_w_csv_csv	adolescentes_ensanut2024_w.csv.csv.zip	descargas_mx	416868	sin uso asignado — registro de inventario	NO-APLICA	NO-APLICA	SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango,	[REDACTADO-PRIVACIDAD]	buscado por ambas vias -- hash (produccion-modelo.tsv, 11 filas) y ruta (11 scripts de tests/, forense/notas/2026-08-13-cep-cotejo.md SS1-2) -- ninguna empata @	3c5f21ef6158ea0830cabc750ca31b45e0039b04fa93b9b9236b0fe6457d023b	REP-f0b5fe43ac9a695a9f3bf7457a4c3dafab1364918fe0cf175aabca1f855465b3	PRESENTE-INTEGRO	E2	480	contenedor y miembros completos; anidados hasta profundidad 4	E2B-519c946b3404802d5522913da332196b929374791594e3a813d48ca78f63ccec	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	e03f5fbf0867b5c746396638c9219e17d356781e3177a4147baea4016d234ee9
adolescentes_ensanut2024_w_stata_stata	adolescentes_ensanut2024_w.stata.stata.zip	descargas_mx	798929	sin uso asignado — registro de inventario	NO-APLICA	NO-APLICA	SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango,	[REDACTADO-PRIVACIDAD]	buscado por ambas vias -- hash (produccion-modelo.tsv, 11 filas) y ruta (11 scripts de tests/, forense/notas/2026-08-13-cep-cotejo.md SS1-2) -- ninguna empata @	b528e00511ad931f2fda973c344299a73d245c11502d867cb9666f7c33824260	REP-4ad2658fabd20b83048c83644304177c6e867676f71081a868505905a0e0a388	PRESENTE-INTEGRO	E2	480	contenedor y miembros completos; anidados hasta profundidad 4	E2B-ccff2fd1f8c4c5ee85db95b30ef20cb0f7a69e66a344cf36f561d3b7359e3319	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	668d7faa7cbb8eae27dcadfc462d864570e9a5f4193ece5e139d3bad2ce4ad5e
adultos_ensanut2024_w_catlogo	adultos_ensanut2024_w.Catlogo.xlsx	descargas_mx	247551	sin uso asignado — registro de inventario	NO-APLICA	NO-APLICA	SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango,	[REDACTADO-PRIVACIDAD]	buscado por ambas vias -- hash (produccion-modelo.tsv, 11 filas) y ruta (11 scripts de tests/, forense/notas/2026-08-13-cep-cotejo.md SS1-2) -- ninguna empata @	0ab22b7f0c3515d966e60634d6e06543a14f2839cda32e3e49895749d419df4c	REP-96120dd5206fdd6915b9ed53533cdcadb495f3a69875050367fda4ab9d3e5455	PRESENTE-INTEGRO	E2	10	todas las hojas/tablas y encabezados; celdas de observación no persistidas	E2B-f62dd39a42aa87d3328579d5778a57f974cd2d62384a72051d83df2250a2befb	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	3ce170af171f11df5b37e16400cfa026693c63e1583595165889489584bc20f2
adultos_ensanut2024_w_catlogo_csv_csv	adultos_ensanut2024_w.Catlogo.csv.csv.zip	descargas_mx	234627	sin uso asignado — registro de inventario	NO-APLICA	NO-APLICA	SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango,	[REDACTADO-PRIVACIDAD]	buscado por ambas vias -- hash (produccion-modelo.tsv, 11 filas) y ruta (11 scripts de tests/, forense/notas/2026-08-13-cep-cotejo.md SS1-2) -- ninguna empata @	464a62daf5e9b0f991a500791e58eb4d2c5ec255acabd59f74ad67d71520ab7a	REP-31d4ecd596c94931303b8abb314d9b5b35bdcddb176b7695b0749c49ff6c3a1c	PRESENTE-INTEGRO	E2	11	contenedor y miembros completos; anidados hasta profundidad 4	E2B-93a7bf99684f420ee98f13b5b8953b633d3b6132172ae2dead4e56bb943de158	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	78afafb9c81a2ee4a5456e363ac48a1aacedd9ca2aff5eb773a52bb42917a2b9
