fila	termino	archivo	n_aciertos	contexto_primer_acierto
confianza_institucional[educacion]	sep	c_amp_v6a.pdf	8	(no importa si estan integradas o por separado) 3 es una institucion publica o una sin fines pasa a 4d
confianza_institucional[educacion]	sep	c_bas_v5.pdf	4	n a donde se le envia? (no importa si estan integradas o por separado)
confianza_institucional[educacion]	sep	c_bas_v7.pdf	26	cupacion y empleo. enoe. cuestionario de ocupacion y empleo (basico). septima version la informacion que se proporcione se mantendra con caract
confianza_institucional[educacion]	sep	c_sdem_v4.pdf	8	para comer? separados para comer
confianza_institucional[educacion]	sep	c_sdem_v5a.pdf	8	... contando a los ninos chiquitos comer? separados para comer contando y los ancianos?
confianza_institucional[educacion]	sep	enoe_123_fd_c_bas_amp.pdf	42	3 julio-septiembre
confianza_institucional[educacion]	sep	enoe_325_fd_c_bas_amp.pdf	42	3 julio-septiembre
confianza_institucional[educacion]	sep	fd_c_amp_v1.pdf	6	exta opcion 7 septima opcion 34. composicion de la poblacion no disponible pun
confianza_institucional[educacion]	sep	fd_c_amp_v2.pdf	6	exta opcion 7 septima opcion 34. composicion de la poblacion no disponible pun
confianza_institucional[educacion]	sep	fd_c_amp_v3.pdf	6	exta opcion 7 septima opcion 34. composicion de la poblacion no disponible pun
confianza_institucional[educacion]	sep	fd_c_amp_v4.pdf	38	caracter 3 3 julio‐septiembre
confianza_institucional[educacion]	sep	fd_c_bas_amp_15ymas.pdf	44	3 julio-septiembre
confianza_institucional[educacion]	sep	fd_c_bas_amp_conapo.pdf	42	caracter 3 3 julio‐septiembre
confianza_institucional[educacion]	sep	fd_c_bas_v1.pdf	6	exta opcion 7 septima opcion 34. composicion de la poblacion no disponible pun
confianza_institucional[educacion]	sep	fd_c_bas_v2.pdf	6	exta opcion 7 septima opcion 34. composicion de la poblacion no disponible pun
confianza_institucional[electoral]	eleccion	c_amp_v5.pdf	2	rio sociodemografico numero de control vivienda seleccionada numero de hogar hogar mudado
confianza_institucional[electoral]	eleccion	c_amp_v6a.pdf	2	de muestra numero de control vivienda seleccionada numero de hogar hogar mudado 1 enoe 2 enoe-cati
confianza_institucional[electoral]	eleccion	c_bas_v5.pdf	2	a version. numero de control vivienda seleccionada numero de hogar hogar mudado
confianza_institucional[electoral]	eleccion	c_bas_v7.pdf	2	de muestra numero de control vivienda seleccionada numero de hogar hogar mudado 1 enoe 2 enoe-cati
confianza_institucional[electoral]	eleccion	c_sdem_v4.pdf	2	de vivienda en el listado seleccionada hogar mudado
confianza_institucional[electoral]	eleccion	c_sdem_v5a.pdf	2	numero progresivo vivienda seleccionada numero de hogar hogar mudado
confianza_institucional[electoral]	eleccion	enoe_123_fd_c_bas_amp.pdf	30	de vivienda se guardan los datos de identificacion de las viviendas seleccionadas, asi como la informacion del numero de residentes de la vivienda
confianza_institucional[electoral]	eleccion	enoe_325_fd_c_bas_amp.pdf	30	de vivienda se guardan los datos de identificacion de las viviendas seleccionadas, asi como la informacion del numero de residentes de la vivienda
confianza_institucional[electoral]	eleccion	fd_c_amp_v1.pdf	10	caracter 2 01-99(m) vivienda seleccionada
confianza_institucional[electoral]	eleccion	fd_c_amp_v2.pdf	10	caracter 2 01-99(m) vivienda seleccionada
confianza_institucional[electoral]	eleccion	fd_c_amp_v3.pdf	10	caracter 2 01-99(m) vivienda seleccionada
confianza_institucional[electoral]	eleccion	fd_c_amp_v4.pdf	20	vivienda seleccionada numero de
confianza_institucional[electoral]	eleccion	fd_c_bas_amp_15ymas.pdf	30	de vivienda se guardan los datos de identificacion de las viviendas seleccionadas en el periodo de referencia, asi como la informacion el numero de
confianza_institucional[electoral]	eleccion	fd_c_bas_amp_conapo.pdf	30	de vivienda se guardan los datos de identificacion de las viviendas seleccionadas, asi como la informacion el numero de residentes de la vivienda y
confianza_institucional[electoral]	eleccion	fd_c_bas_v1.pdf	10	caracter 2 01-99(m) vivienda seleccionada
confianza_institucional[electoral]	eleccion	fd_c_bas_v2.pdf	10	caracter 2 01-99(m) vivienda seleccionada
confianza_institucional[electoral]	ife	c_amp_v5.pdf	4	(con ubicaciones y actividades diferentes) principal
confianza_institucional[electoral]	ife	c_amp_v6a.pdf	2	negocio (con ubicaciones y actividades diferentes) principal
confianza_institucional[electoral]	ife	c_bas_v5.pdf	4	en todos los casos. (con ubicaciones y actividades diferentes) principal mes
confianza_institucional[electoral]	ife	c_bas_v7.pdf	2	n todos los casos. (con ubicaciones y actividades diferentes) principal mes
confianza_institucional[electoral]	ife	c_sdem_v4.pdf	4	3a. 08 inadecuada para habitarse 09 de uso temporal para fines diferentes
confianza_institucional[electoral]	ife	c_sdem_v5a.pdf	4	09 de uso temporal para fines diferentes a los de habitacion y no se sabe la situacion d
confianza_institucional[electoral]	ife	enoe_123_fd_c_bas_amp.pdf	12	diferentes de habitacion
confianza_institucional[electoral]	ife	enoe_325_fd_c_bas_amp.pdf	12	diferentes de habitacion
confianza_institucional[electoral]	ife	fd_c_amp_v4.pdf	10	de uso temporal para fines diferentes de
confianza_institucional[electoral]	ife	fd_c_bas_amp_15ymas.pdf	12	diferentes de habitacion
confianza_institucional[electoral]	ife	fd_c_bas_amp_conapo.pdf	12	de uso temporal para fines diferentes de
confianza_institucional[electoral]	ine	c_amp_v5.pdf	38	que se proporcione se mantendra con caracter competentes para fines estadisticos, censales y geograficos, y estrictamente confidencial y
confianza_institucional[electoral]	ine	c_amp_v6a.pdf	36	e proporcione se mantendra con caracter competentes para fines estadisticos, censales y geograficos,
confianza_institucional[electoral]	ine	c_bas_v5.pdf	32	e proporcione se mantendra con caracter competentes para fines estadisticos, censales y geograficos, estrictamente confidencial y b
confianza_institucional[electoral]	ine	c_bas_v7.pdf	30	inegi. encuesta nacional de ocupacion y empleo. enoe. cuestionario de ocu
confianza_institucional[electoral]	ine	c_sdem_v4.pdf	10	inegi. encuesta nacional de ocupacion y empleo (enoe). cuestionario socio
confianza_institucional[electoral]	ine	c_sdem_v5a.pdf	26	datos e informes que les soliciten las autoridades competentes para fines estadisticos, informacion que se proporcione se mantendra con caract
confianza_institucional[electoral]	ine	enoe_123_fd_c_bas_amp.pdf	194	atos presentacion el instituto nacional de estadistica y geografia (inegi) presenta el documento de la encuesta nacional de ocupacion y emple
confianza_institucional[electoral]	ine	enoe_325_fd_c_bas_amp.pdf	196	atos presentacion el instituto nacional de estadistica y geografia (inegi) presenta el documento de la encuesta nacional de ocupacion y emple
confianza_institucional[electoral]	ine	fd_c_amp_v1.pdf	40	inegi. enoe. descripcion de archivos. cuestionario ampliado. 2013.
confianza_institucional[electoral]	ine	fd_c_amp_v2.pdf	40	inegi. enoe. descripcion de archivos. cuestionario ampliado. 2013.
confianza_institucional[electoral]	ine	fd_c_amp_v3.pdf	40	inegi. enoe. descripcion de archivos. cuestionario ampliado. 2013.
confianza_institucional[electoral]	ine	fd_c_amp_v4.pdf	84	el instituto nacional de estadistica y geografia (inegi) presenta el documento descripcion de archivos de la encuesta nacio
confianza_institucional[electoral]	ine	fd_c_bas_amp_15ymas.pdf	194	on presentacion el instituto nacional de estadistica y geografia (inegi) pre- senta el documento encuesta nacional de ocupacion y empleo (e
confianza_institucional[electoral]	ine	fd_c_bas_amp_conapo.pdf	141	el instituto nacional de estadistica y geografia (inegi) presenta el documento descripcion de archivos de la encuesta nacio
confianza_institucional[electoral]	ine	fd_c_bas_v1.pdf	40	inegi. enoe. descripcion de archivos. cuestionario basico. 2013.
confianza_institucional[electoral]	ine	fd_c_bas_v2.pdf	40	inegi. enoe. descripcion de archivos. cuestionario basico. 2013.
confianza_institucional[electoral]	partido politico	c_amp_v5.pdf	2	7 partido politico
confianza_institucional[electoral]	partido politico	c_amp_v6a.pdf	2	7 partido politico
confianza_institucional[electoral]	partido politico	c_bas_v5.pdf	2	gun registro contable 6 organismo internacional 7 partido politico 9 ns 8 n
confianza_institucional[electoral]	partido politico	c_bas_v7.pdf	2	4 no lleva ningun registro contable 7 partido politico 9 ns 8
confianza_institucional[electoral]	partido politico	enoe_123_fd_c_bas_amp.pdf	4	7 partido politico
confianza_institucional[electoral]	partido politico	enoe_325_fd_c_bas_amp.pdf	4	7 partido politico
confianza_institucional[electoral]	partido politico	fd_c_amp_v4.pdf	1	7 partido politico
confianza_institucional[electoral]	partido politico	fd_c_bas_amp_15ymas.pdf	4	7 partido politico
confianza_institucional[electoral]	partido politico	fd_c_bas_amp_conapo.pdf	2	7 partido politico
confianza_institucional[financiera]	afore	c_amp_v5.pdf	2	05 16 a 20 personas 4 fondo de retiro (sar o afore)? 06 21 a 30 personas 5 segur
confianza_institucional[financiera]	afore	c_amp_v6a.pdf	2	4 fondo de retiro (sar o afore)? 06 21 a 30 personas
confianza_institucional[financiera]	afore	enoe_123_fd_c_bas_amp.pdf	4	fondo caracter 1 4 fondo de retiro (sar o afore)? de retiro (sar o
confianza_institucional[financiera]	afore	enoe_325_fd_c_bas_amp.pdf	4	fondo caracter 1 4 fondo de retiro (sar o afore)? de retiro (sar o
confianza_institucional[financiera]	afore	fd_c_amp_v4.pdf	4	4 fondo de retiro (sar o afore)? 99 p3m4 caract
confianza_institucional[financiera]	afore	fd_c_bas_amp_15ymas.pdf	4	fondo caracter 1 4 fondo de retiro (sar o afore)?
confianza_institucional[financiera]	afore	fd_c_bas_amp_conapo.pdf	4	4 fondo de retiro (sar o afore)?
confianza_institucional[financiera]	banca	c_amp_v5.pdf	2	bancaria o de servicios)? pasa a 4h
confianza_institucional[financiera]	banca	c_amp_v6a.pdf	2	bancaria o de servicios)? pasa a 4h
confianza_institucional[financiera]	banca	c_bas_v5.pdf	2	comercial, bancaria o de servicios)?
confianza_institucional[financiera]	banca	c_bas_v7.pdf	2	comercial, bancaria o de servicios)?
confianza_institucional[financiera]	banca	enoe_123_fd_c_bas_amp.pdf	4	3 bancaria o de servicios)?
confianza_institucional[financiera]	banca	enoe_325_fd_c_bas_amp.pdf	4	3 bancaria o de servicios)?
confianza_institucional[financiera]	banca	fd_c_amp_v4.pdf	2	bancaria o de servicios)?
confianza_institucional[financiera]	banca	fd_c_bas_amp_15ymas.pdf	4	bancaria o de servicios)?
confianza_institucional[financiera]	banca	fd_c_bas_amp_conapo.pdf	2	bancaria o de servicios)?
confianza_institucional[financiera]	banco	fd_c_bas_amp_15ymas.pdf	2	ro? y/o caja de ahorro? banco no aplica 100 p3m8 opcion 8: ninguna caracter
confianza_institucional[financiera]	caja de ahorro	c_amp_v5.pdf	2	08 51 a 100 personas 7 prestamos personales y/o caja de ahorro? 09 101 a 250 personas
confianza_institucional[financiera]	caja de ahorro	c_amp_v6a.pdf	2	7 prestamos personales y/o caja de ahorro? 09 101 a 250 personas
confianza_institucional[financiera]	caja de ahorro	enoe_123_fd_c_bas_amp.pdf	2	de ahorro? y/o caja de ahorro? blanco no aplica 100 p3m8
confianza_institucional[financiera]	caja de ahorro	enoe_325_fd_c_bas_amp.pdf	2	de ahorro? y/o caja de ahorro? blanco no aplica 100 p3m8
confianza_institucional[financiera]	caja de ahorro	fd_c_amp_v4.pdf	1	7 prestamos personales y/o caja de ahorro? 102 p3m7 opcion 7 prestamos personales y/ caracter
confianza_institucional[financiera]	caja de ahorro	fd_c_bas_amp_15ymas.pdf	2	de ahorro? y/o caja de ahorro? banco no aplica 100 p3m8 op
confianza_institucional[financiera]	caja de ahorro	fd_c_bas_amp_conapo.pdf	2	7 prestamos personales y/o caja de ahorro?
confianza_institucional[financiera]	financiera	enoe_123_fd_c_bas_amp.pdf	4	sectores numerico 2 1 instituciones financieras institucionales del 2
confianza_institucional[financiera]	financiera	enoe_325_fd_c_bas_amp.pdf	4	sectores numerico 2 1 instituciones financieras institucionales del 2
confianza_institucional[financiera]	financiera	fd_c_bas_amp_15ymas.pdf	4	ectores numerico 2 1 instituciones financieras
confianza_institucional[financiera]	financiera	fd_c_bas_amp_conapo.pdf	4	1 instituciones financieras
confianza_institucional[salud]	clinica	c_amp_v5.pdf	6	ja o ayuda? 3 escuela, hospital, clinica o institucion
confianza_institucional[salud]	clinica	c_amp_v6a.pdf	6	3 escuela, hospital, clinica o institucion (escucha y circula la opcion indicada por el i
confianza_institucional[salud]	clinica	c_bas_v5.pdf	4	ambulante de casa en casa o en la calle 3 escuela, hospital, clinica o institucion 03 puesto improvisado
confianza_institucional[salud]	clinica	c_bas_v7.pdf	4	ambulante de casa en casa o en la calle 3 escuela, hospital, clinica o institucion 03 puesto improvisado
confianza_institucional[salud]	clinica	enoe_123_fd_c_bas_amp.pdf	10	=1 3 escuela, hospital, clinica
confianza_institucional[salud]	clinica	enoe_325_fd_c_bas_amp.pdf	10	=1 3 escuela, hospital, clinica
confianza_institucional[salud]	clinica	fd_c_amp_v4.pdf	6	escuela, hospital, clinica o institucion asistencial
confianza_institucional[salud]	clinica	fd_c_bas_amp_15ymas.pdf	10	=1 3 escuela, hospital, clinica
confianza_institucional[salud]	clinica	fd_c_bas_amp_conapo.pdf	10	escuela, hospital, clinica o institucion asistencial
confianza_institucional[salud]	hospital	c_amp_v5.pdf	12	... trabaja o ayuda? 3 escuela, hospital, clinica o institucion
confianza_institucional[salud]	hospital	c_amp_v6a.pdf	12	3 escuela, hospital, clinica o institucion (escucha y circula la opcion indicada
confianza_institucional[salud]	hospital	c_bas_v5.pdf	10	2 es una institucion educativa u hospital pasa
confianza_institucional[salud]	hospital	c_bas_v7.pdf	10	2 es una institucion educativa u hospital pasa
confianza_institucional[salud]	hospital	enoe_123_fd_c_bas_amp.pdf	22	hospital
confianza_institucional[salud]	hospital	enoe_325_fd_c_bas_amp.pdf	22	hospital
confianza_institucional[salud]	hospital	fd_c_amp_v4.pdf	12	2 es una institucion educativa u hospital
confianza_institucional[salud]	hospital	fd_c_bas_amp_15ymas.pdf	22	hospital
confianza_institucional[salud]	hospital	fd_c_bas_amp_conapo.pdf	22	2 es una institucion educativa u hospital
confianza_institucional[salud]	imss	c_amp_v5.pdf	8	en el extranjero pasa a 8 1 el seguro social (imss)? 9 ns 2 el hosp
confianza_institucional[salud]	imss	c_amp_v6a.pdf	8	1 el seguro social (imss)? 1 aqui, en este es
confianza_institucional[salud]	imss	c_bas_v5.pdf	2	o o jornal? 1 el seguro social (imss)? 2 por ganancias o de lo que deja su negocio?
confianza_institucional[salud]	imss	c_bas_v7.pdf	2	io o jornal? 1 el seguro social (imss)? 2 por ganancias o de lo que deja su negocio?
confianza_institucional[salud]	imss	enoe_123_fd_c_bas_amp.pdf	14	dio y medianas) no calificadas 102 imssissste instituciones de numerico 1 1 imss
confianza_institucional[salud]	imss	enoe_325_fd_c_bas_amp.pdf	14	dio y medianas) no calificadas 102 imssissste instituciones de numerico 1 1 imss
confianza_institucional[salud]	imss	fd_c_amp_v1.pdf	8	111 imssste numerico 1 1-6 instituciones de at
confianza_institucional[salud]	imss	fd_c_amp_v2.pdf	8	111 imssste numerico 1 1-6 instituciones de at
confianza_institucional[salud]	imss	fd_c_amp_v3.pdf	8	113 imssste numerico 1 1-6 instituciones de a
confianza_institucional[salud]	imss	fd_c_amp_v4.pdf	12	1 imss
confianza_institucional[salud]	imss	fd_c_bas_amp_15ymas.pdf	14	94 imssissste instituciones de numerico 1 1 im
confianza_institucional[salud]	imss	fd_c_bas_amp_conapo.pdf	14	1 imss
confianza_institucional[salud]	imss	fd_c_bas_v1.pdf	8	111 imssste numerico 1 1-6 instituciones de at
confianza_institucional[salud]	imss	fd_c_bas_v2.pdf	8	111 imssste numerico 1 1-6 instituciones de a
confianza_institucional[salud]	issste	c_amp_v5.pdf	18	02 2 a 5 personas 1 credito para vivienda (infonavit, fovissste)? 03 6 a 10 personas 2 guarderia?
confianza_institucional[salud]	issste	c_amp_v6a.pdf	18	1 credito para vivienda (infonavit, fovissste)? 03 6 a 10 personas
confianza_institucional[salud]	issste	c_bas_v5.pdf	6	o le pagan ni recibe ingresos 3 el issste? pasa a 6d (in
confianza_institucional[salud]	issste	c_bas_v7.pdf	6	no le pagan ni recibe ingresos 3 el issste? (incluye autoconsumo agropecuario)
confianza_institucional[salud]	issste	enoe_123_fd_c_bas_amp.pdf	30	y medianas) no calificadas 102 imssissste instituciones de numerico 1 1 imss
confianza_institucional[salud]	issste	enoe_325_fd_c_bas_amp.pdf	30	y medianas) no calificadas 102 imssissste instituciones de numerico 1 1 imss
confianza_institucional[salud]	issste	fd_c_amp_v1.pdf	4	61. recibe imss, issste u otras instituciones ( a partir del periodo 308)
confianza_institucional[salud]	issste	fd_c_amp_v2.pdf	4	61. recibe imss, issste u otras instituciones ( a partir del periodo 308)
confianza_institucional[salud]	issste	fd_c_amp_v3.pdf	4	61. recibe imss, issste u otras instituciones ( a partir del periodo 308)
confianza_institucional[salud]	issste	fd_c_amp_v4.pdf	22	2 issste 112 imssste instituciones de atencion medica numerico
confianza_institucional[salud]	issste	fd_c_bas_amp_15ymas.pdf	30	94 imssissste instituciones de numerico 1 1 imsss
confianza_institucional[salud]	issste	fd_c_bas_amp_conapo.pdf	30	2 issste 95 imssissste instituciones de atencion medica numerico
confianza_institucional[salud]	issste	fd_c_bas_v1.pdf	4	61. recibe imss, issste u otras instituciones ( a partir del periodo 308)
confianza_institucional[salud]	issste	fd_c_bas_v2.pdf	4	61. recibe imss, issste u otras instituciones ( a partir del periodo 308)
confianza_institucional[salud]	medico	c_amp_v5.pdf	2	07 31 a 50 personas 6 seguro privado para gastos medicos? 08 51 a 100 personas 7 prestamos
confianza_institucional[salud]	medico	c_amp_v6a.pdf	2	6 seguro privado para gastos medicos? 08 51 a 100 personas
confianza_institucional[salud]	medico	enoe_123_fd_c_bas_amp.pdf	4	privado para medicos? gastos medicos?
confianza_institucional[salud]	medico	enoe_325_fd_c_bas_amp.pdf	4	privado para medicos? gastos medicos?
confianza_institucional[salud]	medico	fd_c_amp_v4.pdf	4	6 seguro privado para gastos medicos? 101 p3m6 caract
confianza_institucional[salud]	medico	fd_c_bas_amp_15ymas.pdf	4	privado para medicos? gastos medicos? bl
confianza_institucional[salud]	medico	fd_c_bas_amp_conapo.pdf	4	6 seguro privado para gastos medicos?
confianza_institucional[salud]	seguro popular	c_amp_v5.pdf	2	y servir alimentos, barrer) 10b. ¿... cuenta con el seguro popular de salud?
confianza_institucional[salud]	seguro popular	c_amp_v6a.pdf	2	10b. ¿... cuenta con el seguro popular o de salud
confianza_institucional[salud]	seguro popular	enoe_123_fd_c_bas_amp.pdf	2	l caracter 1 1 si seguro popular de 2 no
confianza_institucional[salud]	seguro popular	enoe_325_fd_c_bas_amp.pdf	2	l caracter 1 1 si seguro popular de 2 no
confianza_institucional[salud]	seguro popular	fd_c_bas_amp_15ymas.pdf	2	seguro popular de 2 no
confianza_institucional[salud]	seguro popular	fd_c_bas_amp_conapo.pdf	1	¿... cuenta con el seguro popular
confianza_institucional[seguridad]	seguridad publica	c_amp_v5.pdf	4	radio) 06 la inseguridad publica o el exceso de tramites 08 acudio a un sindicato o gremio
confianza_institucional[seguridad]	seguridad publica	c_amp_v6a.pdf	4	radio) 06 la inseguridad publica o el exceso de tramites
confianza_institucional[seguridad]	seguridad publica	c_bas_v5.pdf	2	n medios de comunicacion 06 la inseguridad publica o el exceso de tramites lo
confianza_institucional[seguridad]	seguridad publica	c_bas_v7.pdf	2	en medios de comunicacion 06 la inseguridad publica o el exceso de tramites lo
confianza_institucional[seguridad]	seguridad publica	c_sdem_v4.pdf	4	01 trabajo 07 inseguridad publica mexicana o pais 01 trabajo
confianza_institucional[seguridad]	seguridad publica	c_sdem_v5a.pdf	4	07 inseguridad publica
confianza_institucional[seguridad]	seguridad publica	enoe_123_fd_c_bas_amp.pdf	10	07 inseguridad publica
confianza_institucional[seguridad]	seguridad publica	enoe_325_fd_c_bas_amp.pdf	10	07 inseguridad publica
confianza_institucional[seguridad]	seguridad publica	fd_c_amp_v4.pdf	5	07 inseguridad publica
confianza_institucional[seguridad]	seguridad publica	fd_c_bas_amp_15ymas.pdf	10	07 inseguridad publica
confianza_institucional[seguridad]	seguridad publica	fd_c_bas_amp_conapo.pdf	5	07 inseguridad publica
deferencia	autoridad	c_amp_v5.pdf	4	ca. oportunidad, los datos e informes que les soliciten las autoridades toda la informacion que se proporcione se mantendra con caracter
deferencia	autoridad	c_amp_v6a.pdf	4	ca. toda oportunidad, los datos e informes que les soliciten las autoridades la informacion que se proporcione se mantendra con caracter
deferencia	autoridad	c_bas_v5.pdf	2	ca. toda oportunidad, los datos e informes que les soliciten las autoridades la informacion que se proporcione se mantendra con caracter
deferencia	autoridad	c_bas_v7.pdf	2	ca. toda oportunidad, los datos e informes que les soliciten las autoridades
deferencia	autoridad	c_sdem_v5a.pdf	2	datos e informes que les soliciten las autoridades competentes para fines estadisticos, informacion que se proporcione
deferencia	autoridad	enoe_123_fd_c_bas_amp.pdf	2	10 problemas con las autoridades
deferencia	autoridad	enoe_325_fd_c_bas_amp.pdf	2	10 problemas con las autoridades
deferencia	autoridad	fd_c_amp_v4.pdf	2	problemas con las autoridades (extorsion,
deferencia	autoridad	fd_c_bas_amp_15ymas.pdf	2	10 problemas con las autoridades
deferencia	autoridad	fd_c_bas_amp_conapo.pdf	2	10 problemas con las autoridades (extorsion, multa)
deferencia	jefe	c_amp_v5.pdf	6	3a. ¿en su trabajo ... tiene un jefe(a) o superior? 4 no sabe que tipo de
deferencia	jefe	c_amp_v6a.pdf	6	3r 3a. ¿en su trabajo ... tiene un jefe(a) o superior?
deferencia	jefe	c_bas_v5.pdf	2	o sin trabajo, ¿cual 3a. ¿en su trabajo ... tiene un jefe(a) o superior? era la situacion?
deferencia	jefe	c_bas_v7.pdf	2	do sin trabajo, ¿cual 3a. ¿en su trabajo... tiene un jefe(a) o superior? era la situacion?
deferencia	jefe	c_sdem_v4.pdf	6	integrantes de este hogar a las personas que jefe(a) de este anos nacio ...?
deferencia	jefe	c_sdem_v5a.pdf	6	este hogar le voy a mencionar las ¿que es ... del jefe(a) de este ... es ¿cuantos ¿en que fecha ¿en que estad
deferencia	jefe	enoe_123_fd_c_bas_amp.pdf	8	cter 1 1 si tiene un jefe(a) o 2 no
deferencia	jefe	enoe_325_fd_c_bas_amp.pdf	8	tiene un jefe(a) o 2 no
deferencia	jefe	fd_c_amp_v4.pdf	6	puesto o cargo? ¿en su trabajo ... tiene un jefe(a) o 1 si 64 p3a
deferencia	jefe	fd_c_bas_amp_15ymas.pdf	8	tiene un jefe(a) o 2 no
deferencia	jefe	fd_c_bas_amp_conapo.pdf	8	¿en su trabajo ... tiene un jefe(a) 1 si
exposicion_violencia	asalto	c_sdem_v5a.pdf	2	06 por inseguridad o delincuencia (asaltos, extorsiones, homicidios) si p6 = 3 (nuevo residente)
exposicion_violencia	asalto	enoe_123_fd_c_bas_amp.pdf	2	(asaltos, extorisones, homicidios)
exposicion_violencia	asalto	enoe_325_fd_c_bas_amp.pdf	2	(asaltos, extorisones, homicidios)
exposicion_violencia	extorsion	c_amp_v5.pdf	2	asa a 9d 10 problemas con las autoridades (extorsion, multa) 9 ns pasa a 9f
exposicion_violencia	extorsion	c_amp_v6a.pdf	2	los servicios que se prestan) 10 problemas con las autoridades (extorsion, multa) 11 matrimonio, embarazo y/o responsabilidades familiares
exposicion_violencia	extorsion	c_sdem_v5a.pdf	2	06 por inseguridad o delincuencia (asaltos, extorsiones, homicidios) si p6 = 3 (nuevo residente)
exposicion_violencia	extorsion	enoe_123_fd_c_bas_amp.pdf	2	(extorsion, multa)
