puerta	clase_origen	institucion	url	tipo	cobertura_temporal	unidad_observacion	granularidad_geo	hay_microdato	condicion_acceso	necesidad_que_sirve	llave_ADR57c_si_alguna	clasificacion_a4	universo_declarado	fecha_sondeo
COLEF_EMIF_Norte_Sur	repositorio_academico	COLEF	https://www.colef.mx/emif/basescuestionarios.html	microdato	EMIF Norte 1993-2020 (retomada 2022-2023); EMIF Sur desde 2004	individuo migrante (flujo, no panel de hogares)	fronteras norte/sur, puntos de cruce	si, declarado -- estructura de descarga presente	registro requerido (nombre/correo/contrasena/institucion/rol); gratuidad no declarada explicitamente, nada indica costo			EXISTE-NO-SATISFACE	Pagina abierta y leida; portal de descarga real con formulario de registro; contenido de datasets especificos no confirmado mas alla del formulario	2026-08-08
IPUMS_International_Mexico	repositorio_academico	IPUMS (Universidad de Minnesota)	https://international.ipums.org/international/sample_designs/sample_designs_mx.shtml	microdato	censos 1960,1970,1990,1995,2000,2010,2020; 62 encuestas de fuerza laboral 2005-2020	individuo (censal, transversal)	municipal (censo)	si	registro gratuito (estandar IPUMS, detalle no confirmado esta sesion)			EXISTE-NO-SATISFACE	"Hallazgo NEGATIVO real, no supuesto: buscado explicitamente ""IPUMS Mexico microdata census panel available"" -- confirma censos/ENOE transversales, CERO panel para Mexico. Vale como cierre de puerta (N5), no como puerta abierta"	2026-08-08
UNAM_Repositorio_Institucional_panel	repositorio_academico	UNAM	https://repositorio.unam.mx/					no determinado				NO-ENCONTRADO	"Buscado ""UNAM repositorio institucional encuesta panel longitudinal datos Mexico"" -- el repositorio general existe (2.7M recursos) pero ningun panel/encuesta longitudinal especifico aparecio; si aparece una Encuesta Nacional sobre Valores en la Juventud 2012 (transversal, no panel), Instituto de Investigaciones Juridicas"	2026-08-08
COLMEX_Repositorio_panel	repositorio_academico	COLMEX	https://repositorio.colmex.mx/					no determinado				NO-ENCONTRADO	"Buscado ""COLMEX panel encuesta longitudinal microdatos repositorio"" -- el repositorio digital general existe; el hallazgo mas cercano es que INEGI opera un laboratorio de microdatos DENTRO de COLMEX (acceso mediado a encuestas de INEGI, no un panel propio de COLMEX); ningun panel propio confirmado"	2026-08-08
ITAM_panel_household_finance	repositorio_academico	ITAM	(ninguna URL especifica -- no se encontro pagina propia)					no determinado				NO-ENCONTRADO	"Buscado ""ITAM panel data survey Mexico household finance repository"" -- ITAM aparece solo como mencion lateral academica, sin repositorio propio de panel identificado; el buscador devolvio en cambio ENIF/ENIGH/ENFIH (ya conocidos, INEGI/CNBV) | AMPLIADO 2026-08-14 (SANEA-MAPEO): TRIAGE-63/#228 (13/ago) tampoco encontro URL propia identificable para esta fila (quien_puede=NO_PROBADO) -- segunda busqueda independiente sin resultado, refuerza NO-ENCONTRADO bajo A.4, no lo cambia."	2026-08-14
Harvard_Dataverse_Mexico_panel	repositorio_academico	Harvard Dataverse	https://dataverse.harvard.edu/					no determinado				NO-ENCONTRADO	"Buscado ""Harvard Dataverse Mexico panel survey household credit dataset"" -- la plataforma general existe (2000+ dataverses, 75k+ datasets) pero ningun dataset especifico de panel mexicano de credito/hogar aparecio; no se probo el buscador interno de dataverse.harvard.edu directamente, fuera del presupuesto de este acto"	2026-08-08
MCCI_Encuesta_Corrupcion_Impunidad	ong_observatorio	MCCI (Mexicanos Contra la Corrupcion y la Impunidad)	https://contralacorrupcion.mx/encuesta-nacional-mcci-corrupcion-e-impunidad/	microdato	2019-2024, anual	individuo, percepcion e incidencia de corrupcion en la vida cotidiana (no confirma si mide pago de mordida conductual especifico)	no especificada en la pagina (nacional presumido, no confirmado municipal)	si -- descarga directa confirmada	libre y gratuito, URL de descarga directa confirmada (.xlsx)	N16	(vacio -- transversal repetido anual, no panel de los mismos individuos)	EXISTE-NO-SATISFACE	Pagina abierta y leida; boton de descarga real confirmado: contralacorrupcion.mx/wp-content/uploads/2024/08/Encuesta-MCCI_2019-2024.xlsx (URL exacta, no se descargo el archivo -- es mas alla del presupuesto de censo). Mide percepcion, no confirmado si mide conducta de pago de mordida ni granularidad municipal que N16 pide	2026-08-08
DataCivica_Explorador_Violencia	ong_observatorio	Data Civica	https://datacivica.org/ ; https://datacivica.org/proyectos/	microdato (declarado por buscador)	no verificado	feminicidio/homicidio/trata, por sexo/edad/escolaridad (declarado por buscador)	no verificado	no verificado	no verificado	N8, N9 (declarado por buscador, no confirmado)		NO OBTENIDO POR ESTE AGENTE EN 2 INTENTOS	"Intento 1 datacivica.org -> HTTP 403. Intento 2 datacivica.org/proyectos/ -> HTTP 403 (mismo bloqueo, probable anti-bot). Contenido de ""Explorador de Datos de Violencia"" y proyecto ""Votar entre balas"" (con Mexico Evalua y Animal Politico) conocido solo por WebSearch, sin abrir -- SIN-FETCH real, no confirmado. Receta manual: abrir datacivica.org en navegador normal"	2026-08-08
CeroDesabasto_Reportes	ong_observatorio	Cero Desabasto (Practica Lab + Nosotrxs)	https://cerodesabasto.org/	registro	~2019-2020 a la fecha, ~14000 reportes acumulados	reporte individual de desabasto (medicamento/insumo/vacuna/anticonceptivo), autoreportado	nacional con representaciones locales (detalle no verificado)	"si -- seccion ""Datos Abiertos""/""Explorar datos"" confirmada en el sitio"	libre			EXISTE-NO-SATISFACE	Pagina abierta y leida completa; confirma seccion de datos abiertos pero no formato de descarga exacto ni API; no mapea a ninguna de las 33 necesidades (R4.1/R9.1/R9.2, los relacionados con abasto, ya estan D-sellados desde 4/ago y no son de las 14 reglas abiertas)	2026-08-08
Mexico_Evalua_IMCO_SignosVitales_Intersecta	ong_observatorio	Mexico Evalua / IMCO / Signos Vitales / Intersecta	https://imco.org.mx/indices/ ; https://www.rendiciondecuentas.org.mx/signos-vitales-del-estado-mexicano/	tabulado (IMCO indices estatales confirmados por buscador; los otros tres no confirmados)	IMCO: series por edicion anual (2021-2023 vistas en buscador)	agregado estatal/municipal segun indice (declarado, no abierto)	estatal (IMCO ICE, ICU por ciudad)	no (indices agregados, no microdato)	libre (declarado, no verificado)	N16 (indirecto, gobernanza/finanzas subnacionales)		SIN-FETCH	Cuatro organizaciones buscadas, ninguna abierta byte a byte en este acto (presupuesto de clase agotandose) -- IMCO tiene el hallazgo mas solido (indices de competitividad estatal/urbana reales, imco.org.mx/indices/); Mexico Evalua no arrojo URL propia clara (los resultados devolvieron portales de datos.gob.mx/CDMX en su lugar); Signos Vitales aparece via rendiciondecuentas.org.mx, no sitio propio claro; Intersecta no arrojo base de datos propia, solo menciones de personal. Las cuatro quedan SIN-FETCH para un acto futuro que las abra una por una	2026-08-08
BID_IDB_Microdatos_Center	organismo_internacional	BID/IDB	https://microdatos.iadb.org/	microdato	multianual, encuestas de hogares armonizadas LAC (Mexico incluido, anos no confirmados por el defecto tecnico)	hogar/individuo, formato PAIS_anoronda_BID.dta	nacional (segun encuesta fuente armonizada)	si, declarado (ejecucion remota en Stata, sin descarga directa del archivo)	registro gratuito declarado por buscador (correo, compromiso de uso, contrasena) -- no confirmado costo	N18, N19		EXISTE-NO-SATISFACE	"DEFECTO TECNICO real, verificado con curl -L y curl -D- (GET, no HEAD): microdatos.iadb.org devuelve 301 a ""https://microdatos.iadb.org.iadb.org:443/"" -- URL mal formada, autoreferencial, no resuelve como dominio legitimo. Portal roto en su URL principal hoy. Contenido/mecanismo (Stata remoto, PAIS_anoronda_BID.dta) conocido solo por WebSearch, no verificado abriendo la pagina real"	2026-08-08
CEPAL_BADEHOG	organismo_internacional	CEPAL	https://badehog.cepal.org/	microdato (procesamiento en linea, no descarga de archivo crudo)	2000-2024	hogar/individuo -- ocupacion, seguridad social, pobreza, ingreso, educacion, vivienda	nacional (18 paises LAC incluido Mexico; subnacional no confirmado)	"si -- sistema de procesamiento en linea confirmado, ""Descargar tabla"" disponible"	libre, sin registro visible en la pagina	N18		EXISTE-NO-SATISFACE	Pagina abierta y leida completa; confirma Mexico entre 18 paises, 2000-2024, variables de ocupacion/seguridad-social/pobreza/ingreso reales. Es procesamiento de tablas en linea, no descarga de microdato crudo por registro individual -- no confirma variable de evasion/informalidad al nivel que N18 pide	2026-08-08
OIT_ILOSTAT	organismo_internacional	OIT/ILO	https://ilostat.ilo.org/data/	tabulado (declarado por buscador)	"no verificado (informe reciente citado: ""Labor Market Trends LAC 2026"")"	agregado nacional, informalidad laboral (52.4% citado)	nacional	no (indicadores agregados; la fuente subyacente es ENOE, ya conocida)	no verificado, bloqueado esta sesion	N18		EXISTE-NO-SATISFACE	Fetch directo -> HTTP 403 (posible bloqueo anti-bot), 1 intento. Cifra 52.4% de informalidad conocida solo por WebSearch (OIT via prensa), fuente primaria declarada ENOE -- no aporta puerta nueva mas alla de lo ya conocido	2026-08-08
Gallup_World_Poll	organismo_internacional	Gallup	https://www.gallup.com/analytics/318923/world-poll-public-datasets.aspx	microdato	desde 2006, anual, 167 paises	individuo	nacional	si, declarado	"NO-ACCESIBLE -- ""respondent-level global datasets are available for purchase"", confirmado por buscador"	N15 (potencial, via items de confianza/riesgo, no confirmado)		NO-ACCESIBLE	"Confirmado por WebSearch (no se abrio la pagina de compra directamente, el hallazgo de ""purchase"" es suficientemente claro para clasificar sin fetch adicional): microdato a nivel de encuestado es de pago. Existe tambien acceso via bibliotecas universitarias (no aplica a este programa)"	2026-08-08
WVS_World_Values_Survey	organismo_internacional	WVS Association	https://www.worldvaluessurvey.org/WVSDocumentationWV7.jsp	microdato	2018 (Wave 7)	individuo	nacional	si -- 6 formatos de datos (csv/csvtext/excel/exceltxt/spss/stata) + 5 documentos (cuestionario/metodologia/muestreo/equipo/codebook) obtenidos, integros (sha256 en manifiesto)	requeria sesion autenticada (cuenta WVS gratuita); registro hecho por el usuario, descarga manual via navegador -- confirma la hipotesis dejada abierta el 12/ago (bloqueo era de autenticacion, no defecto de portal)	N5,N15		EXISTE-SATISFACE	ACTUALIZA la fila de 2026-08-12 (antes NO OBTENIDO POR ESTE AGENTE EN 6 INTENTOS, tras la ejecucion automatizada de Commit 2). El usuario completo el registro WVS gratuito y descargo los 11 archivos manualmente via navegador (AJDownload.jsp/DocDownload -- el mismo endpoint que rechazo los 6 intentos anonimos con 1 byte de respuesta), a data/raices.local.yaml:descargas_mx. Los 11 registrados en data/manifiesto.yaml via tests/manifiesto.py --escanea/--promueve (ids f0000xxxx_.../f0001xxxx_..., DOID 6635/8602/10700/10701/11928/13032/13084/13146/13203/13259/13316), sha256 derivado del archivo real, --verifica COINCIDE en los 11. Detalle completo, incluyendo un defecto real de _formatear_entrada_staging (--escanea corrompe YAML de staging con valores largos, y no preserva metadatos entre invocaciones separadas del mismo --grupo), en forense/notas/2026-08-12-acto-p-lote1-adquisicion.md	2026-08-12
PNT_Plataforma_Nacional_Transparencia	transparencia	INAI / Sistema Nacional de Transparencia	https://www.plataformadetransparencia.org.mx/estadisticas-pnt/solicitudes	registro	migra >6 millones de solicitudes de Infomex; 30 millones de descargas de datos abiertos acumuladas (declarado)	solicitud de informacion / queja, por sujeto obligado federal y estatal	nacional/estatal, por sujeto obligado	no (registro de solicitudes, no microdato de encuesta)	libre			EXISTE-NO-SATISFACE	Fetch directo a la pagina de estadisticas -> HTTP 403 (bloqueo, 1 intento); contenido general (seccion Datos Abiertos, 30M descargas, 17M consultas) confirmado por WebSearch. No mapea directo a ninguna de las 33 necesidades -- es infraestructura de solicitudes, no encuesta ni registro administrativo tematico	2026-08-08
Tandas_para_el_Bienestar	transparencia	Secretaria de Economia	http://www.tandasparaelbienestar.economia.gob.mx/	registro (declarado por buscador)	programa desde 2019 (sexenio anterior), vigencia actual no confirmada	grupo/persona participante en tanda gubernamental	no verificada	no verificada	no verificada	N29 (candidato natural: tanda con enforcement de plataforma, no personal)		NO OBTENIDO POR ESTE AGENTE EN 2 INTENTOS	"Intento 1 con www -> DNS ENOTFOUND. Intento 2 sin www -> HTTP 000 (conexion rechazada/no establecida). El dominio parece dado de baja -- coherente con ser un programa del sexenio 2018-2024. Receta manual: buscar ""Tandas para el Bienestar"" para confirmar si el programa sigue vigente bajo otro dominio, o si fue descontinuado | Nota 2026-08-13 (REG-LOTE3): apareció en descargas_mx/Descargas Manuales un workbook de terceros (MEX_PILP_TB_v1.xlsx, autoría Florencia Rebolledo, hoja 'TB_d') con cifras de presupuesto/cobertura del programa citando Cuenta Pública del Gobierno Federal como fuente. Registrado como mex_pilp_tb_v1 en manifiesto.yaml SIN url_origen (compilación de tercero, no descarga del portal oficial -- el dominio de esta fila sigue caído, veredicto SIN CAMBIO)."	2026-08-08
RNM_Red_Nacional_Metadatos	catalogo_metadatos_inegi	INEGI	https://www.inegi.org.mx/rnm/index.php/catalog	catalogo_metadatos_ddi	vigente; cobertura por ficha individual, no unica	n/a (catalogo de fichas, no una encuesta)	n/a (catalogo de fichas, no una encuesta)	no (catalogo de metadatos DDI/NADA; el microdato se descarga por portal INEGI aparte, no por RNM)	libre, HTML navegable sin registro (verificado por curl, 200)			EXISTE-SATISFACE	catálogo DDI de estadística básica INEGI	2026-08-12
RNM_ENASIC_2022_ficha922	catalogo_metadatos_inegi	INEGI	https://www.inegi.org.mx/rnm/index.php/catalog/922	ficha_metadatos_ddi	2022 (levantamiento 24/oct-16/dic/2022)	hogares e integrantes; cuidadores 15+; receptores de cuidado (personas con discapacidad, NNA 0-17, adultos 60+, enfermos temporales); persona elegida 15-60; hogares unipersonales	nacional	si, declarado en la ficha (descarga directa por portal INEGI aparte de RNM); fuente ya en produccion propia (celda-D G5.familismo_obligacion.actitud, SELLO-B/CORRIDA-B)	publico, confidencialidad Art. 100 Ley del SNIEG; requiere citar fuente			EXISTE-SATISFACE	ficha de metadatos DDI/NADA de ENASIC 2022	2026-08-12
RNM_ENBIARE_2021_ficha730	catalogo_metadatos_inegi	INEGI	https://www.inegi.org.mx/rnm/index.php/catalog/730	ficha_metadatos_ddi	2021 (levantamiento 3/jun-23/jul/2021)	adultos 18+ hispanohablantes alfabetizados; niveles vivienda/hogar/individuo	nacional y por entidad federativa	si, declarado en la ficha, CSV y datos abiertos (descarga directa por portal INEGI aparte de RNM); fuente ya en produccion propia (celda-D G5.radio_confianza.encuci_vs_enbiare)	publico, confidencialidad protegida; requiere citar fuente; uso comercial permitido con credito			EXISTE-SATISFACE	ficha de metadatos DDI/NADA de ENBIARE 2021	2026-08-12
RNM_ENCUCI_2020_ficha647	catalogo_metadatos_inegi	INEGI	https://www.inegi.org.mx/rnm/index.php/catalog/647	ficha_metadatos_ddi	2020 (levantamiento ago-sep/2020; periodo de referencia ago/2019-sep/2020)	individuos 15+ residentes en viviendas particulares; tambien nivel hogar	nacional (urbano/rural) + 6 regiones geograficas	si, declarado en la ficha (descarga directa por portal INEGI aparte de RNM); fuente ya en produccion propia (celda-D G5.radio_confianza.encuci_vs_enbiare)	publico, confidencialidad protegida; requiere citar fuente			EXISTE-SATISFACE	ficha de metadatos DDI/NADA de ENCUCI 2020	2026-08-12
ACLED	gap_mapeo_map_b	NO-ENCONTRADO		(sin puerta -- gap de mapeo, ver crosswalk-fuente-puerta-2026-08-13.tsv)						N17,N27		NO-ENCONTRADO	buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B)	2026-08-13
AHORRO FINANCIERO Y FINANCIAMI	gap_mapeo_map_b	NO-ENCONTRADO	https://pnif.cnbv.gob.mx/dnoticia/reporteahorrofinancieroyfinanciamientomarzo2025 (candidato por coincidencia de nombre truncado -- ver cabecera_diagnostica)	(sin puerta -- gap de mapeo, ver crosswalk-fuente-puerta-2026-08-13.tsv)						N19		EXISTE-SATISFACE	ADQ-15 (2026-08-18, encargo forense/encargos/2026-08-18-ADQ-15.md, base e563e5d). Universo del veredicto: ADQUISICION MATERIAL -- lo que este acto bajo, hasheo y registro en data/manifiesto.yaml. La apertura a nivel variable contra la necesidad NO se evalua aqui y sigue siendo acto propio, mismo limite que declaro el sondeo TRIAGE-63. Nombre canonico real (derivado de data/mapa-fuentes-2026-08-06.tsv:L37, no de busqueda web): "Ahorro Financiero y Financiamiento en Mexico", CNBV -- el de la tabla esta truncado a 30 caracteres exactos. ADQUIRIDO: 14 payloads (6 PDF del reporte trimestral Mar2023..Mar2025 desde el CDN de gob.mx; 6 xlsx de la Base de Ahorro Financiero y Financiamiento 2000-Dic2021..2000-Jun2023; glosario y diccionario DGEE) desde datosabiertos.cnbv.gob.mx y www.gob.mx/cms/uploads. ids adq15_afyfem_*. Cadena TLS de *.cnbv.gob.mx resuelta en este acto sirviendo el intermedio GlobalSign RSA OV SSL CA 2018 derivado del AIA del propio certificado -- sin -k: eso cierra la "salvedad de certificado" que acceso-puertas-2026-08-13.tsv dejaba pendiente para esta fila.	2026-08-14
BASE_DEL_OBSERVATORIO_DE_CONFLICTOS_POR_EL_AGUA	gap_mapeo_map_b	NO-ENCONTRADO	https://omca.imta.gob.mx/omca/acerca_ocam	(sin puerta -- gap de mapeo, ver crosswalk-fuente-puerta-2026-08-13.tsv)						N27		EXISTE-SATISFACE	ADQ-15 (2026-08-18, encargo forense/encargos/2026-08-18-ADQ-15.md, base e563e5d). Universo del veredicto: ADQUISICION MATERIAL -- lo que este acto bajo, hasheo y registro en data/manifiesto.yaml. La apertura a nivel variable contra la necesidad NO se evalua aqui y sigue siendo acto propio, mismo limite que declaro el sondeo TRIAGE-63. ADQUIRIDA la base completa (id adq15_omca_omca_conflictos_base_completa) desde el endpoint AJAX del mapa (GET /omca/index.php/mapa/conflictos?order=ASC&search=), no de un boton de descarga: la portada no ofrece ninguno. Cobertura MEDIDA sobre el payload, no supuesta: 375 conflictos, 373 con anio, rango 1926-2025, 31 entidades, 375/375 georreferenciados, 8 tipos, 370/375 con evidencia hemerografica. Mas 8 paginas (metodologia, numeralia, consulta, mapa, reportes, boletines, objetivos, acerca). Eso responde la condicion "cobertura y descarga" que la cola declaraba faltante para N27.	2026-08-14
BASE_DE_EVENTOS_DE_PROTESTA_EN_MEXICO	gap_mapeo_map_b	NO-ENCONTRADO	https://laoms.org/	(sin puerta -- gap de mapeo, ver crosswalk-fuente-puerta-2026-08-13.tsv)						N27		NO OBTENIDO POR ESTE AGENTE EN 7 INTENTOS	ADQ-15 (2026-08-18, encargo forense/encargos/2026-08-18-ADQ-15.md, base e563e5d). Universo del veredicto: ADQUISICION MATERIAL -- lo que este acto bajo, hasheo y registro en data/manifiesto.yaml. La apertura a nivel variable contra la necesidad NO se evalua aqui y sigue siendo acto propio, mismo limite que declaro el sondeo TRIAGE-63. laoms.org: 7 intentos -- https (TLS connect error 35, unexpected eof while reading), http (502 dentro de la caja / curl 52 Empty reply from server FUERA de la caja), www.laoms.org en ambos esquemas, TLSv1.2 forzado, y TCP directo. Control positivo en el mismo camino y en el mismo minuto: votarentrebalas.datacivica.org devuelve 200 dentro y fuera del sandbox, asi que el sandbox queda descartado como causa. A.5: esto es un hecho sobre este agente y este entorno, no sobre el portal. RECETA MANUAL: abrir https://laoms.org/ en navegador; si tampoco carga, hay copia en web.archive.org/web/2024/https://laoms.org/ (200, 115907 B, verificado en este acto) -- copia de archivo, NO la base.	2026-08-14
BDIF	gap_mapeo_map_b	NO-ENCONTRADO	https://www.gob.mx/cnbv/acciones-y-programas/bases-de-datos-de-inclusion-financiera	(sin puerta -- gap de mapeo, ver crosswalk-fuente-puerta-2026-08-13.tsv)						N19		EXISTE-SATISFACE	ADQ-15 (2026-08-18, encargo forense/encargos/2026-08-18-ADQ-15.md, base e563e5d). Universo del veredicto: ADQUISICION MATERIAL -- lo que este acto bajo, hasheo y registro en data/manifiesto.yaml. La apertura a nivel variable contra la necesidad NO se evalua aqui y sigue siendo acto propio, mismo limite que declaro el sondeo TRIAGE-63. ADQUIRIDOS 12 payloads (ids adq15_bdif_*): Datos_Abiertos_DGASF_jun23_jun24.zip, glosario, diccionario DGPASF y las 9 bases del trimestre 52Septiembre_2022 (acceso y uso, nacional/entidad/municipio, banca y EACP). HALLAZGO: la pagina institucional que esta fila cita (www.gob.mx/cnbv/acciones-y-programas/bases-de-datos-de-inclusion-financiera) devuelve 200 pero es un reto WAF ("Challenge Validation", 1826 B) -- el 200 que registro el sondeo TRIAGE-63 era ese reto, no el portal. Y la pagina propia de CNBV (cnbv.gob.mx/Inclusion/Paginas/Bases-de-Datos.aspx) no lista ningun archivo: ultima modificacion 15/03/2016 y contiene el marcador de plantilla "aqui no va nada". La via real y abierta es datosabiertos.cnbv.gob.mx.	2026-08-14
BIARE	gap_mapeo_map_b	NO-ENCONTRADO		(sin puerta -- gap de mapeo, ver crosswalk-fuente-puerta-2026-08-13.tsv)						N30		NO-ENCONTRADO	buscada en el puntero 2026-08-12 y en la cola-adquisicion-2026-08-12 por nombre exacto y por URL, 2026-08-13 (MAP-B)	2026-08-13
