fuente_canonica	n_necesidades_servidas	destraba_sin_ruta	destraba_condicional_faltante	celda_piloto_FIN	url_conocida	clasificacion_a4_previa	palanca	estado_adquisicion_ADQ15	ids_manifiesto_ADQ15	estado_adquisicion_R74R75	ids_manifiesto_R74R75
GDELT	2:N17,N27	NO	N17:ruido, validación y costo / debe construirse universo México, deduplicar noticias, clasificar agravio/respuesta y unir entorno rural/urbano; sesgo de cobertura || N27:ruido, validación y costo / debe construirse universo México, deduplicar noticias, clasificar agravio/respuesta y unir entorno rural/urbano; sesgo de cobertura	SI	https://www.gdeltproject.org/data.html	CANDIDATA(APERTURA_INDETERMINADA)	11	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)		ADQUIRIDA-2026-08-24 (2 payloads: GDELT 1.0 MASTERREDUCEDV2 1979-2013 resulto -- al inspeccionarlo -- agregado diario actor-par-CAMEO sin columna de pais ni texto de articulo, inservible para aislar Mexico; corregido con GDELT 2.0 real, dia UTC completo 2026-08-24, 487 filas ActionGeo_CountryCode=MX de 97839 totales, EventRootCode=14/PROTESTA en 1 de 487, 18/19/20 en 26 (19:19, 18:7, 20:0) -- las 26 inspeccionadas una por una, ninguna describe agravio+entorno->autodefensa, todo ruido de clasificador; ver manifiesto)	adqcorre_r74r75_gdelt_masterreducedv2 (inservible, ver nota), adqcorre_r74r75_gdelt2_export_mx_20260824 (el que se usa)
INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	2:N3,N17	NO	N3:traslado al objeto exacto / mapear equivalencia con sens_estatus y reclutamiento || N17:mapear equivalencia con sens_estatus y reclutamiento	SI	https://www.nature.com/articles/s41562-024-02043-y	CANDIDATA(APERTURA_INDETERMINADA)	12	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	2:N17,N27	NO	N17:granularidad, actores, geografia, cobertura y licencia exactas || N27:granularidad, actores, geografia, cobertura y licencia exactas	SI	VACIO	CANDIDATA(APERTURA_INDETERMINADA)	13	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)		NO-ES-FUENTE-SEPARADA-2026-08-24 (verificado: no existe un archivo/endpoint propio para 'EVENTOS_MEXICO' -- es el mismo dataset global mmALL v16 de la linea 15 filtrado a country==Mexico; Dataverse MMdata tiene 1 solo dataset con 2 archivos globales, sitio del proyecto y su GitHub sin variante Mexico)	adqcorre_r74r75_massmobilization_mmall_v16 (mismo payload que linea 15, no es una adquisicion nueva)
MASS_MOBILIZATION_PROTEST_DATA	2:N17,N27	NO	N17:no codifica de entrada predicción ambiental del proyecto; cobertura termina 2018 y ubicación puede no llegar a coordenada || N27:no codifica de entrada predicción ambiental del proyecto; cobertura termina 2018 y ubicación puede no llegar a coordenada	SI	https://massmobilization.github.io/	CANDIDATA(APERTURA_INDETERMINADA)	14	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)		ADQUIRIDA-2026-08-24 (mmALL_073120_v16.tab, Harvard Dataverse doi:10.7910/DVN/HTTWYL; 17145 filas globales, 153 Mexico 1990-2020 -- corrige el caveat de esta misma fila, que dice 'termina 2018'; dataset SOLO protesta por diseno, 0 de 153 filas describen la rama autodefensa)	adqcorre_r74r75_massmobilization_mmall_v16
MASS_MOBILIZATION_PROTEST_DATA_MEXICO	2:N17,N27	NO	N17:granularidad del archivo México || N27:granularidad del archivo México	SI	VACIO	CANDIDATA(APERTURA_INDETERMINADA)	15	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)		NO-ES-FUENTE-SEPARADA-2026-08-24 (mismo caso que linea 14: no existe archivo/endpoint 'PROTEST_DATA_MEXICO' propio -- es mmALL v16 filtrado a Mexico)	adqcorre_r74r75_massmobilization_mmall_v16 (mismo payload que linea 15, no es una adquisicion nueva)
UCDP	2:N17,N27	NO	N17:no cubre protesta general / no cubre protesta no violenta ni codifica respuesta colectiva a agravio/entorno según la regla; México puede tener cobertura escasa por definición de conflicto || N27:no cubre protesta no violenta ni codifica respuesta colectiva a agravio/entorno según la regla; México puede tener cobertura escasa por definición de conflicto / no cubre protesta general	SI	https://ucdp.uu.se/downloads/	CANDIDATAx2+NEGATIVAx2	16	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)		YA-ADQUIRIDA-2026-08-13 (GED v26.1 completo, por acto GDELT-UCDP-RECON; NO re-descargada -- tests/manifiesto.py --registra confirmo mismo sha256 ya registrado; 417968 filas globales, 25714 Mexico -- Mexico es el 4o pais mas representado del dataset -- type_of_violence: 25324 no-estatal/2, 355 unilateral/3, 35 estatal/1; 1 solo actor nombrado tipo autodefensa en todo Mexico, 'Autodefensas Unidas de Michoacan', dominado 25324/25714 por conflicto cartel-vs-cartel, no agravio->autodefensa)	ucdp_ged261_csv (registrado 2026-08-13 por GDELT-UCDP-RECON, no por este acto)
ENCOAP	2:N2,N30	NO	N2:no representa ámbito rural; falta mapear variables y confirmar cuál desenlace financiero/social coincide con G5/R8.3 || N30:ruralidad y variables destino / no representa ámbito rural; falta mapear variables y confirmar cuál desenlace financiero/social coincide con G5/R8.3	NO	https://www.inegi.org.mx/programas/encoap/2023/default.html	CANDIDATA(APERTURA_INDETERMINADA)	17	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
MEXICO_PANEL_STUDY_2012	2:N26,N27	NO	N26:ya está representada en universo-puertas y BARRIDO-1; acceso restringido sigue siendo el bloqueo || N27:ya está representada en universo-puertas y BARRIDO-1; acceso restringido sigue siendo el bloqueo	NO	https://www.icpsr.umich.edu/web/ICPSR/studies/35024	CANDIDATA(APERTURA_INDETERMINADA)	18	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
SE	2:N22,N32	NO	*:45 páginas de percepción 0-100 (19 factores), sin ninguna variable de frecuencia conductual -- falta desagregación conductual/por estilo (verif3.md:250-258)	NO	VACIO	NEGATIVA(CURADURIA_SEMANTICA_MULTI2)	19	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
CANAL_DE_ADQUISICION_REFERIDOS_FINTECH	1:N19	NO	N19:fuente no localizada	SI	VACIO	NEGATIVA(APERTURA_NEGATIVA_EXPLICITA)	20	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
DENUNCIA_VINCULADA_CON_TENENCIA_DE_SEGURO	1:N20	NO	N20:requeriría convenio con aseguradora	SI	VACIO	NEGATIVA(APERTURA_NEGATIVA_EXPLICITA)	21	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
FINTECH_LENDING_TO_BORROWERS_WITH_NO_CREDIT_HISTORY	1:N19	NO	N19:identidad, licencia y acceso	SI	VACIO	NO_ACCESIBLE(APERTURA_NO_ACCESIBLE)	22	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	1:N5	NO	N5:texto/variable temporal, n final, llave entre screener y seguimiento	SI	https://microdata.worldbank.org/catalog/2049	CANDIDATA(APERTURA_INDETERMINADA)	23	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
MICROCREDIT_IMPACTS_COMPARTAMOS_RCT	1:N3	NO	N3:reactivo explícito de estatus	SI	VACIO	CANDIDATA(APERTURA_INDETERMINADA)	24	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
MICROCREDIT_IMPACTS_RANDOMIZED_MICROCREDIT_PROGRAM_PLACEMENT_EXP	1:N3	NO	N3:codebook y variable exacta de estatus; no inferir estatus de gasto o bienestar	SI	https://www.openicpsr.org/openicpsr/project/116334/version/V1/view	CANDIDATA(APERTURA_INDETERMINADA)	25	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
BASE_DEL_OBSERVATORIO_DE_CONFLICTOS_POR_EL_AGUA	1:N27	NO	N27:cobertura y descarga	NO	VACIO	CANDIDATA(APERTURA_INDETERMINADA)	26	ADQUIRIDA-2026-08-18 (9 payloads; base completa de 375 conflictos, 1926-2025, 31 entidades)	adq15_omca_* (9)		
BASE_DE_EVENTOS_DE_PROTESTA_EN_MEXICO	1:N27	NO	N27:acceso, codebook y continuidad	NO	VACIO	CANDIDATA(APERTURA_INDETERMINADA)	27	NO-OBTENIDA-2026-08-18 (laoms.org corta TLS; 7 intentos, control positivo dentro y fuera del sandbox)	ninguno		
CNGMD	1:N28	NO	N28:falta saber si identifica comité, monitoreo, sanción, contribución sostenida y entorno rural/urbano; no observa persona	NO	https://www.inegi.org.mx/rnm/index.php/catalog/977	CANDIDATA(APERTURA_INDETERMINADA)	28	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
COMPARATIVE_STUDY_OF_ELECTORAL_SYSTEMS_MEXICO_2018	1:N25	NO	N25:codebook, n, diseño Mexico y licencia	NO	VACIO	CANDIDATA(APERTURA_INDETERMINADA)	29	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
DOES_CORRUPTION_INFORMATION_INSPIRE_THE_FIGHT_OR_QUASH_THE_HOPE	1:N25	NO	N25:llave sección-encuesta / abrir indice/codebook para llave de encuesta individual	NO	https://www.povertyactionlab.org/evaluation/information-dissemination-campaign-and-voters-behavior-2009-municipal-elections-mexico	CANDIDATA(APERTURA_INDETERMINADA)	30	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
ELECTORAL_PRECINCT_LEVEL_DATABASE_FOR_MEXICAN_MUNICIPAL_ELECTION	1:N25	NO	N25:ids estables, cobertura y descarga	NO	https://www.nature.com/articles/s41597-025-04918-9	CANDIDATA(APERTURA_INDETERMINADA)	31	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_2019_2024	1:N29	NO	N29:comparabilidad y modalidad BNPL	NO	VACIO	CANDIDATA(APERTURA_INDETERMINADA)	32	YA-ADQUIRIDA-A.8 (ola 2024, registrada 2026-08-12 por P-LOTE-2; NO se re-descargo; olas 2019 y 2021 sin payload)	banxico_encuesta_competencias_financieras_2024		
ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_DE_LA_POBLACION	1:N29	NO	N29:no identifica BNPL como modalidad separada ni incumplimiento de tanda entre desconocidos; comparabilidad anual por verificar	NO	https://www.banxico.org.mx/publicaciones-y-prensa/encuesta-de-competencias-financieras-de-la-poblaci/microdatos/competencias-financieras-mi.html	CANDIDATA(APERTURA_INDETERMINADA)	33	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
HOMESCAN_CONSUMER_PANEL_SERVICES	1:N21	NO	N21:cobertura México y costo	NO	VACIO	NO_ACCESIBLE(APERTURA_NO_ACCESIBLE)	34	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	1:N28	NO	N28:aleatorizacion, llave, contribucion y sancion exactas	NO	https://microdata.worldbank.org/catalog/1039/study-description	CANDIDATA(APERTURA_INDETERMINADA)	35	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
OECD	1:N30	NO	N30:no aporta una nueva fuente independiente respecto de ENCOAP para 2023; requiere aprobación de acceso	NO	https://www.oecd.org/en/data/datasets/oecd-trust-survey-data.html	CANDIDATA(APERTURA_INDETERMINADA)	36	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
PANEL_DE_COMPRA_DE_HOGARES	1:N21	NO	N21:costo, licencia y variables	NO	VACIO	NO_ACCESIBLE(APERTURA_NO_ACCESIBLE)	37	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
PRICE_AND_INFORMATION_TYPE_IN_LIFE_MICROINSURANCE_DEMAND	1:N21	NO	N21:archivos/licencia y comparador de marca	NO	https://cenfri.org/research-paper/price-and-information-type-in-life-microinsurance-demand-experimental-evidence-from-mexico/	CANDIDATA(APERTURA_INDETERMINADA)	38	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
REGISTRO_DE_TANDAS_Y_REPUTACION	1:N29	NO	N29:validar uso real	NO	VACIO	NO_ACCESIBLE(APERTURA_NO_ACCESIBLE)	39	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
REGISTRO_OPERATIVO_DE_TANDAS_DIGITALES	1:N29	NO	N29:acceso, tracción y representatividad	NO	VACIO	NO_ACCESIBLE(APERTURA_NO_ACCESIBLE)	40	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
REPORTE_SOBRE_USO_Y_CONFIANZA_DE_SERVICIOS_FINANCIEROS_DIGITALES	1:N24	NO	N24:texto, ponderador y muestra	NO	VACIO	CANDIDATA(APERTURA_INDETERMINADA)	41	ADQUIRIDA-PARCIAL-2026-08-18 (3 payloads: las dos versiones del reporte, integras; basededatossfd.zip NO obtenida en 11 intentos, el host trunca y corta TLS)	adq15_ift_sfd_* (3)		
SICS	1:N28	NO	*:conteos nacionales agregados por ejercicio fiscal, sin identificador de comité -- falta variable de sanción/monitoreo a nivel comité (verif3.md:190-198, EXISTE-NO-SATISFACE)	NO	VACIO	NEGATIVA(CURADURIA_SEMANTICA_MULTI2)	42	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
VOTAR_ENTRE_BALAS	1:N27	NO	N27:reglas y años exactos	NO	VACIO	CANDIDATA(APERTURA_INDETERMINADA)	43	ADQUIRIDA-2026-08-18 (base completa: 3379 filas, 28 columnas, 2017-2026, mas diccionario y metodologia)	adq15_votarentrebalas_votar_entre_balas_base;adq15_votarentrebalas_veb_datos_landing		
ENIF	2:N19,N24	NO	NO	SI	VACIO	CANDIDATA(APERTURA_INDETERMINADA)	44	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
SERIES_SPEI_CODI_BANXICO	2:N17,N24	NO	NO	SI	VACIO	CANDIDATA(APERTURA_INDETERMINADA)	45	YA-ADQUIRIDA-A.8-PARCIAL (16 entradas del grupo R3.4_Banxico_CoDi_SPEI, 2026-08-06; NO se re-descargo; falta la serie SPEI propia)	R3.4_Banxico_CoDi_SPEI (16)		
INE	2:N25,N26	NO	NO	NO	VACIO	CANDIDATA(APERTURA_INDETERMINADA)	46	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
AHORRO FINANCIERO Y FINANCIAMI	1:N19	NO	NO	SI	VACIO	CANDIDATA(APERTURA_INDETERMINADA)	47	ADQUIRIDA-2026-08-18 (14 payloads; nombre real "Ahorro Financiero y Financiamiento en Mexico", el de esta columna esta truncado a 30 caracteres)	adq15_afyfem_* (14)		
BDIF	1:N19	NO	NO	SI	VACIO	CANDIDATA(APERTURA_INDETERMINADA)	48	ADQUIRIDA-2026-08-18 (12 payloads via datosabiertos.cnbv.gob.mx; la pagina de gob.mx es un reto WAF y la de cnbv.gob.mx no lista archivos desde 2016)	adq15_bdif_* (12)		
ENAFIN	1:N19	NO	NO	SI	VACIO	CANDIDATA(APERTURA_INDETERMINADA)	49	ADQUIRIDA-PARCIAL-2026-08-18 (10 payloads; los csv abiertos son TABULADOS, el microdato de empresa es de acceso confidencial en el Laboratorio de Microdatos)	adq15_enafin_* (10)		
PI	1:N19	NO	NO	SI	VACIO	CANDIDATA(APERTURA_INDETERMINADA)	50	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
ENCUP	1:N25	NO	NO	NO	VACIO	CANDIDATA(APERTURA_INDETERMINADA)	51	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
LAPOP	1:N30	NO	NO	NO	VACIO	CANDIDATA(APERTURA_INDETERMINADA)	52	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
LATINOBARÓMETRO	1:N30	NO	NO	NO	VACIO	CANDIDATA(APERTURA_INDETERMINADA)	53	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
PUB	1:N26	NO	NO	NO	VACIO	CANDIDATA(APERTURA_INDETERMINADA)	54	FUERA-DE-ALCANCE-ADQ15 (esta fila no esta entre las 15 EXISTE-NO-VERIFICADO del encargo)			
