id_manifiesto	archivo	raiz	tamano_bytes	usado_para_declara_uso	necesidades_que_lo_citan	tsv_de_apertura_que_lo_toca	estado	universo_declarado
conf17_r9_1_ensanut_2018_cuestionario_utilizadores	R9_1_ENSANUT_utilizadores/ensanut_2018_utilizadores_servicios_salud.pdf	data_raw	930234	Candidata para R9.1 (Ficha 14, veredicto D ya sellado) — verificación byte a byte por ENCARGO CONF-17. No reabre el veredicto.			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
cpv2020_caas_descriptor_bd_xlsx	Censo2020_CAAS_descriptor_bd.xlsx	data_raw	77167	documentación — descriptor de la base de datos CAAS (estructura de tablas/campos, no diccionario de variables de reactivo)			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
cpv2020_caas_eum_csv	Censo2020_CAAS_eum_csv.zip	data_raw	1076224	"CORREGIDO 2026-08-03 (ver forense/notas/2026-08-03-descarga-masiva-xml-mecanismo.md §6): NO es microdato de personas del Cuestionario Ampliado — la etiqueta original de esta entrada lo era por error, heredado de una premisa sin verificar. CAAS = Censo de Alojamientos de Asistencia Social: tres tablas, TI_TRA_CAAS_00.csv (trabajadores), TI_USU_CAAS_00.csv (usuarios), TR_ALO_CAAS_00.csv (alojamientos) — confirmado por listado del ZIP (unzip -l) y por las pestañas del descriptor (cpv2020_caas_descriptor_bd_xlsx: ""CAAS_Alojamientos"" / ""CAAS_Usuarios"" / ""CAAS_Trabajadores""). Es el censo de instituciones de asistencia social (albergues, asilos, orfanatos), no una muestra de personas en viviendas. El tamaño pequeño (1.08 MB nacional) es correcto para este producto — verificado HEAD=disco=1 076 224 bytes exactos, ZIP válido (cabecera PK real, no HTML de error). La muestra real del Cuestionario Ampliado (tablas VIVIENDAS/PERSONAS/MIGRANTES, confirmadas en cpv2020_diccionario_cuestionario_ampliado_xlsx) NO está entre las 576 URLs de este XML — sigue sin bajarse, mismo bloqueo de proyecto/anio de forense/notas/2026-07-31-cola-descarga-rederivada.md §4, sin resolver para ese producto específico."			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
cpv2020_ceu_descriptor_bd_xlsx	Censo2020_CEU_descriptor_bd.xlsx	data_raw	52106	documentación — descriptor de la base de datos CEU (estructura de tablas/campos, no diccionario de variables de reactivo)			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
cpv2020_ceu_eum_csv	Censo2020_CEU_eum_csv.zip	data_raw	135163712	"CORREGIDO 2026-08-03 (ver forense/notas/2026-08-03-descarga-masiva-xml-mecanismo.md §6): NO es microdato de viviendas del Cuestionario Ampliado — misma corrección que cpv2020_caas_eum_csv. CEU es cartografía urbana: TR_VIALIDAD_EU (vialidades) y TI_MANZANA_EU (manzanas), confirmado por las pestañas del descriptor (cpv2020_ceu_descriptor_bd_xlsx: ""TR_VIALIDAD_EU"" / ""TI_MANZANA_EU""). No es tabla de viviendas encuestadas. La muestra real de viviendas del Cuestionario Ampliado tampoco está entre las 576 URLs de este XML — ver la nota de cpv2020_caas_eum_csv."			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
cpv2020_cuestionario_ampliado_pdf	Censo2020_cuest_ampliado.pdf	data_raw	986778	documentación — instrumento, Cuestionario Ampliado del CPV 2020 (producto que trae las marginales de los 6 ejes vía muestra probabilística; identificado en data/arbol/arbolData.js de /programas/ccpv/2020/, verificado por HEAD antes de bajar)			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
cpv2020_diccionario_cuestionario_ampliado_xlsx	diccionario_cuestionario_ampliado_cpv2020.xlsx	data_raw	95642	CORREGIDO 2026-08-03: no es el diccionario de CAAS/CEU (esa descripción original era errónea — CAAS/CEU traen su propio descriptor, ver esas dos entradas). Sus pestañas son VIVIENDAS / PERSONAS / MIGRANTES: es el diccionario de la muestra real del Cuestionario Ampliado, cuyos archivos de datos NO están entre las 576 URLs del XML de descarga masiva (ver forense/notas/2026-08-03-descarga-masiva-xml-mecanismo.md §6) — documentación de un producto todavía sin bajar.			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
cpv2020_fd_iter_pdf	fd_iter_cpv2020.pdf	data_raw	921352	documentación — ficha descriptiva de Iter (estructura de campos del agregado por localidad, no diccionario de reactivo)			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
cpv2020_iter_nal_csv	ITER_NAL_2020_csv.zip	data_raw	36604573	microdatos — Iter (Iteración de localidad), agregados nacionales por localidad. Marginales que la síntesis IPU necesita (modelo §1.1).			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
cses5_modulo5_2016_2021_codebook	cses5_codebook.zip	data_raw	593754	Ficha documental (codebook) del CSES Modulo 5 -- acompana cses5_modulo5_2016_2021_csv			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
cses5_modulo5_2016_2021_csv	cses5_csv.zip	data_raw	16604927	Microdato CSES Modulo 5 (2016-2021), candidato para N17/N25/N26/N27 (cola de adquisicion 2026-08-12, palanca 7) -- archivo pooled cross-nacional, un solo CSV dentro del zip (cses5.csv); cobertura de Mexico NO verificada en esta sesion (no se abre a nivel variable, prohibido por este acto)			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
cses5_modulo5_2016_2021_cuestionario	cses5_Questionnaire.txt	data_raw	117737	Ficha documental (cuestionario) del CSES Modulo 5	N17,N25,N26,N27		REFERENCIADO-NO-ABIERTO	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
datosgobmx_ckan_enaproce_enestyc_cero	R2.1_R2.2_R10.2_RNM_microdato/datosgobmx_ckan_package_search_enaproce_enestyc_cero_resultados.json	data_raw	216	B.4 -- CKAN datos.gob.mx package_search para enaproce y enestyc, ambas cero resultados			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
descargamasiva_3072026_105543	DescargaMasiva_3072026_105543.zip	descargas_mx	602155	"mecanismo — paquete lanzador ""Descarga Masiva"" de INEGI (DescargaMasivaApp.exe + DescargaMasivaOD.xml + leeme.txt), NO microdato. Estructura idéntica a las otras cuatro descargamasiva_3072026_* y a descargamasiva_382026_131650_xml (mismo componente descargaMasivaV2). XML interno (480 B) apunta a ENUT 2024, totalMb=""17.47 MB"": enut_2024_bd_csv.zip + enut_2024_diagrama_er.zip + enut_2024_fd.xlsx -- mismas tres URLs, byte por byte, de enut2024_bd_csv/enut2024_der_zip/enut2024_fd_xlsx, ya bajadas directamente (2026-07-30) y catalogadas aparte. Redundante: no aporta payload nuevo. Identificado 2026-08-05, Encargo M-2 (forense/notas/2026-08-05-m2-incognitas.md) -- forense/notas/2026-07-31-enut-descarga.md §Parte 2 ya había listado la estructura externa del zip pero declaró el contenido ""fuera de perímetro"" de esa sesión."			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
descargamasiva_3072026_10560	DescargaMasiva_3072026_10560.zip	descargas_mx	602154	"mecanismo — paquete lanzador ""Descarga Masiva"" de INEGI, NO microdato, misma estructura y mismo hallazgo que descargamasiva_3072026_105543 (ver esa entrada para el patrón completo). XML interno (479 B) apunta a ENUT 2019, totalMb=""9.53 MB"": enut_2019_bd_csv.zip + enut_2019_diagrama_er.zip + enut_2019_fd.xlsx -- mismas tres URLs de enut2019_bd_csv/enut2019_der_zip/enut2019_fd_xlsx, ya bajadas directamente y catalogadas aparte. Redundante. Identificado 2026-08-05, Encargo M-2 (forense/notas/2026-08-05-m2-incognitas.md)."			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
descargamasiva_3072026_105617	DescargaMasiva_3072026_105617.zip	descargas_mx	602150	"mecanismo — paquete lanzador ""Descarga Masiva"" de INEGI, NO microdato, misma estructura y mismo hallazgo que descargamasiva_3072026_105543 (ver esa entrada para el patrón completo). XML interno (348 B) apunta a ENUT 2009, totalMb=""5.19 MB"": fd_enut09.pdf + enut_2009_dbf.zip -- mismas dos URLs de enut2009_fd_pdf/enut2009_bd_dbf, ya bajadas directamente y catalogadas aparte. Redundante. Identificado 2026-08-05, Encargo M-2 (forense/notas/2026-08-05-m2-incognitas.md)."			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
descargamasiva_3072026_105625	DescargaMasiva_3072026_105625.zip	descargas_mx	602154	"mecanismo — paquete lanzador ""Descarga Masiva"" de INEGI, NO microdato, misma estructura y mismo hallazgo que descargamasiva_3072026_105543 (ver esa entrada para el patrón completo). XML interno (350 B) apunta a ENUT 2002, totalMb=""2.77 MB"": descripcion.pdf + enut_2002_dbf.zip -- mismas dos URLs de enut2002_fd_pdf/enut2002_bd_dbf, ya bajadas directamente y catalogadas aparte. Redundante. Identificado 2026-08-05, Encargo M-2 (forense/notas/2026-08-05-m2-incognitas.md)."			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
descargamasiva_3072026_10567	DescargaMasiva_3072026_10567.zip	descargas_mx	602152	"mecanismo — paquete lanzador ""Descarga Masiva"" de INEGI, NO microdato, misma estructura y mismo hallazgo que descargamasiva_3072026_105543 (ver esa entrada para el patrón completo). XML interno (348 B) apunta a ENUT 2014, totalMb=""5.68 MB"": fd_enut14.xls + bd_enut14_dbf.zip -- mismas dos URLs de enut2014_fd_xls/enut2014_bd_dbf, ya bajadas directamente y catalogadas aparte. Redundante. Identificado 2026-08-05, Encargo M-2 (forense/notas/2026-08-05-m2-incognitas.md)."			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
