puerta	url	http_sin_override	http_con_override	cabecera_diagnostica	quien_puede	receta_manual	fuentes_que_sirve	fecha_sondeo	universo_declarado	estado_triaje
IPUMS_International_Mexico	https://international.ipums.org/international/sample_designs/sample_designs_mx.shtml	200	no_probado (ya alcanzable sin override)	server: Apache/2.4.67, pagina de diseno muestral libre; extraccion de microdato exige cuenta IPUMS (estandar del consorcio, gratuita para uso academico)	USUARIO_REGISTRO	Registrarse gratis en https://international.ipums.org/international-action/registration/new, luego construir la extraccion de Mexico desde el sample browser.		2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica).	
UNAM_Repositorio_Institucional_panel	https://repositorio.unam.mx/	200	no_probado (ya alcanzable sin override)	server: nginx/1.10.3, portal general reachable	AGENTE			2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). NO-ENCONTRADO se mantiene (no hay panel/encuesta longitudinal especifico) -- quien_puede describe el portal general (repositorio de 2.7M recursos), no un recurso especifico que no existe. Este acto no re-busca dentro del repositorio.	
COLMEX_Repositorio_panel	https://repositorio.colmex.mx/	200	no_probado (ya alcanzable sin override)	server: cloudflare, sin cf-mitigated -- portal general reachable	AGENTE			2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). NO-ENCONTRADO se mantiene, mismo criterio que UNAM arriba.	
ITAM_panel_household_finance	(ninguna URL especifica -- no se encontro pagina propia)	N/A (sin URL propia)	N/A	sin URL para sondear -- NO-ENCONTRADO original no identifico pagina propia	NO_PROBADO			2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). No hay puerta que sondear: la fila original ya declara que no se encontro un repositorio propio de ITAM. Fuera del mecanismo de este acto (que sondea URLs, no re-busca).	CANDIDATA-A-SONDEO
Harvard_Dataverse_Mexico_panel	https://dataverse.harvard.edu/	202	202 (identico con dangerouslyDisableSandbox, mismo dominio que MassMobilization)	x-amzn-waf-action: challenge -- mismo dominio y misma barrera AWS WAF que MassMobilization_Dataverse_MMdata	USUARIO_NAVEGADOR	Abrir https://dataverse.harvard.edu/ en un navegador real -- el reto AWS WAF se resuelve solo (JS). Buscar dentro de Dataverse un dataset especifico de panel mexicano (ninguno identificado por busqueda en esta sesion).		2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). NO-ENCONTRADO se mantiene (busqueda no identifico dataset especifico); quien_puede describe la plataforma general, bloqueada por el mismo WAF que MassMobilization.	
MCCI_Encuesta_Corrupcion_Impunidad	https://contralacorrupcion.mx/encuesta-nacional-mcci-corrupcion-e-impunidad/	curl default=403 / curl -A navegador=200	no aplica (no es bloqueo de caja)	403 "Attention Required! | Cloudflare" con User-Agent de curl por defecto; 200 limpio con -A "Mozilla/5.0 ... Chrome/126" -- filtro de huella de cliente, no reto JS (sin cf-mitigated:challenge)	AGENTE		N16	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). HALLAZGO: barrera de huella de UA, no de reto JS -- se resuelve con una cabecera, sigue siendo AGENTE. URL de descarga directa .xlsx ya confirmada por la nota previa.	
DataCivica_Explorador_Violencia	https://datacivica.org/ ; https://datacivica.org/proyectos/	206 (ambas URLs)	no_probado (ya alcanzable sin override)	content-range: bytes 0-0/2913, server: cloudflare, sin cf-mitigated -- portada real, titulo "Data Civica" confirmado	AGENTE		N8, N9 (declarado por buscador, no confirmado)	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). CAMBIO DE CUBETA confirmado, el que el pre-registro (3.3) esperaba: 8/ago daba HTTP 403 en 2 intentos (datacivica.org y /proyectos/); hoy ambas responden 206 con contenido real, sin reto ni bloqueo. Contenido especifico de "Explorador de Datos de Violencia" y "Votar entre balas" aun no verificado a nivel de pagina interna -- eso es tarea de un acto de apertura, no de este.	
CeroDesabasto_Reportes	https://cerodesabasto.org/	200	no_probado (ya alcanzable sin override)	server: nginx, portada real	AGENTE			2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica).	
Mexico_Evalua_IMCO_SignosVitales_Intersecta	https://imco.org.mx/indices/ ; https://www.rendiciondecuentas.org.mx/signos-vitales-del-estado-mexicano/	206 (imco.org.mx/indices/) y 200 (rendiciondecuentas.org.mx/signos-vitales...)	no_probado (ya alcanzable sin override)	content-range: bytes 0-0/3470 (imco.org.mx) -- payload real	AGENTE		N16 (indirecto, gobernanza/finanzas subnacionales)	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). PROMOCION DE SIN-FETCH A ABIERTO (A.6): la fila previa era SIN-FETCH ("libre, declarado, no verificado"); este acto abrio byte a byte ambas URLs en esta sesion, ya no es candidata de buscador sin abrir.	
BID_IDB_Microdatos_Center	https://microdatos.iadb.org/	301 (redirect roto)	no_probado (ya alcanzable sin override)	Location: https://microdatos.iadb.org.iadb.org:443/ -- redirect mal configurado del propio portal (se auto-referencia con el dominio duplicado, no resuelve)	USUARIO_REGISTRO	(1) Abrir https://microdatos.iadb.org/ en un navegador real -- si el redirect roto tambien afecta al navegador, buscar "IDB microdata center" y entrar por el resultado del buscador (el bug es del lado del portal, puede no reproducirse igual en todos los clientes). (2) Registro gratuito declarado (correo, compromiso de uso, contrasena) -- costo no confirmado.	N18, N19	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). HALLAZGO: bug de redireccion del propio portal IADB (Location se auto-referencia con :443 duplicado), no verificable si es intermitente. Reportado, no corregible desde este acto.	
CEPAL_BADEHOG	https://badehog.cepal.org/	200	no_probado (ya alcanzable sin override)	server: nginx/1.29.8, portada real	AGENTE		N18	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica).	
OIT_ILOSTAT	https://ilostat.ilo.org/data/	403	403 (identico con dangerouslyDisableSandbox -- no es bloqueo de caja)	cf-mitigated: challenge, server: cloudflare -- confirmado persistente con User-Agent de navegador real (spot-check), es reto JS genuino	USUARIO_NAVEGADOR	Abrir https://ilostat.ilo.org/data/ en un navegador real de escritorio -- el reto Cloudflare se resuelve solo (JS), normalmente en pocos segundos.	N18	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). RESUELVE el hueco previo: condicion_acceso decia literalmente "no verificado, bloqueado esta sesion" -- verificado hoy, es reto Cloudflare Turnstile confirmado.	
Gallup_World_Poll	https://www.gallup.com/analytics/318923/world-poll-public-datasets.aspx	200	no_probado (ya alcanzable sin override)	sin cabecera de bloqueo -- el portal responde libre, pero declara textualmente "respondent-level global datasets are available for purchase" (confirmado por buscador el 8/ago)	NADIE		N15 (potencial, via items de confianza/riesgo, no confirmado)	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). Portada reachable (AGENTE podria leer la pagina), pero el dato en si es de pago -- NADIE aplica al payload, no a la portada. Distincion declarada para no confundir "portada libre" con "dato libre".	
WVS_World_Values_Survey	https://www.worldvaluessurvey.org/WVSDocumentationWV7.jsp	200 (portada), 200-con-1-byte (AJDownload.jsp, 6 intentos en P-Lote-1)	no_probado (worldvaluessurvey.org ya en allowlist hoy)	sin cabecera de bloqueo tipo Cloudflare/WAF -- el bloqueo es un SPA con sesion de usuario autenticada; AJDownload.jsp devuelve 1 byte a curl con o sin cookies (6 intentos documentados en P-Lote-1), consistente con que el login/descarga requiere JS real de navegador, no solo tener cuenta	USUARIO_NAVEGADOR	Abrir https://www.worldvaluessurvey.org/WVSDocumentationWV7.jsp, clic en fila "Mexico 2018", clic en el formato deseado bajo "Data Files". Si pide login, usar la cuenta WVS gratuita ya registrada por el usuario.	N5,N15	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). Se clasifica USUARIO_NAVEGADOR y no USUARIO_REGISTRO porque la barrera medida (6 intentos con cookies de sesion real, curl no obtuvo mas de 1 byte) es el mecanismo de descarga en si (JS), no solo la falta de cuenta -- la cuenta ya existe y el agente igual no pudo.	
PNT_Plataforma_Nacional_Transparencia	https://www.plataformadetransparencia.org.mx/estadisticas-pnt/solicitudes	curl default=403 / curl -A navegador=200	no aplica (no es bloqueo de caja)	403 "Attention Required! | Cloudflare" con UA de curl; 200 limpio con -A navegador -- misma clase de barrera que MCCI, filtro de huella, no reto JS	AGENTE			2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). Coincide con lo que la fila ya declaraba ("libre") -- el 403 inicial es nuevo (filtro de huella emergio despues del ultimo sondeo), resuelto con una cabecera.	
Tandas_para_el_Bienestar	http://www.tandasparaelbienestar.economia.gob.mx/	000	000 (identico con dangerouslyDisableSandbox)	curl: (28) Resolving timed out -- mismo resultado que el 8/ago, con y sin override	USUARIO_NAVEGADOR	Buscar "Tandas para el Bienestar" en un navegador para confirmar si el programa sigue vigente bajo otro dominio (coherente con ser un programa del sexenio 2018-2024) o fue descontinuado.	N29 (candidato natural: tanda con enforcement de plataforma, no personal)	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). Mismo caso que Mejoredu: el override no cambia el resultado, DNS no resuelve tambien con dangerouslyDisableSandbox. USUARIO_NAVEGADOR por default (hipotesis de que una conexion domestica normal resuelve donde esta caja no), no confirmado.	
RNM_Red_Nacional_Metadatos	https://www.inegi.org.mx/rnm/index.php/catalog	200	no_probado (ya alcanzable sin override)	server: Apache/2.4.41, portada RNM real	AGENTE			2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica).	
RNM_ENASIC_2022_ficha922	https://www.inegi.org.mx/rnm/index.php/catalog/922	200	no_probado (ya alcanzable sin override)	ficha RNM real, publica	AGENTE			2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica).	
RNM_ENBIARE_2021_ficha730	https://www.inegi.org.mx/rnm/index.php/catalog/730	200	no_probado (ya alcanzable sin override)	ficha RNM real, publica	AGENTE			2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica).	
RNM_ENCUCI_2020_ficha647	https://www.inegi.org.mx/rnm/index.php/catalog/647	200	no_probado (ya alcanzable sin override)	ficha RNM real, publica	AGENTE			2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica).	
RNM_ENSAFI_2023_ficha992	https://www.inegi.org.mx/rnm/index.php/catalog/992	200	no_probado (ya alcanzable sin override)	ficha RNM real, publica, LSNIEG arts 37/45/47/100	AGENTE			2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica).	
RNM_ENFIH_2019_ficha709	https://www.inegi.org.mx/rnm/index.php/catalog/709	200	no_probado (ya alcanzable sin override)	ficha RNM real, publica, LSNIEG arts 37/45/47/100	AGENTE			2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica).	
CSES_Modulo5_2016_2021	https://cses.org/data-download/cses-module-5-2016-2021/	200	no_probado (ya alcanzable sin override -- P-Lote-1 necesito override el 12/ago, hoy ya no)	server: Apache/2.4.58, portada real; payloads reales ya descargados e integros en manifiesto (P-Lote-1)	AGENTE		N17,N25,N26,N27	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). CONFIRMA 4-bis: cses.org no necesita override hoy, a diferencia del 12/ago.	
WorldBank_MEX_ECEPIE_2012_2014_catalogo2661	https://microdata.worldbank.org/catalog/2661/study-description	200 (portada + documentacion libre)	no_probado (ya alcanzable sin override)	cf-ray presente pero sin cf-mitigated -- portada libre; el microdato nuclear vive tras "Get Microdata" con login NADA (cuenta jonieqsa@gmail.com ya registrada y activada segun P-Lote-1)	USUARIO_REGISTRO	Ir a https://microdata.worldbank.org/catalog/2661/get-microdata, iniciar sesion con la cuenta ya creada (jonieqsa@gmail.com, contrasena generada en P-Lote-1) y clic en el archivo de microdato.	N13	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). 7 archivos de documentacion ya AGENTE-descargados sin sesion (P-Lote-1); solo el microdato nuclear requiere login.	
GPS_Global_Preferences_Survey	https://gps.econ.uni-bonn.de/downloads	200	no_probado (ya alcanzable sin override -- gps.econ.uni-bonn.de ya en allowlist hoy)	do-files libres ya AGENTE-descargados (P-Lote-1); dataset real via formulario Laravel ya enviado por el agente, entrega declarada por correo	USUARIO_REGISTRO	Revisar el correo jonieqsa@gmail.com por un mensaje de gps.econ.uni-bonn.de / briq-institute.org con el enlace de descarga del dataset (pais+individuo, Stata). Si no llega, reenviar el formulario en https://gps.econ.uni-bonn.de/downloads.	N2,N4,N5,N6,N17	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). Formulario ya sometido por el agente (HTTP 302 -> ?submitted=1); el paso pendiente es humano (revisar correo), no un registro nuevo.	
GESIS_ISSP	https://www.gesis.org/en/issp/data-and-documentation/	403	403 (identico con dangerouslyDisableSandbox en P-Lote-1, 11 intentos)	cf-mitigated: challenge, server: cloudflare -- reto JS genuino, confirmado hoy de nuevo en la URL de este lote	USUARIO_NAVEGADOR	Abrir https://www.gesis.org/en/issp/data-and-documentation/ en un navegador real -- el reto Cloudflare se resuelve solo (JS). Iniciar sesion con la cuenta GESIS ya registrada por el usuario y descargar los 3 modulos.	N2,N3,N12,N13,N14,N28,N30	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). Cuenta GESIS ya registrada por el usuario (fila EXISTE-SATISFACE); el reto Cloudflare bloquea a un agente en cualquier caso, por eso USUARIO_NAVEGADOR y no AGENTE pese a que la cuenta ya existe.	
INEGI_ENCOAP_2023	https://www.inegi.org.mx/programas/encoap/2023/default.html	206	no_probado (ya alcanzable sin override)	content-range: bytes 0-0/3912 (portada; payload real 420306 bytes ya verificado en SONDA-1 via mecanismo B de archivoscompaginacion)	AGENTE		N2,N30	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica).	
GDELT_RawDataFiles	https://www.gdeltproject.org/data.html	206	no_probado (ya alcanzable sin override)	content-range: bytes 0-0/55068, server: GDELT	AGENTE		N17,N27	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica).	
OSF_InteractingAsEquals_PartisanPolarizacion_Mexico	https://www.nature.com/articles/s41562-024-02043-y	nature.com sin -L=303 (bounce cookie-consent) / con -L=200; api.osf.io=200	no_probado (ya alcanzable sin override)	303 sin -L es rebote de cookie-consent (query error=cookies_not_supported), NO requiere login -- se resuelve solo siguiendo el redirect (curl -L) o con una jarra de cookies; api.osf.io/v2/nodes/f7bzy/ (donde vive el dato real) responde 200 directo, sin autenticacion	AGENTE		N3,N17	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). El 303 inicial podria mal-leerse como paywall -- verificado que NO lo es: es un bounce de cookie estandar de Nature, resuelto con -L. El dato real (OSF, 10 archivos, public:true) sigue AGENTE.	
MassMobilization_Dataverse_MMdata	https://massmobilization.github.io/	202 (portada github.io=200)	202 (identico con dangerouslyDisableSandbox en SONDA-1, 4 intentos)	x-amzn-waf-action: challenge, server: awselb/2.0 -- reto AWS WAF genuino en dataverse.harvard.edu	USUARIO_NAVEGADOR	Abrir https://dataverse.harvard.edu/dataverse/MMdata en un navegador real -- el reto AWS WAF se resuelve solo (JS). Localizar el dataset "Mass Mobilization Data" y descargar.	N17,N27	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). La portada (massmobilization.github.io) es 100% libre; el repositorio real de datos (Harvard Dataverse) es el que esta bloqueado.	
UCDP_Downloads_GED	https://ucdp.uu.se/downloads/	206	no_probado (ya alcanzable sin override)	content-range: bytes 0-0/138078, server: Microsoft-IIS/10.0, CC BY 4.0 declarado	AGENTE		N17,N27	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica).	
RNM_CNGMD_2023_catalogo977	https://www.inegi.org.mx/rnm/index.php/catalog/977	ficha=200 / API archivoscompaginacion=204	API=204 (identico con dangerouslyDisableSandbox)	API de descubrimiento (archivoscompaginacion?idBiinegi=977&tipodocto=4) responde 204 vacio -- verificado en esta sesion Y de forma independiente por P-LOTE-2 (concurrente, mismo hallazgo, incluyendo un control con ID invalido que tambien dio 204: la API completa esta caida, no solo esta ficha)	USUARIO_NAVEGADOR	Navegar manualmente a https://www.inegi.org.mx/programas/cngmd/2023/, pestana "Datos abiertos" -- recorrido no verificado por ningun acto (P-LOTE-2 lo registro como receta sin confirmar que funcione a mano; SONDA-1 SI verifico 87 archivos reales el 12/ago, pero via la misma API que hoy esta muerta).	N28	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). CAMBIO DE CUBETA vs SONDA-1 (12/ago, EXISTE-SATISFACE via API): la API de descubrimiento que SONDA-1 uso murio entre el 12/ago y hoy (204 vacio, confirmado dos veces independientes: este acto y P-LOTE-2 PR#204). CASO LIMITE DEL VOCABULARIO, declarado: no es un reto anti-bot que ceda a JS (no hay cf-mitigated ni WAF), es una API de descubrimiento muerta -- se clasifica USUARIO_NAVEGADOR porque un humano navegando la pestana "Datos abiertos" tiene una ruta que el mecanismo automatico ya no tiene, pero esa ruta manual NO esta confirmada funcionando por ningun acto todavia. El vocabulario cerrado de 5 valores no tiene una categoria exacta para "API muerta, ruta humana sin confirmar" -- se declara el hueco, no se fuerza a AGENTE ni a NADIE.	
WorldBank_MEX_EnterpriseSurvey_2023_catalogo6453	https://microdata.worldbank.org/catalog/6453	200	no_probado (ya alcanzable sin override)	cf-ray presente sin cf-mitigated -- portada libre; "Get Microdata" remite a enterprisesurveys.org -> login.enterprisesurveys.org, formulario propio (no NADA), sin cargo	USUARIO_REGISTRO	Ir a https://login.enterprisesurveys.org, registrar cuenta gratuita (nombre/correo/contrasena/institucion en texto libre/pais/resumen de proyecto/aceptar Data Access Protocol) y descargar desde enterprisesurveys.org.	N22,N23,N32	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). Mecanismo DISTINTO a los otros 2 catalogos WB de este lote (no usa login NADA de microdata.worldbank.org).	
WorldBank_MEX_LargeScaleFinancialEducation_2011_catalogo2049	https://microdata.worldbank.org/catalog/2049	200	no_probado (ya alcanzable sin override)	cf-ray presente sin cf-mitigated -- portada libre; "Get Microdata" exige login NADA	USUARIO_REGISTRO	Ir a https://microdata.worldbank.org/catalog/2049/get-microdata, iniciar sesion con la cuenta ya activa (jonieqsa@gmail.com) y descargar.	N5	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). Misma cuenta NADA que catalogo 2661 -- ya activa, no requiere registro nuevo.	
